סעיף,חשבון,שם חשבון,מחלקה,סוג תקציב,משרות מעודכן,טור  1,טור  2,טור  3,טור  4
315200927,1315200927,השתת לימודי אידיש,1,גמיש,0,0,0,0,0
315200928,1315200928,"השתת, בהחזר שכ""ל",0,גמיש,0,"-50,000",0,0,0
315200929,1315200929,תל' מחוננים-השתת. ממשלה,1,גמיש,0,"-600,000",0,0,0
315210221,1315210221,ש. בריאות בליך-אגרה,0,קשיח,0,0,0,0,0
315210223,1315210223,ביטוח בליך-אגרה,0,קשיח,0,"-85,500",0,0,0
315210920,1315210920,דמי שכפול בליך,0,קשיח,0,"-33,000",0,0,0
315210921,1315210921,"שכל""מ-בליך-ממשלה",0,קשיח,0,"-33,862,000",0,0,0
315210922,1315210922,מענקי השתלמות,0,גמיש,0,0,0,0,0
315210923,1315210923,שעורי עזר לעולים,0,קשיח,0,"-80,000",0,0,0
315210924,1315210924,סל ח. ביניים קהילתי,0,קשיח,0,0,0,0,0
315210925,1315210925,דמי שתיה,0,קשיח,0,"-13,000",0,0,0
315210926,1315210926,השתת. ערבית וצרפתית,0,קשיח,0,"-207,000",0,0,0
315210928,1315210928,הוצ' רכב,0,קשיח,0,"-32,000",0,0,0
315210929,1315210929,"סמים- בי""ס בליך",0,קשיח,0,0,0,0,0
315210990,1315210990,מחויבות אישית בליך,0,גמיש,0,0,0,0,0
315210991,1315210991,חינוך לדמוקרטיה,0,גמיש,0,0,0,0,0
315210992,1315210992,חומרים וערכות למדע,0,גמיש,0,"-58,000",0,0,0
315210993,1315210993,תקבולים שונים,0,גמיש,0,0,0,0,0
315220221,1315220221,ש. בריאות אוהל שם-אגרה,0,קשיח,0,0,0,0,0
315220223,1315220223,ביטוח אוהל שם-אגרה,0,קשיח,0,"-64,500",0,0,0
315220920,1315220920,דמי שכפול אוהל שם,0,קשיח,0,"-25,000",0,0,0
315220921,1315220921,"שכל""מ-אוהל שם-ממשלה",0,קשיח,0,"-28,091,000",0,0,0
315220922,1315220922,מענק השתלמויות,0,קשיח,0,0,0,0,0
315220923,1315220923,שעורי עזר לעולים,0,קשיח,0,"-40,000",0,0,0
315220924,1315220924,סל ח. ביניים קהילתי,0,קשיח,0,0,0,0,0
315220925,1315220925,דמי שתיה,0,קשיח,0,"-10,000",0,0,0
315220926,1315220926,השתת. בערבית וצרפתית,0,קשיח,0,"-200,000",0,0,0
315220927,1315220927,בטיחות בדרכים,0,קשיח,0,0,0,0,0
315220928,1315220928,הוצ' רכב,0,קשיח,0,"-26,000",0,0,0
315220929,1315220929,סמים,0,גמיש,0,0,0,0,0
315220990,1315220990,מחויבות אישית,0,גמיש,0,0,0,0,0
315220991,1315220991,חינוך לדמוקרטיה,0,גמיש,0,0,0,0,0
315220992,1315220992,חומרים וערכות למדע,0,גמיש,0,"-44,000",0,0,0
315220993,1315220993,תקבולים שונים,0,גמיש,0,0,0,0,0
315230221,1315230221,ש. בריאות ת.דתי-אגרה,0,קשיח,0,0,0,0,0
315230223,1315230223,ביטוח תיכון דתי-אגרה,0,קשיח,0,"-24,000",0,0,0
315230920,1315230920,דמי שכפול ת. דתי לבנות,0,קשיח,0,"-9,500",0,0,0
315230921,1315230921,"שכל""מ-תיכון דתי-ממשלה",0,קשיח,0,"-4,506,000",0,0,0
315230922,1315230922,מענק השתלמויות,0,קשיח,0,0,0,0,0
315230923,1315230923,שעורי עזר לעולים,0,קשיח,0,"-13,000",0,0,0
315230924,1315230924,"דתי-סל תלמיד לחט""ב",0,גמיש,0,"-530,000",0,0,0
315230925,1315230925,דמי שתיה,0,קשיח,0,"-4,000",0,0,0
315230926,1315230926,השתת. הערבית וצרפתית,0,קשיח,0,0,0,0,0
315230927,1315230927,הוראת האידיש,0,קשיח,0,0,0,0,0
315230928,1315230928,הוצ' רכב,0,קשיח,0,"-10,000",0,0,0
315230929,1315230929,איחוד משכורות,0,קשיח,0,"-900,000",0,0,0
315230990,1315230990,מחויבות אישית דתי,0,גמיש,0,0,0,0,0
315230991,1315230991,חינוך לדמוקרטיה,0,גמיש,0,0,0,0,0
315230992,1315230992,חומרים וערכות למדע,0,גמיש,0,"-19,000",0,0,0
315230993,1315230993,תקבולים שונים,0,גמיש,0,0,0,0,0
315240221,1315240221,ש. בריאות י.תיכונית-אגרה,0,קשיח,0,0,0,0,0
315240223,1315240223,ביטוח ישיבה תיכונית-אגרה,0,קשיח,0,"-21,000",0,0,0
315240920,1315240920,דמי שכפול י. תיכונית,0,קשיח,0,"-8,500",0,0,0
315240921,1315240921,"שכל""מ-ישיבה תיכונית-ממשל'",0,קשיח,0,"-4,192,000",0,0,0
315240922,1315240922,מענקי השתלמות-ישיבה,0,גמיש,0,0,0,0,0
315240923,1315240923,שעורי עזר לעולים,0,גמיש,0,"-10,000",0,0,0
315240924,1315240924,"ישיבה-סל תלמיד לחט""ב",0,גמיש,0,"-510,000",0,0,0
315240925,1315240925,דמי שתיה למורים,0,גמיש,0,"-3,000",0,0,0
315240926,1315240926,הוראת השפה הערבית צרפתית,0,גמיש,0,0,0,0,0
315240928,1315240928,"הוצ, רכב מנהלים",0,גמיש,0,"-10,000",0,0,0
315240929,1315240929,השאלת מורים -ישיבה,0,גמיש,0,0,0,0,0
315240991,1315240991,חינוך לדמוקרטיה,0,גמיש,0,0,0,0,0
315240992,1315240992,חומרים וערכות למדע,0,גמיש,0,"-18,000",0,0,0
315240993,1315240993,תקבולים שונים,0,גמיש,0,0,0,0,0
315250223,1315250223,בטוח תלמידים,0,גמיש,0,"-21,000",0,0,0
315250920,1315250920,דמי שכפול,0,גמיש,0,"-8,000",0,0,0
315250921,1315250921,"אורה מודיעים שכל""מ",0,גמיש,0,"-7,929,000",0,0,0
315250923,1315250923,ש.עזר לעולים ונכים מודיעים,0,גמיש,0,"-26,000",0,0,0
315250924,1315250924,"סל חט""ב קהילתי",0,גמיש,0,0,0,0,0
315250925,1315250925,דמי שתיה למורים,0,גמיש,0,"-3,000",0,0,0
315250926,1315250926,הוראת שפות,0,גמיש,0,"-23,000",0,0,0
315250928,1315250928,רכב מנהלים וסגניהם,0,גמיש,0,"-13,000",0,0,0
315250992,1315250992,חומרים וערכות למדע,0,גמיש,0,"-14,600",0,0,0
315250993,1315250993,תקבולים שונים,0,גמיש,0,0,0,0,0
315260223,1315260223,בטוח תלמידים,0,גמיש,0,"-21,000",0,0,0
315260920,1315260920,דמי שכפול,0,גמיש,0,"-8,000",0,0,0
315260921,1315260921,"שכל""מ תיכון חדש",0,גמיש,0,"-11,703,000",0,0,0
315260922,1315260922,מענקי השתלמות חדש,0,גמיש,0,0,0,0,0
315260923,1315260923,ש.עזר לעולים ונכים חדש,0,גמיש,0,"-20,000",0,0,0
315260924,1315260924,סל ח. ביניים קהילתי,0,גמיש,0,0,0,0,0
315260925,1315260925,דמי שתיה למורים,0,גמיש,0,"-5,000",0,0,0
315260928,1315260928,הוצאות רכב מנהלים וסגניהם,0,גמיש,0,"-16,000",0,0,0
315260992,1315260992,חומרים וערכות למדע,0,גמיש,0,"-14,400",0,0,0
315260993,1315260993,תיכון חדש תקבולים שונים,0,גמיש,0,0,0,0,0
315270223,1315270223,"בי""ס זומר - ביטוח תלמידים",0,גמיש,0,0,0,0,0
315270920,1315270920,דמי שכפול - זומר,0,גמיש,0,0,0,0,0
315270921,1315270921,"שכל""מ תיכון זומר",0,קשיח,0,"-620,000",0,0,0
315270925,1315270925,דמי שתיה - זומר,0,גמיש,0,0,0,0,0
315270928,1315270928,רכב סגנים ומנהלים-זומר,0,גמיש,0,0,0,0,0
315270992,1315270992,חומרים  וערכות מדע -זומר,0,גמיש,0,0,0,0,0
315270993,1315270993,חומרין וערכות מדע -זומר,0,גמיש,0,0,0,0,0
316800660,1316800660,הכנסות מריבית בגין מילגות,0,גמיש,0,"-50,000",0,0,0
317100920,1317100920,השתת.ממשלה קב-ט,1,גמיש,0,"-325,000",0,0,0
317100921,1317100921,שמירה,1,גמיש,0,"-2,780,000",0,0,0
317300420,1317300420,השתת.הורים ש. פסיכולוגי,1,גמיש,0,0,0,0,0
317300920,1317300920,שרות פסיכולוגי חינוכי השת,1,גמיש,0,"-3,800,000",0,0,0
317300921,1317300921,הדרכת פסיכולוגים,0,קשיח,0,"-84,000",0,0,0
317600920,1317600920,שקום ורווחה חינוכית,1,קשיח,0,0,0,0,0
317700920,1317700920,השתת.הממשלה קב-ס,1,גמיש,0,"-480,000",0,0,0
317800420,1317800420,הסעות-השתת. הורים,0,קשיח,0,"-134,000",0,0,0
317800920,1317800920,השתת בהסעת תלמידים,1,גמיש,0,"-5,300,000",0,0,0
317800921,1317800921,החזר דמי תחבורה ציבורית,0,גמיש,0,"-1,300,000",0,0,0
317800922,1317800922,"השתת' משה""ח בלווי הסעות",0,גמיש,0,"-2,400,000",0,0,0
317900420,1317900420,דמי הזנת ילדים,1,גמיש,0,0,0,0,0
318000920,1318000920,אולפנים ואולפניות,0,גמיש,0,"-50,000",0,0,0
321000420,1321000420,הכנסות מארועי תרבות,0,גמיש,0,0,0,0,0
322000410,1322000410,חוג אמנות,1,גמיש,0,0,0,0,0
322000420,1322000420,מופעי תרבות,1,גמיש,0,0,0,0,0
322000920,1322000920,פעולות תרבות השתתפות משרד,1,גמיש,0,0,0,0,0
323000420,1323000420,ספריות,1,גמיש,0,"-200,000",0,0,0
326200420,1326200420,הכנסות ממוזיאון,1,גמיש,0,0,0,0,0
327000920,1327000920,ת. תורנית השתת. ממשלה,1,גמיש,0,"-40,000",0,0,0
328200920,1328200920,בתי נוער-השתת. ממשלה,1,גמיש,0,0,0,0,0
329300420,1329300420,משתתפים פעלות ספו,1,גמיש,0,0,0,0,0
329300920,1329300920,פ. ספורט - השתת. ממשלה,1,גמיש,0,"-260,000",0,0,0
332400420,1332400420,השתת.עצמיתבבטוח רפ,1,גמיש,0,0,0,0,0
332400940,1332400940,השתתפות הממשלה לתח,1,גמיש,0,"-440,000",0,0,0
332400941,1332400941,הכנ. מיחשוב-מ. הבריאות,0,קשיח,0,0,0,0,0
336300940,1336300940,השת' במוקד מ.ד.א,0,קשיח,0,0,0,0,0
341000930,1341000930,מנהל הרווחה,1,גמיש,0,"-8,590,000",0,0,0
342200420,1342200420,"מרפאת שניים - השת, עצמית",1,גמיש,0,"-20,000",0,0,0
342200930,1342200930,צרכים מיוחדים-ממשלה,1,גמיש,0,"-585,000",0,0,0
342400420,1342400420,התחנה ליעוץ נשואין,1,גמיש,0,"-3,000",0,0,0
342400930,1342400930,הדרכת משפחות-ממשלה,1,גמיש,0,"-170,000",0,0,0
342500420,1342500420,"מרפאת שניים השת, עצמית",1,גמיש,0,0,0,0,0
342500930,1342500930,סמך מקצועי-ממשלה,1,גמיש,0,0,0,0,0
343300930,1343300930,מפתנים-ממשלה,1,גמיש,0,0,0,0,0
