,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
 פרק  ,סעיף,סעיף תקציב   ,שם סעיף                         ,   תקציב חדש   2015 ,   תקציב ישן   2014 ,   הוצאה בפועל 2013 ,חלק,שם חלק                            ,פרק,שם פרק                            ,פרק משנה,שם פרק משנה                       ,פרק עזר,שם פרק עזר                        ,פרק עזר משנה,שם פרק עזר משנה                   
12000,243,  12000/243/7,מודעות ברכב צבורי               ,"  50,000 ","  150,000 ","  87,370 ",1,מיסים                             ,12,אגרות                             ,120,אגרות                             ,1200,אגרות                             ,12000,אגרות                             
12000,245,  12000/245/9,מודעות ופרסומים מיוחדים         ,"  7,400,000 ","  7,800,000 ","  7,635,966 ",1,מיסים                             ,12,אגרות                             ,120,אגרות                             ,1200,אגרות                             ,12000,אגרות                             
12000,260,  12000/260/8,אגרת הפעלת עסקים בלילה          ,"  2,500,000 ","  2,500,000 ","  2,767,852 ",1,מיסים                             ,12,אגרות                             ,120,אגרות                             ,1200,אגרות                             ,12000,אגרות                             
12000,270,  12000/270/1,רשיונות לשטחים לפני בתי קפה     ,"  8,500,000 ","  8,000,000 ","  8,281,324 ",1,מיסים                             ,12,אגרות                             ,120,אגרות                             ,1200,אגרות                             ,12000,אגרות                             
,,,,"  64,050,000 ","  62,450,000 ","  62,230,616 ",,,"12 סה""כ",,,,,,,
19200,912,  19200/912/1,שיפוי בגין מעבר לפנסיה צוברת    ,"  1,000,000 ","  2,000,000 ","  1,218,555 ",1,מיסים                             ,19,מענקים ממשרדי ממשלה               ,192,מענקים כללים                      ,1920,מענקים כללים                      ,19200,מענקים כללים                      
19200,913,  19200/913/2,שיפוי בגין קופות גמל            ,"  500,000 ","  500,000 ","  459,484 ",1,מיסים                             ,19,מענקים ממשרדי ממשלה               ,192,מענקים כללים                      ,1920,מענקים כללים                      ,19200,מענקים כללים                      
,,,,"  1,500,000 ","  2,500,000 ","  1,678,039 ",,,"19 סה""כ",,,,,,,
,,,,"  3,095,550,000 ","  3,104,950,000 ","  2,942,142,511 ","1 סה""כ",,,,,,,,,
21200,210,  21200/210/4,אגרת סלוק אשפה ופסולת מיוחדת    ,"  1,800,000 ","  1,800,000 ","  2,006,876 ",2,תקבולים משרותים מקומיים           ,21,תברואה                            ,212,הכנסות מאסוף ובעור אשפה           ,2120,הכנסות מאסוף ובעור אשפה           ,21200,הכנסות מאסוף ובעור אשפה    
21200,231,  21200/231/9,הכנסות ממיחזור נייר וקרטון      ,"  2,500,000 ","  1,800,000 ","  1,052,510 ",2,תקבולים משרותים מקומיים           ,21,תברואה                            ,212,הכנסות מאסוף ובעור אשפה           ,2120,הכנסות מאסוף ובעור אשפה           ,21200,הכנסות מאסוף ובעור אשפה    
21200,232,  21200/232/1,הכנסות ממיחזור אחר              ,"  2,400,000 ","  1,500,000 ","  598,841 ",2,תקבולים משרותים מקומיים           ,21,תברואה                            ,212,הכנסות מאסוף ובעור אשפה           ,2120,הכנסות מאסוף ובעור אשפה           ,21200,הכנסות מאסוף ובעור אשפה    
21200,640,  21200/640/4,פינוי פסולת במגרש אשפה          ,"  50,000 ","  50,000 ","  321,591 ",2,תקבולים משרותים מקומיים           ,21,תברואה                            ,212,הכנסות מאסוף ובעור אשפה           ,2120,הכנסות מאסוף ובעור אשפה           ,21200,הכנסות מאסוף ובעור אשפה    
21300,210,  21300/210/2,אגרת רישוי עסקים                ,"  1,100,000 ","  1,200,000 ","  1,221,760 ",2,תקבולים משרותים מקומיים           ,21,תברואה                            ,213,הכנסות מרישוי עסקים               ,2130,הכנסות מרישוי עסקים               ,21300,הכנסות מרישוי עסקים               
21600,810,  21600/810/5,היטל ביוב                       ,"  6,900,000 ","  7,200,000 ",  -   ,2,תקבולים משרותים מקומיים           ,21,תברואה                            ,216,הכנסות מביוב                      ,2160,הכנסות מביוב                      ,21600,הכנסות מביוב                      
,,,,"  14,750,000 ","  13,550,000 ","  5,201,578 ",,,"21 סה""כ",,,,,,,
22100,990,  22100/990/6,פרויקט מציל ה                   ,"  150,000 ","  150,000 ","  159,844 ",2,תקבולים משרותים מקומיים           ,22,שמירה ובטחון                      ,221,מניעת אלימות                      ,2210,מניעת אלימות                      ,22100,מניעת אלימות                      
22200,910,  22200/910/6,השתתפות הממשלה - המשמר האזרחי   ,"  80,000 ","  80,000 ","  42,998 ",2,תקבולים משרותים מקומיים           ,22,שמירה ובטחון                      ,222,המשמר האזרחי                      ,2220,המשמר האזרחי                      ,22200,המשמר האזרחי                      
22300,651,  22300/651/4,דמי שימוש ממקלטים               ,"  200,000 ","  200,000 ","  171,564 ",2,תקבולים משרותים מקומיים           ,22,שמירה ובטחון                      ,223,הג א                              ,2230,הג א                              ,22300,הג א                              
22400,211,  22400/211/9,אגרת שרותי כבוי-אש              ,  -   ,  -   ,"  485,311 ",2,תקבולים משרותים מקומיים           ,22,שמירה ובטחון                      ,224,כבוי-אש                           ,2240,כבוי-אש                           ,22400,כבוי-אש                           
22400,212,  22400/212/1,בקורת ציוד וחוות דעת בטיחותית   ,  -   ,  -   ,"  463,424 ",2,תקבולים משרותים מקומיים           ,22,שמירה ובטחון                      ,224,כבוי-אש                           ,2240,כבוי-אש                           ,22400,כבוי-אש                           
22400,213,  22400/213/2,שונות                           ,  -   ,  -   ,"  3,325 ",2,תקבולים משרותים מקומיים           ,22,שמירה ובטחון                      ,224,כבוי-אש                           ,2240,כבוי-אש                           ,22400,כבוי-אש                           
22400,910,  22400/910/2,השתתפות הממשלה בכבוי-אש         ,  -   ,  -   ,"  6,065,001 ",2,תקבולים משרותים מקומיים           ,22,שמירה ובטחון                      ,224,כבוי-אש                           ,2240,כבוי-אש                           ,22400,כבוי-אש                           
22700,311,  22700/311/6,הכנסות מהיטל שמירה              ,"  47,000,000 ",  -   ,  -   ,2,תקבולים משרותים מקומיים           ,22,שמירה ובטחון                      ,227,המשמר העירוני                     ,2270,המשמר העירוני                     ,22700,המשמר העירוני                     
,,,,"  47,430,000 ","  430,000 ","  7,391,467 ",,,"22 סה""כ",,,,,,,
23100,415,  23100/415/6,שרותים שונים                    ,"  110,000 ","  500,000 ","  489,696 ",2,תקבולים משרותים מקומיים           ,23,מינהל הנדסה                       ,231,תכנון ובנין עיר                   ,2310,תכנון ובנין עיר                   ,23100,תכנון ובנין עיר                   
23100,421,  23100/421/4,הכנסות ממכירת חוברות ופרסומים   ,"  5,000 ","  5,000 ",  855 ,2,תקבולים משרותים מקומיים           ,23,מינהל הנדסה                       ,231,תכנון ובנין עיר                   ,2310,תכנון ובנין עיר                   ,23100,תכנון ובנין עיר                   
23100,422,  23100/422/5,הכנסות מהפקת תוכניות לגו ח      ,"  55,000 ","  55,000 ","  48,339 ",2,תקבולים משרותים מקומיים           ,23,מינהל הנדסה                       ,231,תכנון ובנין עיר                   ,2310,תכנון ובנין עיר                   ,23100,תכנון ובנין עיר                   
23100,423,  23100/423/6,הכנסות מהחזרי הוצ' דואר         ,"  150,000 ","  150,000 ","  174,533 ",2,תקבולים משרותים מקומיים           ,23,מינהל הנדסה                       ,231,תכנון ובנין עיר                   ,2310,תכנון ובנין עיר                   ,23100,תכנון ובנין עיר                   
23100,424,  23100/424/7,הכנסות ממכירת תיקי מידע והגשה   ,"  30,000 ","  30,000 ","  19,401 ",2,תקבולים משרותים מקומיים           ,23,מינהל הנדסה                       ,231,תכנון ובנין עיר                   ,2310,תכנון ובנין עיר                   ,23100,תכנון ובנין עיר                   
23100,425,  23100/425/8,הריסת מבנים מסוכנים             ,"  500,000 ","  500,000 ","  360,194 ",2,תקבולים משרותים מקומיים           ,23,מינהל הנדסה                       ,231,תכנון ובנין עיר                   ,2310,תכנון ובנין עיר                   ,23100,תכנון ובנין עיר                   
23100,911,  23100/911/8,השת' ממשלה בשכר משקיפים בו' מקומ,"  160,000 ",  -   ,  -   ,2,תקבולים משרותים מקומיים           ,23,מינהל הנדסה                       ,231,תכנון ובנין עיר                   ,2310,תכנון ובנין עיר                   ,23100,תכנון ובנין עיר                   
23300,210,  23300/210/9,אגרת רשיונות בניה               ,"  38,000,000 ","  33,000,000 ","  41,295,453 ",2,תקבולים משרותים מקומיים           ,23,מינהל הנדסה                       ,233,רשוי ופקוח על הבניה               ,2330,רשוי ופקוח על הבניה               ,23300,רשוי ופקוח על הבניה               
23300,310,  23300/310/3,היטל השבחה                      ,"  50,000,000 ","  29,000,000 ",  -   ,2,תקבולים משרותים מקומיים           ,23,מינהל הנדסה                       ,233,רשוי ופקוח על הבניה               ,2330,רשוי ופקוח על הבניה               ,23300,רשוי ופקוח על הבניה               
23300,422,  23300/422/1,הכנסות מצילום מסמכים בגנזך      ,"  150,000 ","  500,000 ","  459,170 ",2,תקבולים משרותים מקומיים           ,23,מינהל הנדסה                       ,233,רשוי ופקוח על הבניה               ,2330,רשוי ופקוח על הבניה               ,23300,רשוי ופקוח על הבניה               
23400,216,  23400/216/4,השתת' בתכנון ורה-פרצלציה        ,"  100,000 ","  100,000 ","  37,588 ",2,תקבולים משרותים מקומיים           ,23,מינהל הנדסה                       ,234,תכנון ופיקוח                      ,2340,תכנון ופיקוח                      ,23400,תכנון ופיקוח                      
,,,,"  89,260,000 ","  63,840,000 ","  42,885,229 ",,,"23 סה""כ",,,,,,,
24100,421,  24100/421/3,הכנסות מעבודות שונות            ,"  10,000 ","  10,000 ","  8,350 ",2,תקבולים משרותים מקומיים           ,24,בינוי ותשתית                      ,241,נכסים ציבוריים- כללי              ,2410,נכסים ציבוריים- כללי              ,24100,נכסים ציבוריים- כללי              
24200,810,  24200/810/1,היטל סלילת כבישים               ,"  15,500,000 ","  16,000,000 ","  7,000,000 ",2,תקבולים משרותים מקומיים           ,24,בינוי ותשתית                      ,242,דרכים ומדרכות                     ,2420,דרכים ומדרכות                     ,24200,דרכים ומדרכות                     
24200,820,  24200/820/3,רצוף מדרכות                     ,"  5,100,000 ","  5,200,000 ",  -   ,2,תקבולים משרותים מקומיים           ,24,בינוי ותשתית                      ,242,דרכים ומדרכות                     ,2420,דרכים ומדרכות                     ,24200,דרכים ומדרכות                     
24400,421,  24400/421/6,הכנסות  מעבודות שונות           ,"  10,000 ","  10,000 ","  2,835 ",2,תקבולים משרותים מקומיים           ,24,בינוי ותשתית                      ,244,תנועה                             ,2440,תנועה                             ,24400,תנועה                             
24400,581,  24400/581/3,החזרים מקרן חניונים             ,"  200,000 ",  -   ,"  2,100,000 ",2,תקבולים משרותים מקומיים           ,24,בינוי ותשתית                      ,244,תנועה                             ,2440,תנועה                             ,24400,תנועה                             
24400,991,  24400/991/8,השת' משרד התחבורה-מרכזי הדרכה   ,"  300,000 ","  300,000 ","  157,478 ",2,תקבולים משרותים מקומיים           ,24,בינוי ותשתית                      ,244,תנועה                             ,2440,תנועה                             ,24400,תנועה                             
24400,992,  24400/992/9,השתתפות מ. התחבורה- מטה בטיחות  ,"  600,000 ","  600,000 ","  615,924 ",2,תקבולים משרותים מקומיים           ,24,בינוי ותשתית                      ,244,תנועה                             ,2440,תנועה                             ,24400,תנועה                             
24500,810,  24500/810/4,היטל תיעול                      ,"  800,000 ","  800,000 ",  -   ,2,תקבולים משרותים מקומיים           ,24,בינוי ותשתית                      ,245,תעול וניקוז                       ,2450,תעול וניקוז                       ,24500,תעול וניקוז                       
24600,422,  24600/422/3,הכנסות מהחזר הוצ' שמירה-נחלת בני,"  450,000 ","  450,000 ","  474,027 ",2,תקבולים משרותים מקומיים           ,24,בינוי ותשתית                      ,246,שיפור פני העיר                    ,2460,שיפור פני העיר                    ,24600,שיפור פני העיר                    
24600,423,  24600/423/4,הכנסות מביצוע עבודות שונות      ,"  70,000 ","  70,000 ","  65,477 ",2,תקבולים משרותים מקומיים           ,24,בינוי ותשתית                      ,246,שיפור פני העיר                    ,2460,שיפור פני העיר                    ,24600,שיפור פני העיר                    
,,,,"  23,040,000 ","  23,440,000 ","  10,424,091 ",,,"24 סה""כ",,,,,,,
26710,521,  26710/521/7,הכנסות מעמלת גביה-אגרות מים וביו,"  16,000,000 ","  17,000,000 ","  17,316,548 ",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,267,החזרים מתאגיד המים                ,2671,החזר  כללי בגין גבייה             ,26710,החזר  כללי בגין גבייה             
26710,522,  26710/522/8,הכנסות מעמלת גביה-היטלי פיתוח   ,"  500,000 ","  4,500,000 ","  7,005,317 ",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,267,החזרים מתאגיד המים                ,2671,החזר  כללי בגין גבייה             ,26710,החזר  כללי בגין גבייה             
26710,523,  26710/523/9,החזר הוצאות מתאגיד המים         ,"  2,450,000 ","  2,400,000 ","  2,979,436 ",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,267,החזרים מתאגיד המים                ,2671,החזר  כללי בגין גבייה             ,26710,החזר  כללי בגין גבייה             
26810,531,  26810/531/7,החזר הוצ' משפטיות-שירות משפטי   ,"  1,600,000 ","  1,200,000 ","  1,723,578 ",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,268,החזר הוצ' משפט' אגרות ואכיפה      ,2681,החזר הוצ' משפטיות-שירות משפטי     ,26810,החזר הוצ' משפטיות-שירות משפטי     
26820,531,  26820/531/4,החזר הוצ' משפטיות-עו ד          ,"  400,000 ","  300,000 ","  447,086 ",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,268,החזר הוצ' משפט' אגרות ואכיפה      ,2682,החזר הוצ' משפטיות-ארנונה ומים     ,26820,החזר הוצ' משפטיות-ארנונה ומים     
26820,532,  26820/532/5,החזר הוצ' משפטיות-אגרות         ,"  500,000 ","  300,000 ","  264,088 ",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,268,החזר הוצ' משפט' אגרות ואכיפה      ,2682,החזר הוצ' משפטיות-ארנונה ומים     ,26820,החזר הוצ' משפטיות-ארנונה ומים     
26820,533,  26820/533/6,החזר הוצ' אכיפה מנהלית          ,"  6,400,000 ","  5,400,000 ","  8,486,298 ",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,268,החזר הוצ' משפט' אגרות ואכיפה      ,2682,החזר הוצ' משפטיות-ארנונה ומים     ,26820,החזר הוצ' משפטיות-ארנונה ומים     
26820,535,  26820/535/8,הכנסות מהחזר גבית עמלות בנקים   ,"  50,000 ","  70,000 ","  46,280 ",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,268,החזר הוצ' משפט' אגרות ואכיפה      ,2682,החזר הוצ' משפטיות-ארנונה ומים     ,26820,החזר הוצ' משפטיות-ארנונה ומים     
26830,531,  26830/531/1,החזר הוצ' משפטיות-אגרות-אגף אגד ,"  500,000 ","  500,000 ","  748,202 ",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,268,החזר הוצ' משפט' אגרות ואכיפה      ,2683,החזר הוצ' משפטיות-כללי            ,26830,החזר הוצ' משפטיות-כללי            
26830,532,  26830/532/2,החזר הוצ' משפטיות-עו ד-אגף אגד ש,"  1,450,000 ","  1,450,000 ","  1,314,955 ",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,268,החזר הוצ' משפט' אגרות ואכיפה      ,2683,החזר הוצ' משפטיות-כללי            ,26830,החזר הוצ' משפטיות-כללי            
26830,533,  26830/533/3,החזר הוצ' אכיפה מנהלית-חניה     ,"  10,500,000 ","  11,000,000 ","  12,840,856 ",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,268,החזר הוצ' משפט' אגרות ואכיפה      ,2683,החזר הוצ' משפטיות-כללי            ,26830,החזר הוצ' משפטיות-כללי            
26900,410,  26900/410/9,הכנסות שונות                    ,"  1,500,000 ","  1,500,000 ","  1,776,077 ",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
26900,421,  26900/421/3,הכנסות מפעילות הארכיון העירוני  ,"  5,000 ","  5,000 ","  2,716 ",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
26900,422,  26900/422/4,הכנסות בגין גניזה               ,"  15,000 ","  15,000 ","  13,050 ",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
26900,423,  26900/423/5,הכנסות לאחזקת כיכר רבין         ,"  20,000 ","  20,000 ","  16,600 ",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
26900,424,  26900/424/6,הכנסות ממכירת תוכנות ושירותים   ,"  300,000 ","  10,000 ","  10,826 ",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
26900,425,  26900/425/7,הכנסות מפעילות המשלמה ביפו      ,"  20,000 ","  20,000 ","  21,063 ",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
26900,426,  26900/426/8,הכנסות מפרויקט כ.אשראי-תושב     ,"  30,000 ","  300,000 ","  283,418 ",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
26900,427,  26900/427/9,הכנסות בגין פיקוח על צילומי חוץ ,"  80,000 ","  90,000 ","  74,398 ",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
26900,510,  26900/510/3,הכנסות מדמי טיפול בגבית דמי חבר ,"  200,000 ","  250,000 ","  176,985 ",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
26900,521,  26900/521/6,החזר ביטוח לאומי- תאונות עבודה  ,"  3,800,000 ","  3,800,000 ","  4,032,869 ",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
26900,524,  26900/524/9,השתתפות איכילוב במודעות דרושים  ,"  90,000 ","  90,000 ",  -   ,2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
26900,527,  26900/527/3,החזר הוצ' חשמל מחברות פרסום     ,"  600,000 ","  600,000 ","  640,348 ",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
26900,791,  26900/791/8,מימון פרויקטים ע י האיחוד הארופי,"  120,000 ","  220,000 ","  72,000 ",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
26900,991,  26900/991/5,הכנסות שונות-ממשלה              ,  -   ,  -   ,"  70,000 ",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
,,,,"  47,130,000 ","  51,040,000 ","  60,362,994 ",,,"26 סה""כ",,,,,,,
28100,411,  28100/411/6,קנסות בית משפט-תכנון ובניה      ,"  5,000,000 ","  4,500,000 ","  5,386,117 ",2,תקבולים משרותים מקומיים           ,28,פקוח עירוני                       ,281,פקוח על חוקי עזר                  ,2810,פקוח על חוקי עזר                  ,28100,פקוח על חוקי עזר                  
28100,412,  28100/412/7,קנסות בית משפט- רישוי עסקים     ,"  3,000,000 ","  3,000,000 ","  4,900,259 ",2,תקבולים משרותים מקומיים           ,28,פקוח עירוני                       ,281,פקוח על חוקי עזר                  ,2810,פקוח על חוקי עזר                  ,28100,פקוח על חוקי עזר                  
28100,413,  28100/413/8,קנסות בית משפט-חוקי עזר         ,"  500,000 ","  500,000 ","  513,552 ",2,תקבולים משרותים מקומיים           ,28,פקוח עירוני                       ,281,פקוח על חוקי עזר                  ,2810,פקוח על חוקי עזר                  ,28100,פקוח על חוקי עזר                  
28100,415,  28100/415/1,קנסות ברירת קנס-לאחר משפט       ,"  500,000 ","  500,000 ","  981,988 ",2,תקבולים משרותים מקומיים           ,28,פקוח עירוני                       ,281,פקוח על חוקי עזר                  ,2810,פקוח על חוקי עזר                  ,28100,פקוח על חוקי עזר                  
28100,416,  28100/416/2,קנסות בגין חוקי עזר-ברירת משפט  ,"  6,000,000 ","  6,000,000 ","  6,259,508 ",2,תקבולים משרותים מקומיים           ,28,פקוח עירוני                       ,281,פקוח על חוקי עזר                  ,2810,פקוח על חוקי עזר                  ,28100,פקוח על חוקי עזר                  
28100,417,  28100/417/3,קנסות בגין ח.עזר-ב.משפט-לאחר אכי,"  7,000,000 ","  7,000,000 ","  7,283,752 ",2,תקבולים משרותים מקומיים           ,28,פקוח עירוני                       ,281,פקוח על חוקי עזר                  ,2810,פקוח על חוקי עזר                  ,28100,פקוח על חוקי עזר                  
28100,421,  28100/421/8,קנסות בית משפט כללי-אכיפה מינהלי,"  400,000 ","  400,000 ","  359,922 ",2,תקבולים משרותים מקומיים           ,28,פקוח עירוני                       ,281,פקוח על חוקי עזר                  ,2810,פקוח על חוקי עזר                  ,28100,פקוח על חוקי עזר                  
28200,560,  28200/560/7,החזרת הוצאות משפט ודמי עקול     ,"  30,000 ","  30,000 ","  75,249 ",2,תקבולים משרותים מקומיים           ,28,פקוח עירוני                       ,282,בית משפט העירוני                  ,2820,בית משפט העירוני                  ,28200,בית משפט העירוני                  
28300,210,  28300/210/4,אגרת רשיונות ודמי חסון לכלבים   ,"  1,250,000 ","  1,250,000 ","  1,219,868 ",2,תקבולים משרותים מקומיים           ,28,פקוח עירוני                       ,283,הכנסות משרותים וטרינריים          ,2830,הכנסות משרותים וטרינריים          ,28300,הכנסות משרותים וטרינריים          
28300,220,  28300/220/6,מלחמה בכלבת הסגר כלבים          ,"  30,000 ","  30,000 ","  39,660 ",2,תקבולים משרותים מקומיים           ,28,פקוח עירוני                       ,283,הכנסות משרותים וטרינריים          ,2830,הכנסות משרותים וטרינריים          ,28300,הכנסות משרותים וטרינריים          
28300,411,  28300/411/2,בשר קפוא                        ,"  500,000 ","  500,000 ","  1,101,002 ",2,תקבולים משרותים מקומיים           ,28,פקוח עירוני                       ,283,הכנסות משרותים וטרינריים          ,2830,הכנסות משרותים וטרינריים          ,28300,הכנסות משרותים וטרינריים          
28300,412,  28300/412/3,בשר טרי                         ,"  130,000 ","  130,000 ","  140,112 ",2,תקבולים משרותים מקומיים           ,28,פקוח עירוני                       ,283,הכנסות משרותים וטרינריים          ,2830,הכנסות משרותים וטרינריים          ,28300,הכנסות משרותים וטרינריים          
28300,420,  28300/420/3,דמי בדיקת דגים                  ,"  1,500,000 ","  1,500,000 ","  1,720,767 ",2,תקבולים משרותים מקומיים           ,28,פקוח עירוני                       ,283,הכנסות משרותים וטרינריים          ,2830,הכנסות משרותים וטרינריים          ,28300,הכנסות משרותים וטרינריים          
28300,620,  28300/620/9,אגרת בדיקת עופות                ,"  4,000,000 ","  4,000,000 ","  4,160,575 ",2,תקבולים משרותים מקומיים           ,28,פקוח עירוני                       ,283,הכנסות משרותים וטרינריים          ,2830,הכנסות משרותים וטרינריים          ,28300,הכנסות משרותים וטרינריים          
,,,,"  29,840,000 ","  29,340,000 ","  34,142,331 ",,,"28 סה""כ",,,,,,,
29000,411,  29000/411/7,דמי היתר- כסאות מרגוע בחופי-ים  ,"  500,000 ","  260,000 ","  257,759 ",2,תקבולים משרותים מקומיים           ,29,חופי-ים ובריכות שחיה              ,290,חופי-ים ובריכות שחיה              ,2900,חופי-ים ובריכות שחיה              ,29000,חופי-ים ובריכות שחיה              
29000,416,  29000/416/3,דמי כניסה-חוף הצוק              ,  -   ,"  900,000 ","  980,900 ",2,תקבולים משרותים מקומיים           ,29,חופי-ים ובריכות שחיה              ,290,חופי-ים ובריכות שחיה              ,2900,חופי-ים ובריכות שחיה              ,29000,חופי-ים ובריכות שחיה              
29000,961,  29000/961/5,השתת התמ ת-הדרכת מצילים-סעיף שאי,  -   ,  -   ,"  20,000 ",2,תקבולים משרותים מקומיים           ,29,חופי-ים ובריכות שחיה              ,290,חופי-ים ובריכות שחיה              ,2900,חופי-ים ובריכות שחיה              ,29000,חופי-ים ובריכות שחיה              
,,,,"  500,000 ","  1,160,000 ","  1,258,659 ",,,"29 סה""כ",,,,,,,
,,,,"  251,950,000 ","  182,800,000 ","  161,666,349 ","2 סה""כ",,,,,,,,,
