 פרק  ,סעיף,סעיף תקציב   ,סעיף נקי,שם סעיף                         ,   תקציב חדש   2013 ,   תקציב ישן   2012 ,   הוצאה בפועל 2011 ,חלק,שם חלק                            ,פרק,שם פרק                            ,פרק משנה,שם פרק משנה                       ,פרק עזר,שם פרק עזר                        ,פרק עזר משנה,שם פרק עזר משנה                   
12000,245,  12000/245/9,1120002459,מודעות ופרסומים מיוחדים         ,7350000,7800000,7321127,1,מיסים                             ,12,אגרות                             ,120,אגרות                             ,1200,אגרות                             ,12000,אגרות                             
12000,260,  12000/260/8,1120002608,אגרת הפעלת עסקים בלילה          ,2000000,1500000,2276268,1,מיסים                             ,12,אגרות                             ,120,אגרות                             ,1200,אגרות                             ,12000,אגרות                             
12000,270,  12000/270/1,1120002701,רשיונות לשטחים לפני בתי קפה     ,9000000,8000000,9224723,1,מיסים                             ,12,אגרות                             ,120,אגרות                             ,1200,אגרות                             ,12000,אגרות                             
,,,,,65550000,60510000,63633205,,,"12 סה""כ",,,,,,,
19200,912,  19200/912/1,1192009121,שיפוי בגין מעבר לפנסיה צוברת    ,4500000,5200000,4419554,1,מיסים                             ,19,מענקים ממשרדי ממשלה               ,192,מענקים כללים                      ,1920,מענקים כללים                      ,19200,מענקים כללים                      
19200,913,  19200/913/2,1192009132,שיפוי בגין קופות גמל            ,700000,500000,673976,1,מיסים                             ,19,מענקים ממשרדי ממשלה               ,192,מענקים כללים                      ,1920,מענקים כללים                      ,19200,מענקים כללים                      
,,,,,5200000,5700000,5093530,,,"19 סה""כ",,,,,,,
,,,,,2950750000,2936210000,2882486929,"1 סה""כ",,,,,,,,,
21200,210,  21200/210/4,1212002104,אגרת סלוק אשפה ופסולת מיוחדת    ,1700000,1700000,1777090,2,תקבולים משרותים מקומיים           ,21,תברואה                            ,212,הכנסות מאסוף ובעור אשפה           ,2120,הכנסות מאסוף ובעור אשפה           ,21200,הכנסות מאסוף ובעור אשפה           
21200,231,  21200/231/9,1212002319,הכנסות ממיחזור נייר וקרטון      ,1100000,600000,183700,2,תקבולים משרותים מקומיים           ,21,תברואה                            ,212,הכנסות מאסוף ובעור אשפה           ,2120,הכנסות מאסוף ובעור אשפה           ,21200,הכנסות מאסוף ובעור אשפה           
21200,232,  21200/232/1,1212002321,הכנסות ממיחזור אחר              ,100000,40000,74331,2,תקבולים משרותים מקומיים           ,21,תברואה                            ,212,הכנסות מאסוף ובעור אשפה           ,2120,הכנסות מאסוף ובעור אשפה           ,21200,הכנסות מאסוף ובעור אשפה           
21200,640,  21200/640/4,1212006404,פינוי פסולת במגרש אשפה          ,50000,100000,44289,2,תקבולים משרותים מקומיים           ,21,תברואה                            ,212,הכנסות מאסוף ובעור אשפה           ,2120,הכנסות מאסוף ובעור אשפה           ,21200,הכנסות מאסוף ובעור אשפה           
21300,210,  21300/210/2,1213002102,אגרת רישוי עסקים                ,1100000,1000000,1082095,2,תקבולים משרותים מקומיים           ,21,תברואה                            ,213,הכנסות מרישוי עסקים               ,2130,הכנסות מרישוי עסקים               ,21300,הכנסות מרישוי עסקים               
21600,810,  21600/810/5,1216008105,היטל ביוב                       ,7800000,7750000,7900000,2,תקבולים משרותים מקומיים           ,21,תברואה                            ,216,הכנסות מביוב                      ,2160,הכנסות מביוב                      ,21600,הכנסות מביוב                      
,,,,,11850000,11190000,11061505,,,"21 סה""כ",,,,,,,
22100,990,  22100/990/6,1221009906,פרויקט מציל ה                   ,150000,160000,81370,2,תקבולים משרותים מקומיים           ,22,שמירה ובטחון                      ,221,מניעת אלימות                      ,2210,מניעת אלימות                      ,22100,מניעת אלימות                      
22200,910,  22200/910/6,1222009106,השתתפות הממשלה - המשמר האזרחי   ,80000,100000,72041,2,תקבולים משרותים מקומיים           ,22,שמירה ובטחון                      ,222,המשמר האזרחי                      ,2220,המשמר האזרחי                      ,22200,המשמר האזרחי                      
22300,651,  22300/651/4,1223006514,דמי שימוש ממקלטים               ,200000,200000,203947,2,תקבולים משרותים מקומיים           ,22,שמירה ובטחון                      ,223,הג א                              ,2230,הג א                              ,22300,הג א                              
22400,211,  22400/211/9,1224002119,אגרת שרותי כבוי-אש              ,330000,3600000,3849924,2,תקבולים משרותים מקומיים           ,22,שמירה ובטחון                      ,224,כבוי-אש                           ,2240,כבוי-אש                           ,22400,כבוי-אש                           
22400,212,  22400/212/1,1224002121,בקורת ציוד וחוות דעת בטיחותית   ,300000,3000000,3206454,2,תקבולים משרותים מקומיים           ,22,שמירה ובטחון                      ,224,כבוי-אש                           ,2240,כבוי-אש                           ,22400,כבוי-אש                           
22400,213,  22400/213/2,1224002132,שונות                           ,10000,100000,32459,2,תקבולים משרותים מקומיים           ,22,שמירה ובטחון                      ,224,כבוי-אש                           ,2240,כבוי-אש                           ,22400,כבוי-אש                           
22400,910,  22400/910/2,1224009102,השתתפות הממשלה בכבוי-אש         ,1560000,15000000,15051742,2,תקבולים משרותים מקומיים           ,22,שמירה ובטחון                      ,224,כבוי-אש                           ,2240,כבוי-אש                           ,22400,כבוי-אש                           
,,,,,2630000,22160000,22497937,,,"22 סה""כ",,,,,,,
23100,411,  23100/411/2,1231004112,סמוני קו ועבודות מדידה-סעיף שאינ, -   ,50000,262023,2,תקבולים משרותים מקומיים           ,23,מינהל הנדסה                       ,231,תכנון ובנין עיר                   ,2310,תכנון ובנין עיר                   ,23100,תכנון ובנין עיר                   
23100,415,  23100/415/6,1231004156,שרותים שונים                    ,1000000,1000000,867084,2,תקבולים משרותים מקומיים           ,23,מינהל הנדסה                       ,231,תכנון ובנין עיר                   ,2310,תכנון ובנין עיר                   ,23100,תכנון ובנין עיר                   
23100,421,  23100/421/4,1231004214,הכנסות ממכירת חוברות ופרסומים   ,10000,10000,2350,2,תקבולים משרותים מקומיים           ,23,מינהל הנדסה                       ,231,תכנון ובנין עיר                   ,2310,תכנון ובנין עיר                   ,23100,תכנון ובנין עיר                   
23100,422,  23100/422/5,1231004225,הכנסות מהפקת תוכניות לגו ח      ,60000,30000,79114,2,תקבולים משרותים מקומיים           ,23,מינהל הנדסה                       ,231,תכנון ובנין עיר                   ,2310,תכנון ובנין עיר                   ,23100,תכנון ובנין עיר                   
23100,423,  23100/423/6,1231004236,הכנסות מהחזרי הוצ' דואר         ,100000,70000,99216,2,תקבולים משרותים מקומיים           ,23,מינהל הנדסה                       ,231,תכנון ובנין עיר                   ,2310,תכנון ובנין עיר                   ,23100,תכנון ובנין עיר                   
23100,424,  23100/424/7,1231004247,הכנסות ממכירת תיקי מידע והגשה   ,30000,20000,24178,2,תקבולים משרותים מקומיים           ,23,מינהל הנדסה                       ,231,תכנון ובנין עיר                   ,2310,תכנון ובנין עיר                   ,23100,תכנון ובנין עיר                   
23100,425,  23100/425/8,1231004258,הריסת מבנים מסוכנים             ,500000,700000,777208,2,תקבולים משרותים מקומיים           ,23,מינהל הנדסה                       ,231,תכנון ובנין עיר                   ,2310,תכנון ובנין עיר                   ,23100,תכנון ובנין עיר                   
23300,210,  23300/210/9,1233002109,אגרת רשיונות בניה               ,30000000,24000000,33023873,2,תקבולים משרותים מקומיים           ,23,מינהל הנדסה                       ,233,רשוי ופקוח על הבניה               ,2330,רשוי ופקוח על הבניה               ,23300,רשוי ופקוח על הבניה               
23300,310,  23300/310/3,1233003103,היטל השבחה                      ,30000000,35000000,35000000,2,תקבולים משרותים מקומיים           ,23,מינהל הנדסה                       ,233,רשוי ופקוח על הבניה               ,2330,רשוי ופקוח על הבניה               ,23300,רשוי ופקוח על הבניה               
23300,422,  23300/422/1,1233004221,הכנסות מצילום מסמכים בגנזך      ,500000,500000,580280,2,תקבולים משרותים מקומיים           ,23,מינהל הנדסה                       ,233,רשוי ופקוח על הבניה               ,2330,רשוי ופקוח על הבניה               ,23300,רשוי ופקוח על הבניה               
23400,216,  23400/216/4,1234002164,השתת' בתכנון ורה-פרצלציה        ,300000,500000,504234,2,תקבולים משרותים מקומיים           ,23,מינהל הנדסה                       ,234,תכנון ופיקוח                      ,2340,תכנון ופיקוח                      ,23400,תכנון ופיקוח                      
,,,,,62500000,61880000,71219560,,,"23 סה""כ",,,,,,,
24100,421,  24100/421/3,1241004213,הכנסות מעבודות שונות            ,50000,50000,55167,2,תקבולים משרותים מקומיים           ,24,בינוי ותשתית                      ,241,נכסים ציבוריים- כללי              ,2410,נכסים ציבוריים- כללי              ,24100,נכסים ציבוריים- כללי              
24200,810,  24200/810/1,1242008101,היטל סלילת כבישים               ,18500000,14600000,17340000,2,תקבולים משרותים מקומיים           ,24,בינוי ותשתית                      ,242,דרכים ומדרכות                     ,2420,דרכים ומדרכות                     ,24200,דרכים ומדרכות                     
24200,820,  24200/820/3,1242008203,רצוף מדרכות                     ,6000000,4800000,4800000,2,תקבולים משרותים מקומיים           ,24,בינוי ותשתית                      ,242,דרכים ומדרכות                     ,2420,דרכים ומדרכות                     ,24200,דרכים ומדרכות                     
24400,421,  24400/421/6,1244004216,הכנסות  מעבודות שונות           ,10000,10000,18902,2,תקבולים משרותים מקומיים           ,24,בינוי ותשתית                      ,244,תנועה                             ,2440,תנועה                             ,24400,תנועה                             
24400,991,  24400/991/8,1244009918,השת' משרד התחבורה-מרכזי הדרכה   ,300000,300000,999774,2,תקבולים משרותים מקומיים           ,24,בינוי ותשתית                      ,244,תנועה                             ,2440,תנועה                             ,24400,תנועה                             
24400,992,  24400/992/9,1244009929,השתתפות מ. התחבורה- מטה בטיחות  ,600000,600000, -   ,2,תקבולים משרותים מקומיים           ,24,בינוי ותשתית                      ,244,תנועה                             ,2440,תנועה                             ,24400,תנועה                             
24500,810,  24500/810/4,1245008104,היטל תיעול                      ,800000,850000,800000,2,תקבולים משרותים מקומיים           ,24,בינוי ותשתית                      ,245,תעול וניקוז                       ,2450,תעול וניקוז                       ,24500,תעול וניקוז                       
24600,422,  24600/422/3,1246004223,הכנסות מהחזר הוצ' שמירה-נחלת בני,350000,350000,406866,2,תקבולים משרותים מקומיים           ,24,בינוי ותשתית                      ,246,שיפור פני העיר                    ,2460,שיפור פני העיר                    ,24600,שיפור פני העיר                    
24600,423,  24600/423/4,1246004234,הכנסות מביצוע עבודות שונות      ,70000,70000,98588,2,תקבולים משרותים מקומיים           ,24,בינוי ותשתית                      ,246,שיפור פני העיר                    ,2460,שיפור פני העיר                    ,24600,שיפור פני העיר                    
,,,,,26680000,21630000,24519297,,,"24 סה""כ",,,,,,,
26710,521,  26710/521/7,1267105217,הכנסות מעמלת גביה-אגרות מים וביו,16000000,15500000,14452075,2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,267,החזרים מתאגיד המים                ,2671,החזר  כללי בגין גבייה             ,26710,החזר  כללי בגין גבייה             
26710,522,  26710/522/8,1267105228,הכנסות מעמלת גביה-היטלי פיתוח   ,4500000,3000000,3861487,2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,267,החזרים מתאגיד המים                ,2671,החזר  כללי בגין גבייה             ,26710,החזר  כללי בגין גבייה             
26710,523,  26710/523/9,1267105239,החזר הוצאות מתאגיד המים         ,2350000,4000000,4309010,2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,267,החזרים מתאגיד המים                ,2671,החזר  כללי בגין גבייה             ,26710,החזר  כללי בגין גבייה             
26810,531,  26810/531/7,1268105317,החזר הוצ' משפטיות-שירות משפטי   ,600000,600000,2608621,2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,268,החזר הוצ' משפט' אגרות ואכיפה      ,2681,החזר הוצ' משפטיות-שירות משפטי     ,26810,החזר הוצ' משפטיות-שירות משפטי     
26820,531,  26820/531/4,1268205314,החזר הוצ' משפטיות-עו ד          ,300000,300000,400201,2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,268,החזר הוצ' משפט' אגרות ואכיפה      ,2682,החזר הוצ' משפטיות-ארנונה ומים     ,26820,החזר הוצ' משפטיות-ארנונה ומים     
26820,532,  26820/532/5,1268205325,החזר הוצ' משפטיות-אגרות         ,900000,900000,255530,2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,268,החזר הוצ' משפט' אגרות ואכיפה      ,2682,החזר הוצ' משפטיות-ארנונה ומים     ,26820,החזר הוצ' משפטיות-ארנונה ומים     
26820,533,  26820/533/6,1268205336,החזר הוצ' אכיפה מנהלית          ,4600000,4000000,3233498,2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,268,החזר הוצ' משפט' אגרות ואכיפה      ,2682,החזר הוצ' משפטיות-ארנונה ומים     ,26820,החזר הוצ' משפטיות-ארנונה ומים     
26820,535,  26820/535/8,1268205358,הכנסות מהחזר גבית עמלות בנקים   ,70000,70000,71365,2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,268,החזר הוצ' משפט' אגרות ואכיפה      ,2682,החזר הוצ' משפטיות-ארנונה ומים     ,26820,החזר הוצ' משפטיות-ארנונה ומים     
26830,531,  26830/531/1,1268305311,החזר הוצ' משפטיות-אגרות-אגף אגד ,900000,900000,962146,2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,268,החזר הוצ' משפט' אגרות ואכיפה      ,2683,החזר הוצ' משפטיות-כללי            ,26830,החזר הוצ' משפטיות-כללי            
26830,532,  26830/532/2,1268305322,החזר הוצ' משפטיות-עו ד-אגף אגד ש,1450000,1450000,1681095,2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,268,החזר הוצ' משפט' אגרות ואכיפה      ,2683,החזר הוצ' משפטיות-כללי            ,26830,החזר הוצ' משפטיות-כללי            
26830,533,  26830/533/3,1268305333,החזר הוצ' אכיפה מנהלית-חניה     ,11000000,11000000,11386395,2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,268,החזר הוצ' משפט' אגרות ואכיפה      ,2683,החזר הוצ' משפטיות-כללי            ,26830,החזר הוצ' משפטיות-כללי            
26900,410,  26900/410/9,1269004109,הכנסות שונות                    ,1000000,1000000,1145634,2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
26900,421,  26900/421/3,1269004213,הכנסות מפעילות הארכיון העירוני  ,10000,10000,4899,2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
26900,422,  26900/422/4,1269004224,הכנסות בגין גניזה               ,10000,10000, -   ,2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
26900,423,  26900/423/5,1269004235,הכנסות לאחזקת כיכר רבין         ,20000,20000,32700,2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
26900,424,  26900/424/6,1269004246,הכנסות ממכירת תוכנות ושירותים   ,10000,10000, -   ,2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
26900,425,  26900/425/7,1269004257,הכנסות מפעילות המשלמה ביפו      ,25000,40000,1500,2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
26900,426,  26900/426/8,1269004268,הכנסות מפרויקט כ.אשראי-תושב     ,300000,350000,571518,2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
26900,427,  26900/427/9,1269004279,הכנסות בגין פיקוח על צילומי חוץ ,85000,50000,67708,2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
26900,510,  26900/510/3,1269005103,הכנסות מדמי טיפול בגבית דמי חבר ,250000,200000,57864,2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
26900,521,  26900/521/6,1269005216,החזר ביטוח לאומי- תאונות עבודה  ,3500000,3000000,2686242,2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
26900,524,  26900/524/9,1269005249,השתתפות איכילוב במודעות דרושים  ,100000,100000,61908,2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
26900,525,  26900/525/1,1269005251,הכנסות מחב'  נס -ס' שאינו חוזר  , -   ,1300000,1320573,2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
26900,527,  26900/527/3,1269005273,החזר הוצ' חשמל מחברות פרסום     ,500000,500000,443388,2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
26900,610,  26900/610/6,1269006106,החזר שיקים-כללי                 , -   , -   ,328426,2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
,,,,,48480000,48310000,49943783,,,"26 סה""כ",,,,,,,
28100,411,  28100/411/6,1281004116,קנסות בית משפט-תכנון ובניה      ,4000000,3200000,4748745,2,תקבולים משרותים מקומיים           ,28,פקוח עירוני                       ,281,פקוח על חוקי עזר                  ,2810,פקוח על חוקי עזר                  ,28100,פקוח על חוקי עזר                  
28100,412,  28100/412/7,1281004127,קנסות בית משפט- רישוי עסקים     ,3000000,2500000,2936793,2,תקבולים משרותים מקומיים           ,28,פקוח עירוני                       ,281,פקוח על חוקי עזר                  ,2810,פקוח על חוקי עזר                  ,28100,פקוח על חוקי עזר                  
28100,413,  28100/413/8,1281004138,קנסות בית משפט-חוקי עזר         ,500000,500000,614888,2,תקבולים משרותים מקומיים           ,28,פקוח עירוני                       ,281,פקוח על חוקי עזר                  ,2810,פקוח על חוקי עזר                  ,28100,פקוח על חוקי עזר                  
28100,415,  28100/415/1,1281004151,קנסות ברירת קנס-לאחר משפט       ,500000,1000000,1207297,2,תקבולים משרותים מקומיים           ,28,פקוח עירוני                       ,281,פקוח על חוקי עזר                  ,2810,פקוח על חוקי עזר                  ,28100,פקוח על חוקי עזר                  
28100,416,  28100/416/2,1281004162,קנסות בגין חוקי עזר-ברירת משפט  ,6000000,6000000,6268327,2,תקבולים משרותים מקומיים           ,28,פקוח עירוני                       ,281,פקוח על חוקי עזר                  ,2810,פקוח על חוקי עזר                  ,28100,פקוח על חוקי עזר                  
28100,417,  28100/417/3,1281004173,קנסות בגין ח.עזר-ב.משפט-לאחר אכי,7000000,7000000,6249773,2,תקבולים משרותים מקומיים           ,28,פקוח עירוני                       ,281,פקוח על חוקי עזר                  ,2810,פקוח על חוקי עזר                  ,28100,פקוח על חוקי עזר                  
28100,421,  28100/421/8,1281004218,קנסות בית משפט כללי-אכיפה מינהלי,400000,1000000,533432,2,תקבולים משרותים מקומיים           ,28,פקוח עירוני                       ,281,פקוח על חוקי עזר                  ,2810,פקוח על חוקי עזר                  ,28100,פקוח על חוקי עזר                  
28200,560,  28200/560/7,1282005607,החזרת הוצאות משפט ודמי עקול     ,25000,10000,2501,2,תקבולים משרותים מקומיים           ,28,פקוח עירוני                       ,282,בית משפט העירוני                  ,2820,בית משפט העירוני                  ,28200,בית משפט העירוני                  
28300,210,  28300/210/4,1283002104,אגרת רשיונות ודמי חסון לכלבים   ,1500000,1500000,1438928,2,תקבולים משרותים מקומיים           ,28,פקוח עירוני                       ,283,הכנסות משרותים וטרינריים          ,2830,הכנסות משרותים וטרינריים          ,28300,הכנסות משרותים וטרינריים          
28300,220,  28300/220/6,1283002206,מלחמה בכלבת הסגר כלבים          ,50000,50000,57238,2,תקבולים משרותים מקומיים           ,28,פקוח עירוני                       ,283,הכנסות משרותים וטרינריים          ,2830,הכנסות משרותים וטרינריים          ,28300,הכנסות משרותים וטרינריים          
28300,411,  28300/411/2,1283004112,בשר קפוא                        ,1100000,1500000,1364663,2,תקבולים משרותים מקומיים           ,28,פקוח עירוני                       ,283,הכנסות משרותים וטרינריים          ,2830,הכנסות משרותים וטרינריים          ,28300,הכנסות משרותים וטרינריים          
28300,412,  28300/412/3,1283004123,בשר טרי                         ,150000,150000,135659,2,תקבולים משרותים מקומיים           ,28,פקוח עירוני                       ,283,הכנסות משרותים וטרינריים          ,2830,הכנסות משרותים וטרינריים          ,28300,הכנסות משרותים וטרינריים          
28300,420,  28300/420/3,1283004203,דמי בדיקת דגים                  ,1300000,1500000,1509101,2,תקבולים משרותים מקומיים           ,28,פקוח עירוני                       ,283,הכנסות משרותים וטרינריים          ,2830,הכנסות משרותים וטרינריים          ,28300,הכנסות משרותים וטרינריים          
28300,620,  28300/620/9,1283006209,אגרת בדיקת עופות                ,4000000,3000000,4663345,2,תקבולים משרותים מקומיים           ,28,פקוח עירוני                       ,283,הכנסות משרותים וטרינריים          ,2830,הכנסות משרותים וטרינריים          ,28300,הכנסות משרותים וטרינריים          
,,,,,29525000,28910000,31730690,,,"28 סה""כ",,,,,,,
29000,411,  29000/411/7,1290004117,דמי היתר- כסאות מרגוע בחופי-ים  ,260000,300000,224138,2,תקבולים משרותים מקומיים           ,29,חופי-ים ובריכות שחיה              ,290,חופי-ים ובריכות שחיה              ,2900,חופי-ים ובריכות שחיה              ,29000,חופי-ים ובריכות שחיה              
29000,416,  29000/416/3,1290004163,דמי כניסה-חוף הצוק              ,810000,805000,811800,2,תקבולים משרותים מקומיים           ,29,חופי-ים ובריכות שחיה              ,290,חופי-ים ובריכות שחיה              ,2900,חופי-ים ובריכות שחיה              ,29000,חופי-ים ובריכות שחיה              
29000,417,  29000/417/4,1290004174,הכנסות מקנסות על נהיגה בחופי ים , -   ,5000, -   ,2,תקבולים משרותים מקומיים           ,29,חופי-ים ובריכות שחיה              ,290,חופי-ים ובריכות שחיה              ,2900,חופי-ים ובריכות שחיה              ,29000,חופי-ים ובריכות שחיה              
29000,961,  29000/961/5,1290009615,השתת התמ ת-הדרכת מצילים-סעיף שאי, -   , -   ,20000,2,תקבולים משרותים מקומיים           ,29,חופי-ים ובריכות שחיה              ,290,חופי-ים ובריכות שחיה              ,2900,חופי-ים ובריכות שחיה              ,29000,חופי-ים ובריכות שחיה              
,,,,,1070000,1110000,1055938,,,"29 סה""כ",,,,,,,
,,,,,182735000,195190000,212028710,"2 סה""כ",,,,,,,,,
31110,422,  31110/422/4,1311104224,הכנסות תמלוגים מספרים           ,25000,33000,57316,3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,311,מנהל החינוך                       ,3111,הכנסות שונות                      ,31110,הכנסות שונות                      
31110,423,  31110/423/5,1311104235,החזר מהורים-ביטוח תלמידים       ,1350000,1300000,1487457,3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,311,מנהל החינוך                       ,3111,הכנסות שונות                      ,31110,הכנסות שונות                      
31110,424,  31110/424/6,1311104246,השתת' גורמי חוץ במימון משלחות   ,50000,50000,59845,3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,311,מנהל החינוך                       ,3111,הכנסות שונות                      ,31110,הכנסות שונות                      
31110,591,  31110/591/2,1311105912,השתתפות מקרנות-לפרסים ומלגות    ,255000,252000,261000,3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,311,מנהל החינוך                       ,3111,הכנסות שונות                      ,31110,הכנסות שונות                      
31110,593,  31110/593/4,1311105934,השתתפות מקרן מורשה-ס' שאינו חוזר, -   ,1300000,2515752,3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,311,מנהל החינוך                       ,3111,הכנסות שונות                      ,31110,הכנסות שונות                      
31110,741,  31110/741/7,1311107417,השתתפות מפעל הפיס               , -   , -   ,73526,3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,311,מנהל החינוך                       ,3111,הכנסות שונות                      ,31110,הכנסות שונות                      
31120,921,  31120/921/6,1311209216,השתת' ממשלה באבטחת מוסדות חנוך  ,8400000,7800000,7677023,3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,311,מנהל החינוך                       ,3112,אבטחת מוסדות חינוך                ,31120,אבטחת מוסדות חינוך                
31120,922,  31120/922/7,1311209227,קציני ביטחון                    ,1000000,890000,906198,3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,311,מנהל החינוך                       ,3112,אבטחת מוסדות חינוך                ,31120,אבטחת מוסדות חינוך                
31220,921,  31220/921/4,1312209214,השתת' משה ח בשכר עוזרות לגננות  ,20500000,17900000,18583912,3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,312,הכנסות לחינוך קדם יסודי           ,3122,גני ילדים גיל חובה                ,31220,גני ילדים גיל חובה                
31220,922,  31220/922/5,1312209225,השתת' משה ח באגרת חמרים         ,180000,175000,56942,3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,312,הכנסות לחינוך קדם יסודי           ,3122,גני ילדים גיל חובה                ,31220,גני ילדים גיל חובה                
