,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
 פרק  ,סעיף,סעיף תקציבי,שם סעיף                         ,   תקציב חדש   2011 ,תקן חדש 2011,   תקציב ישן   2010 ,תקן ישן 2010,   הוצאה בפועל 2009 ,מספר חלק,שם חלק                            ,מספר פרק,שם פרק                            ,מספר פרק משנה,שם פרק משנה                       ,מספר פרק עזר,שם פרק עזר                        ,מספר פרק עזר משנה,שם פרק עזר משנה                   
22400,211,22400/211/9,אגרת שרותי כבוי-אש              ,"  3,600,000 ",0,"  3,500,000 ",0,"  3,794,080 ",2,תקבולים משרותים מקומיים           ,22,שמירה ובטחון                      ,224,כבוי-אש                           ,2240,כבוי-אש                           ,22400,כבוי-אש                           
22400,212,22400/212/1,בקורת ציוד וחוות דעת בטיחותית   ,"  3,000,000 ",0,"  3,000,000 ",0,"  3,170,283 ",2,תקבולים משרותים מקומיים           ,22,שמירה ובטחון                      ,224,כבוי-אש                           ,2240,כבוי-אש                           ,22400,כבוי-אש                           
22400,213,22400/213/2,שונות                           ,"  50,000 ",0,"  100,000 ",0,"  40,318 ",2,תקבולים משרותים מקומיים           ,22,שמירה ובטחון                      ,224,כבוי-אש                           ,2240,כבוי-אש                           ,22400,כבוי-אש                           
22400,910,22400/910/2,השתתפות הממשלה בכבוי-אש         ,"  13,500,000 ",0,"  13,280,000 ",0,"  13,483,683 ",2,תקבולים משרותים מקומיים           ,22,שמירה ובטחון                      ,224,כבוי-אש                           ,2240,כבוי-אש                           ,22400,כבוי-אש                           
,,,,"  20,620,000 ",0,"  20,320,000 ",0,"  20,985,102 ",,,"22 סה""כ",,,,,,,
23100,411,23100/411/2,סמוני קו ועבודות מדידה          ,"  350,000 ",0,"  350,000 ",0,"  455,453 ",2,תקבולים משרותים מקומיים           ,23,מינהל הנדסה                       ,231,תכנון ובנין עיר                   ,2310,תכנון ובנין עיר                   ,23100,תכנון ובנין עיר                   
23100,415,23100/415/6,שרותים שונים                    ,"  1,000,000 ",0,"  800,000 ",0,"  848,698 ",2,תקבולים משרותים מקומיים           ,23,מינהל הנדסה                       ,231,תכנון ובנין עיר                   ,2310,תכנון ובנין עיר                   ,23100,תכנון ובנין עיר                   
23100,421,23100/421/4,הכנסות ממכירת חוברות ופרסומים   ,"  10,000 ",0,"  10,000 ",0,"  6,895 ",2,תקבולים משרותים מקומיים           ,23,מינהל הנדסה                       ,231,תכנון ובנין עיר                   ,2310,תכנון ובנין עיר                   ,23100,תכנון ובנין עיר                   
23100,422,23100/422/5,הכנסות מהפקת תוכניות לגו ח      ,"  30,000 ",0,"  30,000 ",0,"  30,428 ",2,תקבולים משרותים מקומיים           ,23,מינהל הנדסה                       ,231,תכנון ובנין עיר                   ,2310,תכנון ובנין עיר                   ,23100,תכנון ובנין עיר                   
23100,423,23100/423/6,הכנסות מהחזרי הוצ' דואר         ,"  70,000 ",0,"  70,000 ",0,"  97,198 ",2,תקבולים משרותים מקומיים           ,23,מינהל הנדסה                       ,231,תכנון ובנין עיר                   ,2310,תכנון ובנין עיר                   ,23100,תכנון ובנין עיר                   
23100,424,23100/424/7,הכנסות ממכירת תיקי מידע והגשה   ,"  20,000 ",0,"  20,000 ",0,"  21,246 ",2,תקבולים משרותים מקומיים           ,23,מינהל הנדסה                       ,231,תכנון ובנין עיר                   ,2310,תכנון ובנין עיר                   ,23100,תכנון ובנין עיר                   
23100,810,23100/810/4,הריסת מבנים מסוכנים             ,"  500,000 ",0,"  500,000 ",0,"  533,213 ",2,תקבולים משרותים מקומיים           ,23,מינהל הנדסה                       ,231,תכנון ובנין עיר                   ,2310,תכנון ובנין עיר                   ,23100,תכנון ובנין עיר                   
23300,210,23300/210/9,אגרת רשיונות בניה               ,"  20,000,000 ",0,"  18,000,000 ",0,"  21,849,555 ",2,תקבולים משרותים מקומיים           ,23,מינהל הנדסה                       ,233,רשוי ופקוח על הבניה               ,2330,רשוי ופקוח על הבניה               ,23300,רשוי ופקוח על הבניה               
23300,310,23300/310/3,היטל השבחה                      ,"  35,000,000 ",0,"  21,000,000 ",0,  -   ,2,תקבולים משרותים מקומיים           ,23,מינהל הנדסה                       ,233,רשוי ופקוח על הבניה               ,2330,רשוי ופקוח על הבניה               ,23300,רשוי ופקוח על הבניה               
23300,422,23300/422/1,הכנסות מצילום מסמכים בגנזך      ,"  300,000 ",0,"  300,000 ",0,"  574,386 ",2,תקבולים משרותים מקומיים           ,23,מינהל הנדסה                       ,233,רשוי ופקוח על הבניה               ,2330,רשוי ופקוח על הבניה               ,23300,רשוי ופקוח על הבניה               
23400,216,23400/216/4,השתת' בתכנון ורה-פרצלציה        ,"  335,000 ",0,"  400,000 ",0,"  515,325 ",2,תקבולים משרותים מקומיים           ,23,מינהל הנדסה                       ,234,תכנון ופיקוח                      ,2340,תכנון ופיקוח                      ,23400,תכנון ופיקוח                      
,,,,"  57,615,000 ",0,"  41,480,000 ",0,"  24,932,397 ",,,"23 סה""כ",,,,,,,
24100,421,24100/421/3,הכנסות מעבודות שונות            ,"  50,000 ",0,"  50,000 ",0,"  63,760 ",2,תקבולים משרותים מקומיים           ,24,בינוי ותשתית                      ,241,נכסים ציבוריים- כללי              ,2410,נכסים ציבוריים- כללי              ,24100,נכסים ציבוריים- כללי              
24200,810,24200/810/1,היטל סלילת כבישים               ,"  14,500,000 ",0,"  24,000,000 ",0,  -   ,2,תקבולים משרותים מקומיים           ,24,בינוי ותשתית                      ,242,דרכים ומדרכות                     ,2420,דרכים ומדרכות                     ,24200,דרכים ומדרכות                     
24200,820,24200/820/3,רצוף מדרכות                     ,"  4,800,000 ",0,"  8,000,000 ",0,  -   ,2,תקבולים משרותים מקומיים           ,24,בינוי ותשתית                      ,242,דרכים ומדרכות                     ,2420,דרכים ומדרכות                     ,24200,דרכים ומדרכות                     
24400,421,24400/421/6,הכנסות  מעבודות שונות           ,"  10,000 ",0,"  5,000 ",0,"  3,412 ",2,תקבולים משרותים מקומיים           ,24,בינוי ותשתית                      ,244,תנועה                             ,2440,תנועה                             ,24400,תנועה                             
24400,991,24400/991/8,השת' משרד התחבורה-זהירות בדרכים ,"  300,000 ",0,"  300,000 ",0,"  1,110,445 ",2,תקבולים משרותים מקומיים           ,24,בינוי ותשתית                      ,244,תנועה                             ,2440,תנועה                             ,24400,תנועה                             
24500,810,24500/810/4,היטל תיעול                      ,"  800,000 ",0,"  2,000,000 ",0,  -   ,2,תקבולים משרותים מקומיים           ,24,בינוי ותשתית                      ,245,תעול וניקוז                       ,2450,תעול וניקוז                       ,24500,תעול וניקוז                       
24600,422,24600/422/3,הכנסות מהחזר הוצ' שמירה-נחלת בני,"  350,000 ",0,"  200,000 ",0,"  454,524 ",2,תקבולים משרותים מקומיים           ,24,בינוי ותשתית                      ,246,שיפור פני העיר                    ,2460,שיפור פני העיר                    ,24600,שיפור פני העיר                    
24600,423,24600/423/4,הכנסות מביצוע עבודות שונות      ,"  70,000 ",0,"  65,000 ",0,"  45,154 ",2,תקבולים משרותים מקומיים           ,24,בינוי ותשתית                      ,246,שיפור פני העיר                    ,2460,שיפור פני העיר                    ,24600,שיפור פני העיר                    
,,,,"  20,880,000 ",0,"  34,620,000 ",0,"  1,677,295 ",,,"24 סה""כ",,,,,,,
26710,521,26710/521/7,הכנסות מעמלת גביה-אגרות מים וביו,"  14,000,000 ",0,  -   ,0,  -   ,2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,267,החזרים מתאגיד המים                ,2671,החזר  כללי בגין גבייה             ,26710,החזר  כללי בגין גבייה             
26710,522,26710/522/8,הכנסות מעמלת גביה-היטלי פיתוח   ,"  2,000,000 ",0,  -   ,0,  -   ,2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,267,החזרים מתאגיד המים                ,2671,החזר  כללי בגין גבייה             ,26710,החזר  כללי בגין גבייה             
26710,523,26710/523/9,החזר הוצאות מתאגיד המים         ,"  15,200,000 ",0,  -   ,0,  -   ,2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,267,החזרים מתאגיד המים                ,2671,החזר  כללי בגין גבייה             ,26710,החזר  כללי בגין גבייה             
26810,531,26810/531/7,החזר הוצ' משפטיות-שירות משפטי   ,"  500,000 ",0,"  500,000 ",0,"  862,061 ",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,268,החזר הוצ' משפט' אגרות ואכיפה      ,2681,החזר הוצ' משפטיות-שירות משפטי     ,26810,החזר הוצ' משפטיות-שירות משפטי     
26820,531,26820/531/4,החזר הוצ' משפטיות-עו ד          ,"  300,000 ",0,"  300,000 ",0,"  222,609 ",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,268,החזר הוצ' משפט' אגרות ואכיפה      ,2682,החזר הוצ' משפטיות-ארנונה ומים     ,26820,החזר הוצ' משפטיות-ארנונה ומים     
26820,532,26820/532/5,החזר הוצ' משפטיות-אגרות         ,"  900,000 ",0,"  2,900,000 ",0,"  55,566 ",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,268,החזר הוצ' משפט' אגרות ואכיפה      ,2682,החזר הוצ' משפטיות-ארנונה ומים     ,26820,החזר הוצ' משפטיות-ארנונה ומים     
26820,533,26820/533/6,החזר הוצ' אכיפה מנהלית          ,"  3,000,000 ",0,"  3,000,000 ",0,"  705,663 ",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,268,החזר הוצ' משפט' אגרות ואכיפה      ,2682,החזר הוצ' משפטיות-ארנונה ומים     ,26820,החזר הוצ' משפטיות-ארנונה ומים     
26820,535,26820/535/8,הכנסות מהחזר גבית עמלות בנקים   ,"  70,000 ",0,  -   ,0,"  78,976 ",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,268,החזר הוצ' משפט' אגרות ואכיפה      ,2682,החזר הוצ' משפטיות-ארנונה ומים     ,26820,החזר הוצ' משפטיות-ארנונה ומים     
26830,531,26830/531/1,החזר הוצ' משפטיות-אגרות-אגף אגד ,"  900,000 ",0,"  900,000 ",0,"  719,790 ",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,268,החזר הוצ' משפט' אגרות ואכיפה      ,2683,החזר הוצ' משפטיות-כללי            ,26830,החזר הוצ' משפטיות-כללי            
26830,532,26830/532/2,החזר הוצ' משפטיות-עו ד-אגף אגד ש,"  1,200,000 ",0,"  1,200,000 ",0,"  1,153,590 ",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,268,החזר הוצ' משפט' אגרות ואכיפה      ,2683,החזר הוצ' משפטיות-כללי            ,26830,החזר הוצ' משפטיות-כללי            
26830,533,26830/533/3,החזר הוצ' אכיפה מנהלית-חניה     ,"  13,000,000 ",0,"  15,000,000 ",0,"  24,397,040 ",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,268,החזר הוצ' משפט' אגרות ואכיפה      ,2683,החזר הוצ' משפטיות-כללי            ,26830,החזר הוצ' משפטיות-כללי            
26830,534,26830/534/4,החזר הוצ' משפטיות-סעיף שאינו חוז,  -   ,0,"  10,000 ",0,  -   ,2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,268,החזר הוצ' משפט' אגרות ואכיפה      ,2683,החזר הוצ' משפטיות-כללי            ,26830,החזר הוצ' משפטיות-כללי            
26900,410,26900/410/9,הכנסות שונות                    ,"  1,000,000 ",0,"  970,000 ",0,"  391,149 ",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
26900,421,26900/421/3,הכנסות מפעילות הארכיון העירוני  ,"  10,000 ",0,"  10,000 ",0,"  9,803 ",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
26900,422,26900/422/4,הכנסות בגין גניזה               ,"  10,000 ",0,"  10,000 ",0,"  7,900 ",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
26900,423,26900/423/5,הכנסות לאחזקת כיכר רבין         ,"  50,000 ",0,"  50,000 ",0,"  25,100 ",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
26900,424,26900/424/6,הכנסות ממכירת תוכנות ושירותים   ,"  10,000 ",0,"  10,000 ",0,"  4,000 ",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
26900,425,26900/425/7,הכנסות מפעילות המשלמה ביפו      ,"  40,000 ",0,"  40,000 ",0,"  111,826 ",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
26900,426,26900/426/8,הכנסות מפרויקט כ.אשראי-תושב     ,"  500,000 ",0,"  1,000,000 ",0,  -   ,2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
26900,427,26900/427/9,הכנסות בגין פיקוח על צילומי חוץ ,"  20,000 ",0,  -   ,0,  -   ,2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
26900,521,26900/521/6,החזר ביטוח לאומי- תאונות עבודה  ,"  2,500,000 ",0,"  2,100,000 ",0,"  2,625,318 ",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
26900,524,26900/524/9,השתתפות איכילוב במודעות דרושים  ,"  100,000 ",0,"  100,000 ",0,"  95,101 ",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
26900,525,26900/525/1,הכנסות מחב'  נס                 ,"  1,200,000 ",0,"  1,200,000 ",0,"  1,145,829 ",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
26900,527,26900/527/3,החזר הוצ' חשמל מחברות פרסום     ,"  500,000 ",0,  -   ,0,  -   ,2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
26900,541,26900/541/1,החזרים מחברות בטוח              ,  -   ,0,  -   ,0,  -   ,2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
26900,610,26900/610/6,החזר שיקים-כללי                 ,  -   ,0,  -   ,0,"  -508,127 ",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
,,,,"  57,010,000 ",0,"  29,300,000 ",0,"  32,103,194 ",,,"26 סה""כ",,,,,,,
28100,411,28100/411/6,קנסות בית משפט-תכנון ובניה      ,"  2,500,000 ",0,"  2,000,000 ",0,"  2,564,966 ",2,תקבולים משרותים מקומיים           ,28,פקוח עירוני                       ,281,פקוח על חוקי עזר                  ,2810,פקוח על חוקי עזר                  ,28100,פקוח על חוקי עזר                  
28100,412,28100/412/7,קנסות בית משפט- רישוי עסקים     ,"  2,500,000 ",0,"  2,000,000 ",0,"  2,843,512 ",2,תקבולים משרותים מקומיים           ,28,פקוח עירוני                       ,281,פקוח על חוקי עזר                  ,2810,פקוח על חוקי עזר                  ,28100,פקוח על חוקי עזר                  
28100,413,28100/413/8,קנסות בית משפט-חוקי עזר         ,"  500,000 ",0,"  500,000 ",0,"  790,059 ",2,תקבולים משרותים מקומיים           ,28,פקוח עירוני                       ,281,פקוח על חוקי עזר                  ,2810,פקוח על חוקי עזר                  ,28100,פקוח על חוקי עזר                  
28100,415,28100/415/1,קנסות ברירת קנס-לאחר משפט       ,"  1,000,000 ",0,"  1,500,000 ",0,"  1,671,269 ",2,תקבולים משרותים מקומיים           ,28,פקוח עירוני                       ,281,פקוח על חוקי עזר                  ,2810,פקוח על חוקי עזר                  ,28100,פקוח על חוקי עזר                  
28100,416,28100/416/2,קנסות בגין חוקי עזר-ברירת משפט  ,"  5,500,000 ",0,"  5,500,000 ",0,"  5,982,117 ",2,תקבולים משרותים מקומיים           ,28,פקוח עירוני                       ,281,פקוח על חוקי עזר                  ,2810,פקוח על חוקי עזר                  ,28100,פקוח על חוקי עזר                  
28100,417,28100/417/3,קנסות בגין ח.עזר-ב.משפט-לאחר אכי,"  6,000,000 ",0,"  6,000,000 ",0,"  6,042,237 ",2,תקבולים משרותים מקומיים           ,28,פקוח עירוני                       ,281,פקוח על חוקי עזר                  ,2810,פקוח על חוקי עזר                  ,28100,פקוח על חוקי עזר                  
28100,421,28100/421/8,קנסות בית משפט כללי-אכיפה מינהלי,"  1,000,000 ",0,"  1,000,000 ",0,"  1,139,077 ",2,תקבולים משרותים מקומיים           ,28,פקוח עירוני                       ,281,פקוח על חוקי עזר                  ,2810,פקוח על חוקי עזר                  ,28100,פקוח על חוקי עזר                  
28200,560,28200/560/7,החזרת הוצאות משפט ודמי עקול     ,"  10,000 ",0,"  10,000 ",0,"  15,010 ",2,תקבולים משרותים מקומיים           ,28,פקוח עירוני                       ,282,בית משפט העירוני                  ,2820,בית משפט העירוני                  ,28200,בית משפט העירוני                  
28300,210,28300/210/4,אגרת רשיונות ודמי חסון לכלבים   ,"  1,450,000 ",0,"  1,400,000 ",0,"  1,430,591 ",2,תקבולים משרותים מקומיים           ,28,פקוח עירוני                       ,283,הכנסות משרותים וטרינריים          ,2830,הכנסות משרותים וטרינריים          ,28300,הכנסות משרותים וטרינריים          
28300,220,28300/220/6,מלחמה בכלבת הסגר כלבים          ,"  50,000 ",0,"  50,000 ",0,"  50,086 ",2,תקבולים משרותים מקומיים           ,28,פקוח עירוני                       ,283,הכנסות משרותים וטרינריים          ,2830,הכנסות משרותים וטרינריים          ,28300,הכנסות משרותים וטרינריים          
28300,411,28300/411/2,בשר קפוא                        ,"  1,300,000 ",0,"  1,200,000 ",0,"  1,187,400 ",2,תקבולים משרותים מקומיים           ,28,פקוח עירוני                       ,283,הכנסות משרותים וטרינריים          ,2830,הכנסות משרותים וטרינריים          ,28300,הכנסות משרותים וטרינריים          
28300,412,28300/412/3,בשר טרי                         ,"  150,000 ",0,"  100,000 ",0,"  61,627 ",2,תקבולים משרותים מקומיים           ,28,פקוח עירוני                       ,283,הכנסות משרותים וטרינריים          ,2830,הכנסות משרותים וטרינריים          ,28300,הכנסות משרותים וטרינריים          
