11000,121,  11000/121/8,גביה שוטפת-מגורים               ,"720,000,000","670,000,000","673,211,773",1,מיסים                             ,11,ארנונות                           ,110,ארנונות                           ,1100,ארנונות                           ,11000,ארנונות                           
23300,310,  23300/310/3,היטל השבחה                      ,"29,000,000","30,000,000",  -   ,2,תקבולים משרותים מקומיים           ,23,מינהל הנדסה                       ,233,רשוי ופקוח על הבניה               ,2330,רשוי ופקוח על הבניה               ,23300,רשוי ופקוח על הבניה               
23300,422,  23300/422/1,הכנסות מצילום מסמכים בגנזך      ,"500,000","500,000","561,424",2,תקבולים משרותים מקומיים           ,23,מינהל הנדסה                       ,233,רשוי ופקוח על הבניה               ,2330,רשוי ופקוח על הבניה               ,23300,רשוי ופקוח על הבניה               
23400,216,  23400/216/4,השתת' בתכנון ורה-פרצלציה        ,"100,000","300,000","69,913",2,תקבולים משרותים מקומיים           ,23,מינהל הנדסה                       ,234,תכנון ופיקוח                      ,2340,תכנון ופיקוח                      ,23400,תכנון ופיקוח                      
,,,,"63,840,000","62,500,000","45,984,916",,,"23 סה""כ",,,,,,,
24100,421,  24100/421/3,הכנסות מעבודות שונות            ,"10,000","50,000","13,739",2,תקבולים משרותים מקומיים           ,24,בינוי ותשתית                      ,241,נכסים ציבוריים- כללי              ,2410,נכסים ציבוריים- כללי              ,24100,נכסים ציבוריים- כללי              
24200,810,  24200/810/1,היטל סלילת כבישים               ,"16,000,000","18,500,000",  -   ,2,תקבולים משרותים מקומיים           ,24,בינוי ותשתית                      ,242,דרכים ומדרכות                     ,2420,דרכים ומדרכות                     ,24200,דרכים ומדרכות                     
24200,820,  24200/820/3,רצוף מדרכות                     ,"5,200,000","6,000,000",  -   ,2,תקבולים משרותים מקומיים           ,24,בינוי ותשתית                      ,242,דרכים ומדרכות                     ,2420,דרכים ומדרכות                     ,24200,דרכים ומדרכות                     
24400,421,  24400/421/6,הכנסות  מעבודות שונות           ,"10,000","10,000","2,781",2,תקבולים משרותים מקומיים           ,24,בינוי ותשתית                      ,244,תנועה                             ,2440,תנועה                             ,24400,תנועה                             
24400,991,  24400/991/8,השת' משרד התחבורה-מרכזי הדרכה   ,"300,000","300,000","239,062",2,תקבולים משרותים מקומיים           ,24,בינוי ותשתית                      ,244,תנועה                             ,2440,תנועה                             ,24400,תנועה                             
24400,992,  24400/992/9,השתתפות מ. התחבורה- מטה בטיחות  ,"600,000","600,000","889,111",2,תקבולים משרותים מקומיים           ,24,בינוי ותשתית                      ,244,תנועה                             ,2440,תנועה                             ,24400,תנועה                             
24500,810,  24500/810/4,היטל תיעול                      ,"800,000","800,000",  -   ,2,תקבולים משרותים מקומיים           ,24,בינוי ותשתית                      ,245,תעול וניקוז                       ,2450,תעול וניקוז                       ,24500,תעול וניקוז                       
24600,422,  24600/422/3,הכנסות מהחזר הוצ' שמירה-נחלת בני,"450,000","350,000","470,106",2,תקבולים משרותים מקומיים           ,24,בינוי ותשתית                      ,246,שיפור פני העיר                    ,2460,שיפור פני העיר                    ,24600,שיפור פני העיר                    
24600,423,  24600/423/4,הכנסות מביצוע עבודות שונות      ,"70,000","70,000","76,579",2,תקבולים משרותים מקומיים           ,24,בינוי ותשתית                      ,246,שיפור פני העיר                    ,2460,שיפור פני העיר                    ,24600,שיפור פני העיר                    
,,,,"23,440,000","26,680,000","1,691,378",,,"24 סה""כ",,,,,,,
26710,521,  26710/521/7,הכנסות מעמלת גביה-אגרות מים וביו,"17,000,000","16,000,000","14,980,767",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,267,החזרים מתאגיד המים                ,2671,החזר  כללי בגין גבייה             ,26710,החזר  כללי בגין גבייה             
26710,522,  26710/522/8,הכנסות מעמלת גביה-היטלי פיתוח   ,"4,500,000","4,500,000","6,593,171",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,267,החזרים מתאגיד המים                ,2671,החזר  כללי בגין גבייה             ,26710,החזר  כללי בגין גבייה             
26710,523,  26710/523/9,החזר הוצאות מתאגיד המים         ,"2,400,000","2,350,000","2,896,684",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,267,החזרים מתאגיד המים                ,2671,החזר  כללי בגין גבייה             ,26710,החזר  כללי בגין גבייה             
26810,531,  26810/531/7,החזר הוצ' משפטיות-שירות משפטי   ,"1,200,000","600,000","2,598,639",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,268,החזר הוצ' משפט' אגרות ואכיפה      ,2681,החזר הוצ' משפטיות-שירות משפטי     ,26810,החזר הוצ' משפטיות-שירות משפטי     
26820,531,  26820/531/4,החזר הוצ' משפטיות-עו ד          ,"300,000","300,000","649,447",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,268,החזר הוצ' משפט' אגרות ואכיפה      ,2682,החזר הוצ' משפטיות-ארנונה ומים     ,26820,החזר הוצ' משפטיות-ארנונה ומים     
26820,532,  26820/532/5,החזר הוצ' משפטיות-אגרות         ,"300,000","900,000","351,818",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,268,החזר הוצ' משפט' אגרות ואכיפה      ,2682,החזר הוצ' משפטיות-ארנונה ומים     ,26820,החזר הוצ' משפטיות-ארנונה ומים     
26820,533,  26820/533/6,החזר הוצ' אכיפה מנהלית          ,"5,400,000","4,600,000","10,103,598",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,268,החזר הוצ' משפט' אגרות ואכיפה      ,2682,החזר הוצ' משפטיות-ארנונה ומים     ,26820,החזר הוצ' משפטיות-ארנונה ומים     
26820,535,  26820/535/8,הכנסות מהחזר גבית עמלות בנקים   ,"70,000","70,000","67,370",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,268,החזר הוצ' משפט' אגרות ואכיפה      ,2682,החזר הוצ' משפטיות-ארנונה ומים     ,26820,החזר הוצ' משפטיות-ארנונה ומים     
26830,531,  26830/531/1,החזר הוצ' משפטיות-אגרות-אגף אגד ,"500,000","900,000","870,829",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,268,החזר הוצ' משפט' אגרות ואכיפה      ,2683,החזר הוצ' משפטיות-כללי            ,26830,החזר הוצ' משפטיות-כללי            
26830,532,  26830/532/2,החזר הוצ' משפטיות-עו ד-אגף אגד ש,"1,450,000","1,450,000","1,480,120",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,268,החזר הוצ' משפט' אגרות ואכיפה      ,2683,החזר הוצ' משפטיות-כללי            ,26830,החזר הוצ' משפטיות-כללי            
26830,533,  26830/533/3,החזר הוצ' אכיפה מנהלית-חניה     ,"11,000,000","11,000,000","11,889,667",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,268,החזר הוצ' משפט' אגרות ואכיפה      ,2683,החזר הוצ' משפטיות-כללי            ,26830,החזר הוצ' משפטיות-כללי            
26900,410,  26900/410/9,הכנסות שונות                    ,"1,500,000","1,000,000","1,783,843",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
26900,421,  26900/421/3,הכנסות מפעילות הארכיון העירוני  ,"5,000","10,000","2,403",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
26900,422,  26900/422/4,הכנסות בגין גניזה               ,"15,000","10,000",  -   ,2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
26900,423,  26900/423/5,הכנסות לאחזקת כיכר רבין         ,"20,000","20,000","16,600",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
26900,424,  26900/424/6,הכנסות ממכירת תוכנות ושירותים   ,"10,000","10,000","19,170",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
26900,425,  26900/425/7,הכנסות מפעילות המשלמה ביפו      ,"20,000","25,000","9,904",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
26900,426,  26900/426/8,הכנסות מפרויקט כ.אשראי-תושב     ,"300,000","300,000","333,098",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
26900,427,  26900/427/9,הכנסות בגין פיקוח על צילומי חוץ ,"90,000","85,000","116,880",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
26900,510,  26900/510/3,הכנסות מדמי טיפול בגבית דמי חבר ,"250,000","250,000","303,594",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
26900,521,  26900/521/6,החזר ביטוח לאומי- תאונות עבודה  ,"3,800,000","3,500,000","4,078,718",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
26900,524,  26900/524/9,השתתפות איכילוב במודעות דרושים  ,"90,000","100,000","75,506",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
26900,527,  26900/527/3,החזר הוצ' חשמל מחברות פרסום     ,"600,000","500,000","561,897",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
26900,610,  26900/610/6,החזר שיקים-כללי                 ,  -   ,  -   ,"418,493",2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
26900,791,  26900/791/8,מימון פרויקטים ע י האיחוד הארופי,"220,000",  -   ,  -   ,2,תקבולים משרותים מקומיים           ,26,שרותים שונים והשתתפויות           ,269,הכנסות שונות                      ,2690,הכנסות שונות                      ,26900,הכנסות שונות                      
,,,,"51,040,000","48,480,000","60,202,216",,,"26 סה""כ",,,,,,,
28100,411,  28100/411/6,קנסות בית משפט-תכנון ובניה      ,"4,500,000","4,000,000","4,232,389",2,תקבולים משרותים מקומיים           ,28,פקוח עירוני                       ,281,פקוח על חוקי עזר                  ,2810,פקוח על חוקי עזר                  ,28100,פקוח על חוקי עזר                  
28100,412,  28100/412/7,קנסות בית משפט- רישוי עסקים     ,"3,000,000","3,000,000","3,450,024",2,תקבולים משרותים מקומיים           ,28,פקוח עירוני                       ,281,פקוח על חוקי עזר                  ,2810,פקוח על חוקי עזר                  ,28100,פקוח על חוקי עזר                  
28100,413,  28100/413/8,קנסות בית משפט-חוקי עזר         ,"500,000","500,000","482,939",2,תקבולים משרותים מקומיים           ,28,פקוח עירוני                       ,281,פקוח על חוקי עזר                  ,2810,פקוח על חוקי עזר                  ,28100,פקוח על חוקי עזר                  
28100,415,  28100/415/1,קנסות ברירת קנס-לאחר משפט       ,"500,000","500,000","872,650",2,תקבולים משרותים מקומיים           ,28,פקוח עירוני                       ,281,פקוח על חוקי עזר                  ,2810,פקוח על חוקי עזר                  ,28100,פקוח על חוקי עזר                  
28100,416,  28100/416/2,קנסות בגין חוקי עזר-ברירת משפט  ,"6,000,000","6,000,000","6,988,133",2,תקבולים משרותים מקומיים           ,28,פקוח עירוני                       ,281,פקוח על חוקי עזר                  ,2810,פקוח על חוקי עזר                  ,28100,פקוח על חוקי עזר                  
28100,417,  28100/417/3,קנסות בגין ח.עזר-ב.משפט-לאחר אכי,"7,000,000","7,000,000","5,174,151",2,תקבולים משרותים מקומיים           ,28,פקוח עירוני                       ,281,פקוח על חוקי עזר                  ,2810,פקוח על חוקי עזר                  ,28100,פקוח על חוקי עזר                  
28100,421,  28100/421/8,קנסות בית משפט כללי-אכיפה מינהלי,"400,000","400,000","325,234",2,תקבולים משרותים מקומיים           ,28,פקוח עירוני                       ,281,פקוח על חוקי עזר                  ,2810,פקוח על חוקי עזר                  ,28100,פקוח על חוקי עזר                  
28200,560,  28200/560/7,החזרת הוצאות משפט ודמי עקול     ,"30,000","25,000","86,740",2,תקבולים משרותים מקומיים           ,28,פקוח עירוני                       ,282,בית משפט העירוני                  ,2820,בית משפט העירוני                  ,28200,בית משפט העירוני                  
28300,210,  28300/210/4,אגרת רשיונות ודמי חסון לכלבים   ,"1,250,000","1,500,000","1,546,801",2,תקבולים משרותים מקומיים           ,28,פקוח עירוני                       ,283,הכנסות משרותים וטרינריים          ,2830,הכנסות משרותים וטרינריים          ,28300,הכנסות משרותים וטרינריים          
28300,220,  28300/220/6,מלחמה בכלבת הסגר כלבים          ,"30,000","50,000","59,568",2,תקבולים משרותים מקומיים           ,28,פקוח עירוני                       ,283,הכנסות משרותים וטרינריים          ,2830,הכנסות משרותים וטרינריים          ,28300,הכנסות משרותים וטרינריים          
28300,411,  28300/411/2,בשר קפוא                        ,"500,000","1,100,000","1,117,859",2,תקבולים משרותים מקומיים           ,28,פקוח עירוני                       ,283,הכנסות משרותים וטרינריים          ,2830,הכנסות משרותים וטרינריים          ,28300,הכנסות משרותים וטרינריים          
28300,412,  28300/412/3,בשר טרי                         ,"130,000","150,000","132,839",2,תקבולים משרותים מקומיים           ,28,פקוח עירוני                       ,283,הכנסות משרותים וטרינריים          ,2830,הכנסות משרותים וטרינריים          ,28300,הכנסות משרותים וטרינריים          
28300,420,  28300/420/3,דמי בדיקת דגים                  ,"1,500,000","1,300,000","1,348,408",2,תקבולים משרותים מקומיים           ,28,פקוח עירוני                       ,283,הכנסות משרותים וטרינריים          ,2830,הכנסות משרותים וטרינריים          ,28300,הכנסות משרותים וטרינריים          
28300,620,  28300/620/9,אגרת בדיקת עופות                ,"4,000,000","4,000,000","4,666,562",2,תקבולים משרותים מקומיים           ,28,פקוח עירוני                       ,283,הכנסות משרותים וטרינריים          ,2830,הכנסות משרותים וטרינריים          ,28300,הכנסות משרותים וטרינריים          
28300,991,  28300/991/6,הכנסות ממשלה-ויטרינריה          ,  -   ,  -   ,"100,000",2,תקבולים משרותים מקומיים           ,28,פקוח עירוני                       ,283,הכנסות משרותים וטרינריים          ,2830,הכנסות משרותים וטרינריים          ,28300,הכנסות משרותים וטרינריים          
,,,,"29,340,000","29,525,000","30,584,297",,,"28 סה""כ",,,,,,,
29000,411,  29000/411/7,דמי היתר- כסאות מרגוע בחופי-ים  ,"260,000","260,000","257,759",2,תקבולים משרותים מקומיים           ,29,חופי-ים ובריכות שחיה              ,290,חופי-ים ובריכות שחיה              ,2900,חופי-ים ובריכות שחיה              ,29000,חופי-ים ובריכות שחיה              
29000,416,  29000/416/3,דמי כניסה-חוף הצוק              ,"900,000","810,000","735,800",2,תקבולים משרותים מקומיים           ,29,חופי-ים ובריכות שחיה              ,290,חופי-ים ובריכות שחיה              ,2900,חופי-ים ובריכות שחיה              ,29000,חופי-ים ובריכות שחיה              
29000,961,  29000/961/5,השתת התמ ת-הדרכת מצילים-סעיף שאי,  -   ,  -   ,"10,000",2,תקבולים משרותים מקומיים           ,29,חופי-ים ובריכות שחיה              ,290,חופי-ים ובריכות שחיה              ,2900,חופי-ים ובריכות שחיה              ,29000,חופי-ים ובריכות שחיה              
,,,,"1,160,000","1,070,000","1,003,559",,,"29 סה""כ",,,,,,,
,,,,"182,800,000","182,735,000","160,731,397","2 סה""כ",,,,,,,,,
31110,422,  31110/422/4,הכנסות תמלוגים מספרים           ,"20,000","25,000","19,920",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,311,מנהל החינוך                       ,3111,הכנסות שונות                      ,31110,הכנסות שונות                      
31110,423,  31110/423/5,החזר מהורים-ביטוח תלמידים       ,"1,900,000","1,350,000","1,682,750",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,311,מנהל החינוך                       ,3111,הכנסות שונות                      ,31110,הכנסות שונות                      
31110,424,  31110/424/6,השתת' גורמי חוץ במימון משלחות   ,"50,000","50,000","59,730",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,311,מנהל החינוך                       ,3111,הכנסות שונות                      ,31110,הכנסות שונות                      
31110,591,  31110/591/2,השתתפות מקרנות-לפרסים ומלגות    ,"260,000","255,000","463,000",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,311,מנהל החינוך                       ,3111,הכנסות שונות                      ,31110,הכנסות שונות                      
31110,592,  31110/592/3,השתתפות קרן ת א-תוכנית פותחים עת,"145,000",  -   ,  -   ,3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,311,מנהל החינוך                       ,3111,הכנסות שונות                      ,31110,הכנסות שונות                      
31110,593,  31110/593/4,השתתפות מקרן מורשה-ס' שאינו חוזר,  -   ,  -   ,"1,220,000",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,311,מנהל החינוך                       ,3111,הכנסות שונות                      ,31110,הכנסות שונות                      
31110,594,  31110/594/5,השתתפות קרן ת א- כללי           ,"225,000",  -   ,  -   ,3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,311,מנהל החינוך                       ,3111,הכנסות שונות                      ,31110,הכנסות שונות                      
31110,741,  31110/741/7,השתתפות מפעל הפיס               ,  -   ,  -   ,"70,528",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,311,מנהל החינוך                       ,3111,הכנסות שונות                      ,31110,הכנסות שונות                      
31120,921,  31120/921/6,השתת' ממשלה באבטחת מוסדות חנוך  ,"8,700,000","8,400,000","8,667,279",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,311,מנהל החינוך                       ,3112,אבטחת מוסדות חינוך                ,31120,אבטחת מוסדות חינוך                
31120,922,  31120/922/7,קציני ביטחון                    ,"950,000","1,000,000","938,614",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,311,מנהל החינוך                       ,3112,אבטחת מוסדות חינוך                ,31120,אבטחת מוסדות חינוך                
31220,921,  31220/921/4,השתת' משה ח בשכר עוזרות לגננות  ,"22,200,000","20,500,000","20,006,888",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,312,הכנסות לחינוך קדם יסודי           ,3122,גני ילדים גיל חובה                ,31220,גני ילדים גיל חובה                
31220,922,  31220/922/5,השתת' משה ח באגרת חמרים         ,"180,000","180,000","173,327",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,312,הכנסות לחינוך קדם יסודי           ,3122,גני ילדים גיל חובה                ,31220,גני ילדים גיל חובה                
