,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
 פרק  ,פרק מתוקן,סעיף,סעיף מתוקן,סעיף נקי,סעיף תקציב   ,שם סעיף                         ,   תקציב חדש   2016 , תקן ח 2016 , כמות חדשה  ,   תקציב ישן   2015 , תקן י 2015 ,   הוצאה בפועל 2014 ,חלק,שם חלק                            ,פרק,שם פרק                            ,פרק משנה,שם פרק משנה                       ,פרק משנה מתוקן לקידוד המתאים,פרק עזר,שם פרק עזר                        ,פרק עזר משנה,שם פרק עזר משנה                   ,,,,
61111,61111,670,580,611116705,  61111/670/5,סעיף שאינו חוזר                 ,0,0,0,12000,0,126017,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61111,ראש העיריה וסגניו                 ,,,,
61111,61111,781,781,611117812,  61111/781/2,הוצאות שונות                    ,388000,0,0,388000,0,198242,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61111,ראש העיריה וסגניו                 ,,,,
61112,61112,110,110,611121101,  61112/110/1,משכורת כוללת                    ,2126000,14,0,2176000,14,2075585,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61112,לשכת ראש העיריה                   ,,,,
61112,61112,124,124,611121247,  61112/124/7,החזר הוצאות                     ,106000,0,0,97000,0,102520,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61112,לשכת ראש העיריה                   ,,,,
61112,61112,126,126,611121269,  61112/126/9,הבראה                           ,70000,0,0,70000,0,68515,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61112,לשכת ראש העיריה                   ,,,,
61112,61112,127,127,611121271,  61112/127/1,השתתפות באחזקת רכב-12           ,347000,0,12,352000,0,369273,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61112,לשכת ראש העיריה                   ,,,,
61112,61112,130,130,611121305,  61112/130/5,תשלומים מיוחדים                 ,150000,0,0,154000,0,148073,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61112,לשכת ראש העיריה                   ,,,,
61112,61112,181,181,611121817,  61112/181/7,מיסים וביטוח לאומי              ,420000,0,0,426000,0,419431,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61112,לשכת ראש העיריה                   ,,,,
61112,61112,182,182,611121828,  61112/182/8,קופות גמל והשתלמות              ,526000,0,0,524000,0,503318,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61112,לשכת ראש העיריה                   ,,,,
61112,61112,310,310,611123107,  61112/310/7,שעות נוספות רשומות              ,167000,0,0,164000,0,151283,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61112,לשכת ראש העיריה                   ,,,,
61112,61112,340,340,611123404,  61112/340/4,שעות נוספות מיוחדות             ,246000,0,0,241000,0,214901,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61112,לשכת ראש העיריה                   ,,,,
61112,61112,412,412,611124123,  61112/412/3,מיסים ואגרות                    ,1000,0,0,1000,0,690,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61112,לשכת ראש העיריה                   ,,,,
61112,61112,433,433,611124338,  61112/433/8,ביטוח                           ,24000,0,0,24000,0,22000,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61112,לשכת ראש העיריה                   ,,,,
61112,61112,434,434,611124349,  61112/434/9,תקוני מבנים  מתקנים ואינונטר    ,6000,0,0,6000,0,496,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61112,לשכת ראש העיריה                   ,,,,
61112,61112,439,439,611124395,  61112/439/5,אחזקת בניני העיריה-השתתפות      ,307000,0,0,352000,0,350000,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61112,לשכת ראש העיריה                   ,,,,
61112,61112,461,461,611124613,  61112/461/3,צורכי משרד                      ,39000,0,0,40000,0,19687,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61112,לשכת ראש העיריה                   ,,,,
61112,61112,462,462,611124624,  61112/462/4,ספרים ועתונים                   ,3000,0,0,3000,0,2289,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61112,לשכת ראש העיריה                   ,,,,
61112,61112,510,510,611125104,  61112/510/4,נסיעות  ואש ל                   ,15000,0,0,15000,0,13314,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61112,לשכת ראש העיריה                   ,,,,
61112,61112,521,521,611125217,  61112/521/7,הדרכה וכנסים                    ,5000,0,0,5000,0,4439,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61112,לשכת ראש העיריה                   ,,,,
61112,61112,522,522,611125228,  61112/522/8,גיבוש יחידתי                    ,3000,0,0,3000,0,3000,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61112,לשכת ראש העיריה                   ,,,,
61112,61112,531,531,611125319,  61112/531/9,אחזקת רכב                       ,6000,0,0,6000,0,2767,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61112,לשכת ראש העיריה                   ,,,,
61112,61112,533,533,611125332,  61112/533/2,שכירת רכב ורכב עירוני           ,80000,0,0,80000,0,69999,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61112,לשכת ראש העיריה                   ,,,,
61112,61112,534,534,611125343,  61112/534/3,דלק ושמן                        ,33000,0,0,33000,0,26862,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61112,לשכת ראש העיריה                   ,,,,
61112,61112,541,541,611125412,  61112/541/2,החזקת מכשירי קשר וסלולר         ,71000,0,0,71000,0,62421,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61112,לשכת ראש העיריה                   ,,,,
61112,61112,610,511,611126107,  61112/610/7,כיבודים                         ,16000,0,0,16000,0,14651,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61112,לשכת ראש העיריה                   ,,,,
61112,61112,670,580,611126701,  61112/670/1,סעיף שאינו חוזר                 ,0,0,0,20000,0,15598,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61112,לשכת ראש העיריה                   ,,,,
61112,61112,693,593,611126938,  61112/693/8,מיחשוב יחידתי                   ,22000,0,0,22000,0,18542,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61112,לשכת ראש העיריה                   ,,,,
61112,61112,781,781,611127817,  61112/781/7,הוצאות אחרות                    ,6000,0,0,6000,0,7168,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61112,לשכת ראש העיריה                   ,,,,
61112,61112,782,782,611127828,  61112/782/8,מגדר וקידום מעמד האישה          ,169000,0,0,269000,0,285987,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61112,לשכת ראש העיריה                   ,,,,
61112,61112,783,783,611127839,  61112/783/9,פעולות תרבות                    ,21000,0,0,21000,0,8402,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61112,לשכת ראש העיריה                   ,,,,
61112,61112,851,851,611128514,  61112/851/4,מגדר וקידום מעמד האישה-מוסח     ,100000,0,0,0,0,0,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61112,לשכת ראש העיריה                   ,,,,
61112,61112,932,932,611129324,  61112/932/4,ציוד ורהוט משרדי                ,5000,0,0,5000,0,3908,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61112,לשכת ראש העיריה                   ,,,,
61113,61113,110,110,611131106,  61113/110/6,משכורת כוללת                    ,4318000,37,0,3918000,37,4218290,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61113,לשכות סגני ראש העיריה ונבחרים     ,,,,
61113,61113,124,124,611131243,  61113/124/3,החזר הוצאות                     ,266000,0,0,304000,0,260922,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61113,לשכות סגני ראש העיריה ונבחרים     ,,,,
61113,61113,126,126,611131265,  61113/126/5,הבראה                           ,220000,0,0,231000,0,208721,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61113,לשכות סגני ראש העיריה ונבחרים     ,,,,
61113,61113,127,127,611131276,  61113/127/6,השתתפות באחזקת רכב -36          ,1052000,0,36,928000,0,957637,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61113,לשכות סגני ראש העיריה ונבחרים     ,,,,
61113,61113,130,130,611131301,  61113/130/1,תשלומים מיוחדים                 ,742000,0,0,649000,0,678319,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61113,לשכות סגני ראש העיריה ונבחרים     ,,,,
61113,61113,181,181,611131813,  61113/181/3,מיסים וביטוח לאומי              ,904000,0,0,879000,0,826542,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61113,לשכות סגני ראש העיריה ונבחרים     ,,,,
61113,61113,182,182,611131824,  61113/182/4,קופות גמל והשתלמות              ,781000,0,0,711000,0,705393,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61113,לשכות סגני ראש העיריה ונבחרים     ,,,,
61113,61113,230,230,611132304,  61113/230/4,משימה חולפת-5                   ,205000,0,5,578000,0,104894,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61113,לשכות סגני ראש העיריה ונבחרים     ,,,,
61113,61113,310,310,611133103,  61113/310/3,שעות נוספות רשומות              ,112000,0,0,110000,0,88751,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61113,לשכות סגני ראש העיריה ונבחרים     ,,,,
61113,61113,412,412,611134128,  61113/412/8,מיסים ואגרות                    ,3000,0,0,3000,0,1725,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61113,לשכות סגני ראש העיריה ונבחרים     ,,,,
61113,61113,433,433,611134334,  61113/433/4,ביטוח                           ,97000,0,0,98000,0,84000,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61113,לשכות סגני ראש העיריה ונבחרים     ,,,,
61113,61113,461,461,611134618,  61113/461/8,צורכי משרד                      ,5000,0,0,5000,0,4201,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61113,לשכות סגני ראש העיריה ונבחרים     ,,,,
61113,61113,510,510,611135109,  61113/510/9,נסיעות  ואש ל                   ,1000,0,0,1000,0,0,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61113,לשכות סגני ראש העיריה ונבחרים     ,,,,
61113,61113,521,521,611135213,  61113/521/3,הדרכה וכנסים                    ,20000,0,0,20000,0,13573,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61113,לשכות סגני ראש העיריה ונבחרים     ,,,,
61113,61113,522,522,611135224,  61113/522/4,גיבוש יחידתי                    ,7000,0,0,7000,0,7000,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61113,לשכות סגני ראש העיריה ונבחרים     ,,,,
61113,61113,531,531,611135315,  61113/531/5,אחזקת רכב                       ,4000,0,0,4000,0,107,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61113,לשכות סגני ראש העיריה ונבחרים     ,,,,
61113,61113,533,533,611135337,  61113/533/7,שכירת רכב ורכב עירוני           ,31000,0,0,31000,0,30435,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61113,לשכות סגני ראש העיריה ונבחרים     ,,,,
61113,61113,534,534,611135348,  61113/534/8,דלק ושמן                        ,25000,0,0,25000,0,21770,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61113,לשכות סגני ראש העיריה ונבחרים     ,,,,
61113,61113,541,541,611135417,  61113/541/7,החזקת מכשירי קשר וסלולר         ,7000,0,0,7000,0,6736,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61113,לשכות סגני ראש העיריה ונבחרים     ,,,,
61113,61113,610,511,611136103,  61113/610/3,כיבודים                         ,6000,0,0,4000,0,3998,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61113,לשכות סגני ראש העיריה ונבחרים     ,,,,
61113,61113,670,580,611136706,  61113/670/6,סעיף שאינו חוזר                 ,0,0,0,42000,0,23414,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61113,לשכות סגני ראש העיריה ונבחרים     ,,,,
61113,61113,680,580,611136808,  61113/680/8,הוצאות מיוחדות                  ,4000,0,0,4000,0,3000,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61113,לשכות סגני ראש העיריה ונבחרים     ,,,,
61113,61113,693,593,611136934,  61113/693/4,מיחשוב יחידתי                   ,15000,0,0,15000,0,25178,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61113,לשכות סגני ראש העיריה ונבחרים     ,,,,
61113,61113,751,751,611137516,  61113/751/6,עבודות ע י גו ח                 ,30000,0,0,30000,0,6000,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61113,לשכות סגני ראש העיריה ונבחרים     ,,,,
61113,61113,752,752,611137527,  61113/752/7,ייעוץ מקצועי                    ,300000,0,0,300000,0,0,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61113,לשכות סגני ראש העיריה ונבחרים     ,,,,
61113,61113,932,932,611139329,  61113/932/9,ציוד וריהוט משרדי               ,5000,0,0,5000,0,5003,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6111,ראש הרשות המקומית וסגניו          ,61113,לשכות סגני ראש העיריה ונבחרים     ,,,,
61121,61121,439,439,611214396,  61121/439/6,אחזקת בניני העיריה-השתתפות      ,1193000,0,0,1190000,0,1190000,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6112,מועצת הרשות                       ,61121,חברי המועצה                       ,,,,
61121,61121,781,781,611217818,  61121/781/8,סל שירותים לחברי מועצה          ,437000,0,0,437000,0,319406,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6112,מועצת הרשות                       ,61121,חברי המועצה                       ,,,,
61121,61121,782,782,611217829,  61121/782/9,סל ועדות עירוניות               ,40000,0,0,40000,0,18984,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6112,מועצת הרשות                       ,61121,חברי המועצה                       ,,,,
61122,61122,110,110,611221107,  61122/110/7,משכורת כוללת                    ,176000,1,0,174000,1,170381,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6112,מועצת הרשות                       ,61122,מזכירות המועצה                    ,,,,
61122,61122,124,124,611221244,  61122/124/4,החזר הוצאות                     ,6000,0,0,6000,0,6083,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6112,מועצת הרשות                       ,61122,מזכירות המועצה                    ,,,,
61122,61122,126,126,611221266,  61122/126/6,הבראה                           ,6000,0,0,6000,0,5551,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6112,מועצת הרשות                       ,61122,מזכירות המועצה                    ,,,,
61122,61122,127,127,611221277,  61122/127/7,השתתפות באחזקת רכב - 1          ,38000,0,1,35000,0,37170,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6112,מועצת הרשות                       ,61122,מזכירות המועצה                    ,,,,
61122,61122,130,130,611221302,  61122/130/2,תשלומים מיוחדים                 ,40000,0,0,39000,0,38374,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6112,מועצת הרשות                       ,61122,מזכירות המועצה                    ,,,,
61122,61122,181,181,611221814,  61122/181/4,מיסים וביטוח לאומי              ,38000,0,0,37000,0,37155,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6112,מועצת הרשות                       ,61122,מזכירות המועצה                    ,,,,
61122,61122,182,182,611221825,  61122/182/5,קופות גמל והשתלמות              ,26000,0,0,26000,0,23841,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6112,מועצת הרשות                       ,61122,מזכירות המועצה                    ,,,,
61122,61122,310,310,611223104,  61122/310/4,שעות נוספות רשומות              ,23000,0,0,23000,0,17123,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6112,מועצת הרשות                       ,61122,מזכירות המועצה                    ,,,,
61122,61122,433,433,611224335,  61122/433/5,ביטוח                           ,2000,0,0,2000,0,2000,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6112,מועצת הרשות                       ,61122,מזכירות המועצה                    ,,,,
61122,61122,461,461,611224619,  61122/461/9,צורכי משרד                      ,35000,0,0,35000,0,15811,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6112,מועצת הרשות                       ,61122,מזכירות המועצה                    ,,,,
61122,61122,462,462,611224621,  61122/462/1,ספרים ועתונים                   ,4000,0,0,4000,0,570,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6112,מועצת הרשות                       ,61122,מזכירות המועצה                    ,,,,
61122,61122,464,464,611224643,  61122/464/3,דאר                             ,2000,0,0,2000,0,89,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6112,מועצת הרשות                       ,61122,מזכירות המועצה                    ,,,,
61122,61122,610,511,611226104,  61122/610/4,כיבודים                         ,41000,0,0,41000,0,31809,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6112,מועצת הרשות                       ,61122,מזכירות המועצה                    ,,,,
61122,61122,670,580,611226707,  61122/670/7,סעיף שאינו חוזר                 ,0,0,0,4000,0,2402,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6112,מועצת הרשות                       ,61122,מזכירות המועצה                    ,,,,
61122,61122,751,751,611227517,  61122/751/7,עבודה בקבלנות                   ,127000,0,0,127000,0,42063,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6112,מועצת הרשות                       ,61122,מזכירות המועצה                    ,,,,
61122,61122,752,752,611227528,  61122/752/8,אבטחת ישיבות המועצה             ,75000,0,0,75000,0,13373,6,הנהלה כללית                       ,61,מינהל כללי                        ,611,ההנהלה והמועצה                    ,611,6112,מועצת הרשות                       ,61122,מזכירות המועצה                    ,,,,
61210,61210,110,110,612101107,  61210/110/7,משכורת כוללת                    ,1085000,5,0,1066000,5,1023517,6,הנהלה כללית                       ,61,מינהל כללי                        ,612,מבקר העיריה                       ,612,6121,הנהלה ושרותים מינהליים            ,61210,הנהלה ושרותים מינהליים            ,,,,
61210,61210,124,124,612101244,  61210/124/4,החזר הוצאות                     ,40000,0,0,40000,0,39444,6,הנהלה כללית                       ,61,מינהל כללי                        ,612,מבקר העיריה                       ,612,6121,הנהלה ושרותים מינהליים            ,61210,הנהלה ושרותים מינהליים            ,,,,
61210,61210,126,126,612101266,  61210/126/6,הבראה                           ,32000,0,0,32000,0,31940,6,הנהלה כללית                       ,61,מינהל כללי                        ,612,מבקר העיריה                       ,612,6121,הנהלה ושרותים מינהליים            ,61210,הנהלה ושרותים מינהליים            ,,,,
61210,61210,127,127,612101277,  61210/127/7,השתתפות באחזקת רכב- 5           ,183000,0,5,186000,0,176980,6,הנהלה כללית                       ,61,מינהל כללי                        ,612,מבקר העיריה                       ,612,6121,הנהלה ושרותים מינהליים            ,61210,הנהלה ושרותים מינהליים            ,,,,
