91303,מ.מ. חורה ,עסיבי חליל ,,, כולל קליטה ,חישוב תקציב יחסי :,מספר חודשים ,תמצית נתוני התקציב הרגיל מפורט -- דוח כספי לתקופה 0102 / 21 - 10 ,4/22/2013,15:18,,,
1.313203.920,"שרתים בי""ס ביאדור ",427,427,468,-41,9,,,,,,,
1.313203.921,מזכירים יסודי ,136,136,151,-15,11,,,,,,,
1.313203.922,אגרת שכפול ,17,17,23,-6,35,,,,,,,
1.313203.923,תשלום הורים -חומרים ,40,40,38,2,5,,,,,,,
1.313203.924,סייעות כיתתיות אלביאדר ,42,42,45,-3,7,,,,,,,
1.313203.925,"מנב""ס מזכירים אלביאדר ",0,0,-7,7,0,,,,,,,
1.313203.927,אגרת תלמידי חוץ -אלביאדר ,153,153,0,153,100,,,,,,,
1.313203.928,"יוח""א ביה""ס אלביאדר ",0,0,0,0,0,,,,,,,
1.313203.929,"שח""פ ביה""ס אלביאדר ",0,0,15,-15,0,,,,,,,
1.313204.920,שרתים ,260,260,289,-29,11,,,,,,,
1.313204.921,מזכירים ,80,80,92,-12,15,,,,,,,
1.313204.922,אגרת שכפול ,10,10,15,-5,50,,,,,,,
1.313204.923,תשלומי הורים חומרים ,20,20,23,-3,15,,,,,,,
1.313204.925,פדיון חופשה+ש.מ. ,0,0,0,0,0,,,,,,,
1.313204.926,פידיון חופשה- ש+מ ,0,0,0,0,0,,,,,,,
1.313204.927,אגרת תלמידי חוץ-אלאנדלוס ,50,50,0,50,100,,,,,,,
1.313204.928,"השתת' מ.חינוך-יוח""א אנדלו ",0,0,0,0,0,,,,,,,
1.313204.929,השתת' מ.חינוך שונות ,0,0,33,-33,0,,,,,,,
1.313205.920,שרתים - אלזהרא ,195,195,248,-53,27,,,,,,,
1.313205.921,מזכירים - אלזהרא ,60,60,84,-24,40,,,,,,,
1.313205.922,אגרת שכפול יסודי - אלזהרא ,0,0,13,-13,0,,,,,,,
1.313205.923,תשלומי הורים חומרים - אלזהרא,15,15,17,-2,13,,,,,,,
1.313205.924,סייעות כיתתיות - אלזהרא ,0,0,11,-11,0,,,,,,,
1.313205.925,פדיון חופשה+ש.מ ,0,0,0,0,0,,,,,,,
1.313205.927,אגרת תלמידי חוץ-אלזהרא ,30,30,0,30,100,,,,,,,
1.313205.929,השתת' מ.חינוך שונות ,0,0,56,-56,0,,,,,,,
1.313300.920,"שרתים בי""ס חינוך מיוחד ",191,191,239,-48,25,,,,,,,
1.313300.921,"מזכירים בי""ס חינוך מיוחד ",65,65,87,-22,33,,,,,,,
1.313300.922,אגרת שכפול-חינןך מיוחד ,9,9,11,-2,22,,,,,,,
1.313300.923,תש' הורים חומרים-ח.מיוחד ,6,6,6,0,0,,,,,,,
1.313300.924,"סייעות כיתתיות ח""מ ",1127,1127,1390,-263,23,,,,,,,
1.313300.925,פידיון חופשה ש+מ ,1,1,0,1,100,,,,,,,
1.313300.926,"הזנת יוח""א ח""מ ",220,220,267,-47,21,,,,,,,
1.313300.927,אגרת תלמידי חוץ ,636,636,1247,-611,96,,,,,,,
1.313300.928,השתת' מ.חינוך שונות ,0,0,21,-21,0,,,,,,,
1.313300.929,"שירותי היקף- ח""מ ",18,18,24,-6,33,,,,,,,
1.313301.920,ה.נלוות ח.מיוחד ערבי ,80,80,93,-13,16,,,,,,,
1.313301.922,"השתת' מ.חינוך הצטיידות ח""מ ",0,0,162,-162,0,,,,,,,
1.313301.926,"השתת' מ.חינוך שכ""ד ח""מ ",75,75,0,75,100,,,,,,,
1.313302.920,השתת' מ.חינוך ,0,0,17,-17,0,,,,,,,
1.313302.921,"מזכירים -בי""ס אלופפא ",0,0,11,-11,0,,,,,,,
1.313302.922,"אגרת שכפול - בי""ס אלופפא ",0,0,3,-3,0,,,,,,,
1.313302.924,סייעות כיתתיות אלופאא ,0,0,228,-228,0,,,,,,,
1.313302.929,השתת' משרד חינוך שונות ,0,0,16,-16,0,,,,,,,
1.313400.920,השתת' מ.חינוך מרכז מחוננים ,140,140,24,116,82,,,,,,,
1.313400.921,מזכירים - מחוננים ,0,0,7,-7,0,,,,,,,
1.313600.920,"שרתים-מתי""א ",43,43,66,-23,53,,,,,,,
1.313600.921,"מזכירים-מתי""א ",86,86,132,-46,53,,,,,,,
1.313600.922,"אגרת שיכפול-מתי""א ",0,0,65,-65,0,,,,,,,
1.313600.929,השתת' מ.חינוך שונות ,0,0,69,-69,0,,,,,,,
1.313700.929,השתת' משרד חינוך שונות ,0,0,0,0,0,,,,,,,
1.314000.920,"סל תלמיד חט""ב )ש+מ( ",615,615,1294,-679,110,,,,,,,
1.314000.922,"אגרת שיכפול פר תלמיד חט""ב ",0,0,0,0,0,,,,,,,
1.314000.923,"חט""ב-הורים חומרים רבין ",0,0,0,0,0,,,,,,,
1.314000.924,"חט""ב-ציוד למעבדות מחשבים ",0,0,0,0,0,,,,,,,
1.314001.920,"סל חט""ב קהילתיים ",0,0,0,0,0,,,,,,,
1.315200.920,"שכ""ל על יסודי - עמל ",2075,2075,2075,0,0,,,,,,,
1.315200.923,"תשלום הורים חומרים-חט""ב ",0,0,0,0,0,,,,,,,
1.315201.920,"שכ""ל על יסודי - עתיד אלנור ",3925,3925,3925,0,0,,,,,,,
1.315201.929,השתת' מ. חינוך כתות חכמות ,0,0,0,0,0,,,,,,,
1.315202.920,"שכ""ל על יסודי - סכנין ",1800,1800,1800,0,0,,,,,,,
1.315202.929,השתת' מ. חינוך כתות חינוך ,0,0,0,0,0,,,,,,,
1.315203.920,"רכב מנהלים בי""ס על יסודי ",0,0,0,0,0,,,,,,,
1.315203.929,השתת' מ. חינוך כתות חכמות ,0,0,0,0,0,,,,,,,
1.315204.920,"שכ""ל על יסודי - אלסלאם ",2000,2000,1387,613,30,,,,,,,
1.315204.921,"קרן השתלמות לשכ""ל ",0,0,62,-62,0,,,,,,,
1.315204.922,אגרת שיכפול פר תלמיד ,0,0,16,-16,0,,,,,,,
1.315204.923,"תשלום הורים חומרים-חט""ב ",0,0,36,-36,0,,,,,,,
1.315204.924,"החזרה שכ""ל למורים ",0,0,26,-26,0,,,,,,,
1.315204.925,"רכב מנהלים בי""ס ע""י ",0,0,9,-9,0,,,,,,,
1.315204.926,גמול טיול-חוץ בית ,0,0,25,-25,0,,,,,,,
1.315204.927,אגרת תלמידי חוץ ,75,75,0,75,100,,,,,,,
1.315204.928,דמי שתיה ,0,0,1,-1,0,,,,,,,
1.315204.929,"שונות - גמיול הל""ל ",0,0,80,-80,0,,,,,,,
1.315205.920,גמול טיול-חוץ בית ,0,0,0,0,0,,,,,,,
1.315206.920,דמי בחינות בגרות ,0,0,0,0,0,,,,,,,
1.315207.920,"דמי שתיה בי""ס על יסודי ",0,0,0,0,0,,,,,,,
1.315208.920,"בראה וביגוד בי""ס על יסודי ",0,0,0,0,0,,,,,,,
1.315209.920,מענק יובל על יסודי ,0,0,0,0,0,,,,,,,
1.315209.921,"תוכנית מנ""ע קב.טיפול ",0,0,0,0,0,,,,,,,
1.315209.922,הצטיידות תוכנית החומש ,0,0,0,0,0,,,,,,,
1.315209.923,"השתת' בשכ""ד רבין ",0,0,0,0,0,,,,,,,
1.315209.924,פ.בטיחותי+חינוך תעבורתי ,0,0,0,0,0,,,,,,,
1.315209.927,מוחזקות פירפיאליות ,0,0,0,0,0,,,,,,,
1.315209.928,תוכנית לימודים בלשון ,0,0,0,0,0,,,,,,,
1.315210.927,השתת' מ.חינוך הכנסות שונו ,0,0,0,0,0,,,,,,,
1.315211.920,"השתת' מ.החינוך ש""ש חט""ע ",0,0,0,0,0,,,,,,,
1.315211.921,"השתת' מ.חינוך פרויקט טו""ב ",0,0,0,0,0,,,,,,,
1.315211.922,פ.בטיחותיות+חינוך תעבורתי ,0,0,0,0,0,,,,,,,
1.316000.920,השתת' מ.חינוך שרתים ,0,0,0,0,0,,,,,,,
1.316000.921,השתת' מ.חינוך מזכירים ,0,0,0,0,0,,,,,,,
1.316000.922,השתת' מ.חינוך א.שכפול ,0,0,0,0,0,,,,,,,
1.317100.920,"קב""ט מוסדות חינוך ",35,35,38,-3,8,,,,,,,
1.317300.920,"שפ""י)פסיכולוגים חינוכיים( ",820,820,825,-5,0,,,,,,,
1.317300.921,"שפ""י)הדרכה( ",0,0,18,-18,0,,,,,,,
1.317300.922,"השתת' מ.חינוך-שפ""י מיוחד ",0,0,0,0,0,,,,,,,
1.317600.920,רווחה חינוכית-מ.חינוך ,120,120,25,95,79,,,,,,,
1.317601.920,"השתת' מ חינוך שח""ר תוכנית או",140,140,0,140,100,,,,,,,
1.317700.920,"קב""ס ",150,150,96,54,36,,,,,,,
1.317700.921,"קב""ס - פרויקטים ",0,0,0,0,0,,,,,,,
1.317700.922,"קב""ס חונכות נוער מנותק ",0,0,0,0,0,,,,,,,
1.317700.923,"קב""ס מניעת נשירה ",0,0,0,0,0,,,,,,,
1.317801.920,הסעות דרום ,2100,2100,3117,-1017,48,,,,,,,
1.317802.920,הסעות חינוך מיוחד דרום ,600,600,669,-69,11,,,,,,,
1.317803.920,"לווי הסעות ח""מ-מוסד ",350,350,409,-59,16,,,,,,,
1.317900.920,מדריכים לקידום נוער ,0,0,0,0,0,,,,,,,
1.317901.920,שיפוצים בתי ספר ,170,170,183,-13,7,,,,,,,
1.317901.921,השתת' מ.חינוך ציוד ורהוט ,0,0,0,0,0,,,,,,,
1.317902.920,פ.בטיחותיות+חינוך תעבורתי ,0,0,0,0,0,,,,,,,
1.317903.920,שחיקת חינוך מבוגרים ,0,0,0,0,0,,,,,,,
1.317904.920,השתת' מ.חינוך-מידע סטטסטי ,0,0,0,0,0,,,,,,,
1.317905.920,הכנסות שונות ,60,60,34,26,43,,,,,,,
1.317905.921,הכנסות מיוחדות מ.חינוך ,0,0,0,0,0,,,,,,,
1.317906.920,אגרת תלמידי חוץ ,0,0,0,0,0,,,,,,,
1.317907.920,"מוביל לבי""ס-מניעת סמים ",0,0,9,-9,0,,,,,,,
1.317907.921,חותם-הסכם מיקרוסופט ,0,0,-16,16,0,,,,,,,
1.317907.922,"ציוד ראשוני לגנ""י-יוח""א ",0,0,58,-58,0,,,,,,,
1.317907.923,"גנים יוח""א ",0,0,0,0,0,,,,,,,
1.317907.924,מ.חינוך כיתות חכמות בנגב ,0,0,0,0,0,,,,,,,
1.317909.920,"השתת' מ.חינוך אס""א ",0,0,0,0,0,,,,,,,
1.317930.920,"אס""א-אלימות.סמים ואלכהול ",0,0,0,0,0,,,,,,,
1.317940.920,נוער במרכז העניינים ,0,0,0,0,0,,,,,,,
1.317950.920,פרוייקטים שונים ,0,0,0,0,0,,,,,,,
1.318000.920,חינוך למבוגרים ,0,0,0,0,0,,,,,,,
1.319000.920,חינוך מיוחד-שרותי היקף ,0,0,0,0,0,,,,,,,
1.329300.920,פ.ספורט- לא לשימוש ,,,,,,, ,0,0,0,0,0
. ," סה""כ תקבולים ממשרד החינוך ",28391,28391,31674,-3283,11,,,,,,,
1.341000.930,שכר עובדי המחלקה ,593,593,473,120,20,,,,,,,
1.341001.930,הוצאות מינהליות ,0,0,0,0,0,,,,,,,
1.341002.930,"כ""א לחינוך מיוחד ",60,60,36,24,40,,,,,,,
1.341003.930,פעולות אירגוניות ,0,0,17,-17,0,,,,,,,
1.341004.930,רכישת ציוד יסודי ,0,0,0,0,0,,,,,,,
1.342200.930,משפחות במצוקה בקהילה ,36,36,31,5,13,,,,,,,
1.342201.930,קייטנה לאמהות ,0,0,0,0,0,,,,,,,
1.342202.930,טיפול בפרט ובמשפחה ,0,0,0,0,0,,,,,,,
1.342203.930,טיפול באלכהולסטים ,7,7,7,0,0,,,,,,,
1.342204.930,סיוע למשפחות עם ילדי א ,39,39,65,-26,66,,,,,,,
1.342205.930,טיפול בהורים ובילדיהם ,0,0,0,0,0,,,,,,,
1.342206.930,צרכים ברשויות קולטות ,0,0,0,0,0,,,,,,,
1.342500.930,סדנאות למשפחה ,0,0,0,0,0,,,,,,,
1.342600.930,מרכז טיפול באלימות ,0,0,19,-19,0,,,,,,,
1.343501.930,טיפול בילד בקהילה ,0,0,166,-166,0,,,,,,,
1.343502.930,טיפול בילד בקהילה-פר ,0,0,0,0,0,,,,,,,
1.343503.930,ת.לאומית ילד ונוער ,0,0,91,-91,0,,,,,,,
1.343504.930,יצירת קשר הורים - ילדי ב ,0,0,2,-2,0,,,,,,,
1.343505.930,טיפול במשפחות אומנה יומית ,37,37,0,37,100,,,,,,,
1.343506.930,מועדניות ביתיות ,210,210,0,210,100,,,,,,,
1.343800.930,אחזקת ילדים בפנימיות ,371,371,340,31,8,,,,,,,
1.343801.930,טיפול במשפחות אומנה ,0,0,133,-133,0,,,,,,,
1.343900.930,ילדים מעון יום ,387,387,782,-395,102,,,,,,,
1.343901.930,מ.יום רשויות ,0,0,0,0,0,,,,,,,
1.344400.930,טיפול בזקן בקהילה ,9,9,8,1,11,,,,,,,
1.344401.930,חימום לקשישים ,0,0,0,0,0,,,,,,,
1.344402.930,מועונים לזקנים ,0,0,2,-2,0,,,,,,,
1.344403.930,נופשונים להבראה )לקשיש( ,0,0,21,-21,0,,,,,,,
1.344404.930,מועדון חברתי לבוגרים א ,0,0,19,-19,0,,,,,,,
1.345100.930,סידור מפגרים במוסדות ,805,805,962,-157,19,,,,,,,
1.345101.930,סידור מפגרים במוסד ממש ,0,0,0,0,0,,,,,,,
1.345200.930,מפגרים במעון טיפולי ,40,40,50,-10,25,,,,,,,
1.345300.930,שרותים תומכים למפגר ,8,8,3,5,62,,,,,,,
1.345301.930,נופשונים למפגר ,2,2,0,2,100,,,,,,,
1.345302.930,הסעות למ.יום למפגר ,14,14,14,0,0,,,,,,,
1.345305.930,הסעות לאוטיסטים ,1,1,0,1,100,,,,,,,
1.345400.930,"מעשי""ם-מפעלי תעסוקה למ ",33,33,51,-18,54,,,,,,,
1.346300.930,דמי ליווי לעוור ,0,0,0,0,0,,,,,,,
1.346301.930,הדרכת העוור ובני ביתו ,5,5,2,3,60,,,,,,,
1.346302.930,מכונים לראייה ירודה ,0,0,0,0,0,,,,,,,
1.346303.930,מועדונים לעוור ,0,0,2,-2,0,,,,,,,
1.346304.930,אחזקת נכים במשפחות אומנה ,0,0,0,0,0,,,,,,,
1.346305.930,משפחות אומנה לשיקום ,0,0,0,0,0,,,,,,,
1.346400.930,מפעלי שיקום ,0,0,0,0,0,,,,,,,
1.346500.930,אחזקת נכים בפנימיות ,115,115,119,-4,3,,,,,,,
1.346600.930,נכים-מס.יום לילד המוגב ,46,46,25,21,45,,,,,,,
1.346601.930,מרכזי איבחון ושיקום ,0,0,0,0,0,,,,,,,
1.346700.930,תכנית לילד החריג ,0,0,0,0,0,,,,,,,
1.346701.930,שיקום נכים בקהילה-תעסוקה ,0,0,0,0,0,,,,,,,
1.346702.930,מ.יום שיקומי לנכים ,173,173,181,-8,4,,,,,,,
1.346703.930,הסעות למ.יום שיקומי לנכים ,0,0,77,-77,0,,,,,,,
1.346704.930,ליווי למ.יום שיקומי לנכים ,0,0,18,-18,0,,,,,,,
1.346800.930,מפעלי שיקום-שיקום נכים ,0,0,0,0,0,,,,,,,
1.346801.930,דמי תקשורת לחרשים ,0,0,0,0,0,,,,,,,
1.347100.930,טיפול בנוער ובצעירים ,12,12,11,1,8,,,,,,,
1.347102.930,מקלט לנשים מוכות ,30,30,83,-53,176,,,,,,,
1.347103.930,טיפול בנערות במצוקה ,0,0,0,0,0,,,,,,,
1.347110.930,טיפול בחבורות רחוב ,0,0,0,0,0,,,,,,,
1.347400.930,שהות במקלט לנערות ,0,0,1,-1,0,,,,,,,
1.348200.930,מרכזים קהילתיים ,0,0,0,0,0,,,,,,,
1.348201.930,תוכנית עם הפנים לקהילה ,0,0,142,-142,0,,,,,,,
1.348202.930,פיתוח ק.במגזר הכפרי ,0,0,13,-13,0,,,,,,,
1.348500.930,עובדי שיקום שכונות ,0,0,12,-12,0,,,,,,,
. ," סה""כ תקבולים ממשרד הרווחה ",3033,3033,3977,-944,31,,,,,,,
1.213300.940,השתתפות משרד הבריאות ,20,20,0,20,100,,,,,,,
1.225000.990,משרד התחבורה-בטיחות ,0,0,0,0,0,,,,,,,
1.225100.990,"משרד התחבורה-זה""ב ",62,62,52,10,16,,,,,,,
1.244400.990,השתתפות מ.התחבורה ,0,0,0,0,0,,,,,,,
1.313202.940,השתת' מ.הבריאות-רפואת שינ ,0,0,0,0,0,,,,,,,
