91303,מ.מ. חורה ,עסיבי חליל ,,, כולל קליטה ,חישוב תקציב יחסי :,מספר חודשים ,תמצית נתוני התקציב הרגיל מפורט -- דוח כספי לתקופה 2102 / 21 - 10 ,4/22/2013,11:24,,,
1.313201.928,"יוח""א ביה""ס אלעטאונה ",0,0,0,0,0,,,,,,,
1.313201.929,"הכנסות שונות ביה""ס אלעטאונה ",15,15,17,-2,13,,,,,,,
1.313202.920,שרתים-יסודי חורה ב' ,355,355,365,-10,2,,,,,,,
1.313202.921,מזכירים-יסודי חורה ב' ,112,112,115,-3,2,,,,,,,
1.313202.922,אגרת שיכפול-יסודי חורה ב' ,12,12,18,-6,50,,,,,,,
1.313202.923,תשלום הורים חומרים-חורה ב ,10,10,25,-15,150,,,,,,,
1.313202.924,סייעות כיתתיות אלמגד ,96,96,96,0,0,,,,,,,
1.313202.925,"מנב""ס מזכירים אלמג'ד ",0,0,-1,1,0,,,,,,,
1.313202.927,אגרת תלמידי חוץ-אלמג'ד ,0,0,0,0,0,,,,,,,
1.313202.928,"יוח""א ביה""ס אלמג'ד ",0,0,0,0,0,,,,,,,
1.313202.929,הכנסות שונות - אלמג'ד ,40,40,57,-17,42,,,,,,,
1.313203.920,"שרתים בי""ס ביאדור ",580,580,571,9,1,,,,,,,
1.313203.921,מזכירים יסודי ,185,185,182,3,1,,,,,,,
1.313203.922,אגרת שכפול ,17,17,24,-7,41,,,,,,,
1.313203.923,תשלום הורים -חומרים ,40,40,39,1,2,,,,,,,
1.313203.924,סייעות כיתתיות אלביאדר ,50,50,48,2,4,,,,,,,
1.313203.925,"מנב""ס מזכירים אלביאדר ",0,0,-1,1,0,,,,,,,
1.313203.927,אגרת תלמידי חוץ -אלביאדר ,0,0,0,0,0,,,,,,,
1.313203.928,"יוח""א ביה""ס אלביאדר ",0,0,0,0,0,,,,,,,
1.313203.929,"הכנסות שונות ביה""ס אלביאדר ",70,70,96,-26,37,,,,,,,
1.313204.920,שרתים ,350,350,339,11,3,,,,,,,
1.313204.921,מזכירים ,110,110,112,-2,1,,,,,,,
1.313204.922,אגרת שכפול ,10,10,31,-21,210,,,,,,,
1.313204.923,תשלומי הורים חומרים ,20,20,24,-4,20,,,,,,,
1.313204.925,פדיון חופשה+ש.מ. ,0,0,-1,1,0,,,,,,,
1.313204.926,פידיון חופשה- ש+מ ,0,0,0,0,0,,,,,,,
1.313204.927,אגרת תלמידי חוץ-אלאנדלוס ,0,0,0,0,0,,,,,,,
1.313204.928,"השתת' מ.חינוך-יוח""א אנדלו ",0,0,0,0,0,,,,,,,
1.313204.929,הכנסות שונות - אלאנדלס ,37,37,50,-13,35,,,,,,,
1.313205.920,שרתים - אלזהרא ,255,255,249,6,2,,,,,,,
1.313205.921,מזכירים - אלזהרא ,80,80,79,1,1,,,,,,,
1.313205.922,אגרת שכפול יסודי - אלזהרא ,4,4,10,-6,150,,,,,,,
1.313205.923,תשלומי הורים חומרים - אלזהרא,15,15,17,-2,13,,,,,,,
1.313205.924,סייעות כיתתיות - אלזהרא ,32,32,44,-12,37,,,,,,,
1.313205.925,פדיון חופשה+ש.מ ,0,0,-1,1,0,,,,,,,
1.313205.927,אגרת תלמידי חוץ-אלזהרא ,0,0,0,0,0,,,,,,,
1.313205.929,הכנסות שונות - אלזהרא ,385,385,397,-12,3,,,,,,,
1.313300.920,"שרתים בי""ס חינוך מיוחד ",276,276,274,2,0,,,,,,,
1.313300.921,"מזכירים בי""ס חינוך מיוחד ",100,100,99,1,1,,,,,,,
1.313300.922,אגרת שכפול-חינןך מיוחד ,9,9,12,-3,33,,,,,,,
1.313300.923,תש' הורים חומרים-ח.מיוחד ,50,50,40,10,20,,,,,,,
1.313300.924,"סייעות כיתתיות ח""מ ",1565,1565,1548,17,1,,,,,,,
1.313300.925,פידיון חופשה ש+מ ,1,1,-1,2,200,,,,,,,
1.313300.926,"הזנת יוח""א ח""מ ",220,220,323,-103,46,,,,,,,
1.313300.927,אגרת תלמידי חוץ ,1635,1635,2215,-580,35,,,,,,,
1.313300.928,השתת' מ.חינוך שונות ,75,75,128,-53,70,,,,,,,
1.313300.929,השתת' מ.חינוך שונות ,360,360,304,56,15,,,,,,,
1.313301.920,ה.נלוות ח.מיוחד ערבי ,145,145,143,2,1,,,,,,,
1.313301.922,"השתת' מ.חינוך הצטיידות ח""מ ",0,0,0,0,0,,,,,,,
1.313301.926,"השתת' מ.חינוך שכ""ד ח""מ ",75,75,0,75,100,,,,,,,
1.313302.920,השתת' מ.חינוך ,72,72,100,-28,38,,,,,,,
1.313302.921,"מזכירים -בי""ס אלופפא ",33,33,33,0,0,,,,,,,
1.313302.922,"אגרת שכפול - בי""ס אלופפא ",12,12,4,8,66,,,,,,,
1.313302.923,תשלומי הורים חומרים ,1,1,7,-6,600,,,,,,,
1.313302.924,סייעות כיתתיות אלופאא ,490,490,681,-191,38,,,,,,,
1.313302.925,"מנב""ס מזכירים אוטסטים ",0,0,-1,1,0,,,,,,,
1.313302.926,"השתת' מ.חינוך הזנת יוח""א ",118,118,0,118,100,,,,,,,
1.313302.929,השתת' משרד חינוך שונות ,216,216,176,40,18,,,,,,,
1.313400.920,השתת' מ.חינוך מרכז מחוננים ,20,20,21,-1,5,,,,,,,
1.313400.921,מזכירים - מחוננים ,35,35,7,28,80,,,,,,,
1.313400.925,"מנב""ס מזכירים מחוננים ",0,0,0,0,0,,,,,,,
1.313600.920,"שרתים-מתי""א ",66,66,72,-6,9,,,,,,,
1.313600.921,"מזכירים-מתי""א ",133,133,145,-12,9,,,,,,,
1.313600.922,"אגרת שיכפול-מתי""א ",78,78,51,27,34,,,,,,,
1.313600.929,השתת' מ.חינוך שונות ,70,70,76,-6,8,,,,,,,
1.313700.929,השתת' משרד חינוך שונות ,0,0,0,0,0,,,,,,,
1.314000.920,"סל תלמיד חט""ב )ש+מ( ",615,615,615,0,0,,,,,,,
1.314000.922,"אגרת שיכפול פר תלמיד חט""ב ",0,0,0,0,0,,,,,,,
1.314000.923,"חט""ב-הורים חומרים רבין ",0,0,0,0,0,,,,,,,
1.314000.924,"חט""ב-ציוד למעבדות מחשבים ",0,0,0,0,0,,,,,,,
1.314001.920,"סל חט""ב קהילתיים ",0,0,0,0,0,,,,,,,
1.315200.920,"שכ""ל על יסודי - עמל ",2075,2075,2075,0,0,,,,,,,
1.315200.923,"תשלום הורים חומרים-חט""ב ",0,0,0,0,0,,,,,,,
1.315201.920,"שכ""ל על יסודי - עתיד אלנור ",3925,3925,3925,0,0,,,,,,,
1.315201.929,השתת' מ. חינוך כתות חכמות ,0,0,0,0,0,,,,,,,
1.315202.920,"שכ""ל על יסודי - סכנין ",1800,1800,1800,0,0,,,,,,,
1.315202.929,השתת' מ. חינוך כתות חינוך ,0,0,0,0,0,,,,,,,
1.315203.920,"השתת' מ.חינוך שכ""ל ע""י עהד ",2752,2752,3930,-1178,42,,,,,,,
1.315203.923,תשלומי הורים חומרים ,0,0,0,0,0,,,,,,,
1.315203.929,השתת' מ. חינוך כתות חכמות ,0,0,0,0,0,,,,,,,
1.315204.920,"שכ""ל על יסודי - אלסלאם ",3800,3800,3242,558,14,,,,,,,
1.315204.921,"קרן השתלמות לשכ""ל ",0,0,0,0,0,,,,,,,
1.315204.922,אגרת שיכפול פר תלמיד ,0,0,0,0,0,,,,,,,
1.315204.923,"תשלום הורים חומרים-חט""ב ",0,0,0,0,0,,,,,,,
1.315204.924,"החזרה שכ""ל למורים ",0,0,0,0,0,,,,,,,
1.315204.925,"רכב מנהלים בי""ס ע""י ",0,0,0,0,0,,,,,,,
1.315204.926,גמול טיול-חוץ בית ,70,70,418,-348,497,,,,,,,
1.315204.927,אגרת תלמידי חוץ ,0,0,0,0,0,,,,,,,
1.315204.928,דמי שתיה ,0,0,0,0,0,,,,,,,
1.315204.929,"שונות - גמיול הל""ל ",0,0,0,0,0,,,,,,,
1.316000.920,השתת' מ.חינוך שרתים ,0,0,0,0,0,,,,,,,
1.316000.921,השתת' מ.חינוך מזכירים ,0,0,0,0,0,,,,,,,
1.316000.922,השתת' מ.חינוך א.שכפול ,0,0,0,0,0,,,,,,,
1.317100.920,"קב""ט מוסדות חינוך ",40,40,43,-3,7,,,,,,,
1.317300.920,"שפ""י)פסיכולוגים חינוכיים( ",1010,1010,1080,-70,6,,,,,,,
1.317300.921,"שפ""י)הדרכה( ",36,36,18,18,50,,,,,,,
1.317300.922,"השתת' מ.חינוך-שפ""י מיוחד ",0,0,0,0,0,,,,,,,
1.317300.929,הכנסות שונות ,0,0,9,-9,0,,,,,,,
1.317600.920,רווחה חינוכית-מ.חינוך ,0,0,0,0,0,,,,,,,
1.317601.920,"השתת' מ חינוך שח""ר תוכנית או",150,150,181,-31,20,,,,,,,
1.317700.920,"קב""ס ",150,150,145,5,3,,,,,,,
1.317700.921,"קב""ס - פרויקטים ",0,0,0,0,0,,,,,,,
1.317700.922,"קב""ס חונכות נוער מנותק ",0,0,0,0,0,,,,,,,
1.317700.923,"קב""ס מניעת נשירה ",0,0,0,0,0,,,,,,,
1.317801.920,הסעות דרום ,2150,2150,2755,-605,28,,,,,,,
1.317802.920,הסעות חינוך מיוחד דרום ,600,600,701,-101,16,,,,,,,
1.317803.920,"לווי הסעות ח""מ-מוסד ",400,400,415,-15,3,,,,,,,
1.317900.920,מדריכים לקידום נוער ,90,90,38,52,57,,,,,,,
1.317901.920,שיפוצים בתי ספר ,415,415,414,1,0,,,,,,,
1.317901.921,השתת' מ.חינוך ציוד ורהוט ,0,0,0,0,0,,,,,,,
1.317902.920,פ.בטיחותיות+חינוך תעבורתי ,0,0,0,0,0,,,,,,,
1.317903.920,שחיקת חינוך מבוגרים ,0,0,0,0,0,,,,,,,
1.317904.920,השתת' מ.חינוך-מידע סטטסטי ,0,0,0,0,0,,,,,,,
1.317905.920,הכנסות שונות ,60,60,309,-249,415,,,,,,,
1.317905.921,הכנסות מיוחדות מ.חינוך ,0,0,0,0,0,,,,,,,
1.317906.920,אגרת תלמידי חוץ ,0,0,0,0,0,,,,,,,
1.317907.920,"מוביל לבי""ס-מניעת סמים ",0,0,4,-4,0,,,,,,,
1.317907.921,חותם-הסכם מיקרוסופט ,0,0,-13,13,0,,,,,,,
1.317907.922,"ציוד ראשוני לגנ""י-יוח""א ",0,0,55,-55,0,,,,,,,
1.317907.923,"גנים יוח""א ",0,0,0,0,0,,,,,,,
1.317907.924,מ.חינוך כיתות חכמות בנגב ,0,0,0,0,0,,,,,,,
1.317909.920,"השתת' מ.חינוך אס""א ",0,0,0,0,0,,,,,,,
1.317930.920,"אס""א-אלימות.סמים ואלכהול ",0,0,0,0,0,,,,,,,
1.317940.920,נוער במרכז העניינים ,0,0,0,0,0,,,,,,,
1.317950.920,פרוייקטים שונים ,0,0,0,0,0,,,,,,,
1.318000.920,חינוך למבוגרים ,0,0,0,0,0,,,,,,,
1.319000.920,חינוך מיוחד-שרותי היקף ,0,0,0,0,0,,,,,,,
1.329300.920,פ.ספורט- לא לשימוש ,,,,,,, ,0,0,0,0,0
. ," סה""כ תקבולים ממשרד החינוך ",37975,37975,41147,-3172,8,,,,,,,
1.341000.930,שכר עובדי המחלקה ,625,625,679,-54,8,,,,,,,
1.341001.930,הוצאות מינהליות ,0,0,0,0,0,,,,,,,
1.341002.930,"כ""א לחינוך מיוחד ",49,49,63,-14,28,,,,,,,
1.341003.930,פעולות אירגוניות ,0,0,0,0,0,,,,,,,
1.341004.930,רכישת ציוד יסודי ,0,0,0,0,0,,,,,,,
1.342200.930,משפחות במצוקה בקהילה ,42,42,32,10,23,,,,,,,
1.342201.930,קייטנה לאמהות ,0,0,0,0,0,,,,,,,
1.342202.930,טיפול בפרט ובמשפחה ,0,0,0,0,0,,,,,,,
1.342203.930,טיפול באלכהולסטים ,17,17,5,12,70,,,,,,,
1.342204.930,סיוע למשפחות עם ילדי א ,42,42,84,-42,100,,,,,,,
1.342205.930,טיפול בהורים ובילדיהם ,0,0,0,0,0,,,,,,,
1.342206.930,צרכים ברשויות קולטות ,0,0,0,0,0,,,,,,,
1.342500.930,סדנאות למשפחה ,0,0,0,0,0,,,,,,,
1.342600.930,מרכז טיפול באלימות ,22,22,53,-31,140,,,,,,,
1.343500.930,פעולות קהילתיות לילד ,68,68,0,68,100,,,,,,,
1.343501.930,טיפול בילד בקהילה ,283,283,405,-122,43,,,,,,,
1.343502.930,טיפול בילד בקהילה-פר ,0,0,0,0,0,,,,,,,
1.343503.930,ת.לאומית ילד ונוער ,390,390,380,10,2,,,,,,,
1.343504.930,יצירת קשר הורים - ילדי ב ,0,0,0,0,0,,,,,,,
1.343505.930,טיפול במשפחות אומנה יומית ,37,37,0,37,100,,,,,,,
1.343506.930,מועדניות ביתיות ,0,0,0,0,0,,,,,,,
1.343800.930,אחזקת ילדים בפנימיות ,371,371,256,115,30,,,,,,,
1.343801.930,טיפול במשפחות אומנה ,121,121,108,13,10,,,,,,,
1.343900.930,ילדים במעון יום ,704,704,1148,-444,63,,,,,,,
1.343901.930,מ.יום רשויות ,0,0,0,0,0,,,,,,,
1.344400.930,טיפול בזקן בקהילה ,19,19,18,1,5,,,,,,,
1.344401.930,חימום לקשישים ,0,0,0,0,0,,,,,,,
1.344402.930,מועונים לזקנים ,0,0,0,0,0,,,,,,,
1.344403.930,נופשונים להבראה )לקשיש( ,23,23,21,2,8,,,,,,,
1.344404.930,מועדון חברתי לבוגרים א ,20,20,-7,27,135,,,,,,,
1.345100.930,סידור מפגרים במוסדות ,740,740,1130,-390,52,,,,,,,
1.345101.930,סידור מפגרים במוסד ממש ,0,0,0,0,0,,,,,,,
1.345200.930,מפגרים במעון טיפולי ,40,40,53,-13,32,,,,,,,
1.345300.930,שרותים תומכים למפגר ,8,8,21,-13,162,,,,,,,
1.345301.930,נופשונים למפגר ,4,4,3,1,25,,,,,,,
1.345302.930,הסעות למ.יום למפגר ,20,20,23,-3,15,,,,,,,
1.345305.930,הסעות לאוטיסטים ,0,0,0,0,0,,,,,,,
1.345400.930,"מעשי""ם-מפעלי תעסוקה למ ",41,41,65,-24,58,,,,,,,
1.346300.930,דמי ליווי לעוור ,0,0,0,0,0,,,,,,,
1.346301.930,הדרכת העוור ובני ביתו ,1,1,0,1,100,,,,,,,
1.346302.930,מכונים לראייה ירודה ,0,0,0,0,0,,,,,,,
1.346303.930,מועדונים לעוור ,3,3,0,3,100,,,,,,,
1.346304.930,אחזקת נכים במשפחות אומנה ,0,0,0,0,0,,,,,,,
1.346305.930,משפחות אומנה לשיקום ,0,0,0,0,0,,,,,,,
1.346306.930,מפעלי שיקום לעיוור ,0,0,13,-13,0,,,,,,,
1.346400.930,מפעלי שיקום ,0,0,3,-3,0,,,,,,,
1.346500.930,אחזקת נכים בפנימיות ,115,115,0,115,100,,,,,,,
1.346600.930,נכים-מס.יום לילד המוגב ,83,83,57,26,31,,,,,,,
1.346601.930,מרכזי איבחון ושיקום ,0,0,0,0,0,,,,,,,
1.346700.930,תכנית לילד החריג ,0,0,0,0,0,,,,,,,
1.346701.930,שיקום נכים בקהילה-תעסוקה ,5,5,0,5,100,,,,,,,
1.346702.930,מ.יום שיקומי לנכים ,173,173,144,29,16,,,,,,,
1.346703.930,הסעות למ.יום שיקומי לנכים ,77,77,224,-147,190,,,,,,,
1.346704.930,ליווי למ.יום שיקומי לנכים ,18,18,48,-30,166,,,,,,,
1.346800.930,מפעלי שיקום-שיקום נכים ,0,0,0,0,0,,,,,,,
1.346801.930,דמי תקשורת לחרשים ,0,0,0,0,0,,,,,,,
1.347100.930,טיפול בנוער ובצעירים ,10,10,10,0,0,,,,,,,
1.347102.930,מקלט לנשים מוכות ,93,93,0,93,100,,,,,,,
1.347103.930,טיפול בנערות במצוקה ,0,0,3,-3,0,,,,,,,
1.347104.930,בתים חמים לנערות ,0,0,67,-67,0,,,,,,,
1.347110.930,טיפול בחבורות רחוב ,0,0,0,0,0,,,,,,,
1.347400.930,שהות במקלט לנערות ,94,94,0,94,100,,,,,,,
1.348200.930,מרכזים קהילתיים ,0,0,0,0,0,,,,,,,
1.348201.930,תוכנית עם הפנים לקהילה ,316,316,116,200,63,,,,,,,
1.348202.930,פיתוח ק.במגזר הכפרי ,0,0,0,0,0,,,,,,,
1.348500.930,עובדי שיקום שכונות ,0,0,0,0,0,,,,,,,
. ," סה""כ תקבולים ממשרד הרווחה ",4674,4674,5225,-551,11,,,,,,,
