,,,,,,הוצאות,,,,,,,
,161400450,450,614,1,אחזקת ציוד ,0,0,0,,,,,
,161400520,520,614,1,דובר-עיתון ,"4,900","4,400","4,900",,,,,
,161400540,540,614,1,דובר -טלפון ומברקים ,0,0,0,,,,,
,161400541,541,614,1,פלאפון לדובר ,"2,300",0,0,,,,,
,161400550,550,614,1,פרסומים ,"620,000","502,200","620,000",,,,,
,161400570,570,614,1,מחשוב ,"193,800","130,500",0,,,,,
,161400580,580,614,1,הוצאות אחרות ,"8,000",400,"8,000",,,,,
,161400780,780,614,1,הוצאות אחרות ,"10,000",0,"10,000",,,,,
,1614100110,100110,614,1,נציב פניות הציבור ,0,0,0,,,,,
,,,"614 סה""כ",,,"1,521,200","1,270,200","1,363,300",,,,,
,161500110,110,615,1,משאבי אנוש-שכר ,"2,315,700","2,465,800","2,588,000",,,,,
,161500130,130,615,1,שעות נוספות רשומות ,"235,000","194,500","193,900",,,,,
,161500210,210,615,1,מש ,"94,000","161,800","160,600",,,,,
,161500450,450,615,1,אחזקת ציוד ,0,0,0,,,,,
,161500520,520,615,1,ספרות מקצועית ,"4,000",0,"4,000",,,,,
,161500523,523,615,1,דמי חבר ואירגונים ,"106,000",,,,,הכנסות,,
,161500536,536,615,1,דלק ליסינג ,0,סעיף,,,שם חשבון ,עדכון תקציב 2015,ביצוע 2015   01-11/2015 ,הצעה 2016 
,161500540,540,615,1,כח אדם-טלפון ,0,100,111,1,ארנונה כללית ,"-376,594,600","-407,605,500","-394,283,699"
,161500541,541,615,1,כא - מכשיר קשר ,"29,300",490,111,1,החזר אגרות ,"-200,000","-75,200","-80,000"
,161500542,542,615,1,"כ""א דאר ",0,,"111 סה""כ",,,"-376,794,600","-407,680,700","-394,363,699"
,161500570,570,615,1,אוטומציה יח'שכר ,"680,000",100,112,1,אגרת שיטור ,"-5,400,000","-3,293,600","-5,400,000"
,161500580,580,615,1,"כ""א-הוצאות משרדיו ","75,900",,"112 סה""כ",,,"-5,400,000","-3,293,600","-5,400,000"
,161500750,750,615,1,שעוני נוכחות ,"110,000",1110,115,1,הנחות לזכאים ,"-75,000,000","-56,250,000","-75,000,000"
,161500751,751,615,1,"כ""א-יעוץ ","262,000",,"115 סה""כ",,,"-75,000,000","-56,250,000","-75,000,000"
,161500780,780,615,1,הוצאות אחרות ,"160,000",220,121,1,תעודות ואישורים ,"-180,000","-178,600","-190,000"
,1615100780,100780,615,1,השתלמויות רימון ,"840,000",,"121 סה""כ",,,"-180,000","-178,600","-190,000"
,,,"615 סה""כ",,,"4,911,900",220,122,1,אגרת רשיונות לשלטים ,"-4,799,900","-2,556,500","-2,700,000"
,161600521,521,616,1,העשרת עובדים ,"180,000",221,122,1,זכינים ,"-900,000","-147,900","-150,000"
,161600780,780,616,1,השתלמויות עובדים ,"23,000",,"122 סה""כ",,,"-5,699,900","-2,704,400","-2,850,000"
,1616100110,100110,616,1,משכורות כוללות ,"770,000",910,190,1,משרד הפנים ,"-100,000",0,0
,1616100130,100130,616,1,משכורות כוללות ,"33,400",911,190,1,מענקים מיוחדים ,0,"-500,000",0
,1616100210,100210,616,1,שעות נוספות ,900,950,190,1,רשת המים שיפוי מים לנכים ,"-400,000",0,0
,1616100430,100430,616,1,חשמל מפעם ,0,,"190 סה""כ",,,"-500,000","-500,000",0
,1616100450,100450,616,1,אחזקת ציוד ,"10,000",300220,212,1,אסוף בעבור אשפה ,"-450,000","-899,100","-903,200"
,1616100536,100536,616,1,רכב מפעם ,"60,000",300970,212,1,משרד הגנת הסביבה ,0,0,0
,1616100540,100540,616,1,מרכז הדרכה ,200,,"212 סה""כ",,,"-450,000","-899,100","-903,200"
,1616100541,100541,616,1,מרכז הדרכה פלאפון ,"7,300",200200,213,1,אגרת רשיונות לעסקים ,"-200,000","-119,500","-121,300"
,1616100542,100542,616,1,מפעמ-דאר ,0,,"213 סה""כ",,,"-200,000","-119,500","-121,300"
,1616100780,100780,616,1,מרכז הדרכה ,"1,500,000",200220,214,1,דמי בדיקה דגים ,"-300,000","35,400",0
,1616100781,100781,616,1,מעבר מפעם ,0,200490,214,1,דמי בדיקה ממפעלי בש ,"-140,000","-226,100","-200,400"
,,,"616 סה""כ",,,"2,584,800",300210,214,1,אגרת רשיונות לכלבים ,"-310,000","-131,900","-141,900"
,161700110,110,617,1,משכורות כוללות ,"980,000",300410,214,1,דמי חיסון והסגר כלב ,"-370,000","-544,300","-540,000"
,161700130,130,617,1,שעות נוספות רשומות ,"17,000",300960,214,1,הכנסות משרד החקלאות ,"-80,000","-100,000","-133,000"
,161700210,210,617,1,משכורות משפטית ,"753,200",,"214 סה""כ",,,"-1,200,000","-966,900","-1,015,300"
,161700230,230,617,1,משכורות ,"20,000",221,221,1,זכיינים ,0,"-1,940,500","-2,000,000"
,161700450,450,617,1,אחזקת ציוד ,0,490,221,1,הכנסות ממטוח ,"-30,000","-3,000","-4,000"
,161700520,520,617,1,ספרים ועיתונים ,"13,700",,"221 סה""כ",,,"-30,000","-1,943,500","-2,004,000"
,161700536,536,617,1,רכב ליסינג ,"54,200",100910,222,1,השת' מ.הפנים במשמר ,0,"-12,900",0
,161700540,540,617,1,משפטית-דאר טלפון ,"3,900",,"222 סה""כ",,,0,"-12,900",0
,161700541,541,617,1,מכשרי קשר ,0,640,223,1,שכד' ממקלטים ,"-120,000","-77,100","-75,900"
,161700570,570,617,1,מיחשוב ,"2,500",910,223,1,שכר דירה מקלטים ,0,0,0
,161700580,580,617,1,הוצאות אחרות ,"47,000",,"223 סה""כ",,,"-120,000","-77,100","-75,900"
,161700750,750,617,1,פסד-הסכמי פשרה ,"65,000",210,231,1,השתתפות בשכר ,"-500,000",0,0
,161700751,751,617,1,יעוץ משפטי ,"720,000",220,231,1,הכנסות בעד שרותים ה ,"-120,000","-239,000","-288,600"
,1617100751,100751,617,1,יועץ חיצוני ,0,910,231,1,השתתפות בשכר מ הפנים ,"-500,000","-500,000",0
,,,"617 סה""כ",,,"2,676,500",,"231 סה""כ",,,"-1,120,000","-739,000","-288,600"
,161900210,210,619,1,בחירות ,0,100220,233,1,אגרת רשיונות בניה ,"-10,000,000","-7,887,900","-8,886,700"
,161900780,780,619,1,בחירות לרשויות המקומיות ,0,,"233 סה""כ",,,"-10,000,000","-7,887,900","-8,886,700"
,,,"619 סה""כ",,,0,690,243,1,הכנסות מכירת חשמל ,"-1,700,000","-1,585,700","-1,680,000"
,1621100110,100110,621,1, .,"2,300,000",,"243 סה""כ",,,"-1,700,000","-1,585,700","-1,680,000"
,1621100130,100130,621,1,שעות נוספות רשומות ,"150,000",500990,244,1,מטה בטיחות בדרכים ,"-100,000","-139,500","-140,000"
,1621100450,100450,621,1,אחזקת ציוד ,"3,400",,"244 סה""כ",,,"-100,000","-139,500","-140,000"
,1621100531,100531,621,1, דלק ,0,200210,245,1,אגרת ביוב ,0,"-1,615,500",0
,1621100536,100536,621,1,השכרת רכב ,"142,100",200410,245,1,הכנ ביוב ,0,0,0
,1621100540,100540,621,1,גזברות טלפון ומברקים ,0,,"245 סה""כ",,,0,"-1,615,500",0
,1621100541,100541,621,1,מכשירי קשר ,"13,500",490,246,1,גנים ועיצוב הסביבה ,"-22,000","-15,300",0
,1621100570,100570,621,1,מחשוב הגזברות ,"17,500",540,246,1,פקיד היערות ,"-870,000","-1,104,100","-1,100,000"
,1621100580,100580,621,1,הוצאות אחרות ,"159,400",,"246 סה""כ",,,"-892,000","-1,119,400","-1,100,000"
,1621100750,100750,621,1,עבודה קבלניות ,"84,100",540,249,1,החזר מחברת ביטוח ,"-100,000","-23,100","-25,000"
,1621100751,100751,621,1,גזברות יועצים ,"735,000",580,249,1,הכנסות ממכרז ,0,"-4,000","-5,300"
,1621100781,100781,621,1,רזרבה ,"1,179,000",,"249 סה""כ",,,"-100,000","-27,100","-30,300"
,1621100782,100782,621,1,אוכלוסיות מיוחדות ,"155,000",420,269,1,הכנסות מרכז הדרכה ,"-1,300,000","-1,116,700","-1,300,000"
,1621100783,100783,621,1,גיוס משאבים ,"150,000",490,269,1,הכנסות שונות ,"-1,700,000","-1,020,500","-1,100,000"
,1621300110,300110,621,1,משכורות כוללות ,"584,400",491,269,1,הכנסות ממכירת רכב ,0,0,0
,1621300130,300130,621,1,שעות נוספות רשומות ,"83,000",691,269,1,הכנסות ריבית והצמדה-אורנה,0,"-18,900","-25,100"
,1621300570,300570,621,1,"הנח""ש ","13,000",910,269,1,מענק-מ.הפנים -למרכז ,"-1,400,000","-1,375,000","-1,400,000"
,,,"621 סה""כ",,,"5,769,400",911,269,1, מעבר המפעם ,"-800,000","-350,000",0
,1623100110,100110,623,1,משכורות כוללות ,"3,900,000",,"269 סה""כ",,,"-5,200,000","-3,881,100","-3,825,100"
,1623100130,100130,623,1,שעות נוספות רשומות ,"346,900",410,281,1,פיקוח ,"-150,000",0,0
,1623100210,100210,623,1,מש ,"191,300",490,281,1,קנסות בתי משפט ,"-600,000","-440,500","-524,700"
,1623100230,100230,623,1,שעות נוספות זמניים ,600,491,281,1,פיקוח עירוני ,0,"-124,600","-165,700"
,1623100320,100320,623,1,פיצויים ,"26,100",,"281 סה""כ",,,"-750,000","-565,100","-690,400"
,1623100450,100450,623,1,אחזקת ציוד ,"35,200",490,311,1,הכנסות מפעולות ,"-180,000","-282,100","-370,900"
,1623100451,100451,623,1,מיחשוב ,"11,400",491,311,1,מסגרות קייץ חינוך יסודי ,0,0,0
,1623100536,100536,623,1,ליסינג ,"21,100",926,311,1,השאלת ספרים משרד החינוך ,"-422,000","-822,400","-820,000"
,1623100540,100540,623,1,מיסים טלפון ,0,928,311,1,מסגרות קיץ חינוך יסודי ,"-1,800,000","-2,117,100","-2,776,200"
,1623100541,100541,623,1,מכשירי קשר+פלאפון ,"1,900",,"311 סה""כ",,,"-2,402,000","-3,221,600","-3,967,100"
,1623100542,100542,623,1,מיסים דואר ,0,220,312,1,תלמידי חוץ ,0,"-65,600","-87,300"
,1623100560,100560,623,1,הדפסות ,"95,300",421,312,1,קרן קרב גני ,"-3,200,000","-3,487,900","-3,500,000"
,1623100570,100570,623,1, מיחשוב ,"1,100,000",721,312,1,מרכז גיל רך ,"-196,000","-221,600","-252,200"
,1623100580,100580,623,1,הוצאות אחרות ,"517,800",722,312,1,הורים מילת ,"-180,000","-211,400","-127,600"
,1623100750,100750,623,1,עבודות קבלניות ,"322,600",920,312,1,"מ.החינוך-גנ""י ","-36,000,000","-40,283,600","-46,000,000"
,1623100751,100751,623,1, הוצ שונות ,"60,000",921,312,1,"גנ""י -יוח""א ","-300,000","-113,800","-151,300"
,1623100752,100752,623,1,מח אכיפה ,"2,400,000",922,312,1,גנים יוחאי ,"-200,000","-1,526,400","-1,700,000"
,,,"623 סה""כ",,,"9,030,200",927,312,1,תשלום הורים חומרים ,"-50,000","-94,000","-125,000"
,163100610,610,631,1,עמלות בבנקים ,"4,250,000",929,312,1,הכנסות משרד החינוך ,"-14,000,000","-9,596,800","-16,000,000"
,163100611,611,631,1,עמלות שיווק_ טלפוני ,"146,200",300410,312,1,שכל'גני ילדים טרום ,"-25,000",0,0
,,,"631 סה""כ",,,"4,396,200",600220,312,1,תלמדי חוץ ,0,0,0
,163200620,620,632,1,ריבית על משיכות יתר ,"12,100",610220,312,1,רננים גן ,"-6,000",0,0
,163200650,650,632,1,הפרשי תשלום קרנות ,"117,400",610920,312,1,רננים ,"-460,000","-410,100","-465,100"
,1632100110,100110,632,1,שכר מיסים ,0,620220,312,1,לימן ,"-100,000","-218,000","-289,900"
,,,"632 סה""כ",,,"129,500",620920,312,1,לימן ,"-44,000","-37,200","-41,300"
,164900691,691,649,1,מלוות קרן ,"17,100,000",620921,312,1,גן לימן-65 ,"-55,000","-67,700","-65,000"
,164900692,692,649,1,מלוות ריבית ,"4,499,000",630920,312,1,הוצ נלוות חינוך מיוחד ,"-5,500","-5,500","-7,300"
,164900693,693,649,1,מלוות הצמדה ,"4,661,000",640220,312,1,גן רעות ,"-24,000","-25,000","-33,300"
,16491691,1691,649,1,פרעון מלוות תברים-קרן ,"5,886,000",640920,312,1,גן רעות - 48 ,"-53,000","-51,600","-63,400"
,16491692,1692,649,1,פרעון מלוות תברים-ריבית ,"1,876,000",640921,312,1,גן 48 רעות ,"-18,000","-22,800","-23,900"
,16491693,1693,649,1,פרעון מלוות תברים-הצמדה ,"1,188,000",650220,312,1,אג תלמיד חוץ ,"-28,000","-5,500","-7,300"
,,,"649 סה""כ",,,"35,210,000",650920,312,1,הוצ נלוות חינוך מיוחד ,"-150,000",0,0
,171100110,110,711,1,משכורות כוללות ,"2,400,000",660220,312,1,גן טורמוס ,0,0,0
,171100130,130,711,1,שעות נוספות רשומות ,"450,000",660920,312,1,גן 20 טורמוס ,"-6,000","-5,200","-6,900"
,171100320,320,711,1,פיצויים ,0,670220,312,1,גו עמית- חוץ ,"-25,000",0,0
,171100450,450,711,1,אחזקת ציוד ,"1,200",670920,312,1,גן79 ,"-45,000","-46,800","-60,500"
,171100541,541,711,1,תברואה מכשירי קשר ,0,670921,312,1,גן 79 ,"-17,000","-13,000","-17,200"
,171100580,580,711,1,הוצאות אחרות ,"22,500",680220,312,1,גן נועם ,0,0,0
,171100751,751,711,1,פיתוח בר קיימא ,"120,000",680920,312,1,גן נועם ,"-8,000","-14,200","-16,000"
,,,"711 סה""כ",,,"2,993,700",680921,312,1,גן נועם הזנה ,"-13,800","-40,700","-40,600"
,1712100110,100110,712,1,תחנת מעבר ,"1,200,000",681220,312,1,גן שילו ,0,0,0
,1712100130,100130,712,1,תחנת מעבר ,"193,000",681920,312,1,גן שלו ,"-10,000","-28,400","-32,000"
,1712100210,100210,712,1,זמניים ,"50,000",681921,312,1,הזנת יוחא שלו ידיד ,"-20,000","-15,700","-21,200"
,1712100320,100320,712,1,פיצויים ,0,682220,312,1,גן ידידות הילל ,"-9,000","-8,900","-11,800"
,1712100530,100530,712,1,תחנת מעבר ,"7,500",682920,312,1,גן הילל ,"-10,000",0,0
,1712100531,100531,712,1,תחנת מעבר דלק ,"4,700",682921,312,1,הזנת יוחא הלל ידידות ,0,"-15,000","-19,900"
,1712100750,100750,712,1,תחנת מעבר ,"382,100",683920,312,1,גן מרוה ,"-5,500","-5,200","-6,900"
,1712200110,200110,712,1,משכורות כוללות ,"740,000",684920,312,1,הכנסות משרד החינוך גן נוה,"-46,000","-269,600","-333,500"
,1712200130,200130,712,1,שעות נוספות רשומות ,"33,100",684921,312,1,הכנסות גן נוה הזנה ,"-17,000","-42,700","-42,900"
,1712200780,200780,712,1,הוצ' ניקוי רחובות ,"9,521,000",685920,312,1,ה.נלוות ח.מיוחד גן זהר ,"-44,000","-49,400","-61,100"
,1712300110,300110,712,1,משכורות כוללות ,"6,400,000",685921,312,1,"הזנת יוח""א בה""ס זוהר חדש ","-20,000","-19,200","-25,600"
,1712300120,300120,712,1,הוצ נילוות ,"35,000",688920,312,1,הכנסות גן 536524 ,0,0,0
,1712300130,300130,712,1,שעות נוספות רשומות ,"1,200,000",689920,312,1,הכנסות גן535005 ,0,0,0
,1712300210,300210,712,1,זמניים ,"1,300,000",710220,312,1,רמון תלמידי חוץ ,"-38,000","-9,300","-12,300"
,1712300230,300230,712,1,משכורת ,"8,600",,"312 סה""כ",,,"-55,428,800","-57,027,800","-69,648,300"
,1712300320,300320,712,1,פיצויים ,0,200220,313,1,"שכ""ל תלמידי חוץ ","-53,100","-303,900","-88,000"
,1712300430,300430,712,1,תחנת שיענוע ,"180,000",200410,313,1,"שכ""ל תלמידי חוץ ",0,0,0
,1712300530,300530,712,1,החזקת מכוניות ,"900,000",200421,313,1,מחשב לכל ילד ,"-21,400","-54,100","-29,900"
,1712300531,300531,712,1,דלק ,"1,000,000",200422,313,1,תוכנית חומש לבתי ספר ,"-500,000","-371,900","-390,000"
,1712300533,300533,712,1,ביטוח ורישוי רכב ,"400,000",200440,313,1,"אגרת חנוך ביה""ס ","-187,800","-3,100","-4,200"
,1712300536,300536,712,1,השכרת רכב ,"750,000",200490,313,1,הכנסות ממכרז ,0,"-7,500","-10,000"
,1712300540,300540,712,1,טלפון רובעים ,0,200640,313,1,שכד+חשמל ,"-17,400","-13,800","-15,000"
,1712300541,300541,712,1,פלאפון ,"3,000",200710,313,1,השתתפות מוסדות_עבור צהרונ,0,0,0
,1712300580,300580,712,1,הוצאות שונות ,"7,000",210220,313,1,בכור לוי ,0,0,0
,1712300750,300750,712,1,עבודה קבלנית ,"50,000",210421,313,1,בכור לוי קרב ,-300,0,0
,1712300751,300751,712,1,פינוי אשפה ,"31,413,000",210920,313,1,בכור לוי ,"-766,100","-670,200","-725,500"
,1712310110,310110,712,1,שכ מפעלי ציוד ,"229,700",210922,313,1,בכור לוי ,0,"-39,100","-45,800"
,1712310130,310130,712,1,מפעלי ציוד ,0,210924,313,1,בכור-שכפול ,"-5,300","-11,100","-14,700"
,1712321110,321110,712,1,אסוף אשפה ,0,210926,313,1,בכור לוי ,0,0,0
,,,"712 סה""כ",,,"56,007,700",210927,313,1,בכור חומרים ,"-9,100","-19,500","-25,900"
,1713200110,200110,713,1,מש' פקחים ,"2,200,000",211421,313,1,גוריון קרב ,0,0,0
,1713200130,200130,713,1,מש' פקחים-שעות נוספות ,"262,600",211920,313,1,בן גוריון ,"-663,700","-576,700","-660,000"
,1713200210,200210,713,1,מש' פקחים-זמ' ,"2,500",211924,313,1,בן גוריון שכפול ,"-4,600","-9,100","-12,100"
,1713221210,221210,713,1,משכורת זמנית ,"92,300",211926,313,1,בן גוריון ,0,0,0
,1713221230,221230,713,1,שעות נוספות זמניים ,"40,000",211927,313,1,בן גוריון ,"-7,900","-16,000","-21,300"
,1713300110,300110,713,1,פיקוח על עסקים ומוסדות ,"852,500",212220,313,1,בן צבי חוץ ,"-5,900","-4,900","-6,500"
,1713300130,300130,713,1,פיקוח על עסקים ומוסדות ,"61,400",212920,313,1,בן צבי ,"-421,800","-352,000","-376,200"
,1713300570,300570,713,1,רשוי עסקים אוטומציה ,"5,800",212922,313,1,בן צבי ,"-72,600","-45,500","-44,300"
,,,"713 סה""כ",,,"3,517,100",212924,313,1,בןצבי-שכפול ,"-4,000","-5,600","-7,500"
,1714200110,200110,714,1,משכורות כוללות ,"1,200,000",212926,313,1,בן צבי ,0,0,0
,1714200120,200120,714,1,הוצ נלוות ,"1,900",212927,313,1,בן צבי ,"-4,100","-9,300","-12,400"
,1714200130,200130,714,1,שעות נוספות רשומות ,"28,900",213920,313,1,הדרים ,"-218,200","-198,500","-220,000"
,1714200210,200210,714,1,שכר רופאים ויטרנרים ,"149,300",213924,313,1,הדרים-שכפול ,"-1,200","-3,200","-4,300"
,1714200230,200230,714,1,שעות נוספות ,"10,100",213926,313,1,עולים ,0,0,0
,1714200410,200410,714,1,שכד-מחלקה ויטרנרית ,0,213927,313,1,הדרים-חומרים ,"-2,000","-5,700","-7,500"
,1714200450,200450,714,1,אחזקת ציוד ,500,214220,313,1,השיטה -תל חוץ ,"-12,500","-18,500","-21,500"
,1714200530,200530,714,1,רכב ויטרנרית ,"8,000",214640,313,1,בית כנסת הספרדי שכ' חבצלת,0,0,0
,1714200531,200531,714,1,דלק ויטרנרית ,"22,000",214920,313,1,השיטה ,"-345,400","-334,900","-370,800"
,1714200533,200533,714,1,רכב ויטרנרית ,"11,600",214924,313,1,השיטה ,"-2,700","-6,000","-8,000"
,1714200536,200536,714,1,ליסינג ,"53,000",214927,313,1,השיטה ,"-5,400","-11,900","-15,800"
,1714200540,200540,714,1,ויטרנרי -טלפון ,"10,000",215220,313,1,ויצמן תל חוץ ,0,0,0
,1714200541,200541,714,1,ויטרנרית מכשיר קשר ,"4,000",215640,313,1,שכר דירה ,0,0,0
,1714200570,200570,714,1,אוטומציה - תקשורת ,"16,500",215920,313,1,ויצמן ,"-661,800","-606,300","-667,600"
,1714200580,200580,714,1,הוצאות אחרות ,"18,000",215922,313,1,ויצמן ,0,"-49,400","-50,000"
,1714300434,300434,714,1,נקיון כלביה ,"4,700",215924,313,1,ויצמן שכפול ,"-4,400","-9,900","-13,200"
,1714300540,300540,714,1,כלביה הסגר ,800,215926,313,1,ויצמן עולים ,0,0,0
,1714300570,300570,714,1,ויטרנרי מחשוב ,"20,000",215927,313,1,ויצמן חומרים ,"-7,600","-17,500","-23,200"
,1714300720,300720,714,1,מלחמה בכלבת -חומרים ,"170,000",216220,313,1,אגרות תלמידי חוץ יבניאלי ,"-18,800",0,0
,1714300750,300750,714,1,מלחמה בכלבת ,"200,000",216421,313,1,יבנאלי קרב ,"-4,300","-5,600","-7,500"
,1714300751,300751,714,1,מלחמה בכלבת הסגרה ,"1,000",216920,313,1,יבנאלי ,"-470,000","-403,100","-450,000"
,1714300780,300780,714,1,כלביה ,"200,000",216922,313,1,מ חינוך סיעות צמודות ,"-104,000","-109,100","-120,800"
,,,"714 סה""כ",,,"2,130,300",216924,313,1,יבנאלי שכפול ,"-2,600","-5,700","-7,600"
,1715300110,300110,715,1,משכורות הדברה ,"890,000",216926,313,1,יבנאלי ,0,0,0
,1715300130,300130,715,1,משכורות הדברה ,"127,100",216927,313,1,יבנאלי ,"-4,000","-8,700","-11,600"
,1715300720,300720,715,1,חומרים להדברת מזיקים ,0,217220,313,1,"בה""ס סמילנסקי ","-21,600","-22,100","-29,400"
,,,"715 סה""כ",,,"1,017,100",217920,313,1,סמילנסקי ,"-600,000","-467,400","-528,500"
,172100110,110,721,1,חרום-שכר כולל ,"2,700,000",217922,313,1,סמילנסקי סייעות ,"-168,000","-139,500","-163,000"
,172100111,111,721,1,שכר ,0,217924,313,1,סמילנסקי שכפול ,"-3,600","-8,000","-10,600"
,172100120,120,721,1,הוצ נילוות חרום ,"10,400",217926,313,1,סמלנסקי עולים ,0,0,0
,172100130,130,721,1,חרום-שעות נוספות ר ,"172,700",217927,313,1,סמלנסקי חומרים ,"-5,500","-12,600","-16,800"
,172100210,210,721,1,חרום-עובדים זמניים ,"250,000",218220,313,1,שזר תלמידי חוץ ,"-5,800","-4,900","-6,500"
,172100230,230,721,1,"חרום-ש""נ לעובדים זמניים ","33,600",218920,313,1,שזר ,"-600,000","-585,300","-649,700"
,172100450,450,721,1,אחזקת ציוד ,0,218924,313,1,שזר ,"-4,700","-10,300","-13,700"
,172100451,451,721,1,מיחשוב ,0,218927,313,1,שזר חומרים ,"-7,900","-18,100","-24,000"
,172100533,533,721,1,רשיונות וביטוחים לנגררים ,"4,400",219220,313,1,אג תלמיד ,"-10,600","-9,800","-13,100"
,172100536,536,721,1,חרום - דלק,"37,600",219920,313,1,שפרינצק ,"-738,100","-607,400","-700,000"
,172100540,540,721,1,מח חרום טלפון ,0,219922,313,1,שפרינצק ,"-120,300","-109,100","-120,800"
