"הצעת   התקציב   הרגיל   לשנת   2014   בש""ח",,,,,,,,,
סעיף,פרק,ספר,,שם,סוג,אחוז השינוי מול 2013,הצעה,,
571,96000,1,,"מיכון וענ""א       ",קשיח,0.00%,"51,000","51,000","51,000.00"
580,96000,1,,שמאות             ,גמיש,-19.05%,"1,700","2,100","1,409.10"
700,96000,1,,הוצאות לפעולות    , ,,,,
715,96000,1,,עבודות קבלניות-רכב,גמיש,-20.00%,"4,000","5,000","4,477.00"
721,96000,1,,חמרים-תחזוקת מבנים,גמיש,-20.00%,800,"1,000",990.7
731,96000,1,,בנזין             ,קשיח,-3.85%,"500,000","520,000","485,258.82"
734,96000,1,,סולר              ,קשיח,0.00%,"1,600,000","1,600,000","1,549,345.58"
736,96000,1,,שמנים ומשחות      ,גמיש,-20.00%,"24,000","30,000","11,981.00"
737,96000,1,,אגרת רשוי רכב     ,קשיח,0.00%,"192,000","192,000","112,021.00"
742,96000,1,,כלים וציוד        ,גמיש,-19.51%,"6,600","8,200","5,229.46"
746,96000,1,,השתתפות עצמית     ,קשיח,0.00%,"50,000","50,000","12,962.00"
750,96000,1,,שטיפת רכבים,קשיח,-13.33%,"13,000","15,000","12,412.85"
751,96000,1,,עבודות קבלניות    ,גמיש,-100.00%,0,"15,000","1,117.00"
752,96000,1,,נקיון בקבלנות     ,קשיח,-0.88%,"11,300","11,400","9,582.57"
755,96000,1,,אחזקת איתורן,קשיח,0.00%,"65,000","65,000","57,351.00"
756,96000,1,,שמירה בקבלנות     ,קשיח,23.48%,"223,500","181,000","180,999.71"
757,96000,1,,טיפול ברכב        ,קשיח,0.00%,"1,500,000","1,500,000","1,536,301.59"
758,96000,1,,שיפוצים           ,קשיח,0.00%,"250,000","250,000","349,165.00"
759,96000,1,,פחחות וצבע        ,גמיש,-20.00%,"40,000","50,000","49,834.00"
794,96000,1,,השתתפות בעזר 094  ,קשיח,0.00%,"31,000","31,000","39,190.00"
096000  סך הכל ,,,,מוסך  ורכב        ,,-0.16%,"5,819,500","5,829,000","5,604,276.07"
0,96100,1,,העמסת מוסך  ורכב        , ,,                ,                ,
596,96100,1,,השתתפות בעזר 096  ,קשיח,-0.16%,"-5,819,500","-5,829,000","-5,604,276.07"
096100  סך הכל ,,,,העמסת מוסך  ורכב        ,,-0.16%,"-5,819,500","-5,829,000","-5,604,276.07"
"סה""כ  תקציבי עזר",,,,,,0.00%,0,0,0
,,,,תקבולים,,,,,
0,100000,1,,מיסים ומענק כללי  , ,,                ,                ,
0,110000,1,,ארנונות           , ,,                ,                ,
110,110000,1,,ארנונה כללית      ,גמיש,5.56%,"-502,000,000","-475,565,000","-450,333,162.14"
111,110000,1,,ארנונה - מ.ג.ע.ר    ,גמיש,0.00%,0,0,"-12,167.48"
112,110000,1,,אגרות משפט        ,גמיש,0.00%,"-100,000","-100,000","-147,922.31"
113,110000,1,,החזר הוצאות משפט,גמיש,0.00%,"-80,000","-80,000","-67,369.78"
114,110000,1,,ארנונה - עסקים מילגם    ,גמיש,-16.67%,"-500,000","-600,000","-754,729.28"
115,110000,1,,ארנונה מגורים מילגם,גמיש,33.33%,"-800,000","-600,000","-1,105,051.42"
116,110000,1,,עיקולי בנקים,גמיש,-46.67%,"-80,000","-150,000","-118,763.65"
117,110000,1,,עיקולי רכב,גמיש,0.00%,"-200,000","-200,000",0
175,110000,1,,גביות לחלוקה      ,גמיש,0.00%,0,0,0
176,110000,1,,גביות שונות לחלוקה,גמיש,0.00%,0,0,"2,662,356.93"
177,110000,1,,גביות - קו פתוח   ,גמיש,0.00%,0,0,"-884,488.71"
178,110000,1,,כרט' אשראי-קו פתוח,גמיש,0.00%,0,0,"76,720.80"
179,110000,1,,הפרשה לתביעות בארנונה,גמיש,0.00%,0,0,0
911,110000,1,,ותיקים - משנים קודמות,גמיש,0.00%,0,0,0
590,110000,1,,החזר הנחות גימלאים,גמיש,0.00%,0,0,0
910,110000,1,,שיפוי - אזרחים ותיקים,גמיש,0.00%,0,0,0
911,110000,1,,ותיקים - משנים קודמות,גמיש,0.00%,0,0,0
110000  סך הכל ,,,,ארנונות           ,,5.54%,"-503,760,000","-477,295,000","-450,684,577.04"
0,115000,1,,הנחות לזכאים      , ,,                ,                ,
110,115000,1,,הכנסה משחרורים    ,גמיש,3.00%,"-63,860,000","-62,000,000","-64,565,575.06"
111,115000,1,,החזר הנחות מימון,גמיש,3.01%,"-685,000","-665,000","-660,958.49"
112,115000,1,,פטורים מארנונה,גמיש,3.00%,"-28,840,000","-28,000,000","-25,851,123.59"
115000  סך הכל ,,,,הנחות לזכאים      ,,3.00%,"-93,385,000","-90,665,000","-91,077,657.14"
0,120000,1,,אגרות             , ,,                ,                ,
0,121000,1,,תעודות ואישורים   , ,,                ,                ,
290,121000,1,,תעודות ואשורים    ,גמיש,0.00%,"-200,000","-200,000","-228,485.21"
121000  סך הכל ,,,,תעודות ואישורים   ,,0.00%,"-200,000","-200,000","-228,485.21"
0,122000,1,,אג' רישיונות שלטים, ,,                ,                ,
290,122000,1,,אגרת רשיונות שלטים,גמיש,0.00%,"-8,800,000","-8,800,000","-8,346,003.11"
291,122000,1,,החזר אג' משפט-שילוט,גמיש,0.00%,"-30,000","-30,000","-6,595.99"
122000  סך הכל ,,,,אג' רישיונות שלטים,,0.00%,"-8,830,000","-8,830,000","-8,352,599.10"
0,124000,1,,מודעות ופירסומים  , ,,                ,                ,
290,124000,1,,מודעות על לוחות   ,גמיש,0.00%,"-90,000","-90,000","-78,556.20"
124000  סך הכל ,,,,מודעות ופירסומים  ,,0.00%,"-90,000","-90,000","-78,556.20"
0,129000,1,,אגרות שונות       , ,,                ,                ,
290,129000,1,,אגרת חניה  מוניות ,גמיש,0.00%,"-35,000","-35,000","-36,075.93"
129000  סך הכל ,,,,אגרות שונות       ,,0.00%,"-35,000","-35,000","-36,075.93"
0,160000,1,,הכנסות מימון      , ,,                ,                ,
840,160000,1,,ביוב התר בניה-מלוה,גמיש,-2.01%,"-331,200","-338,000","-393,600.00"
841,160000,1,,כביש-תאו'בניה-מלוה,גמיש,-2.50%,"-10,062,500","-10,320,400","-13,934,100.00"
842,160000,1,,תעול היתר בניה-מלו,גמיש,-2.23%,"-2,348,700","-2,402,300","-2,635,800.00"
843,160000,1,,מים היתר בניה-מלוה,גמיש,-2.68%,"-1,152,200","-1,183,900","-4,044,700.00"
844,160000,1,,החזר מילוות-השבחה,גמיש,0.86%,"-2,981,000","-2,955,600","-3,050,800.00"
160000  סך הכל ,,,,הכנסות מימון      ,,-1.89%,"-16,875,600","-17,200,200","-24,059,000.00"
0,190000,1,,מענקים כללים      , ,,                ,                ,
0,191000,1,,מענק כללי לאיזון  , ,,                ,                ,
0,192000,1,,מענקים חד-פעמיים  , ,,                ,                ,
910,192000,1,,החזר בגין הסכם שכר,גמיש,-62.50%,"-300,000","-800,000",0
914,192000,1,,החזר הנחת ארנונה  ,גמיש,0.00%,0,0,0
192000  סך הכל ,,,,מענקים חד-פעמיים  ,,-62.50%,"-300,000","-800,000",0
910,192100,1,,פנים מענק ניהול כספי,גמיש,0.00%,0,0,0
192100  סך הכל ,,,,פנים מענק ניהול כספי,,0.00%,0,0,0
0,194000,1,,מענק לקליטת עליה  , ,,                ,                ,
910,194000,1,,מענק מ'הפנים-קליטה,גמיש,0.00%,0,0,0
194000  סך הכל ,,,,מענק לקליטת עליה  ,,0.00%,0,0,0
0,196000,1,,מענקים אחרים      , ,,                ,                ,
0,196100,1,,בחירות:רשות מקומית, ,,                ,                ,
910,196100,1,,בחירות:רשות מקומית,גמיש,-100.00%,0,"-470,000",0
196100  סך הכל ,,,,בחירות:רשות מקומית,,-100.00%,0,"-470,000",0
0,196200,1,,מענקי שכר         , ,,                ,                ,
910,196200,1,,מענק החזר שכר     ,גמיש,0.00%,0,0,"-316,809.00"
196200  סך הכל ,,,,מענקי שכר         ,,0.00%,0,0,"-316,809.00"
0,200000,1,,שרותים מקומיים    , ,,                ,                ,
0,210000,1,,תברואה            , ,,                ,                ,
0,212000,1,,שרותי ניקיון      , ,,                ,                ,
0,212200,1,,נקוי רחובות       , ,,                ,                ,
692,212200,1,,ניקוי מגרשים      ,גמיש,0.00%,"-25,000","-25,000","-7,909.85"
212200  סך הכל ,,,,נקוי רחובות       ,,0.00%,"-25,000","-25,000","-7,909.85"
0,212300,1,,אסוף וביעור אשפה  , ,,                ,                ,
691,212300,1,,מכירת מיכלי אשפה  ,גמיש,0.00%,"-100,000","-100,000","-104,975.20"
692,212300,1,,הכנסות סילוק פסולת,גמיש,6.10%,"-8,700,000","-8,200,000","-9,045,264.67"
693,212300,1,,מכירת בקבוקי פלסטיק,גמיש,-59.38%,"-13,000","-32,000","-34,545.03"
694,212300,1,,מכירת נייר,גמיש,9.52%,"-115,000","-105,000","-86,924.00"
695,212300,1,,מכירת בגדים משומשים,גמיש,109.23%,"-136,000","-65,000","-52,274.43"
696,212300,1,,מכירת קרטון למיחזור,גמיש,0.00%,"-96,000",0,
212300  סך הכל ,,,,אסוף וביעור אשפה  ,,7.74%,"-9,160,000","-8,502,000","-9,323,983.33"
0,213000,1,,פיקוח תברואי      , ,,                ,                ,
0,213300,1,,פיקוח-עסקים+מוסדות, ,,                ,                ,
310,213300,1,,רישוי עסקים       ,גמיש,-9.09%,"-500,000","-550,000","-419,321.82"
213300  סך הכל ,,,,פיקוח-עסקים+מוסדות,,-9.09%,"-500,000","-550,000","-419,321.82"
0,214000,1,,שרות וטרינרי      , ,,                ,                ,
220,214000,1,,אג'רישוי/חיסון כלב ואג' עופות,גמיש,0.00%,"-500,000","-500,000","-537,405.01"
690,214000,1,,בדיקת משנה בשר טרי,גמיש,0.00%,"-500,000","-500,000","-386,823.50"
790,214000,1,,בדיקת בשר ודגים   ,גמיש,0.00%,"-400,000","-400,000","-449,131.00"
990,214000,1,,החזר עיקור חתולים,גמיש,-100.00%,0,"-100,000","-100,000.00"
214000  סך הכל ,,,,שרות וטרינרי      ,,-6.67%,"-1,400,000","-1,500,000","-1,473,359.51"
0,220000,1,,ביטחון            , ,,                ,                ,
420,221000,1,,"עבור שרותי קב""טים",גמיש,0.00%,0,0,-133
221000  סך הכל ,,,,מינהל שמירה וביטחון,,0.00%,0,0,-133
0,222000,1,,שמירה ביטחונית    , ,,                ,                ,
0,222100,1,,משמר אזרחי        , ,,                ,                ,
910,222100,1,,השתתפות הממשלה    ,גמיש,-11.92%,"-34,000","-38,600","-17,001.50"
222100  סך הכל ,,,,משמר אזרחי        ,,-11.92%,"-34,000","-38,600","-17,001.50"
0,222200,1,,סיירת ביטחון, ,,                ,                ,
220,222200,1,,אגרת ביטחון,גמיש,0.00%,0,0,26.06
222200  סך הכל ,,,,סיירת ביטחון,,0.00%,0,0,26.06
0,223000,1,,"הג""א              ", ,,                ,                ,
640,223000,1,,שכר דירה ממקלטים  ,גמיש,0.00%,"-50,000","-50,000","-55,345.00"
791,223000,1,,"השתת' בת-ים בהג""א",גמיש,-2.12%,"-185,000","-189,000",0
792,223000,1,,"השתת' אזור בהג""א",גמיש,5.63%,"-15,000","-14,200",0
223000  סך הכל ,,,,"הג""א              ",,-1.26%,"-250,000","-253,200","-55,345.00"
0,230000,1,,תכנון בנין עיר    , ,,                ,                ,
0,231000,1,,משרד מהנדס הרשות  , ,,                ,                ,
690,231000,1,,משרד מהנדס הרשות  ,גמיש,0.00%,"-50,000","-50,000","-72,544.00"
691,231000,1,,אג.בגין מסירת מידע,גמיש,0.00%,"-150,000","-150,000","-92,328.00"
231000  סך הכל ,,,,משרד מהנדס הרשות  ,,0.00%,"-200,000","-200,000","-164,872.00"
0,232200,1,,חזות עיר, ,,                ,                ,
232200  סך הכל ,,,,חזות עיר,,0.00%,0,0,0
0,232400,1,,מחלקת התנועה,,                ,                ,                ,
410,232400,1,,הצבה/העתקה ע' חניה לנכים,גמיש,0.00%,"-30,000","-30,000","-21,743.00"
232400  סך הכל ,,,,מחלקת התנועה,,0.00%,"-30,000","-30,000","-21,743.00"
0,233000,1,,רשוי+פקוח על הבניה, ,,                ,                ,
290,233000,1,,רשיונות בניה-כללי ,גמיש,0.00%,"-6,000,000","-6,000,000","-10,847,488.73"
310,233000,1,,היטל השבחה מפיתוח,גמיש,4.41%,"-18,032,000","-17,270,000","-10,896,823.05"
690,233000,1,,החזר דמי בדיקה פרטי,גמיש,0.00%,"-10,000","-10,000",118.7
233000  סך הכל ,,,,רשוי+פקוח על הבניה,,3.27%,"-24,042,000","-23,280,000","-21,744,193.08"
0,243000,1,,תאורת רחובות      , ,,                ,                ,
690,243000,1,,השתת' במאור שלטים ,גמיש,0.00%,0,0,"-34,924.00"
243000  סך הכל ,,,,תאורת רחובות      ,,0.00%,0,0,"-34,924.00"
0,244000,1,,בטיחות בדרכים - אחזקה     , ,,                ,                ,
991,244000,1,,משרד התחבורה-סימון,גמיש,0.00%,0,0,"-320,223.00"
244000  סך הכל ,,,,בטיחות בדרכים - אחזקה     ,,0.00%,0,0,"-320,223.00"
0,245000,1,,תעול וניקוז, ,,                ,                ,
790,245000,1,,רשות ניקוז ירקון,גמיש,12.32%,"-68,400","-60,900","-64,062.00"
245000  סך הכל ,,,,תעול וניקוז,,12.32%,"-68,400","-60,900","-64,062.00"
0,246000,1,,גנים ונטיעות      , ,,                ,                ,
0,246100,1,,גנים ציבוריים ונוף, ,,                ,                ,
691,246100,1,,מכירת  סכך,גמיש,0.00%,"-20,000","-20,000","-23,016.00"
692,246100,1,,פינת ליטוף        ,גמיש,0.00%,"-145,000","-145,000","-131,310.00"
246100  סך הכל ,,,,גנים ציבוריים ונוף,,0.00%,"-165,000","-165,000","-154,326.00"
0,250000,1,,חגיגות ארועים + מבצעים, ,,                ,                ,
0,254000,1,,קשרים בינלאומיים  , ,,                ,                ,
770,254000,1,,הש' ממשלת גרמניה-משלחות,גמיש,0.00%,"-25,000","-25,000",0
254000  סך הכל ,,,,קשרים בינלאומיים  ,,0.00%,"-25,000","-25,000",0
0,260000,1,,שרותים שונים      , ,,                ,                ,
0,267000,1,,ביטוח אלמנטרי לרשות, ,,                ,                ,
267000  סך הכל ,,,,ביטוח אלמנטרי לרשות,,0.00%,0,0,0
0,269000,1,,הכנסות שונות      , ,,                ,                ,
691,269000,1,,הכנ' מרשויות-רעש מטוסים,גמיש,0.00%,0,0,"-9,686.00"
693,269000,1,,אגרת מסירת מידע   ,גמיש,900.00%,"-10,000","-1,000","-10,226.00"
696,269000,1,,הכנסות מעמד האשה,גמיש,0.00%,"-150,000","-150,000","-4,320.00"
269000  סך הכל ,,,,הכנסות שונות      ,,5.96%,"-160,000","-151,000","-24,232.00"
0,269100,1,,שונות             , ,,                ,                ,
410,269100,1,,הכ' מקורסים והשתל' ,גמיש,0.00%,"-15,000","-15,000","-16,835.50"
690,269100,1,,צילום מסמכים לצבור,גמיש,0.00%,"-5,000","-5,000","-4,731.40"
692,269100,1,,מכירת מכרזים      ,גמיש,-28.57%,"-100,000","-140,000","-77,800.00"
269100  סך הכל ,,,,שונות             ,,-25.00%,"-120,000","-160,000","-99,366.90"
0,269200,1,,הדבקת מודעות      , ,,                ,                ,
691,269200,1,,הכנסות ממחלקות    ,גמיש,0.00%,"-35,000","-35,000","-21,947.00"
269200  סך הכל ,,,,הדבקת מודעות      ,,0.00%,"-35,000","-35,000","-21,947.00"
0,269800,1,,יח'-תיכנון אסטרטגי, ,,                ,                ,
790,269800,1,,השתתפויות שונות   ,גמיש,0.00%,"-5,000","-5,000","-4,457.00"
269800  סך הכל ,,,,יח'-תיכנון אסטרטגי,,0.00%,"-5,000","-5,000","-4,457.00"
0,270000,1,,פיתוח כלכלי       , ,,                ,                ,
0,273000,1,,חברות עירוניות    , ,,                ,                ,
273000  סך הכל ,,,,חברות עירוניות    ,,0.00%,0,0,0
0,280000,1,,פיקוח עירוני      , ,,                ,                ,
0,281000,1,,פיקוח על חוקי עזר , ,,                ,                ,
0,281100,1,,פיקוח עירוני      , ,,                ,                ,
420,281100,1,,קנסות פיקוח עישון,גמיש,-18.75%,"-130,000","-160,000","-76,045.63"
422,281100,1,,אכיפת עישון - מתאר,גמיש,0.00%,"-20,000","-20,000","-2,194.10"
690,281100,1,,הכנסות שונות      ,גמיש,0.00%,"-11,000","-11,000","-10,209.00"
281100  סך הכל ,,,,פיקוח עירוני      ,,-15.71%,"-161,000","-191,000","-88,448.73"
0,281200,1,,רשות חניה         , ,,                ,                ,
420,281200,1,,קנסות  רשות חניה  ,גמיש,0.00%,"-17,000,000","-17,000,000","-15,516,930.18"
422,281200,1,,עמלות אכיפה - מילגם,גמיש,0.00%,"-2,900,000","-2,900,000","-2,583,140.78"
281200  סך הכל ,,,,רשות חניה         ,,0.00%,"-19,900,000","-19,900,000","-18,100,070.96"
0,282000,1,,בית המשפט העירוני , ,,                ,                ,
690,282000,1,,קנסות בית המשפט   ,גמיש,0.00%,"-3,000,000","-3,000,000","-3,375,797.19"
282000  סך הכל ,,,,בית המשפט העירוני ,,0.00%,"-3,000,000","-3,000,000","-3,375,797.19"
0,282100,1,,בית הדין למשמעת, ,,                ,                ,
282100  סך הכל ,,,,בית הדין למשמעת,,0.00%,0,0,0
0,300000,1,,שרותים ממלכתיים   , ,,                ,                ,
0,310000,1,,החינוך הפורמלי    , ,,                ,                ,
0,311000,1,,מינהל החינוך      , ,,                ,                ,
0,311100,1,,מינהלת הח' הפורמלי, ,,                ,                ,
420,311100,1,,הכנ' בגין ילדי חוץ,גמיש,0.00%,"-170,000","-170,000","-38,396.00"
421,311100,1,,"הכנסות שמ""ש",גמיש,0.00%,"-240,000","-240,000","-209,460.10"
422,311100,1,,פעולות מינהל החינוך,גמיש,0.00%,"-3,000","-3,000",0
423,311100,1,,מזנונים - אגף אירגון,גמיש,14.29%,"-80,000","-70,000","-72,446.42"
424,311100,1,,מזנונים - בתי ספר,גמיש,14.29%,"-400,000","-350,000","-293,699.72"
425,311100,1,,מחשב לכל ילד,גמיש,0.00%,"-40,500","-40,500","-8,100.00"
426,311100,1,,"השת' בי""ס למנב""סים",גמיש,0.00%,"-50,000","-50,000","-71,875.00"
427,311100,1,,"שמ""ש מיחשוב",גמיש,0.00%,0,0,"-659,148.10"
