חשבון,שם חשבון,תקציב יחסי,ביצוע יחסי,שריון יחסי,ביצוע + שריון יחסי,יתרת תקציב יחסי,אחוז ביצוע יחסי, תקציב שנתי , ביצוע  שנתי 
1098001431,חומרי ניקוי בית ספיר,"30,000","29,807.00",191,"29,998.00",2,99.99," 30,000 "," 29,807 "
1098001440,ביטוח,"16,200","16,121.00",0,"16,121.00",79,99.51," 16,200 "," 16,121 "
1098001750,שמירה,"135,000","109,376.21","5,619.00","114,995.21","20,004.79",85.18," 135,000 "," 109,376 "
1098001751,נקיון קבלני,"270,000","154,859.27","1,889.73","156,749.00","113,251.00",58.05," 270,000 "," 154,859 "
1098001780,אחרות עיריה,"15,000","11,704.83","3,133.88","14,838.71",161.29,98.92," 15,000 "," 11,705 "
1098001810,ישירות בית ספיר,0,0,0,0,0,0, -   , -   
1098001930,ציוד יסודי,"8,000","6,045.10","1,477.90","7,523.00",477,94.03," 8,000 "," 6,045 "
1098001997,העברה ישירה,0,0,0,0,0,0, -   , -   
1098001998,נגדי בית ספיר,"-969,400","-878,062.62",0,"-878,062.62","-91,337.38",90.57," -969,400 "," -878,063 "
1098001999,נגדי שכר,"-3,180,200","-3,188,077.96",0,"-3,188,077.96","7,877.96",100.24," -3,180,200 "," -3,188,078 "
1098003110,משכורת ושלב משולב,"1,234,700","1,259,120.50",0,"1,259,120.50","-24,420.50",101.97," 1,234,700 "," 1,259,121 "
1098003130,שעות נוספות,"49,100","97,064.40",0,"97,064.40","-47,964.40",197.68," 49,100 "," 97,064 "
1098003140,אחזקת רכב עובדים,"65,400","65,185.61",0,"65,185.61",214.39,99.67," 65,400 "," 65,186 "
1098003210,שכר,"180,000","176,252.54",0,"176,252.54","3,747.46",97.91," 180,000 "," 176,253 "
1098003420,תחזוקת מבני עירייה,"2,294,000","2,282,370.88",188.8,"2,282,559.68","11,440.32",99.5," 2,294,000 "," 2,282,371 "
1098003421,אחזקת חשמל,"250,000","204,383.91","6,733.33","211,117.24","38,882.76",84.44," 250,000 "," 204,384 "
1098003422,ועדי בתים,"48,000","40,920.00",0,"40,920.00","7,080.00",85.25," 48,000 "," 40,920 "
1098003772,מים למוסדות,"2,820,000","2,819,581.30",0,"2,819,581.30",418.7,99.98," 2,820,000 "," 2,819,581 "
1098003930,רכישות מיוחדות,0,0,0,0,0,0, -   , -   
1098003998,נגדי אחזקה,"-5,412,000","-5,347,256.09",0,"-5,347,256.09","-64,743.91",98.8," -5,412,000 "," -5,347,256 "
1098003999,נגדי שכר,"-1,529,200","-1,597,623.05",0,"-1,597,623.05","68,423.05",104.47," -1,529,200 "," -1,597,623 "
1098004110,שכר אחזקה אולמות ספורט,"2,221,700","1,805,999.99",0,"1,805,999.99","415,700.01",81.28," 2,221,700 "," 1,806,000 "
1098004130,שעות נוספות,"59,100","67,434.85",0,"67,434.85","-8,334.85",114.1," 59,100 "," 67,435 "
1098004140,אחזקת רכב עובדים,"193,500","201,006.76",0,"201,006.76","-7,506.76",103.87," 193,500 "," 201,007 "
1098004210,שכר,"131,400","35,921.09",0,"35,921.09","95,478.91",27.33," 131,400 "," 35,921 "
1098004421,אחזקת אולמות ספורט,"300,000","299,256.20",543.2,"299,799.40",200.6,99.93," 300,000 "," 299,256 "
1098004750,נקיון קבלני,"30,900","22,010.97","6,389.03","28,400.00","2,500.00",91.9," 30,900 "," 22,011 "
1098004751,נקיון קבלני מגרשים,"60,000","60,000.00",0,"60,000.00",0,100," 60,000 "," 60,000 "
1098004780,הוצאות שונות,"72,500","63,377.10","4,020.00","67,397.10","5,102.90",92.96," 72,500 "," 63,377 "
1098004930,רכישות מיחודות,"12,000","7,046.92",800,"7,846.92","4,153.08",65.39," 12,000 "," 7,047 "
1098004998,נגדי אולמות ספורט,"-475,400","-451,691.19",0,"-451,691.19","-23,708.81",95.01," -475,400 "," -451,691 "
1098004999,נגדי שכר,"-2,605,700","-2,110,362.69",0,"-2,110,362.69","-495,337.31",80.99," -2,605,700 "," -2,110,363 "
1111100100,ארנונה כללית למגורים,"-280,300,000","-283,334,541.49",239,"-283,334,302.49","3,034,302.49",101.08," -280,300,000 "," -283,334,541 "
1111200100,ארנונה פיגורים,"-12,000,000","-9,793,078.52",0,"-9,793,078.52","-2,206,921.48",81.6," -12,000,000 "," -9,793,079 "
1113000110,הנחות ממון ארנונה מראש,0,0,0,0,0,0, -   , -   
1117000110,הנחות ממיסים,"-43,000,000","-44,183,000.00",0,"-44,183,000.00","1,183,000.00",102.75," -43,000,000 "," -44,183,000 "
1117000690,החזר אגרות בית משפט,"-463,800","-144,885.45",0,"-144,885.45","-318,914.55",31.23," -463,800 "," -144,885 "
1121000220,אגרות רשיונות לשלטים,"-105,000","-165,896.20",0,"-165,896.20","60,896.20",157.99," -105,000 "," -165,896 "
1122000220,הכנסות מפרסום חוצות,"-1,900,000","-2,161,492.00",0,"-2,161,492.00","261,492.00",113.76," -1,900,000 "," -2,161,492 "
1122000221,אגרת רשיונות,"-2,756,000","-3,611,738.78",0,"-3,611,738.78","855,738.78",131.05," -2,756,000 "," -3,611,739 "
1124000220,מודעות ופרסומים,"-120,000","-120,697.20",0,"-120,697.20",697.2,100.58," -120,000 "," -120,697 "
1190000913,שיפוי קופת גמל,"-60,000","-35,554.00",0,"-35,554.00","-24,446.00",59.25," -60,000 "," -35,554 "
1190000916,פנסיה צוברת,"-250,000","-218,107.00",0,"-218,107.00","-31,893.00",87.24," -250,000 "," -218,107 "
1191000910,מענק לאיזון,0,0,0,0,0,0, -   , -   
1192000910,מענקים חד פעמיים,0,0,0,0,0,0, -   , -   
1196000990,בחירות החזר הוצאות,0,0,0,0,0,0, -   , -   
1212000710,השתתפות החברה הכלכלית,0,0,0,0,0,0, -   , -   
1212300220,אגרת סלוק אשפה ופסולת,0,0,0,0,0,0, -   , -   
1212300690,הכנסות ממחזור,"-954,000","-881,604.06",0,"-881,604.06","-72,395.94",92.41," -954,000 "," -881,604 "
1212300990,מענק תמריץ בית אב,"-5,162,000","-5,171,152.00",0,"-5,171,152.00","9,152.00",100.17," -5,162,000 "," -5,171,152 "
1212310990,השתת איכות הסביבה בהשתלמויות,0,0,0,0,0,0, -   , -   
1213000210,הכנסות מחילוץ אריזות,"-1,530,000","-1,422,426.74",0,"-1,422,426.74","-107,573.26",92.96," -1,530,000 "," -1,422,427 "
1213000220,למלאכה ותעשיה,"-200,000","-154,049.60",0,"-154,049.60","-45,950.40",77.02," -200,000 "," -154,050 "
1213300610,סדנת קיימות ושונות,0,0,0,0,0,0, -   , -   
1214200220,דמי בדיקת בשר קפוא,"-120,000","-88,067.00",0,"-88,067.00","-31,933.00",73.38," -120,000 "," -88,067 "
1214300420,קנסות וטרינר אגף הכנסות,"-20,000","-26,000.00",0,"-26,000.00","6,000.00",130," -20,000 "," -26,000 "
1215000990,השתתפות בהדברת יתושים,"-30,000",0,0,0,"-30,000.00",0," -30,000 ", -   
1220000990,הכנסות מצילה,0,0,0,0,0,0, -   , -   
1221000990,הכנסות מצילה,0,0,0,0,0,0, -   , -   
1221000991,משרד בטחון פנים עיר ללא אלימות,"-974,000","-1,164,231.00",0,"-1,164,231.00","190,231.00",119.53," -974,000 "," -1,164,231 "
1222000910,משמר אזרחי,"-25,000","-11,142.00",0,"-11,142.00","-13,858.00",44.56," -25,000 "," -11,142 "
1223000710,השת עיריות-בהגא,"-125,000","-118,639.00",0,"-118,639.00","-6,361.00",94.91," -125,000 "," -118,639 "
1231000220,הכנסות בעד שירותים,"-150,000","-236,044.46",0,"-236,044.46","86,044.46",157.36," -150,000 "," -236,044 "
1231000221,אגרות הנדסה גביה,0,0,0,0,0,0, -   , -   
1231000410,הכנסות שונות והריסת בתים,0,0,0,0,0,0, -   , -   
1233100220,אגרת בניה,"-4,000,000","-4,751,846.01",0,"-4,751,846.01","751,846.01",118.79," -4,000,000 "," -4,751,846 "
1242000540,החזר מחברת בטוח,0,0,0,0,0,0, -   , -   
1243000540,החזר מחברת בטוח,"-99,000","-99,100.00",0,"-99,100.00",100,100.1," -99,000 "," -99,100 "
1246100410,הכנסות מפארק,"-200,000","-77,578.40",0,"-77,578.40","-122,421.60",38.78," -200,000 "," -77,578 "
1246101410,הכנסות פינת חי,"-200,000","-44,731.40",0,"-44,731.40","-155,268.60",22.36," -200,000 "," -44,731 "
1252100410,מועצת נשים,"-28,000","-51,785.00",0,"-51,785.00","23,785.00",184.94," -28,000 "," -51,785 "
1255000410,מועצת נשים,0,0,0,0,0,0, -   , -   
1269000410,הכנסות מחסויות,"-50,000",0,0,0,"-50,000.00",0," -50,000 ", -   
1269000420,והדרת פני זקן הכנס,"-30,000","-27,671.00",0,"-27,671.00","-2,329.00",92.23," -30,000 "," -27,671 "
1269000510,החזרים משנים קודמו,"-7,900,000","-6,694,428.08",0,"-6,694,428.08","-1,205,571.92",84.73," -7,900,000 "," -6,694,428 "
1269000661,הכנסות מהקדמת תשלום,"-425,000","-314,215.94",0,"-314,215.94","-110,784.06",73.93," -425,000 "," -314,216 "
1269000662,הכנסות שונות דיבידנד,"-1,600,000","-570,409.40",0,"-570,409.40","-1,029,590.60",35.65," -1,600,000 "," -570,409 "
1269000690,הכנסות מריבית,0,0,0,0,0,0, -   , -   
1269000790,הכנסות שונות,"-100,000","-154,164.03",0,"-154,164.03","54,164.03",154.16," -100,000 "," -154,164 "
1269001692,השתתפות בשירותי תמיכה,0,0,0,0,0,0, -   , -   
1282000690,קנסות בתי משפט,"-665,000","-199,022.15",0,"-199,022.15","-465,977.85",29.92," -665,000 "," -199,022 "
1282000691,קנסות בית משפט חניה,"-50,000","-66,418.50",0,"-66,418.50","16,418.50",132.83," -50,000 "," -66,419 "
1282000692,קנסות בית משפט הנדסה,"-130,000","-61,929.00",0,"-61,929.00","-68,071.00",47.63," -130,000 "," -61,929 "
1282000693,הוצאות משפטיות גביה,"-30,000","-27,618.03",0,"-27,618.03","-2,381.97",92.06," -30,000 "," -27,618 "
1282000694,קנסות בית משפט רשוי עסקים,"-200,000","-99,148.50",0,"-99,148.50","-100,851.50",49.57," -200,000 "," -99,149 "
1282000695,הכנסות פיקוח משולב,0,"-282,014.68",0,"-282,014.68","282,014.68",0, -   ," -282,015 "
1282000696,עמלת תקבול וכ אשראי פיקוח משול,0,"3,991.29",0,"3,991.29","-3,991.29",0, -   ," 3,991 "
1282000710,תשלומי רשויות שכר שופטים,"17,000","-1,673.40",0,"-1,673.40","18,673.40",-9.84," 17,000 "," -1,673 "
1291000100,ארנונה על אדמה חקלאית,"-200,000","-216,000.00",0,"-216,000.00","16,000.00",108," -200,000 "," -216,000 "
1311000540,החזר מחברת הביטוח,"-100,000","-10,383.50",0,"-10,383.50","-89,616.50",10.38," -100,000 "," -10,384 "
1311000920,הרשאות משרד החינוך,"-364,200","-556,463.99",0,"-556,463.99","192,263.99",152.79," -364,200 "," -556,464 "
1312000220,פרויקט ספריית פיג'מה,"-220,000","-158,520.00",0,"-158,520.00","-61,480.00",72.05," -220,000 "," -158,520 "
1312200220,אגרת חינוך גני ילדים,"-190,400","-57,318.84",0,"-57,318.84","-133,081.16",30.1," -190,400 "," -57,319 "
1312200410,תלמידי חוץ,"-240,000","-222,605.00",0,"-222,605.00","-17,395.00",92.75," -240,000 "," -222,605 "
1312200920,השתתפות הממשלה לגנ,"-7,104,500","-7,440,444.51",0,"-7,440,444.51","335,944.51",104.72," -7,104,500 "," -7,440,445 "
1312200921,חומרים ממשלה,"-71,200","-68,731.00",0,"-68,731.00","-2,469.00",96.53," -71,200 "," -68,731 "
1312200928,גננות עובדות מדינה מקבילים,"-9,849,900","-9,639,310.00",0,"-9,639,310.00","-210,590.00",97.86," -9,849,900 "," -9,639,310 "
1312201410,הכ' מריתמוסיקה,"-388,400","-335,006.45",0,"-335,006.45","-53,393.55",86.25," -388,400 "," -335,006 "
1312210922,"סייעות חנ""מ חובה","-622,300","-770,541.08",0,"-770,541.08","148,241.08",123.82," -622,300 "," -770,541 "
1312300410,שכר למוד גני ילדים,0,"-24,653.08",0,"-24,653.08","24,653.08",0, -   ," -24,653 "
1312300440,דמי שימוש גני ילדי,0,0,0,0,0,0, -   , -   
1312300920,השתתפות הממשלה לגנ,"-13,870,000","-13,888,267.91",0,"-13,888,267.91","18,267.91",100.13," -13,870,000 "," -13,888,268 "
1312300921,השתתפות סייעות טורם חובה,"-5,309,300","-6,881,718.59",0,"-6,881,718.59","1,572,418.59",129.61," -5,309,300 "," -6,881,719 "
1312310922,"סייעות חנ""מ טורם חובה","-230,000","-397,262.73",0,"-397,262.73","167,262.73",172.72," -230,000 "," -397,263 "
1312310923,הכנסות בגין הוצ' תפעול,"-1,820,700","-1,815,188.85",0,"-1,815,188.85","-5,511.15",99.69," -1,820,700 "," -1,815,189 "
1312500410,יולא גני ילדים,"-31,716,200","-32,078,216.94",0,"-32,078,216.94","362,016.94",101.14," -31,716,200 "," -32,078,217 "
1312610410,הכנסות מועדונית חינוך מיוחד,0,"-148,421.14",0,"-148,421.14","148,421.14",0, -   ," -148,421 "
1312800920,קיטנות גני  ילדים ממשלה,"-200,000","-314,739.16",0,"-314,739.16","114,739.16",157.36," -200,000 "," -314,739 "
1313200220,אגרת חינוך יסודי,"-341,600","-315,022.40",0,"-315,022.40","-26,577.60",92.21," -341,600 "," -315,022 "
1313200410,שכר לימוד מילדי חו,"-1,256,500","-1,374,164.00",0,"-1,374,164.00","117,664.00",109.36," -1,256,500 "," -1,374,164 "
1313200490,תלן אנגלית,"-850,000","-940,340.00",0,"-940,340.00","90,340.00",110.62," -850,000 "," -940,340 "
1313200920,השתתפות הממשלה לבת,"-5,400,700","-5,471,907.02",0,"-5,471,907.02","71,207.02",101.31," -5,400,700 "," -5,471,907 "
1313200921,חומרים,"-237,100","-220,138.00",0,"-220,138.00","-16,962.00",92.84," -237,100 "," -220,138 "
1313200922,השתתות מזכירים,"-1,731,300","-1,729,945.77",0,"-1,729,945.77","-1,354.23",99.92," -1,731,300 "," -1,729,946 "
1313200923,השתתות סייעות,0,0,0,0,0,0, -   , -   
1313200924,הקצבות משרד החינוך,"-630,000","-551,451.28",0,"-551,451.28","-78,548.72",87.53," -630,000 "," -551,451 "
1313200925,סל תלמיד לעולה יסודי,"-20,000","-20,118.17",0,"-20,118.17",118.17,100.59," -20,000 "," -20,118 "
1313200926,"השתתפות משה""ח בטיולים - יסודי",0,"-32,467.00",0,"-32,467.00","32,467.00",0, -   ," -32,467 "
1313200928,דמי שיכפול,"-128,600","-113,313.00",0,"-113,313.00","-15,287.00",88.11," -128,600 "," -113,313 "
1313200929,השתת  חינוך באחזקה,"-502,300","-505,028.50",0,"-505,028.50","2,728.50",100.54," -502,300 "," -505,029 "
1313200930,"השתתפות משה""ח בטיולים - יסודי",0,0,0,0,0,0, -   , -   
1313200940,בריאות השן,"-154,000",0,0,0,"-154,000.00",0," -154,000 ", -   
1313203921,השתתפות בסייעות כיתתיות,"-3,276,700","-2,466,179.14",0,"-2,466,179.14","-810,520.86",75.26," -3,276,700 "," -2,466,179 "
1313203922,"השתתפות בסייעות חנ""מ","-4,902,300","-5,392,801.78",0,"-5,392,801.78","490,501.78",110," -4,902,300 "," -5,392,802 "
1313600410,הכנסות מחוגים בתי תלמיד,"-50,000","-24,201.27",0,"-24,201.27","-25,798.73",48.4," -50,000 "," -24,201 "
1313600420,הכנסות מול הוצאות,"-1,600,000","-1,572,475.59",0,"-1,572,475.59","-27,524.41",98.27," -1,600,000 "," -1,572,476 "
1313600640,הכנסות משכירות בתי תלמיד,"-950,000","-1,123,260.99",0,"-1,123,260.99","173,260.99",118.23," -950,000 "," -1,123,261 "
1313610411,הכנסות קלוב תעופה,"-185,000","-156,330.92",0,"-156,330.92","-28,669.08",84.5," -185,000 "," -156,331 "
1313700420,פעילות קהילתית  חווה,"-5,000",0,0,0,"-5,000.00",0," -5,000 ", -   
1313700610,מכירת תוצרת בחוות,0,"-16,780.00",0,"-16,780.00","16,780.00",0, -   ," -16,780 "
1313700920,השתתפות הממשלה לחו,"-154,000","-299,840.66",0,"-299,840.66","145,840.66",194.7," -154,000 "," -299,841 "
1313800420,הכנסות הורים בית ספר של החופש,"-880,000","-925,751.00",0,"-925,751.00","45,751.00",105.19," -880,000 "," -925,751 "
1313800440,הכנסות בגין הרצאות כנגד הוצאות,0,0,0,0,0,0, -   , -   
1313800920,הכנסות ממשלה בית ספר של החופש,"-702,000","-760,365.12",0,"-760,365.12","58,365.12",108.31," -702,000 "," -760,365 "
1314000220,א.חינוך חטיבות,"-139,400","-129,432.16",0,"-129,432.16","-9,967.84",92.84," -139,400 "," -129,432 "
1314000223,תלמידי חוץ,"-369,500","-34,929.72",0,"-34,929.72","-334,570.28",9.45," -369,500 "," -34,930 "
1314000420,הכנסות מהורים,"-11,000","-11,000.00",0,"-11,000.00",0,100," -11,000 "," -11,000 "
1314000920,השתת' ממשלה בחטי,"-6,448,000","-5,953,860.11",0,"-5,953,860.11","-494,139.89",92.33," -6,448,000 "," -5,953,860 "
1314000921,דמי שיכפול,"-57,000","-49,758.50",0,"-49,758.50","-7,241.50",87.29," -57,000 "," -49,759 "
1314000922,הצטידות במעבדות,"-122,000","-113,458.50",0,"-113,458.50","-8,541.50",92.99," -122,000 "," -113,459 "
1314000925,סל תלמיד לעולה חטיבות,"-30,000","-9,105.41",0,"-9,105.41","-20,894.59",30.35," -30,000 "," -9,105 "
1314000926,"השתתפות משה""ח בטיולים -חטיבות",0,0,0,0,0,0, -   , -   
1314000930,"השתתפות משה""ח בטיולים -חטיבות",0,0,0,0,0,0, -   , -   
1314001922,"השתתפות סייעות חנ""מ","-578,300","-719,754.22",0,"-719,754.22","141,454.22",124.46," -578,300 "," -719,754 "
1315000490,אגרת שרותיחוץ חטב',"-1,600,000","-1,763,298.00",0,"-1,763,298.00","163,298.00",110.2," -1,600,000 "," -1,763,298 "
1315000923,אליפות עולם נבחרות ספורט,0,"-27,594.96",0,"-27,594.96","27,594.96",0, -   ," -27,595 "
1315001922,"השתתפות סייעות חנ""מ","-304,000","-148,275.61",0,"-148,275.61","-155,724.39",48.77," -304,000 "," -148,276 "
1315008220,אגרת תלמיד,"-4,100",0,0,0,"-4,100.00",0," -4,100 ", -   
1315008420,בחינות בגרות דמוקרטי,"-1,000","-1,470.00",0,"-1,470.00",470,147," -1,000 "," -1,470 "
1315008920,הכנסות דמוקרטי,"-1,943,400","-2,491,915.98",0,"-2,491,915.98","548,515.98",128.22," -1,943,400 "," -2,491,916 "
1315008925,דמי שיכפול דמוקרטי,"-1,900","-1,342.00",0,"-1,342.00",-558,70.63," -1,900 "," -1,342 "
1315008926,"השתתפות משה""ח בטיולים -דמוקרטי",0,"-3,522.00",0,"-3,522.00","3,522.00",0, -   ," -3,522 "
1315008930,"השתתפות משה""ח בטיולים ת. דמוקר",0,0,0,0,0,0, -   , -   
1315010220,בטוח תלמידים  כצנלסון,"-34,000","-29,212.00",0,"-29,212.00","-4,788.00",85.91," -34,000 "," -29,212 "
1315010420,בחינות בגרות,"-7,000","-5,820.00",0,"-5,820.00","-1,180.00",83.14," -7,000 "," -5,820 "
1315010920,השתתפות ממשלה כצנלסון,"-13,630,300","-13,673,646.11",0,"-13,673,646.11","43,346.11",100.31," -13,630,300 "," -13,673,646 "
1315010924,השתתפות ממשלה מגמות יחוד,"-31,500","-18,678.50",0,"-18,678.50","-12,821.50",59.29," -31,500 "," -18,679 "
1315010925,דמי שיכפול כצנלסון,"-16,000","-7,958.50",0,"-7,958.50","-8,041.50",49.74," -16,000 "," -7,959 "
1315010926,"השתתפות משה""ח בטיולים - כצנלסו",0,0,0,0,0,0, -   , -   
1315010927,סל תלמיד לעולה,"-4,700","-1,392.00",0,"-1,392.00","-3,308.00",29.61," -4,700 "," -1,392 "
1315010930,"השתתפות משה""ח בטיולים - כצנלסו",0,0,0,0,0,0, -   , -   
1315020220,בטוח תלמידים גלילי,"-30,400","-27,456.00",0,"-27,456.00","-2,944.00",90.31," -30,400 "," -27,456 "
1315020420,בחינות בגרות גלילי,"-5,800","-6,330.00",0,"-6,330.00",530,109.13," -5,800 "," -6,330 "
1315020920,השתתפות ממשלה גלילי,"-12,353,200","-12,155,773.83",0,"-12,155,773.83","-197,426.17",98.4," -12,353,200 "," -12,155,774 "
1315020923,תגבור לימודי יהדות גלילי,"-148,400",0,0,0,"-148,400.00",0," -148,400 ", -   
1315020924,חומרי מלאכה,"-29,200","-16,649.50",0,"-16,649.50","-12,550.50",57.01," -29,200 "," -16,650 "
1315020925,דמי שיכפול גלילי,"-14,700","-6,869.50",0,"-6,869.50","-7,830.50",46.73," -14,700 "," -6,870 "
1315020926,"השתתפות משה""ח בטיולים - גלילי",0,0,0,0,0,0, -   , -   
1315020927,סל תלמיד לעולה,"-8,200","-1,200.00",0,"-1,200.00","-7,000.00",14.63," -8,200 "," -1,200 "
1315020930,"השתתפות משה""ח בטיולים - גלילי",0,0,0,0,0,0, -   , -   
1315030220,בטוח תלמידים הרצוג,"-32,400","-27,412.00",0,"-27,412.00","-4,988.00",84.6," -32,400 "," -27,412 "
1315030420,בחינות בגרות הרצוג,"-7,900","-4,860.00",0,"-4,860.00","-3,040.00",61.51," -7,900 "," -4,860 "
1315030920,השתתפות ממשלה היובל,"-14,452,600","-14,758,569.99",0,"-14,758,569.99","305,969.99",102.11," -14,452,600 "," -14,758,570 "
1315030923,תגבור לימודי יהדות הרצוג,"-6,700",0,0,0,"-6,700.00",0," -6,700 ", -   
1315030924,חומרי מלאכה,"-30,200","-17,087.00",0,"-17,087.00","-13,113.00",56.57," -30,200 "," -17,087 "
1315030925,דמי שיכפול היובל,"-15,100","-10,741.50",0,"-10,741.50","-4,358.50",71.13," -15,100 "," -10,742 "
1315030926,"השתתפות משה""ח בטיולים - הרצוג",0,"-27,790.00",0,"-27,790.00","27,790.00",0, -   ," -27,790 "
1315030927,סל תלמיד לעולה,"-2,600",0,0,0,"-2,600.00",0," -2,600 ", -   
1315030930,"השתתפות משה""ח בטיולים - הרצוג",0,0,0,0,0,0, -   , -   
1315040220,בטוח תלמידים רבין,"-29,900","-2,954.00",0,"-2,954.00","-26,946.00",9.87," -29,900 "," -2,954 "
