חשבון ,פרק,שם חשבון ,מחלקה ,מקורי 2015 ,ביצוע עד ספטמ,תקציב 2016-כו,תקציב בסיס 2016
1212300651,21,חוק האריזות ,6712300,"-1,000,000","-214,700","-734,000","-734,000"
1212300652,21,"תאגיד אל""ה ",6712300,0,0,0,0
1212300670,21,פינוי נייר ובקבוקי פלסטיק,6712300,"-277,000",0,"-300,000","-300,000"
1212300690,21,קיזוז מקבלנים - וונדליזם ,6712300,0,0,0,0
1213300290,21,פיקוח על עסקים ומוסדות ,6713300,"-300,000","-219,600","-286,000","-286,000"
1214200290,21,פיקוח - חיסוני כלבים ,6714200,"-550,000","-367,000","-491,000","-491,000"
1214200291,21,קנסות - ווטרינר ,6714200,0,0,0,0
1214200292,21,הסגר כלבים בכלבייה ,6714200,"-10,000",0,"-10,000","-10,000"
1214200690,21,השתתפות שכר ווטרינר-בדיקו,6714200,"-233,000","-260,200","-450,000","-450,000"
1214200910,21,בדיקות בשר עופות ודגים ,6714200,"-415,000","-133,500","-500,000","-500,000"
1214200911,21,ב/בשר דגים-עצמיות ,6714200,"-150,000","-120,600","-150,000","-150,000"
1214200960,21,סירוס חתולים - מ.החקלאות ,6714200,"-200,000",0,"-200,000","-200,000"
1222000910,22,החזר משא'ז ,1722100,"-25,000",0,0,0
1232000220,23,אגרות תיכנון עיר ,3732000,"-160,000","-64,300",0,0
1233100290,23,אגרת רשיונות בניה ,3733101,"-10,500,000","-11,371,400","-11,000,000","-11,000,000"
1233300290,23,תיקון מבנים מסוכנים ,3731000,"-300,000","-29,200","-36,000","-36,000"
1241000290,24,שילוט-תמלוגים ,3930000,"-3,325,000","-1,191,000","-2,000,000","-2,000,000"
1241000640,24,"הכנסות משצפי""ם ",3930000,"-2,000,000","-1,866,900","-3,500,000","-3,500,000"
1242000410,24,דמי שימוש במדרכה ,6781000,"-1,800,000","-620,800","-1,800,000","-1,800,000"
1244400990,24,מ.התחבורה - סימון כבישים ,6742000,0,0,0,0
1244500991,24,מטה בטיחות עירוני ,4744500,0,0,0,0
1246200690,24,גינון עורף הנמל ,6746102,0,0,0,0
1249000490,24,קנסות מפיקוח - איכות הסבי,6879000,"-60,000","-21,200","-29,000","-29,000"
1249000990,24,מ.איכות סביבה - כנסים ו א,6879000,"-240,000",0,"-200,000","-200,000"
1249000991,24,קולות קוראים איכות סביבה ,6879000,"-75,000",0,"-75,000","-75,000"
1261000290,26,שרותי מוקד לתאגיד יובלים ,6761000,"-300,000","-225,000","-300,000","-300,000"
1262000261,26,שירותי מוקד עירוני ,6761000,"-20,000","-20,000","-25,000","-25,000"
1262000420,26,מידע לציבור ,6762000,"-2,000","-2,100","-2,000","-2,000"
1264000610,26,תרבות הדיור ,6764000,"-7,700","-7,700","-8,000","-8,000"
1269000510,26,זיכויים - חב' לאוטומציה ,1611305,"-212,000","-141,600",0,0
1269000610,26,מכירת טפסי מיכרזים ,1611304,"-350,000","-214,500","-300,000","-300,000"
1269000690,26,הכנ' שכר כוננים במשכן ,1611305,"-51,000","-40,000","-51,000","-51,000"
1269003490,26,מועצת נשים ,1769003,"-31,000",0,"-31,000","-31,000"
1274700990,27,מ.איכות הסביבה-נקיון חופי,6747200,"-54,600","-9,100","-55,000","-55,000"
1274700991,27,הכנסות א.הסביבה טיפול בזי,6747200,0,0,0,0
1281000290,28,פיקוח על חו'ע ,6781000,"-150,000","-32,000","-150,000","-150,000"
1281000291,28,קנסות בימ'ש ,6781000,"-4,500,000","-1,553,300","-4,000,000","-4,000,000"
1281001290,28,פיקוח על החניה ,6781001,"-6,800,000","-4,238,500","-6,800,000","-6,800,000"
1281001291,28,מדחני צג ,6781001,"-1,600,000","-383,200","-900,000","-900,000"
1281001292,28,מדחני כרטיס ,6781001,"-1,500,000","-6,700","-16,000","-16,000"
1281001293,28,הכנסות בגין קיזוז מקבלן-ח,6781001,"-1,200,000","-684,400","-1,200,000","-1,200,000"
1281001295,28,איזי פארק ,6781001,"-39,000","-38,800","-39,000","-39,000"
1281001296,28,הכנסה בגין אכיפה מנהלית ,6781001,"-6,500,000","-3,882,300","-6,500,000","-6,500,000"
1281001297,28,"באמצעות טלפון סלולרי ""פאנ",6781001,"-230,000","-365,600","-300,000","-300,000"
1281001298,28," באמצעות טלפון סלולרי""סלו",6781001,"-41,000","-12,200","-18,000","-18,000"
1311000650,31,שכירות ,4811000,0,0,0,0
1311000920,31,תקשוב לאומי ,4811000,0,"-269,800","-600,000","-600,000"
1312100420,31,סל תרבות ,4812100,"-5,600,000","-3,837,300","-5,500,000","-5,500,000"
1312100421,31,פעילות גנים מדעיים ,4812100,"-120,000","-73,200","-40,000","-40,000"
1312100924,31,"תכנית שמיד גנ""י ",4812100,"-342,000","-53,900","-342,000","-342,000"
1312200920,31,גיל חובה-שיפוצים ,4812200,"-88,000","-81,500","-100,000","-100,000"
1312200921,31,גיל חובה/חומרים ,4812200,"-110,000","-27,200","-150,000","-150,000"
1312200922,31,גיל חובה/שכר סייעות ,4812200,"-12,900,000","-9,519,500","-14,102,000","-13,800,000"
1312300420,31,ט.חובה/תשלומי הורים ,4812300,0,"-68,100",0,0
1312300920,31,גנ'י/ילדי סטיה והשלמ'מ ,4812300,"-32,000,000","-23,602,000","-42,701,000","-38,500,000"
1312500420,31,צהרונים /יול'ה ,4812500,"-20,600,000","-12,747,600","-21,600,000","-21,600,000"
1312500421,31,גני מועד'וצהר'/דמי רישום ,4812500,"-440,000",0,"-440,000","-440,000"
1312501420,31,פנימיות יום-גנ'י ,4812500,"-95,000","-71,900","-85,000","-85,000"
1312501920,31,פנמיות יום -גנ'י ,4812500,"-80,000","-34,100","-54,000","-54,000"
1312800420,31,קייטנה חודש לימודים ,4812800,0,0,0,0
1313200440,31,הכנסות מתקשורת סלולרית ,4813200,0,0,0,0
1313200920,31,שרתים/מזכירים/סייעות ,4813200,"-31,000,000","-25,070,800","-34,000,000","-34,000,000"
1313200924,31,תכנית שמיד חינוך יסודי ,4813200,"-612,000","-273,000","-612,000","-612,000"
1313201420,31,פנימיות יום-הורים ,4813200,"-360,000","-297,600","-360,000","-360,000"
1313202420,31,קרב-תשלומי ההורים ,4813200,"-3,100,000","-2,858,700","-3,000,000","-3,000,000"
1313204920,31,ניהול עצמי ,4813200,"-3,300,000","-2,523,500","-3,300,000","-3,300,000"
1313205920,31,שיפוצים ,4813200,"-425,000","-407,700","-450,000","-450,000"
1313206920,31,שיכפולים/חומרים ,4813200,"-450,000","-98,900","-500,000","-500,000"
1313206921,31,חומרי מלאכה-מ.חינוך ,4813200,"-550,000","-108,000","-600,000","-600,000"
1313206922,31,אגרת עולים חדשים ,4813200,"-150,000","-86,000","-150,000","-150,000"
1313209920,31,בס של הקיץ ,4813200,"-3,000,000","-3,134,000","-2,500,000","-2,500,000"
1313500420,31,השתתפות מוסדות בפעילויות ,4813500,"-60,000",0,"-60,000","-60,000"
1313500920,31,שרתים מזכירים סייעות/חרדי,4813500,"-7,700,000","-5,156,000","-8,100,000","-7,700,000"
1313500921,31,ישיבות קטנות/שיפוצים/מ.ח.,4813500,"-540,000","-510,700","-530,000","-530,000"
1313500924,31,תכנית שמיד-חרדי ,4813500,"-972,000","-296,900","-972,000","-972,000"
1313500992,31,הכנסות משמירה ,4813500,"-2,650,000","-1,200,000","-3,070,000","-3,070,000"
1313505920,31,רווחה חינוכית ,4813500,"-250,000","-100,000","-200,000","-200,000"
1313508920,31,הסעים הכנסות משרד ,4813500,"-1,500,000","-600,000","-1,600,000","-1,600,000"
1313600920,31,מועדוניות בית ספריות ,4813600,"-680,000","-441,000","-850,000","-850,000"
1313700920,31,חוו חקלאיות/שרתים מזכירים,4813700,"-165,000","-143,000","-180,000","-180,000"
1315201420,31,בתי'ס עי'ס/פ.יום הורים ,4815200,"-30,000","-92,300","-31,000","-31,000"
1315202920,31,שיכפולים ,4815200,"-320,000","-23,800","-320,000","-320,000"
1315202921,31,חומרי מלאכה מ.חינוך ,4815200,"-650,000","-104,100","-650,000","-650,000"
1315202922,31,אגרת עולים חדשים ,4815200,"-150,000","-32,600","-150,000","-150,000"
1315203920,31,בתי'ס עי'ס/שיפוצים מ.ח ,4815200,"-385,000","-368,400","-400,000","-400,000"
1315204920,31,מנ'ע תגבורים ,4815200,"-450,000","-240,000","-450,000","-450,000"
1315204924,31,"תכנית שמיד-חינוך עי""ס ",4815100,"-337,500",0,"-338,000","-338,000"
1315206920,31,פרוייקט מניפה ,4815200,0,0,0,0
1315207650,31,שכירות קיוסקים ומכונות שת,4815200,"-125,700","-53,700","-110,000","-110,000"
1315208920,31,הכנסות מסבסוד טיולים ,4815200,0,0,0,0
1315501921,31,חט'ב/מקיף א' ,4815701,"-904,000","-681,800","-920,000","-920,000"
1315502921,31,חט'ב/מקיף ב' ,4815702,0,0,0,0
1315503921,31,עי'ס/חט'ב/מקיף ג' ,4815703,"-1,360,000","-1,014,900","-1,335,000","-1,335,000"
1315504921,31,עי'ס/חט'ב/מקיף ד' ,4815704,"-1,250,000","-893,700","-1,200,000","-1,200,000"
1315505921,31,ע'ס/חט'ב/מקיף ה' ,4815705,"-1,650,000","-1,023,700","-1,500,000","-1,500,000"
1315506921,31,בתי'ס עי'ס/מקיף ו' ,4815706,"-1,815,000","-1,144,100","-1,500,000","-1,500,000"
1315507921,31,עי'ס/חט'ב/מקיף ז' ,4815707,"-1,760,000","-1,141,400","-1,600,000","-1,600,000"
1315508921,31,עי'ס/חט'ב/מקיף ח' ,4815708,"-1,650,000","-1,049,400","-1,450,000","-1,450,000"
1315509921,31,בתי'ס עי'ס/חט'ב ט' ,4815709,"-1,750,000","-1,115,100","-1,500,000","-1,500,000"
1315510921,31,עי'ס/חט'ב/מקיף י' ,4815710,0,0,0,0
1315511921,31,בתי'ס עי'ס/אולפנא ,4815711,"-850,000","-564,700","-780,000","-780,000"
1315515921,31,"ישיבה תיכונית אמי""ת ",4815700,0,"-191,300","-250,000","-250,000"
1315516921,31,"מקיף יא חט""ב ",4815716,"-581,000","-519,000","-870,000","-870,000"
1315517921,31,מדרשה לבנות ,4815700,0,0,"-50,000","-50,000"
1315700926,31,עוז לתמורה ,4815700,0,"80,100",0,0
1315701920,31,בתי'ס עי'ס/מקיף א' ,4815701,"-12,300,000","-9,729,600","-13,500,000","-13,500,000"
1315702670,31,הכנסות מזיכויים מקיף ב' ,4815702,"-5,225,000","-3,457,300","-4,400,000","-4,400,000"
1315702920,31,בת'ס עי'ס/מקיף ב' ,4815702,0,"-3,100",0,0
1315703920,31,בתי'ס עי'ס/מקיף ג' ,4815703,"-15,600,000","-11,122,700","-15,000,000","-15,000,000"
1315704920,31,בתי'ס עי'ס/מקיף ד' ,4815704,"-17,000,000","-12,796,400","-17,000,000","-17,000,000"
1315705920,31,בתי'ס עי'ס/מקיף ה' ,4815705,"-17,500,000","-14,048,500","-18,800,000","-18,800,000"
1315706920,31,בתי'ס עי'ס/מקיף ו' ,4815706,"-13,650,000","-10,737,700","-14,200,000","-14,200,000"
1315707920,31,בתי'ס עי'ס/מקיף ז' ,4815707,"-14,700,000","-11,257,900","-14,900,000","-14,900,000"
1315708920,31,בתי'ס עי'ס/מקיף ח' ,4815708,"-14,200,000","-10,362,600","-14,100,000","-14,100,000"
1315709920,31,מקיף ט' ,4815709,"-14,500,000","-11,689,400","-15,600,000","-15,600,000"
1315710670,31,הכנסות מזיכויים מקיף י' ,4815710,"-6,200,000","-2,350,100","-3,100,000","-3,100,000"
1315710920,31,מקיף יוד חט'ע ,4815710,0,0,0,0
1315711920,31,בתי'ס עי'ס/אולפנא ,4815711,"-8,120,000","-6,632,700","-8,800,000","-8,800,000"
1315712920,31,בתי'ס עי'ס/ימי/שרת'+מז ,4815712,"-200,000","-163,400","-200,000","-200,000"
1315713920,31,בתי'ס עי'ס/אשכולות פיס ,4815713,"-420,000","-317,400","-470,000","-470,000"
1315714430,31,בתי'ס עי'ס/נ.הרצוג ,4815714,"-1,200,000","-258,700",0,0
1315715670,31,"זכויים לישיבה-רשת אמי""ת ",4817150,0,0,0,0
1316200420,31,פעילות לחיילים ,4816200,"-100,000","-57,100","-100,000","-100,000"
1316200970,31,הכנסות משרד הבטחון ,4816200,"-90,000","-35,500","-90,000","-90,000"
1316600650,31,חשמל-סמי שמעון ,4811000,"-570,000","-180,900","-600,000","-600,000"
1316802922,31,מלגות הכנסה מ. השיכון ,4816800,"-400,000","-89,700",0,0
1317100920,31,קבטי'ם-שכר ,4817100,"-570,000","-433,200","-580,000","-580,000"
1317100992,31,שמירה-השתת' משטרת ישראל ,4817100,"-4,300,000","-2,098,400","-4,700,000","-4,700,000"
1317200420,31,מרפ'ד הכנסות עצמיות ,4817200,"-20,000",0,"-25,000","-25,000"
1317300920,31,פסיכולוג חנוכי/שכר ,4817300,"-5,500,000","-3,887,400","-5,600,000","-5,600,000"
1317300921,31,פסיכולוג חנוכי/השתלמויות ,4817300,"-100,000","-112,100","-150,000","-150,000"
1317300924,31,תכנית שמיד שפי ,4817300,"-222,000","-151,000","-222,000","-222,000"
1317500420,31,ביטוח תלמידים ,4817500,"-1,630,000","-1,318,200","-2,600,000","-2,600,000"
1317600920,31,רווחה חינוכית ,4817600,"-1,520,000","-994,100","-1,500,000","-1,500,000"
1317600921,31,תוכנית שיקום שכונות ,4817600,"-600,000","-422,700","-600,000","-600,000"
1317700920,31,קב'סים__שכר ,4817700,"-1,150,000","-801,400","-1,160,000","-1,160,000"
1317701650,31,דמי שימוש שטחי פירסום ,4817700,"-300,000","-116,700","-300,000","-300,000"
1317701920,31,קבס'ים -קידום נוער ,4817700,"-385,000",0,"-385,000","-385,000"
1317701921,31,חונכות לתלמידים ,4817700,"-80,000","-43,400","-80,000","-80,000"
1317701924,31,תכנית שמיד-קידום נוער ,4817700,"-765,000","-301,800","-765,000","-765,000"
1317800920,31,הסעות ילדים -מ.ת.מ ,4817800,"-5,300,000","-2,230,100","-3,600,000","-3,600,000"
1317800921,31,לווי הסעות ,4817800,"-4,089,000",0,"-4,000,000","-4,000,000"
1317800922,31,הכנסה מכרטיסיות ,4817800,"-650,000","-468,300","-650,000","-650,000"
1317903430,31,שרותים אחרים/תלמידי חוץ ,4817900,"-1,500,000","-1,348,000","-1,500,000","-1,500,000"
1317904420,31,פרויקטים משותפים עם בתה'ס,4817900,"-300,000","-271,400","-400,000","-400,000"
1317906920,31,הצטיידות שונות הכנסות משר,4817900,"-3,500,000","-861,900","-3,000,000","-3,000,000"
1317909920,31,הזנה ונלוות/ח.מיוחד ,4817900,"-2,300,000","-2,433,500","-2,500,000","-2,500,000"
1318000410,31,ח.מבוגרים/הכנסות עצמיות ,4818000,"-170,000","-108,800","-200,000","-200,000"
1318000920,31,ח.מבוגרים/מת'מ/תהל'ה ,4818000,"-25,000","-68,000","-100,000","-100,000"
1318000990,31,ח.מבוגרים/מ.הקליטה ,4818000,"-200,000","-119,500","-150,000","-150,000"
1326402650,32,החזר הוצאות אחזקת אמפי ,1826400,0,0,0,0
1329201650,32,דמי שימוש -איצטדיונים ,1829200,"-4,200,000","-3,861,600","-4,200,000","-4,200,000"
1329201651,32,דמי שימוש במגרשי ספורט ,1829200,"-312,800","-387,300","-387,000","-387,000"
1329300921,32,סל הספורט-משרד החינוך ,1829300,"-700,000","-332,600","-600,000","-600,000"
1329300940,32,עיר בריאה ופעילה ,1829300,0,0,0,0
1332200940,33,משרד הבריאות - סל שיקום ,5832200,0,0,0,0
1332300940,33,השתתפות בגין בריאות השן ,5832300,0,0,0,0
1335000940,33,גיל הרך - שמיד ,5835000,"-225,000","-45,200","-225,000","-225,000"
1335001410,33,בריאות בקהילה - גביה עצמי,5835000,"-10,000",0,"-10,000","-10,000"
1335001940,33,תוכנית עידוד - שמיד ,5835000,"-54,000",0,0,0
1335001990,33,עיר ללא אלימות ,5835001,"-1,302,000","-1,186,000","-1,302,000","-1,302,000"
1335002940,33,עיר פעילה ובריאה ,5835000,0,0,0,0
1335003940,33,הדרכת הורים - שמיד ,5835000,"-21,000",0,0,0
1335003990,33,השתתפות משרדי ממשלה ,5835001,"-1,564,000","-1,335,700","-1,564,000","-1,564,000"
1341000930,34,מחשוב מחלקות רווחה ,5841000,"-171,000",0,"-206,000","-206,000"
1341001790,34,הרשות לשיקום האסיר ,5841000,"-90,000","-45,000","-90,000","-90,000"
1341001930,34,שכר עובדי המחלקה 1013410 ,5841000,"-18,224,600","-15,027,000","-18,852,000","-18,852,000"
1341001990,34,שיפוץ וציוד מ.רווחה השתתפ,5841000,"-150,000","-16,000",0,0
1341002930,34,סל בטיחות בסיסי 1014423 ,5841000,"-15,000",0,"-15,000","-15,000"
1341002990,34,רכזות משפחתונים-תמ'ת ,5841000,"-506,400","-332,800",0,0
1341003930,34,כ'א לחינוך מיוחד 1013500 ,5841000,"-299,000","-212,100","-303,000","-303,000"
1341005790,34,תרומות ,5841000,"-3,000",0,"-3,000","-3,000"
1341005930,34,פעולות ארגוניות 1014420 ,5841000,"-25,000",0,"-25,000","-25,000"
1341007930,34,בטחון עובדים מאבטחים 4424,5841000,"-48,000","-25,900","-49,000","-49,000"
1342200410,34,עזרה ביתית ,5842200,"-5,000","-6,600","-9,000","-9,000"
1342200730,34,מיזם הזנחה - ילד ונוער ,5842200,"-567,000","-359,300","-747,000","-747,000"
1342201930,34,מקלטים לנשים מוכות 025100,5842200,"-347,000","-129,700","-351,000","-351,000"
1342203930,34,משפחות במצוקה בקהילה 5410,5842200,"-523,500","-346,500","-530,000","-530,000"
1342205930,34,טיפול בדרי רחוב 1025510 ,5842200,"-750,000","-525,000","-966,000","-966,000"
1342206930,34,מס.ארציות לדרי רחוב 25511,5842200,"-226,000","-54,700","-229,000","-229,000"
1342207930,34,סיוע למשפחות עם ילדים 418,5842200,"-436,000","-330,500","-446,000","-446,000"
1342211930,34,צרכים מיוחדים שעת חרום 11,5842200,"-651,000","41,700","-701,000","-701,000"
1342212930,34,דרי רחוב רב בעייתי 025512,5842200,"-15,000",0,"-15,000","-15,000"
1342213930,34,מרכזי תעסוקה עירוניים 613,5842200,"-2,834,000",0,"-2,868,000","-2,868,000"
1342400410,34,בית הויס ,5842400,"-5,000",0,0,0
1342401930,34,סדנאות למשפחה 1026040 ,5842400,"-85,000",0,"-86,000","-86,000"
1342402930,34,טיפול בפרט ובמשפחה 026041,5842400,0,0,0,0
1342403930,34,מרכזי טיפול באלימות 26090,5842400,"-402,500","-296,300","-448,000","-448,000"
1342404930,34,מס. טיפ.לגברים אלימים 093,5842400,"-33,000","-45,000","-48,000","-48,000"
1342407930,34,תכנית למניעת אלימות 39630,5842400,"-29,000","-15,000","-29,000","-29,000"
1342408930,34,תחנות לטיפול במשפחה 26042,5842400,"-17,300","-12,900","-27,000","-27,000"
1342409930,34,נושמים לרווחה ,5842400,"-1,643,000","-523,700","-739,000","-739,000"
1343500410,34,מועדוניות ,5843500,"-240,000","-238,800","-320,000","-320,000"
1343500411,34,מועדוניות ועדת הנחות ,5843500,"-54,000",0,"-54,000","-54,000"
1343500930,34,ת. לאומית ילד ונוער 38400,5843500,"-2,162,000","-1,499,300","-2,023,000","-2,023,000"
1343501410,34,מועדוניות משותפות ,5843500,"-21,000","-23,000","-30,000","-30,000"
1343501690,34,הכנסות מרכז הורים ילדים ,5843500,"-14,000","-10,200","-10,000","-10,000"
1343501930,34,טיפול במשפחות אומנה 38413,5843500,"-668,000","-455,300","-740,000","-740,000"
1343502930,34,מרכזי הורים -ילדים 039442,5843500,"-516,600","-388,800","-525,000","-525,000"
1343503930,34,יצירת קשר הורים -ילדים 14,5843500,"-115,000","-128,100","-116,000","-116,000"
1343504930,34,טיפול בילד בקהילה 1039440,5843500,"-2,653,000","-1,595,500","-2,685,000","-2,685,000"
1343505930,34,מועדוניות משותפות 1039441,5843500,"-320,000","-237,900","-324,000","-324,000"
1343507930,34,טיפול בפגיעות מיניות 9483,5843500,"-72,000","-82,000","-91,000","-91,000"
1343508930,34,בדיקות פסיכולוגיות 039482,5843500,"-12,000","-3,800","-12,000","-12,000"
1343800930,34,אחזקת ילדים בפנימיות 8410,5843800,"-19,868,500","-15,167,500","-21,158,000","-21,158,000"
1343801930,34,תוכנית עם הפנים לקהילה_17,5843800,0,0,0,0
1343811410,34,אחזקת ילדים בפנימיות ,5843800,"-363,000","-453,100","-550,000","-550,000"
1343900420,34,הכנסות עצמיות משפחתונים ,5843900,"-106,000","-128,400","-150,000","-150,000"
1343900930,34,ילדים במעונות יום 1039010,5843900,"-9,858,800","-7,510,000","-10,509,000","-10,509,000"
1343900990,34,מעונות יום-תמ'ת ,5843900,"-4,800,000","-3,087,100","-4,800,000","-4,800,000"
1344300930,34,אחזקת במעונות א. ותיק 410,5844300,"-12,044,200","-6,073,700","-8,341,000","-8,341,000"
1344301930,34,נופשון לאזרח ותיק 1042430,5844300,"-20,000","-32,900","-40,000","-40,000"
1344311410,34,בתי אבות ,5844300,"-1,027,000","-624,600","-780,000","-780,000"
1344324410,34,ארוחות לקשיש ,5844400,"-41,000","-45,700","-68,000","-68,000"
1344400930,34,מועדונים לא. ותיק 1043430,5844400,"-300,000","-198,700","-304,000","-304,000"
1344401930,34,טיפול בקהילה א.ותיק 43440,5844400,"-382,300","-284,000","-387,000","-387,000"
1344402930,34,מועדונים תכנית העשרה 3431,5844400,"-11,000",0,"-11,000","-11,000"
1344403930,34,מרכזי ועדות חוק סיעוד 990,5844400,"-1,650,000","-1,096,000","-1,670,000","-1,670,000"
1344404930,34,שירותים לניצולי שואה 3446,5844400,"-135,000","-80,800","-142,000","-142,000"
1344405930,34,מיגון וציוד ביתי ,5844400,"-15,000",0,"-15,000","-15,000"
1344406930,34,שכונה תומכת 1043510 ,5844400,"-195,000","-146,300","-197,000","-197,000"
1344407930,34,תעסוקת במועדון א.ותיק 432,5844400,"-110,000","-71,000","-111,000","-111,000"
1344408930,34,טיפול שיניים לקשיש 043441,5844400,"-19,800",0,"-20,000","-20,000"
1344409930,34,סיוע לניצולי שואה 1043446,5844400,"-100,000","2,300","-104,000","-104,000"
1344500410,34,מרכז יום ,5844500,"-172,000","-74,800","-112,000","-112,000"
1344500930,34,מסגרות יומיות לא. ותיק 10,5844500,"-1,000,000","-735,000","-1,012,000","-1,012,000"
1344501930,34,מועדונים מועשרים 1043412 ,5844500,0,"-185,300",0,0
1344502930,34,מופת נצולי שואה 1043413 ,5844500,0,0,0,0
1344503930,34,ק. תומכת ניצולי שואה 3414,5844500,0,0,0,0
1344900930,34,מועדון לעולים העשרה 43448,5844400,"-30,000","-8,700","-30,000","-30,000"
1345100410,34,שיקום מסגרות כללי ,5845100,"-101,000","-108,700","-163,000","-163,000"
1345100930,34,סדור מפגרים במוסדות 56410,5845100,"-23,109,700","-18,735,000","-25,680,000","-25,680,000"
1345101930,34,"מעון ממשלתי - מש""ה 871920",5845100,"-3,510,000","-1,902,000","-3,552,000","-3,552,000"
1345102930,34,החזקת אוטיסטים במסגרות 50,5845100,"-3,118,000","-2,789,000","-3,992,000","-3,992,000"
1345103930,34,טיפול בהורים ובילדיהם 040,5845100,"-400,000","-247,500","-405,000","-405,000"
1345104930,34,מ.יום שיקומי לאוטיסט 2112,5845100,"-794,000","-626,500","-804,000","-804,000"
1345105930,34,נופשונים וקייטנות 0881110,5845100,"-130,000","-45,000","-132,000","-132,000"
1345106930,34,משפחות אומנה למפגר 856400,5845100,"-64,000","-51,000","-69,000","-69,000"
1345107930,34,משפחות אומנה לשיקום 56401,5845100,"-36,000","-25,500","-36,000","-36,000"
1345108930,34,מועדוניות לילדים 0881042 ,5845100,"-277,000","-110,000","-280,000","-280,000"
1345109930,34,סביבה תומכת 0856411 ,5845100,"-621,000","-332,100","-628,000","-628,000"
1345111930,34,מ. יום תעסוקה לבוגרים ,5845100,"-350,000","-171,600","-354,000","-354,000"
1345112930,34,הסעות לאוטיסים 0881041 ,5845100,"-50,000",0,"-51,000","-51,000"
1345200410,34,מרכז לילך ,5845200,"-74,000","-18,600","-27,000","-27,000"
1345200411,34,מרכז לילך הכנסות עצמיות ,5845200,"-10,000","-12,900","-10,000","-10,000"
1345201410,34,מעון יובלים ,5845200,"-201,000","-179,700","-240,000","-240,000"
1345201930,34,מפגרים במעון אמוני 855410,5845200,"-64,800","-49,700","-66,000","-66,000"
1345202410,34,בית ספר ניר ,5845200,"-74,000","-43,700","-58,000","-58,000"
1345202930,34,מפגרים במעון טפולי 855420,5845200,"-3,508,000","-3,310,200","-3,837,000","-3,837,000"
1345203790,34,מעון יובלים-טיפולים פרא-ר,5845200,"-562,000","-509,900","-562,000","-562,000"
1345203930,34,מ.יום שיקומי למפגר 622111,5845200,"-67,200",0,"-68,000","-68,000"
1345204790,34,פרא-רפואי המרכז לגיל הרך ,5845200,"-562,000","-683,500","-562,000","-562,000"
1345204930,34,"מעש""ים 0855470 ",5845400,"-1,726,800","-1,388,200","-1,868,000","-1,868,000"
1345300410,34,נופשונים ,5845300,"-65,000","-46,900","-64,000","-64,000"
1345300930,34,שרותים תומכים למפגר 55430,5845300,"-107,000","-59,800","-130,000","-130,000"
1345301930,34,נופשונים למפגר 0855920 ,5845300,"-406,200","-187,600","-411,000","-411,000"
