חשבון ,שם חשבון ,מחלקה , ביצוע 2014 , תקציב 2015 מעודכן , הצעת תקציב 2016  
1614100512,"אש""ל ונסיעות ",11300, -   , -   , -   
1614100522,ספרות מקצועית ועיתונות ,11300," 10,919 "," 14,850 "," 13,860 "
1614100523,דמי חבר בארגונים ,11300, 800 , 990 , 980 
1614100540,הוצאות תקשורת ,11300," 5,558 "," 6,039 "," 4,950 "
1614100550,פרסום והדפסות ,11300," 174,401 "," 236,340 "," 247,500 "
1614100551,תשדירי רדיו ,11300," 36,180 "," 39,600 "," 49,500 "
1614100552,צילום ופיתוח תמונות ,11300," 132,075 "," 133,650 "," 173,250 "
1614100561,צילום מסמכים ,11300," 2,478 "," 2,475 "," 2,376 "
1614100575,אתר דוברות-אינטרנט ,11300, -   , -   , -   
1614100580,הוצאות אירגוניות ,11300," 3,326 "," 4,455 "," 4,950 "
1614100731,דלק ,11300," 19,951 "," 21,631 "," 27,578 "
1614100735,השכרת רכב ,11300," 38,990 "," 40,703 "," 37,537 "
1614100743,רכישת כלים מכשירים וציוד ,11300," 3,961 "," 4,455 "," 4,410 "
1614100751,תמלול ומערכתINFO ,11300," 62,156 "," 89,500 "," 88,605 "
1614100769,שירות לאומי ,11300," 21,965 "," 19,008 "," 18,810 "
1614100781,שבת תרבות ,11300," 219,129 "," 206,800 "," 204,732 "
1614101522,ספרות מקצועית ועיתונות ,11300," 8,003 "," 9,900 "," 9,801 "
1614101550,פרסום בעתונות בשפה זרה ,11300," 10,399 "," 25,344 "," 25,090 "
1614000105,עובדים זמניים ,11310," 32,145 ", -   , -   
1614000110,שכר קובע ,11310," 329,998 "," 78,004 ", -   
1614000120,תוספות שאינן בשכר קובע ,11310," 10,781 "," 2,432 ", -   
1614000130,שעות נוספות ,11310, -   , -   , -   
1614000140,החזר הוצאות ,11310," 31,775 "," 7,136 ", -   
1614000181,הפרשות סוציאליות ,11310," 98,924 "," 24,185 ", -   
1614000182,מיסים ועלויות ,11310," 31,394 "," 7,400 ", -   
1614000510,אירוח רשמי ,11310," 6,586 "," 19,800 "," 17,820 "
1614000511,אירוח וכיבוד ,11310," 13,000 "," 29,800 "," 34,650 "
1614000514,רכישת מתנות ,11310," 29,001 "," 31,680 "," 29,700 "
1614000522,ספרות מקצועית ,11310," 9,911 "," 10,890 "," 6,930 "
1614000550,פרסום והסברה ,11310," 144,622 "," 157,610 "," 148,500 "
1614000575,אתר אינטרנט עירוני ,11310," 217,714 ", -   , -   
1614000580,הוצאות ארגוניות ,11310," 71,210 "," 81,792 "," 79,200 "
1614000710,הסעות והובלות ,11310," 15,054 "," 19,800 "," 11,880 "
1614000731,דלק ,11310," 32,832 "," 21,631 ", -   
1614000735,השכרת רכב ,11310," 33,557 "," 36,498 ", -   
1614000743,רכישת כלים מכשירים וציוד ,11310," 9,257 "," 8,910 "," 8,910 "
1614000750,הסברה ומיתוג ,11310," 956,750 "," 513,018 "," 487,401 "
1614000769,שירות לאומי ,11310," 1,242 "," 19,008 ", -   
1614000780,הוצאות פעולה ,11310," 232,350 "," 197,500 "," 193,050 "
1158000490,השתתפות עובדים-מעמד האישה,11400," -155,740 ", -100 , -100 
1158000790,השתת.רשות פיתוח נגב בהכשר,11400, -   , -   , -   
1611400105,עובדים זמניים ,11400, -   ," 18,800 ", -   
1611400110,שכר קובע ,11400," 328,028 "," 310,820 "," 346,255 "
1611400120,תוספות שאינן בשכר קובע ,11400," 29,933 "," 29,721 "," 31,077 "
1611400130,שעות נוספות ,11400, -   , -   , -   
1611400140,החזר הוצאות ,11400," 38,661 "," 53,511 "," 20,550 "
1611400181,הפרשות סוציאליות ,11400," 78,013 "," 79,369 "," 80,617 "
1611400182,מיסים ועלויות ,11400," 30,779 "," 30,769 "," 31,065 "
1611400511,אירוח וכיבוד ,11400," 5,785 "," 7,920 "," 9,900 "
1611400512,"אש""ל ונסיעות ",11400, -   , -   , -   
1611400523,דמי חבר בארגונים ,11400, 350 , 495 , 990 
1611400540,הוצאות תקשורת ,11400," 2,567 "," 2,574 "," 2,970 "
1611400550,פרסום והדפסות ,11400," 3,540 "," 8,910 "," 14,850 "
1611400710,הסעות קבלניות ,11400," 3,076 "," 6,930 "," 6,930 "
1611400769,שירות לאומי ,11400," 14,126 "," 19,008 "," 19,800 "
1611400780,הוצאות פעולה-מעמד האישה ,11400," 119,688 "," 154,935 "," 148,500 "
1611400781,"הוצאות ע""ח הכנסות-מ.האישה",11400, -   , 99 , 99 
1611500105,עובדים זמניים ,11410," 70,997 "," 72,800 "," 96,228 "
1611500110,שכר קובע ,11410," 378,913 "," 431,394 "," 400,531 "
1611500120,תוספות שאינן בשכר קובע ,11410," 19,042 "," 22,563 "," 16,490 "
1611500130,שעות נוספות ,11410," 1,380 "," 1,457 "," 1,453 "
1611500140,החזר הוצאות ,11410," 80,486 "," 97,245 "," 71,581 "
1611500181,הפרשות סוציאליות ,11410," 108,376 "," 134,832 "," 116,455 "
1611500182,מיסים ועלויות ,11410," 36,259 "," 43,739 "," 36,955 "
1611500580,הוצאות אירגוניות ,11410," 1,520 "," 2,475 "," 2,277 "
1611500743,רכישת כלים מכשירים וציוד ,11410," 7,076 "," 9,405 "," 8,910 "
1611500769,שירות לאומי ,11410," 28,249 "," 19,008 "," 19,800 "
1619000540,הוצאות תקשורת-בחירות ,12000, -   , -   , -   
1619000759,אבטחה ,12000, -   , -   , -   
1619000780,הוצאות פעולה-בחירות לרשות,12000, -   , -   , -   
1612000110,שכר קובע ,12100," 1,047,977 "," 1,058,069 "," 1,051,678 "
1612000120,תוספות שאינן בשכר קובע ,12100," 100,163 "," 101,536 "," 81,137 "
1612000130,שעות נוספות ,12100," 1,607 "," 6,074 "," 6,062 "
1612000140,החזר הוצאות ,12100," 149,717 "," 137,333 "," 92,706 "
1612000181,הפרשות סוציאליות ,12100," 205,147 "," 210,535 "," 210,313 "
1612000182,מיסים ועלויות ,12100," 102,134 "," 102,299 "," 97,457 "
1612000511,אירוח וכיבוד ,12100," 1,916 "," 2,970 "," 2,970 "
1612000512,"אש""ל ונסיעות ",12100, -   , -   , -   
1612000521,ימי עיון והשתלמויות ,12100," 14,350 "," 14,850 "," 17,325 "
1612000522,ספרות מקצועית ,12100," 9,610 "," 7,920 "," 8,118 "
1612000523,דמי חבר ,12100," 2,095 "," 2,970 "," 2,970 "
1612000540,הוצאות תקשורת ,12100," 6,925 "," 9,009 "," 8,712 "
1612000550,פרסום והדפסות ,12100," 5,889 "," 18,216 "," 19,800 "
1612000561,צילום מסמכים ,12100," 1,584 "," 2,574 "," 1,980 "
1612000574,תקשורת מחשבים ,12100," 2,479 "," 2,313 ", -   
1612000580,הוצאות אירגוניות ,12100, 441 ," 2,970 "," 2,475 "
1612000731,דלק ,12100," 16,205 "," 21,631 "," 27,578 "
1612000735,השכרת רכב ,12100," 34,587 "," 37,963 "," 46,571 "
1612000743,רכישת כלים מכשירים וציוד ,12100, -   ," 4,950 "," 2,970 "
1612000750,עבודות ביקורת ויעוץ ,12100," 20,119 "," 60,390 "," 59,400 "
1612000751,סקר סיכונים ,12100, -   , -   , -   
1721000105,עובדים זמניים ,12200," 8,909 ", -   , -   
1721000110,שכר קובע ,12200," 222,450 "," 435,334 "," 413,811 "
1721000120,תוספות שאינן בשכר קובע ,12200," 121,006 "," 160,712 "," 141,847 "
1721000130,שעות נוספות ,12200," 2,940 "," 1,704 "," 1,700 "
1721000140,החזר הוצאות ,12200," 81,092 "," 100,222 "," 102,647 "
1721000181,הפרשות סוציאליות ,12200," 89,697 "," 120,001 "," 114,481 "
1721000182,מיסים ועלויות ,12200," 39,701 "," 52,879 "," 50,187 "
1721000288,השתתפות בשי לחגים ,12200, -   ," 14,850 "," 14,157 "
1721000420,תחזוקת מבנים ,12200, -   , -   , -   
1721000431,חשמל ,12200, -   , -   , -   
1721000433,חומרי נקיון ,12200," 2,331 ", -   , -   
1721000434,שירותי נקיון ,12200, -   , -   , -   
1721000440,ביטוח מבנה ותכולה ,12200, -   , -   , -   
1721000441,ביטוח קטנועים ,12200," 56,558 "," 55,836 "," 18,612 "
1721000470,ציוד משרדי ,12200," 11,580 "," 14,850 "," 11,880 "
1721000511,אירוח וכיבוד ,12200," 20,752 "," 19,800 "," 18,810 "
1721000512,"אש""ל ונסיעות ",12200, -   , -   , -   
1721000522,ספרות מקצועית ,12200, -   , 99 , 99 
1721000540,הוצאות תקשורת ,12200," 40,633 "," 48,708 "," 44,550 "
1721000561,צילום מסמכים ,12200," 8,762 "," 12,870 "," 7,920 "
1721000578,"תוכנת קב""ט ",12200," 7,080 "," 29,700 "," 9,900 "
1721000580,הוצאות אירגוניות ,12200," 9,883 "," 11,880 "," 11,682 "
1721000585,אגרת נשקים ,12200, -   ," 13,860 "," 13,860 "
1721000731,דלק ,12200," 22,351 "," 26,838 "," 20,097 "
1721000732,תיקון קטנועים ,12200," 15,348 "," 17,820 "," 8,910 "
1721000733,אגרת רישוי קטנועים ,12200," 1,511 "," 1,603 ", 613 
1721000735,שכירת רכב ,12200," 54,952 "," 62,745 "," 55,638 "
1721000742,אחזקת כלים מכשירים וציוד ,12200, -   ," 2,970 "," 2,970 "
1721000743,רכישת כלים מכשירים וציוד ,12200," 14,620 "," 18,810 "," 18,315 "
1721000744,אחזקת מערכות כריזה ,12200," 8,500 "," 8,910 "," 8,910 "
1721000755,בטיחות אש ,12200," 1,278 ", -   , -   
1721000780,פרוייקט מגן ,12200," 384,407 "," 396,810 "," 366,300 "
1721000781,הוצ שונות ,12200, -   , -   , -   
1721000783,הוצאות אחרות לפעולה ,12200," 8,461 "," 14,850 "," 13,266 "
1721000784,דיווח טלפוני נוכחות שומרי,12200," 3,664 "," 3,960 ", -   
1721001440,"ביטוח שבר מכני-ציוד לשע""ח",12200," 5,011 "," 4,455 "," 4,455 "
1721100540,"הוצאות תקשורת-זק""א ",12200," 3,120 "," 4,356 "," 4,158 "
1223000540,החזרי ביטוח ,12300," -9,373 ", -   , -   
1723000410,שכירות מקלט ,12300," 34,517 "," 37,620 "," 36,630 "
1723000411,"דמי ניהול-מקלט הג""א ",12300," 23,439 "," 24,750 "," 24,502 "
1723000420,תחזוקת מבנים ומקלטים ,12300," 599,033 "," 594,000 "," 588,060 "
1723000421,תחזוקת מחסנים ומפקדות ,12300," 15,314 "," 19,800 "," 19,602 "
1723000422,חומרים לתחזוקה ,12300," 8,369 "," 9,900 "," 9,801 "
1723000431,חשמל ,12300," 53,846 "," 61,380 "," 45,936 "
1723000432,מים ,12300, 975 ," 4,455 "," 1,881 "
1723000440,ביטוח מבנה ותכולה ,12300," 10,413 "," 9,306 "," 9,306 "
1723000540,הוצאות תקשורת ,12300," 5,565 "," 5,544 "," 5,940 "
1723000550,פרסום והדפסות ,12300," 8,496 "," 52,787 "," 52,259 "
1723000580,הוצאות אירגוניות ,12300, -   ," 9,900 "," 9,801 "
1723000743,רכישת כלים מכשירים וציוד ,12300," 107,081 "," 99,000 "," 98,010 "
1723000759,אבטחת מחסני חירום ,12300," 1,416 "," 7,920 "," 4,455 "
1223100770,ק.מונטריאול-מערכות פתיחה ,12310, -   , -   , -   
1723100110,שכר קובע ,12310," 371,080 "," 390,455 "," 433,294 "
1723100120,תוספות שאינן בשכר קובע ,12310," 84,344 "," 84,775 "," 92,419 "
1723100130,שעות נוספות ,12310," 53,170 "," 43,993 "," 43,909 "
1723100140,החזר הוצאות ,12310," 111,426 "," 125,027 "," 136,164 "
1723100181,הפרשות סוציאליות ,12310," 126,235 "," 134,243 "," 145,504 "
1723100182,מיסים ועלויות ,12310," 46,949 "," 49,776 "," 54,182 "
1723100434,שירותי נקיון ,12310, -   , -   , -   
1723100575,תוכנה לניהול מקלטים ,12310," 4,130 "," 7,920 "," 8,415 "
1723100731,דלק ,12310," 17,260 "," 22,942 "," 18,404 "
1723100735,השכרת רכב ,12310," 62,057 "," 74,844 "," 55,715 "
1723100744,מערכות לפתיחה מרחוק ,12310, -   , -   , -   
1723100986,הוצאה מותנית מקלטים ,12310, -   , -   , -   
1222200490,דמי כניסה למטווח ,12400," -567,013 "," -496,000 "," -496,000 "
1222200690,מכירת תחמושת ,12400," -117,187 "," -154,000 "," -104,000 "
1722200110,שכר קובע ,12400," 247,320 "," 279,123 "," 275,800 "
1722200120,תוספות שאינן בשכר קובע ,12400," 39,915 "," 46,121 "," 40,435 "
1722200130,שעות נוספות ,12400," 86,671 "," 71,917 "," 71,778 "
1722200140,החזר הוצאות ,12400," 59,433 "," 74,594 "," 66,274 "
1722200181,הפרשות סוציאליות ,12400," 72,132 "," 81,874 "," 81,192 "
1722200182,מיסים ועלויות ,12400," 32,762 "," 37,036 "," 35,079 "
1722200420,תחזוקת מטווח ,12400, -   ," 21,899 "," 27,720 "
1722200425,תחזוקת מזגנים ,12400, -   ," 5,000 "," 4,950 "
1722200431,חשמל ,12400," 15,457 "," 14,850 "," 13,167 "
1722200432,מים ,12400, -   , -   ," 8,514 "
1722200434,שירותי נקיון ,12400," 54,414 "," 59,400 "," 54,450 "
1722200440,ביטוח-מטווח עירוני ,12400," 14,959 "," 13,365 "," 13,464 "
1722200540,הוצאות תקשורת ,12400," 7,619 "," 8,019 "," 9,900 "
1722200550,פרסום והדפסות ,12400, -   ," 2,970 "," 5,742 "
1722200555,פרסום בשלטים ,12400, -   , 495 , 495 
1722200579,תוכנת מטווח ,12400, -   ," 1,980 "," 2,970 "
1722200582,אגרות מטווח ,12400," 4,730 "," 11,880 "," 11,682 "
1722200720,חומרים ,12400," 11,253 "," 14,850 "," 14,701 "
1722200742,אחזקת כלים מכשירים וציוד ,12400, 68 ," 2,970 "," 4,950 "
1722200743,רכישת כלים מכשירים וציוד ,12400," 9,066 "," 15,840 "," 14,850 "
1722200744,"מערכת טמ""ס ",12400, -   ," 20,890 "," 20,790 "
1722200746,קניית תחמושת ,12400," 30,066 "," 74,250 "," 39,600 "
1722200750,עבודות קבלניות ,12400," 5,580 "," 16,830 "," 16,632 "
1722200751,אחזקת גינון ,12400," 5,600 "," 6,930 "," 6,930 "
1722200780,הוצאות שונות ,12400," 1,970 "," 1,980 "," 1,960 "
1722201440,ביטוח אחריות מקצועית-מדרי,12400," 9,527 "," 8,514 "," 8,514 "
1222100910,השתתפות משרד הפנים ,12500," -17,057 "," -17,057 "," -17,057 "
1722100420,תחזוקת בסיסי הפעלה ,12500," 6,740 "," 11,880 "," 11,761 "
1722100431,חשמל ,12500," 19,743 "," 19,800 "," 16,731 "
1722100432,מים ,12500," 3,911 "," 4,455 "," 3,267 "
1722100433,חומרי נקיון ,12500," 1,991 "," 1,980 "," 1,960 "
1722100440,ביטוח מבנה ותכולה ,12500," 4,194 "," 3,762 "," 3,762 "
1722100470,ציוד משרדי ,12500," 4,176 ", -   , -   
1722100511,אירוח וכיבוד ,12500," 12,854 "," 14,850 "," 14,652 "
1722100561,צילום מסמכים ,12500, 951 ," 2,970 "," 1,980 "
1722100580,הוצאות אירגוניות ,12500," 2,763 "," 3,960 "," 3,920 "
1722100743,רכישת כלים מכשירים וציוד ,12500," 5,457 "," 7,425 "," 7,326 "
1722100769,שירות לאומי ,12500," 4,715 "," 19,008 "," 18,810 "
1722100780,הוצאות-לבסיסי הפעלה ,12500, -   ," 4,455 "," 4,410 "
1722100781,טיפוח המתנדב-ארועים ,12500," 19,546 "," 24,750 "," 24,502 "
1226000770,קהילת מונטריאול-השתתפות ב,12600, -   , -   , -   
1226000912,מענק מ.הפנים-חירום ובטחון,12600, -   , -   , -   
1226000913,רציפות תפקודית ,12600, -   , -   , -   
1226000990,מס רכוש-שיפוי נזקי מלחמה ,12600," -237,756 ", -   , -   
1594000910,סיוע מ.הפנים-הוצאות ישירו,12600," -11,922,000 ", -   , -   
1726000110,שכר קובע ,12600," 161,348 "," 152,192 "," 169,834 "
1726000120,תוספות שאינן בשכר קובע ,12600," 19,150 "," 18,569 "," 20,446 "
1726000130,שעות נוספות ,12600," 9,197 "," 9,936 "," 9,916 "
1726000140,החזר הוצאות ,12600," 35,571 "," 34,109 "," 36,474 "
1726000181,הפרשות סוציאליות ,12600," 51,041 "," 50,868 "," 69,402 "
1726000182,מיסים ועלויות ,12600," 16,833 "," 16,434 "," 17,190 "
1726000441,ביטוח רכב ,12600," 8,892 "," 14,111 "," 17,919 "
1726000511,אירוח וכיבוד ,12600," 1,435 "," 1,485 "," 1,470 "
1726000512,"אש""ל ונסיעות ",12600, -   , -   , -   
1726000521,"השתלמויות ע""ח משרד הפנים",12600, -   , -   , -   
1726000579,"תוכנת מל""ח ",12600," 16,915 "," 24,750 "," 24,502 "
1726000710,הסעות והובלות ,12600, -   ," 2,970 "," 2,970 "
1726000733,אגרת רישוי רכב ,12600, 988 ," 1,386 "," 2,366 "
1726000743,רכישת כלים מכשירים וציוד ,12600," 1,980 "," 4,950 "," 4,900 "
1726000750,עבודות קבלניות ,12600," 3,459 ", -   , -   
1726000751,כתיבת נהלים בחירום ,12600, -   ," 41,630 "," 41,213 "
1726000780,הוצאות חירום ,12600," 1,882,010 ", -   , -   
1726000781,הוצאות אחרות לפעולה ,12600, -   ," 15,920 "," 15,760 "
1726000782,"הוצאות רכב זק""א ",12600," 5,007 "," 14,850 "," 14,701 "
1726000783,רציפות תפקודית ,12600, -   , -   , -   
1726000784,תרגיל חירום ,12600, -   , -   ," 59,400 "
1726100105,עובדים זמניים-חירום ,12600, -   , -   , -   
1726100110,שכר קובע-חירום ,12600," 199,039 ", -   , -   
1726100120,תוספות שאינן בשכר קובע ,12600," 876,326 ", -   , -   
1726100130,שעות נוספות-חירום ,12600," 776,064 ", -   , -   
1726100181,הפרשות סוציאליות ,12600," 339,058 ", -   , -   
1726100182,מיסים ועלויות ,12600," 138,848 ", -   , -   
1123000290,אגרת בקשה למידע ,13100, -867 ," -1,000 ", -100 
1123000292,אגרת הפקת מידע ,13100, -776 ," -1,000 ", -100 
1196000915,השתת.משרד הפנים בשכר צוער,13100, -   ," -112,125 "," -115,722 "
1613000105,עובדים זמניים ,13100, -   ," 22,000 ", -   
1613000110,שכר קובע ,13100," 1,196,699 "," 1,443,764 "," 1,573,234 "
1613000120,תוספות שאינן בשכר קובע ,13100," 66,758 "," 85,069 "," 68,757 "
1613000130,שעות נוספות ,13100," 28,322 "," 21,207 "," 21,166 "
1613000140,החזר הוצאות ,13100," 157,241 "," 184,301 "," 167,703 "
1613000181,הפרשות סוציאליות ,13100," 245,512 "," 298,917 "," 330,494 "
1613000182,מיסים ועלויות ,13100," 114,472 "," 139,930 "," 143,999 "
1613000511,אירוח וכיבוד ,13100," 4,192 "," 5,940 "," 6,930 "
1613000512,"אש""ל ונסיעות ",13100, -   , -   , -   
1613000522,ספרות מקצועית ,13100," 4,691 "," 5,940 "," 4,950 "
1613000523,דמי חבר בארגונים ,13100," 1,500 "," 2,475 "," 1,980 "
1613000540,הוצאות תקשורת ,13100," 23,558 "," 25,938 "," 22,770 "
1613000550,פרסום והדפסות ,13100, -   ," 1,980 "," 1,980 "
1613000561,צילום מסמכים ,13100," 7,000 "," 9,900 "," 5,148 "
1613000580,הוצאות אירגוניות ,13100," 4,377 "," 4,455 "," 4,950 "
1613000582,כרטיסי איזי פארק ,13100, -   ," 3,465 "," 3,366 "
1613000731,דלק ,13100," 6,226 "," 20,429 "," 27,578 "
1613000735,שכירת רכב ,13100," 58,495 "," 61,267 "," 50,708 "
1613000743,רכישת כלים מכשירים וציוד ,13100," 8,210 "," 8,415 "," 7,920 "
1613000750,עבודות קבלניות ,13100, -   ," 9,900 "," 9,900 "
1613000751,עבודות ייעוץ ,13100," 33,488 ", -   , -   
1613000752,בקרה בין אגפית ,13100," 234,601 "," 106,600 "," 105,534 "
1613000769,שירות לאומי ,13100, -   , -   , -   
1611300105,עובדים זמניים ,13200," 61,764 "," 56,900 ", -   
1611300110,שכר קובע ,13200," 1,006,537 "," 1,034,809 "," 748,332 "
1611300120,תוספות שאינן בשכר קובע ,13200," 94,570 "," 99,730 "," 83,773 "
1611300130,שעות נוספות ,13200," 18,264 "," 14,775 "," 14,746 "
1611300140,החזר הוצאות ,13200," 160,668 "," 153,007 "," 125,194 "
1611300181,הפרשות סוציאליות ,13200," 239,210 "," 243,764 "," 173,960 "
1611300182,מיסים ועלויות ,13200," 101,830 "," 105,688 "," 78,232 "
1611300288,השתתפות בשי לחגים ,13200," 128,146 "," 93,060 "," 88,803 "
1611300470,ציוד משרדי ,13200," 2,036 "," 122,760 "," 120,780 "
1611300511,אירוח וכיבוד ,13200," 7,000 "," 15,880 "," 15,840 "
1611300512,נסיעות ואשל ,13200, -   , -   , -   
1611300521,השתלמויות ,13200," 28,989 "," 27,720 "," 32,670 "
1611300522,ספרות מקצועית ,13200, 858 ," 1,485 "," 1,485 "
1611300540,הוצאות תקשורת ,13200," 11,338 "," 12,870 "," 12,375 "
1611300550,פרסום והדפסות ,13200," 2,245 "," 6,435 "," 6,435 "
1611300561,צילום מסמכים ,13200," 6,923 "," 8,118 "," 7,920 "
1611300574,תקשורת מחשבים ,13200," 30,121 "," 28,510 ", -   
1611300575,אתר אינטרנט עירוני ,13200, -   , -   , -   
1611300576,מערכת לניהול מעקב משימות ,13200, -   , -   , -   
1611300579,קישור לרשת המיחשוב ,13200," 8,597 "," 10,890 "," 13,860 "
1611300580,הוצאות אירגוניות ,13200, 765 ," 4,950 "," 6,930 "
1611300731,דלק ,13200," 31,660 "," 46,147 "," 22,981 "
1611300735,השכרת רכב ,13200," 57,706 "," 97,182 "," 39,067 "
1611300743,רכישת כלים מכשירים וציוד ,13200," 7,368 "," 8,910 "," 8,820 "
1611300750,עבודות קבלניות ,13200," 7,906 "," 7,920 "," 7,920 "
1611300751,משלוחי דאר מסירות אישיות ,13200, 457 ," 9,900 "," 5,940 "
1611300753,שירותי יעוץ ,13200, -   ," 11,830 "," 11,880 "
1611300769,שירות לאומי ,13200," 17,779 "," 19,008 "," 18,810 "
1611300780,הוצאות אחרות לפעולה ,13200," 6,306 "," 5,445 "," 9,900 "
1611300930,שיפור סביבת העבודה לעובד ,13200, -   , -   , -   
1611300986,ה.מ.-הטמעת תהליך אירגוני ,13200, -   , -   , -   
1611310540,שדרוג מכשירי סלולר ,13200, -   , -   , -   
1381000990,השתת.משרד בטחון פנים ,13205," -962,952 "," -1,037,112 "," -1,039,106 "
1381000991,"משמר שכונתי-משרד בט""פ ",13205, -   , -   , -   
1881000105,עובדים זמניים ,13205, -   , -   , -   
1881000110,שכר קובע ,13205," 541,893 "," 534,529 "," 591,347 "
1881000120,תוספות שאינן בשכר קובע ,13205," 23,813 "," 23,018 "," 20,466 "
1881000130,שעות נוספות ,13205," 2,717 "," 2,221 "," 2,216 "
1881000140,החזר הוצאות ,13205," 130,042 "," 133,993 "," 165,752 "
1881000181,הפרשות סוציאליות ,13205," 149,622 "," 141,495 "," 167,756 "
1881000182,מיסים ועלויות ,13205," 52,858 "," 52,635 "," 59,148 "
1881000288,השתתפות בשי לחגים ,13205, -   ," 6,930 "," 6,633 "
1881000540,הוצאות תקשורת ,13205," 11,477 "," 12,771 "," 13,860 "
1881000769,שירות לאומי ,13205, -   ," 19,008 "," 18,810 "
1881000780,חינוך ,13205," 5,664 "," 4,950 ", -   
1881000781,רווחה ,13205," 27,300 "," 76,583 ", -   
1881000782,אכיפה ,13205," 37,500 "," 211,860 ", -   
1881000783,פנאי ,13205," 431,675 "," 396,000 ", -   
1881000784,הקשר רחב ,13205," 92,831 "," 118,800 ", -   
