חשבון ,שם חשבון ,מחלקה , הצעת תקציב 2014 , תקציב 2013 מעודכן , ביצוע 2012  
1614100575,אתר דוברות-אינטרנט ,11300,  -   ,"  2,700 ","  2,714 "
1614100580,הוצאות אירגוניות ,11300,"  3,500 ","  3,500 ","  3,096 "
1614100731,דלק ,11300,"  23,056 ","  22,278 ","  22,781 "
1614100735,השכרת רכב ,11300,"  41,127 ","  37,998 ","  43,752 "
1614100743,רכישת כלים מכשירים וציוד ,11300,"  4,500 ","  5,000 ","  4,328 "
1614100751,תמלול ומערכתINFO ,11300,"  50,000 ","  50,000 ","  29,999 "
1614100769,שירות לאומי ,11300,"  19,200 ","  19,200 ","  2,223 "
1614100781,שבת תרבות ,11300,"  220,000 ","  230,000 ","  187,012 "
1614101522,ספרות מקצועית ועיתונות ,11300,"  10,000 ","  8,000 ","  5,145 "
1614101550,פרסום בעתונות בשפה זרה ,11300,"  32,000 ","  30,000 ","  28,743 "
1614000105,עובדים זמניים ,11310,"  80,000 ",  -   ,  -   
1614000110,שכר קובע ,11310,"  374,301 ","  361,539 ",  -   
1614000120,תוספות שאינן בשכר קובע ,11310,  825 ,"  63,404 ",  -   
1614000130,שעות נוספות ,11310,  -   ,"  1,566 ",  -   
1614000140,החזר הוצאות ,11310,"  9,110 ","  57,653 ",  -   
1614000181,הפרשות סוציאליות ,11310,"  103,524 ","  76,089 ",  -   
1614000182,מיסים ועלויות ,11310,"  33,475 ","  39,030 ",  -   
1614000510,אירוח רשמי ,11310,"  20,000 ","  20,000 ",  -   
1614000511,אירוח וכיבוד ,11310,"  13,000 ","  10,000 ","  21,232 "
1614000514,רכישת מתנות ,11310,"  32,000 ","  25,600 ","  23,707 "
1614000522,ספרות מקצועית ,11310,"  11,000 ","  10,000 ",  -   
1614000550,פרסום והסברה ,11310,"  110,000 ","  104,400 ","  108,328 "
1614000575,אתר אינטרנט עירוני ,11310,"  217,734 ",  -   ,  -   
1614000580,הוצאות ארגוניות ,11310,"  74,000 ","  74,000 ","  72,853 "
1614000710,הסעות והובלות ,11310,"  25,000 ","  25,000 ","  11,146 "
1614000731,דלק ,11310,"  23,056 ","  22,278 ",  -   
1614000735,השכרת רכב ,11310,"  35,386 ","  33,096 ",  -   
1614000743,רכישת כלים מכשירים וציוד ,11310,"  9,000 ",  -   ,  -   
1614000750,הסברה ומיתוג ,11310,"  1,194,042 ","  1,093,266 ","  1,177,021 "
1614000769,שירות לאומי ,11310,"  19,200 ","  17,600 ",  -   
1614000780,הוצאות פעולה ,11310,"  166,000 ","  77,400 ","  66,000 "
1158000490,השתתפות עובדים-מעמד האישה,11400,  -100 ,  -   ,"  -127,493 "
1158000790,השתת.רשות פיתוח נגב בהכשר,11400,  -   ,  -   ,  -   
1611400105,עובדים זמניים ,11400,  -   ,  -   ,"  8,031 "
1611400110,שכר קובע ,11400,"  325,199 ","  257,540 ","  245,386 "
1611400120,תוספות שאינן בשכר קובע ,11400,"  32,782 ","  24,642 ","  23,381 "
1611400140,החזר הוצאות ,11400,"  78,696 ","  55,952 ","  44,044 "
1611400181,הפרשות סוציאליות ,11400,"  81,559 ","  57,441 ","  52,630 "
1611400182,מיסים ועלויות ,11400,"  33,910 ","  26,374 ","  24,351 "
1611400511,אירוח וכיבוד ,11400,"  8,000 ","  8,000 ","  6,492 "
1611400512,"אש""ל ונסיעות ",11400,  -   ,"  1,000 ",  -   
1611400523,דמי חבר בארגונים ,11400,  500 ,  400 ,  350 
1611400540,הוצאות תקשורת ,11400,"  7,000 ","  8,000 ","  5,700 "
1611400550,פרסום והדפסות ,11400,"  10,000 ","  14,000 ","  10,578 "
1611400710,הסעות קבלניות ,11400,"  7,000 ","  7,000 ","  1,400 "
1611400769,שירות לאומי ,11400,"  19,200 ","  19,200 ","  5,991 "
1611400780,הוצאות פעולה-מעמד האישה ,11400,"  156,500 ","  102,500 ","  110,718 "
1611400781,"הוצאות ע""ח הכנסות-מ.האישה",11400,  100 ,  -   ,  -   
1611500105,עובדים זמניים ,11410,"  230,000 ",  -   ,"  60,431 "
1611500110,שכר קובע ,11410,"  391,869 ","  321,481 ","  330,930 "
1611500120,תוספות שאינן בשכר קובע ,11410,"  8,126 ","  10,993 ","  9,919 "
1611500130,שעות נוספות ,11410,  805 ,"  2,381 ","  1,795 "
1611500140,החזר הוצאות ,11410,"  76,115 ","  61,681 ","  52,372 "
1611500181,הפרשות סוציאליות ,11410,"  117,654 ","  97,957 ","  87,286 "
1611500182,מיסים ועלויות ,11410,"  36,363 ","  33,320 ","  29,856 "
1611500580,הוצאות אירגוניות ,11410,"  4,000 ","  4,500 ","  4,599 "
1611500743,רכישת כלים מכשירים וציוד ,11410,"  9,500 ","  10,000 ","  10,000 "
1611500769,שירות לאומי ,11410,"  19,200 ","  19,200 ","  12,295 "
1619000540,הוצאות תקשורת-בחירות ,12000,  -   ,"  30,000 ",  -   
1619000759,אבטחה ,12000,  -   ,"  110,000 ",  -   
1619000780,הוצאות פעולה-בחירות לרשות,12000,  -   ,"  700,000 ",  -   
1612000110,שכר קובע ,12100,"  1,041,936 ","  1,038,956 ","  988,818 "
1612000120,תוספות שאינן בשכר קובע ,12100,"  99,107 ","  95,389 ","  91,297 "
1612000130,שעות נוספות ,12100,"  6,014 ","  4,858 ","  4,406 "
1612000140,החזר הוצאות ,12100,"  130,334 ","  118,633 ","  131,055 "
1612000181,הפרשות סוציאליות ,12100,"  204,052 ","  195,678 ","  184,104 "
1612000182,מיסים ועלויות ,12100,"  100,700 ","  98,944 ","  95,534 "
1612000511,אירוח וכיבוד ,12100,"  3,000 ","  2,500 ","  1,475 "
1612000512,"אש""ל ונסיעות ",12100,  -   ,"  1,000 ",  -   
1612000521,ימי עיון והשתלמויות ,12100,"  15,000 ","  5,000 ","  2,990 "
1612000522,ספרות מקצועית ,12100,"  7,000 ","  7,000 ","  3,828 "
1612000523,דמי חבר ,12100,"  3,000 ","  3,000 ","  2,080 "
1612000540,הוצאות תקשורת ,12100,"  11,000 ","  12,000 ","  8,308 "
1612000550,פרסום והדפסות ,12100,"  25,000 ","  25,000 ","  20,011 "
1612000561,צילום מסמכים ,12100,"  2,500 ","  3,500 ","  2,260 "
1612000574,תקשורת מחשבים ,12100,"  2,500 ","  2,400 ","  2,362 "
1612000580,הוצאות אירגוניות ,12100,"  3,000 ","  2,500 ","  1,225 "
1612000731,דלק ,12100,"  23,056 ","  22,278 ","  19,160 "
1612000735,השכרת רכב ,12100,"  36,483 ","  34,398 ","  38,416 "
1612000743,רכישת כלים מכשירים וציוד ,12100,"  5,000 ","  5,000 ",  640 
1612000750,עבודות ביקורת ויעוץ ,12100,"  61,000 ","  65,000 ","  32,752 "
1721000105,עובדים זמניים ,12200,"  105,000 ","  32,000 ",  -   
1721000110,שכר קובע ,12200,"  382,290 ","  296,951 ","  204,583 "
1721000120,תוספות שאינן בשכר קובע ,12200,"  156,629 ","  112,947 ","  115,551 "
1721000130,שעות נוספות ,12200,"  3,867 ","  13,958 ","  9,092 "
1721000140,החזר הוצאות ,12200,"  105,093 ","  82,762 ","  80,489 "
1721000181,הפרשות סוציאליות ,12200,"  111,131 ","  85,252 ","  82,510 "
1721000182,מיסים ועלויות ,12200,"  49,144 ","  38,406 ","  37,749 "
1721000420,תחזוקת מבנים ,12200,  -   ,"  14,000 ","  7,748 "
1721000431,חשמל ,12200,  -   ,"  48,800 ","  56,292 "
1721000433,חומרי נקיון ,12200,  -   ,"  6,000 ","  6,172 "
1721000434,שירותי נקיון ,12200,  -   ,"  36,000 ","  35,944 "
1721000440,ביטוח מבנה ותכולה ,12200,  -   ,"  3,400 ","  3,312 "
1721000441,ביטוח קטנועים ,12200,"  58,200 ","  65,000 ","  55,865 "
1721000470,ציוד משרדי ,12200,"  11,000 ","  11,000 ","  12,626 "
1721000511,אירוח וכיבוד ,12200,"  14,000 ","  14,000 ","  14,960 "
1721000512,"אש""ל ונסיעות ",12200,  -   ,  500 ,  -   
1721000522,ספרות מקצועית ,12200,  500 ,  500 ,  -   
1721000540,הוצאות תקשורת ,12200,"  45,000 ","  34,000 ","  41,630 "
1721000561,צילום מסמכים ,12200,"  15,000 ","  7,500 ","  10,775 "
1721000578,"תוכנת קב""ט ",12200,"  8,000 ","  8,000 ","  6,960 "
1721000580,הוצאות אירגוניות ,12200,"  9,000 ","  5,000 ","  7,066 "
1721000585,אגרת נשקים ,12200,"  14,000 ","  16,000 ",  -   
1721000731,דלק ,12200,"  35,280 ","  25,607 ","  41,321 "
1721000732,תיקון קטנועים ,12200,"  18,000 ","  20,000 ","  15,140 "
1721000733,אגרת רישוי קטנועים ,12200,"  2,500 ","  1,500 ","  1,767 "
1721000735,שכירת רכב ,12200,"  57,946 ","  55,267 ","  59,739 "
1721000742,אחזקת כלים מכשירים וציוד ,12200,"  5,000 ","  5,000 ","  1,137 "
1721000743,רכישת כלים מכשירים וציוד ,12200,"  17,800 ","  17,800 ","  20,341 "
1721000744,אחזקת מערכות כריזה ,12200,"  9,000 ","  9,000 ","  7,161 "
1721000755,בטיחות אש ,12200,"  5,000 ","  5,000 ","  2,559 "
1721000780,פרוייקט מגן ,12200,"  467,000 ","  460,000 ","  430,407 "
1721000781,הוצ שונות ,12200,  -   ,"  4,200 ","  1,955 "
1721000783,הוצאות אחרות לפעולה ,12200,"  15,000 ","  15,000 ","  15,100 "
1721000784,דיווח טלפוני נוכחות שומרי,12200,"  4,000 ",  -   ,  -   
1721001440,"ביטוח שבר מכני-ציוד לשע""ח",12200,"  4,500 ","  4,400 ","  4,262 "
1721100540,"הוצאות תקשורת-זק""א ",12200,"  3,500 ","  3,500 ","  2,294 "
1723000410,שכירות מקלט ,12300,"  37,000 ","  35,000 ","  32,695 "
1723000411,"דמי ניהול-מקלט הג""א ",12300,"  24,000 ","  22,000 ","  20,647 "
1723000420,תחזוקת מבנים ומקלטים ,12300,"  600,000 ","  600,000 ","  613,301 "
1723000421,תחזוקת מחסנים ומפקדות ,12300,"  18,000 ","  18,000 ","  17,675 "
1723000422,חומרים לתחזוקה ,12300,"  10,000 ","  11,000 ","  10,907 "
1723000431,חשמל ,12300,"  26,800 ","  20,300 ","  14,986 "
1723000432,מים ,12300,"  3,300 ",  500 ,"  3,058 "
1723000440,ביטוח מבנה ותכולה ,12300,"  8,700 ","  8,600 ","  8,329 "
1723000540,הוצאות תקשורת ,12300,"  11,000 ","  12,000 ","  9,285 "
1723000550,פרסום והדפסות ,12300,"  20,000 ","  20,000 ","  5,972 "
1723000743,רכישת כלים מכשירים וציוד ,12300,"  110,000 ","  110,000 ","  112,978 "
1723000759,אבטחת מחסני חירום ,12300,"  10,000 ","  10,000 ","  5,464 "
1723100110,שכר קובע ,12310,"  387,471 ","  390,784 ","  342,321 "
1723100120,תוספות שאינן בשכר קובע ,12310,"  92,011 ","  96,015 ","  87,550 "
1723100130,שעות נוספות ,12310,"  57,898 ","  55,549 ","  47,131 "
1723100140,החזר הוצאות ,12310,"  129,170 ","  143,691 ","  112,537 "
1723100181,הפרשות סוציאליות ,12310,"  134,286 ","  131,123 ","  113,344 "
1723100182,מיסים ועלויות ,12310,"  50,605 ","  52,005 ","  44,668 "
1723100434,שירותי נקיון ,12310,  -   ,  -   ,  -   
1723100575,תוכנה לניהול מקלטים ,12310,"  8,000 ","  10,000 ","  6,049 "
1723100731,דלק ,12310,"  24,070 ","  24,506 ","  22,106 "
1723100735,השכרת רכב ,12310,"  74,400 ","  66,881 ","  32,781 "
1723100986,הוצאה מותנית מקלטים ,12310,  -   ,  -   ,  -   
1222200490,דמי כניסה למטווח ,12400,"  -580,000 ","  -580,000 ","  -594,496 "
1222200690,מכירת תחמושת ,12400,"  -180,000 ","  -180,000 ","  -134,929 "
1722200110,שכר קובע ,12400,"  280,449 ","  245,667 ","  264,104 "
1722200120,תוספות שאינן בשכר קובע ,12400,"  37,818 ","  32,285 ","  31,136 "
1722200130,שעות נוספות ,12400,"  65,706 ","  70,263 ","  63,988 "
1722200140,החזר הוצאות ,12400,"  50,698 ","  53,367 ","  45,446 "
1722200181,הפרשות סוציאליות ,12400,"  79,151 ","  76,875 ","  71,583 "
1722200182,מיסים ועלויות ,12400,"  33,021 ","  33,015 ","  30,793 "
1722200420,תחזוקת מטווח ,12400,"  9,000 ","  9,000 ","  9,346 "
1722200431,חשמל ,12400,"  20,900 ","  18,000 ","  18,756 "
1722200434,שירותי נקיון ,12400,"  60,473 ","  48,300 ","  38,314 "
1722200440,ביטוח-מטווח עירוני ,12400,"  12,500 ","  12,400 ","  11,942 "
1722200540,הוצאות תקשורת ,12400,"  9,000 ","  9,000 ","  6,215 "
1722200550,פרסום והדפסות ,12400,"  3,000 ","  2,000 ",  -   
1722200555,פרסום בשלטים ,12400,"  2,000 ","  2,000 ",  -   
1722200579,תוכנת מטווח ,12400,"  2,000 ","  3,400 ",  -   
1722200582,אגרות מטווח ,12400,"  12,000 ","  12,000 ","  5,075 "
1722200720,חומרים ,12400,"  12,000 ","  8,000 ","  11,401 "
1722200742,אחזקת כלים מכשירים וציוד ,12400,"  3,000 ","  3,000 ","  1,099 "
1722200743,רכישת כלים מכשירים וציוד ,12400,"  14,000 ","  14,000 ","  13,970 "
1722200746,קניית תחמושת ,12400,"  90,000 ","  90,000 ","  88,365 "
1722200750,עבודות קבלניות ,12400,"  15,000 ","  18,000 ","  17,012 "
1722200751,אחזקת גינון ,12400,"  7,000 ","  6,000 ","  5,712 "
1722200780,הוצאות שונות ,12400,"  2,000 ","  2,000 ","  2,038 "
1722201440,ביטוח אחריות מקצועית-מדרי,12400,"  8,700 ","  8,600 ","  8,263 "
1222100910,השתתפות משרד הפנים ,12500,"  -42,646 ","  -42,646 ","  -42,646 "
1722100420,תחזוקת בסיסי הפעלה ,12500,"  12,000 ","  10,000 ",  580 
1722100431,חשמל ,12500,"  25,700 ","  18,900 ","  23,029 "
1722100432,מים ,12500,"  5,000 ",  100 ,"  2,077 "
1722100433,חומרי נקיון ,12500,"  2,000 ","  2,000 ","  1,573 "
1722100440,ביטוח מבנה ותכולה ,12500,"  3,500 ","  3,400 ","  3,312 "
1722100470,ציוד משרדי ,12500,"  5,000 ","  5,000 ","  3,894 "
1722100511,אירוח וכיבוד ,12500,"  15,000 ","  15,000 ","  15,547 "
1722100561,צילום מסמכים ,12500,"  2,000 ","  2,000 ","  1,764 "
1722100580,הוצאות אירגוניות ,12500,"  4,000 ","  3,000 ","  2,966 "
1722100743,רכישת כלים מכשירים וציוד ,12500,"  7,500 ","  7,500 ","  7,972 "
1722100769,שירות לאומי ,12500,"  19,200 ","  19,200 ","  24,377 "
1722100780,הוצאות-לבסיסי הפעלה ,12500,"  4,500 ","  4,500 ","  1,181 "
1722100781,טיפוח המתנדב-ארועים ,12500,"  25,000 ","  25,000 ","  22,724 "
1226000912,מענק מ.הפנים-חירום ובטחון,12600,  -   ,  -   ,"  -1,000,000 "
1226000913,רציפות תפקודית ,12600,  -   ,  -   ,  -   
1226000990,מס רכוש-שיפוי נזקי עמוד ע,12600,  -   ,  -   ,  -   
1726000110,שכר קובע ,12600,"  96,537 ","  135,591 ","  139,086 "
1726000120,תוספות שאינן בשכר קובע ,12600,"  64,635 ","  2,983 ","  70,600 "
1726000130,שעות נוספות-חירום ,12600,"  39,345 ","  21,879 ","  152,723 "
1726000140,החזר הוצאות ,12600,"  20,497 ","  39,441 ","  22,846 "
1726000181,הפרשות סוציאליות ,12600,"  30,417 ","  36,962 ","  68,403 "
1726000182,מיסים ועלויות ,12600,"  10,034 ","  15,135 ","  29,050 "
1726000441,ביטוח רכב ,12600,"  7,800 ","  8,000 ","  7,532 "
1726000511,אירוח וכיבוד ,12600,"  1,500 ","  1,500 ",  741 
1726000512,"אש""ל ונסיעות ",12600,  -   ,  500 ,  -   
1726000521,"השתלמויות ע""ח משרד הפנים",12600,  -   ,  -   ,  -   
1726000579,"תוכנת מל""ח ",12600,"  18,000 ","  16,600 ","  17,354 "
1726000710,הסעות והובלות ,12600,"  10,000 ","  10,000 ",  -   
1726000733,אגרת רישוי רכב ,12600,"  1,000 ","  1,000 ","  1,142 "
1726000743,רכישת כלים מכשירים וציוד ,12600,"  5,000 ","  5,000 ","  1,000 "
1726000750,עבודות קבלניות ,12600,"  7,000 ","  7,000 ","  6,500 "
1726000780,הוצאות חירום ,12600,"  10,000 ","  10,000 ","  989,462 "
1726000782,"הוצאות רכב זק""א ",12600,"  15,000 ","  15,000 ","  5,155 "
1726000783,רציפות תפקודית ,12600,  -   ,  -   ,  -   
1726000784,תרגיל חירום ,12600,  -   ,"  66,100 ",  -   
1726100130,שעות נוספות-חירום ,12600,  -   ,  -   ,"  13,847 "
1726100181,הפרשות סוציאליות ,12600,  -   ,  -   ,"  2,446 "
1726100182,מיסים ועלויות ,12600,  -   ,  -   ,"  1,039 "
1123000290,אגרת בקשה למידע ,13100,"  -1,000 ","  -1,000 ","  -1,917 "
1123000292,אגרת הפקת מידע ,13100,"  -1,000 ",  -   ,  -173 
1613000110,שכר קובע ,13100,"  1,229,711 ","  1,118,684 ","  1,318,400 "
1613000120,תוספות שאינן בשכר קובע ,13100,"  76,008 ","  68,011 ","  69,425 "
1613000130,שעות נוספות ,13100,"  32,740 ","  17,997 ","  19,363 "
1613000140,החזר הוצאות ,13100,"  159,379 ","  133,656 ","  164,867 "
1613000181,הפרשות סוציאליות ,13100,"  253,283 ","  190,262 ","  255,492 "
1613000182,מיסים ועלויות ,13100,"  117,924 ","  105,491 ","  123,927 "
1613000511,אירוח וכיבוד ,13100,"  4,000 ","  4,000 ","  3,796 "
1613000512,"אש""ל ונסיעות ",13100,  -   ,  500 ,  -   
1613000522,ספרות מקצועית ,13100,"  6,000 ","  5,000 ","  4,580 "
1613000523,דמי חבר בארגונים ,13100,"  2,500 ","  2,500 ","  1,650 "
1613000540,הוצאות תקשורת ,13100,"  24,000 ","  24,000 ","  20,859 "
1613000550,פרסום והדפסות ,13100,"  2,000 ","  2,000 ","  1,755 "
1613000561,צילום מסמכים ,13100,"  7,000 ","  7,000 ","  11,547 "
1613000580,הוצאות אירגוניות ,13100,"  4,500 ","  3,500 ","  3,507 "
1613000582,כרטיסי איזי פארק ,13100,"  3,500 ","  3,500 ","  2,985 "
1613000731,דלק ,13100,"  23,056 ","  22,278 ","  22,859 "
1613000735,שכירת רכב ,13100,"  61,697 ","  44,447 ","  51,777 "
1613000743,רכישת כלים מכשירים וציוד ,13100,"  8,500 ","  9,000 ","  6,211 "
1613000750,עבודות קבלניות ,13100,"  10,000 ","  6,000 ","  1,409 "
1613000751,עבודות ייעוץ ,13100,"  50,000 ","  50,000 ","  45,557 "
1613000752,בקרה בין אגפית ,13100,"  350,000 ","  350,000 ","  393,563 "
1613000769,שירות לאומי ,13100,  -   ,"  19,200 ","  13,790 "
1611300105,עובדים זמניים ,13200,"  105,000 ",  -   ,"  1,055 "
1611300110,שכר קובע ,13200,"  1,623,471 ","  855,195 ","  616,397 "
1611300120,תוספות שאינן בשכר קובע ,13200,"  113,243 ","  22,814 ","  22,203 "
1611300130,שעות נוספות ,13200,"  40,033 ","  14,311 ","  11,506 "
1611300140,החזר הוצאות ,13200,"  218,516 ","  97,357 ","  102,898 "
1611300181,הפרשות סוציאליות ,13200,"  360,329 ","  131,394 ","  121,946 "
1611300182,מיסים ועלויות ,13200,"  157,221 ","  61,306 ","  57,571 "
1611300288,השתתפות בשי לחגים ,13200,"  187,000 ","  160,000 ","  151,279 "
1611300470,ציוד משרדי ,13200,"  5,000 ","  5,000 ","  3,812 "
1611300511,אירוח וכיבוד ,13200,"  7,000 ","  6,000 ","  4,841 "
1611300512,נסיעות ואשל ,13200,  -   ,"  1,000 ",  -   
1611300521,השתלמויות ,13200,"  36,000 ","  36,000 ","  15,015 "
1611300522,ספרות מקצועית ,13200,"  1,000 ","  1,000 ",  540 
1611300540,הוצאות תקשורת ,13200,"  14,000 ","  22,000 ","  8,598 "
1611300550,פרסום והדפסות ,13200,"  6,500 ","  5,000 ","  4,599 "
1611300561,צילום מסמכים ,13200,"  8,200 ","  7,500 ","  8,934 "
1611300574,תקשורת מחשבים ,13200,"  30,700 ","  29,200 ","  28,698 "
1611300575,אתר אינטרנט עירוני ,13200,  -   ,"  77,734 ","  43,487 "
1611300576,מערכת לניהול מעקב משימות ,13200,  -   ,  -   ,  -   
1611300579,קישור לרשת המיחשוב ,13200,"  10,000 ","  9,000 ","  2,472 "
1611300580,הוצאות אירגוניות ,13200,"  6,000 ","  4,500 ","  3,900 "
1611300731,דלק ,13200,"  23,056 ",  -   ,  -   
1611300735,השכרת רכב ,13200,"  54,805 ",  -   ,  -   
1611300743,רכישת כלים מכשירים וציוד ,13200,"  9,000 ","  9,000 ","  3,071 "
1611300750,עבודות קבלניות ,13200,"  8,000 ","  8,000 ","  7,484 "
1611300751,משלוחי דאר מסירות אישיות ,13200,"  10,000 ","  10,000 ","  2,524 "
1611300753,שירותי יעוץ ,13200,"  30,000 ","  20,000 ","  27,855 "
1611300769,שירות לאומי ,13200,"  19,200 ","  19,200 ","  3,066 "
1611300780,הוצאות אחרות לפעולה ,13200,"  9,500 ","  9,500 ","  9,535 "
1611300930,שיפור סביבת העבודה לעובד ,13200,  -   ,  -   ,"  15,692 "
1611300986,ה.מ.-הטמעת תהליך אירגוני ,13200,  -   ,  -   ,  -   
1611310540,שדרוג מכשירי סלולר ,13200,  -   ,  -   ,  -   
1381000990,השתת.משרד בטחון פנים ,13205,"  -1,039,106 ","  -1,194,375 ","  -1,113,039 "
1881000105,עובדים זמניים ,13205,  -   ,  -   ,"  9,498 "
1881000110,שכר קובע ,13205,"  589,636 ","  635,927 ","  459,247 "
1881000120,תוספות שאינן בשכר קובע ,13205,"  11,330 ","  13,932 ","  10,587 "
1881000130,שעות נוספות ,13205,  -   ,"  2,064 ","  5,939 "
1881000140,החזר הוצאות ,13205,"  144,297 ","  197,005 ","  124,438 "
1881000181,הפרשות סוציאליות ,13205,"  145,091 ","  169,337 ","  123,007 "
1881000182,מיסים ועלויות ,13205,"  56,623 ","  64,912 ","  45,899 "
1881000540,הוצאות תקשורת ,13205,"  21,000 ","  17,000 ",  -   
1881000769,שירות לאומי ,13205,"  19,000 ",  -   ,  -   
1881000780,חינוך ,13205,"  9,072 ","  64,000 ","  26,653 "
1881000781,רווחה ,13205,"  170,350 ","  255,599 ","  165,200 "
1881000782,אכיפה ,13205,"  83,304 ","  281,442 ","  198,360 "
1881000783,פנאי ,13205,"  434,388 ","  392,418 ","  351,048 "
1881000784,הקשר רחב ,13205,"  105,207 ","  107,800 ","  80,956 "
1613100750,עבודות גניזה בקבלנות ,13220,"  400,000 ","  340,000 ","  383,818 "
1762000110,שכר קובע ,13300,"  138,791 ","  130,894 ","  134,912 "
