,,,,,,,,,,,,,," הצעת התקציב בש""ח ",
0,9,7,0,2,5,4,4,2,1,1244520790,"השתת.במימון מדריכות-זהב""י",49800,"  -148,815 ","  -183,000 ","  -183,000 "
0,9,9,0,2,5,4,4,2,1,1244520990,העברה מיועדת-משרד תחבורה ,49800,"  -129,563 ",  -   ,  -   
1,9,9,0,2,5,4,4,2,1,1244520991,מענק מ.תחבורה-שיפוץ מגרש ,49800,  -   ,"  -50,000 ",  -   
2,9,9,0,2,5,4,4,2,1,1244520992,מימון פעילות בטיחות בדרכי,49800,"  -188,323 ","  -450,000 ","  -394,000 "
1,1,6,0,0,0,6,4,2,1,1246000611,מכירת סכך ,56100,  -   ,  -   ,  -   
0,9,7,0,0,0,6,4,2,1,1246000790,מ.רשות המים-השקיית גינון ,56100,"  -197,390 ",  -   ,  -   
0,9,7,0,0,2,9,4,2,1,1249200790,ת.ממ.אוסטרליה-תחזוקת פארק,13210,"  -31,690 ",  -   ,  -100 
0,9,4,0,0,0,1,5,2,1,1251000490,הכנ.עצמיות ליום העצמאות ,16200,"  -31,680 ",  -   ,  -100 
1,9,4,0,0,0,1,5,2,1,1251000491,הכנסות מיוחדות ,16200,"  -40,030 ",  -   ,  -   
0,9,4,0,0,0,2,5,2,1,1252000490,הכנסות עצמיות-אירועים ,16100,"  -29,000 ",  -   ,  -100 
9,9,4,0,0,0,2,5,2,1,1252000499,"הכנסות ע""ח הוצאות ",16100,  -   ,  -   ,  -   
0,9,6,0,0,0,2,5,2,1,1252000690,הכנסות מהשכרת מחסומים ,16100,  -   ,  -   ,  -   
0,9,7,0,0,0,2,5,2,1,1252000790,השתת.רשות פ.נגב באירועים ,16100,"  -28,720 ","  -200,000 ",  -   
0,9,4,0,0,0,4,5,2,1,1254000490,הכנסות שונות ,16300,  -   ,  -   ,  -   
0,9,4,0,0,0,1,6,2,1,1261000490,הכנסות-מוקד ,13400,"  -30,000 ","  -30,000 ","  -30,000 "
1,9,4,0,0,0,1,6,2,1,1261000491,עמלה מהתאגיד-שירותי מוקד ,13400,"  -245,477 ","  -255,300 ","  -261,000 "
0,7,9,0,0,1,2,6,2,1,1262100970,הכוונת חיילים-מענק מ.בטחו,47600,"  -45,000 ",  -   ,  -   
0,4,5,0,0,0,6,6,2,1,1266000540,החזרי ביטוח ,83100,  -   ,  -   ,  -   
0,9,4,0,0,0,7,6,2,1,1267000490,הכנסות שונות ,72600,"  -54,170 ",  -   ,  -   
0,4,5,0,0,0,7,6,2,1,1267000540,החזרי ביטוח ,72600,  -   ,  -   ,  -   
0,4,5,0,0,1,7,6,2,1,1267100540,החזרי ביטוח ,13100,  -   ,  -   ,  -   
0,4,5,0,0,2,7,6,2,1,1267200540,החזרי ביטוח ,71100,  -   ,  -   ,  -   
0,9,4,0,0,0,9,6,2,1,1269000490,כרטיס תושב ,90110,"  -27,639 ","  -75,000 ","  -75,000 "
1,9,4,0,0,0,9,6,2,1,1269000491,כרטיס תושב-מכירת איזיפארק,90110,"  -11,211 ","  -40,000 ","  -40,000 "
0,9,4,0,0,1,9,6,2,1,1269100490,שירותי תמיכה למערכת מחשוב,13500,"  -24,762 ",  -   ,  -   
0,9,4,0,0,0,1,7,2,1,1271000490,הכנסות שונות ,17100,"  -93,572 ","  -100,000 ","  -75,000 "
1,9,4,0,0,0,1,7,2,1,1271000491,הכנסות מיוחדות ,17100,"  -26,244 ",  -100 ,  -100 
0,1,6,0,0,0,1,7,2,1,1271000610,מכירת מפות ,17100,"  -2,030 ","  -5,000 ","  -5,000 "
5,9,6,0,0,0,1,7,2,1,1271000695,מכירת מזכרות ,17100,"  -10,214 ","  -10,000 ","  -20,000 "
0,9,7,0,0,0,1,7,2,1,1271000790,השתת.בהפקת מפה תיירותית ,17100,  -   ,  -   ,  -   
1,9,7,0,0,0,1,7,2,1,1271000791,השתתפות בפרוייקט 7 זום ,17100,  -   ,  -   ,  -   
0,9,9,0,0,0,1,7,2,1,1271000990,השתת. משרד התיירות ,17100,  -   ,  -   ,  -   
1,9,9,0,0,0,1,7,2,1,1271000991,השתת.משרד המדע והתרבות ,17100,  -   ,  -   ,  -   
0,9,7,0,0,1,1,7,2,1,1271100790,השתת.עמותת דור הפלמח-אנדר,17200,  -   ,  -   ,  -   
0,7,9,0,0,1,1,7,2,1,1271100970,השתת.משרד הבטחון-אנדרטה ,17200,"  -230,000 ","  -230,000 ","  -230,000 "
0,2,2,0,0,0,0,8,2,1,1280000220,אגרת פעולות אכיפה-פיקוח ,90100,"  -955,774 ",  -   ,  -100 
0,9,4,0,0,0,0,8,2,1,1280000490,דמי גרירת גרוטאות ,90100,  -   ,  -   ,  -   
1,9,4,0,0,0,0,8,2,1,1280000491,הכנסות משרותי פיקוח ,90100,  -   ,  -   ,  -   
2,9,4,0,0,0,0,8,2,1,1280000492,הכנסות שונות ,90100,  -   ,  -   ,  -   
0,4,5,0,0,0,0,8,2,1,1280000540,החזר ביטוח ,90100,  -   ,  -   ,  -   
0,9,4,0,0,0,1,8,2,1,1281000490,קנסות חוקי עזר ,90200,"  -1,461,804 ","  -2,755,000 ","  -2,100,000 "
1,9,4,0,0,0,1,8,2,1,1281000491,הכנסות מרוכלות-עצמאות 99',90200,  -   ,  -   ,  -   
1,6,6,0,0,0,1,8,2,1,1281000661,הכנסות שונות ,90200,"  -11,864 ",  -   ,  -   
0,9,2,0,0,2,1,8,2,1,1281200290,אגרות שונות ,90500,"  -249,972 ","  -200,000 ","  -200,000 "
1,9,2,0,0,2,1,8,2,1,1281200291,אגרת רשיונות- שלטים ,90500,"  -6,503,723 ","  -9,500,000 ","  -9,700,000 "
2,9,2,0,0,2,1,8,2,1,1281200292,אגרת מודעות על לוחות ,90500,"  -73,201 ","  -80,000 ","  -80,000 "
0,7,6,0,0,2,1,8,2,1,1281200670,זכיון מעמודורים ,90510,"  -244,736 ","  -333,333 ","  -333,333 "
1,7,6,0,0,2,1,8,2,1,1281200671,הכנס.מזכיונות-שילוט תחנות,90510,"  -1,091,582 ","  -1,333,333 ","  -1,333,333 "
2,7,6,0,0,2,1,8,2,1,1281200672,זכיון-שילוט חוצות ,90510,"  -929,756 ","  -1,043,965 ","  -1,043,965 "
1,9,4,0,1,2,1,8,2,1,1281210491,החזר חשמל-עמודורים ,90510,"  -68,722 ","  -112,000 ","  -112,000 "
1,9,4,0,2,2,1,8,2,1,1281220491,החזר חשמל-שילוט תחנות ,90510,"  -117,615 ","  -50,000 ","  -50,000 "
1,9,4,0,3,2,1,8,2,1,1281230491,החזר חשמל-שילוט חוצות ,90510,  -   ,"  -72,000 ","  -72,000 "
0,9,4,0,0,0,2,8,2,1,1282000490,הכנסות לשכה משפטית ,14100,"  -5,854 ","  -50,000 ","  -10,000 "
0,2,9,0,0,0,0,1,3,1,1310000920,החזר-נתיבות יורם ,72900,"  -4,000,000 ",  -   ,  -   
0,9,4,0,0,0,1,1,3,1,1311000490,הכנסות שונות ,41100,"  -15,878 ",  -100 ,  -100 
0,4,5,0,0,0,1,1,3,1,1311000540,החזר ביטוח למוסדות ,41100,"  -145,419 ",  -   ,  -   
0,2,9,0,0,0,1,1,3,1,1311000920,הכנסות חינוך לפיצול ,41100,  -   ,  -   ,  -   
2,2,9,0,0,0,1,1,3,1,1311000922,הקצבה להצטיידות טכנולוגית,41100,"  -366,453 ","  -206,000 ","  -320,000 "
0,9,4,0,0,1,1,1,3,1,1311100490,הכנסות ועד הורים מרכזי ,41100,"  -20,868 ","  -20,000 ","  -20,000 "
2,2,9,0,0,1,1,1,3,1,1311100922,העברה מיועדת ,41100,"  -9,900 ",  -100 ,  -100 
1,2,4,0,1,1,2,1,3,1,1312110421,השתתפות הורים-מצעד הספרים,42100,  -   ,  -   ,"  -12,000 "
4,2,4,0,1,1,2,1,3,1,1312110424,השתתפות הורים-מדף הספרים ,42100,  -   ,  -   ,"  -12,000 "
8,2,4,0,1,1,2,1,3,1,1312110428,השתתפות הורים-מילת ,42100,"  -231,428 ","  -126,000 ","  -183,750 "
9,2,4,0,1,1,2,1,3,1,1312110429,"השת.הורים בהזנה-יול""א ",42100,"  -39,896 ",  -   ,  -   
0,4,5,0,1,1,2,1,3,1,1312110540,החזרי ביטוח לגנים ,42100,  -   ,  -   ,  -   
0,2,9,0,1,1,2,1,3,1,1312110920,מילת מדערום ,42100,  -   ,  -   ,  -   
2,2,9,0,1,1,2,1,3,1,1312110922,העברה מיועדת ,42100,"  -40,000 ",  -100 ,  -100 
0,2,4,0,0,2,2,1,3,1,1312200420,ח.העשרה-מרמנת קרן קרב ,42200,"  -336,998 ","  -388,368 ","  -430,000 "
1,2,4,0,0,2,2,1,3,1,1312200421,השתת.הורים בהזנה לאומית ,42200,"  -1,046,912 ","  -141,173 ","  -87,393 "
2,2,4,0,0,2,2,1,3,1,1312200422,השתתפות הורים בצהרונים ,42200,"  -71,106 ","  -89,964 ","  -71,000 "
0,5,7,0,0,2,2,1,3,1,1312200750,השתת.סוכנות ילדי ע.אתיופי,42200,  -   ,  -   ,  -   
0,2,9,0,0,2,2,1,3,1,1312200920,חוק שילוב סייעות ,42200,"  -2,172,485 ","  -2,252,000 ","  -2,555,704 "
1,2,9,0,0,2,2,1,3,1,1312200921,השתת בשכר עוזרות גננות ,42200,"  -9,648,711 ","  -9,677,687 ","  -9,683,988 "
3,2,9,0,0,2,2,1,3,1,1312200923,"גנים יוח""א ",42200,"  -204,905 ","  -255,000 ","  -211,000 "
4,2,9,0,0,2,2,1,3,1,1312200924,השתת. בילדי השלמה ,42200,"  -220,495 ","  -336,600 ","  -230,000 "
5,2,9,0,0,2,2,1,3,1,1312200925,סייעות רפואיות ,42200,  -   ,  -   ,  -   
9,2,9,0,0,2,2,1,3,1,1312200929,השתת.תשלומי הורים-חומרים ,42200,  -   ,  -   ,  -   
5,2,2,0,0,3,2,1,3,1,1312300225,אגרת תלמידי חוץ ,42300,  -   ,  -   ,  -   
0,1,4,0,0,3,2,1,3,1,1312300410,"שכל""מ מהורים ",42300,"  -12,371,867 ","  -11,729,739 ","  -12,558,000 "
1,1,4,0,0,3,2,1,3,1,1312300411,תשלום חובות משנים קודמות ,42300,"  -326,659 ","  -800,000 ","  -560,000 "
1,2,9,0,0,3,2,1,3,1,1312300921,"השתת.בשכל""מ ט.חובה)%57( ",42300,"  -3,140,763 ","  -3,206,061 ","  -3,293,640 "
2,2,9,0,0,3,2,1,3,1,1312300922,העברה מיועדת ,42300,  -   ,  -100 ,  -100 
3,2,9,0,0,3,2,1,3,1,1312300923,שיקום שכונות גיל 4 ,42300,"  -1,551,937 ","  -1,610,844 ","  -1,944,564 "
4,2,9,0,0,3,2,1,3,1,1312300924,השתת בילדי השלמה ,42300,  -   ,  -   ,  -   
5,2,9,0,0,3,2,1,3,1,1312300925,השתת. בילדי עולים ,42300,"  -778,401 ","  -783,990 ","  -680,000 "
5,2,2,0,0,6,2,1,3,1,1312600225,אגרת תלמידי חוץ ,42310,"  -1,228 ","  -14,000 ","  -10,000 "
0,2,4,0,0,6,2,1,3,1,1312600420,השתת.הורים בצהרנים-קרן קר,42310,"  -2,180 ",  -   ,  -   
0,4,5,0,0,6,2,1,3,1,1312600540,החזרי ביטוח לגנים מיוחדים,42310,  -   ,  -   ,  -   
0,2,9,0,0,6,2,1,3,1,1312600920,"הזנת יוח""א ",42310,"  -136,344 ","  -126,480 ","  -137,550 "
2,2,9,0,0,6,2,1,3,1,1312600922,העברה מיועדת ,42310,  -   ,  -100 ,  -100 
3,2,9,0,0,6,2,1,3,1,1312600923,ח.מיוחד פטור ממלכתי ,42310,"  -725,860 ","  -719,100 ","  -680,000 "
5,2,9,0,0,6,2,1,3,1,1312600925,השתת. בתלמידי חוץ ,42310,  -   ,  -   ,  -   
6,2,9,0,0,6,2,1,3,1,1312600926,תשלומי הורים חומרים ,42310,"  -1,552 ","  -2,000 ",  -   
7,2,9,0,0,6,2,1,3,1,1312600927,חופשות לאוטיסטים ,42310,  -   ,  -   ,  -   
0,2,9,0,1,6,2,1,3,1,1312610920,"גנים-יוח""א ",42310,"  -81,171 ","  -20,400 ",  -   
1,2,9,0,1,6,2,1,3,1,1312610921,הש.שכר סייע.כיתתיות וטיפו,42310,  -   ,  -   ,  -   
7,2,9,0,1,6,2,1,3,1,1312610927,השתת.בהוצ.ארג.נלוות ,42310,"  -75,202 ","  -101,000 ","  -108,324 "
8,2,9,0,1,6,2,1,3,1,1312610928,השתת.בפעולות העשרה ,42310,"  -47,724 ","  -60,000 ","  -60,000 "
9,2,9,0,1,6,2,1,3,1,1312610929,השתת.בשרותי היקף ,42310,"  -6,558 ","  -9,000 ",  -   
1,2,4,0,0,1,3,1,3,1,1313100421,ח.העשרה-מרמנת קרן קרב ,43000,"  -337,771 ","  -478,166 ","  -471,114 "
2,2,4,0,0,1,3,1,3,1,1313100422,השתת.הורים בהזנה לאומית ,43000,"  -72,693 ","  -1,647,785 ","  -1,278,495 "
8,2,4,0,0,1,3,1,3,1,1313100428,"השתת.הורים-מיל""ת ",43000,"  -242,800 ","  -282,000 ","  -200,000 "
0,9,4,0,0,1,3,1,3,1,1313100490,מחשב לכל ילד ,43000,"  -44,035 ","  -50,000 ",  -   
1,9,4,0,0,1,3,1,3,1,1313100491,השתת.הורים במפעל הזנה ,43000,  -   ,  -   ,  -   
2,2,9,0,0,1,3,1,3,1,1313100922,העברה מיועדת ,43000,"  -5,109 ",  -100 ,  -   
3,2,9,0,0,1,3,1,3,1,1313100923,השאלת ספרים ,43000,  -   ,  -   ,  -   
0,9,9,0,0,1,3,1,3,1,1313100990,פרוייקט חינוך למיחזור ,43000,  -   ,"  -336,000 ",  -   
