,,,,,,,,,,חשבון ,שם חשבון ,מחלקה , ביצוע 2010  , תקציב 2011 מע , הצעת תקציב 20 
0,9,4,0,0,0,7,5,1,1,1157000490,רווחת העובד ,81100,  -   ,  -   ,  -   
0,3,7,0,0,0,7,5,1,1,1157000730,החזר ביטוח לאומי-מילואים ,72900,"  -151,623 ","  -220,000 ","  -250,000 "
1,3,7,0,0,0,7,5,1,1,1157000731,השתתפות ב.לאומי-תאונות ,72900,"  -440,831 ","  -380,000 ","  -600,000 "
2,3,7,0,0,0,7,5,1,1,1157000732,החזר ביטוח לאומי-פגיעות א,72900,  -   ,  -   ,  -   
0,9,7,0,0,0,7,5,1,1,1157000790,"השתתפות מפע""מ ",13100,  -   ,  -   ,  -   
0,9,6,0,0,1,7,5,1,1,1157100690,השתתפות עובדים ,82100,  -   ,  -   ,  -   
0,9,7,0,0,1,7,5,1,1,1157100790,"השתתפות מפע""ם-אימון אישי ",82100,  -   ,"  -59,500 ","  -59,500 "
0,9,6,0,0,4,7,5,1,1,1157400690,השתתפות עובדים ,82300,  -   ,"  -36,000 ",  -   
0,9,6,0,0,5,7,5,1,1,1157500690,השתתפות עובדים ,82400,  -   ,  -   ,  -   
0,9,6,0,0,6,7,5,1,1,1157600690,השתתפות עובדים ,82500,  -   ,"  -183,900 ","  -183,900 "
0,9,6,1,0,6,7,5,1,1,1157601690,השתת.עובדים-מינהל כללי ,82500,  -   ,  -   ,  -   
0,9,6,3,0,6,7,5,1,1,1157603690,השתת.עובדים-הנדסה ,82500,  -   ,  -   ,  -   
0,9,6,4,0,6,7,5,1,1,1157604690,השתת.עובדים-חינוך ,82500,  -   ,  -   ,  -   
0,9,6,5,0,6,7,5,1,1,1157605690,"השתת.עובדים-שפ""ע ",82500,  -   ,  -   ,  -   
0,9,6,6,0,6,7,5,1,1,1157606690,השתת.עובדים-רווחה ,82500,  -   ,  -   ,  -   
0,9,6,7,0,6,7,5,1,1,1157607690,השתת.עובדים-גזברות ,82500,  -   ,  -   ,  -   
1,9,6,7,0,6,7,5,1,1,1157607691,השתתפות עובדים ,71100,  -   ,  -   ,  -   
0,9,6,8,0,6,7,5,1,1,1157608690,השתת.עובדים-משאבי אנוש ,82500,  -   ,  -   ,  -   
0,9,6,9,0,6,7,5,1,1,1157609690,השתת.עובדים-פיקוח ,82500,  -   ,  -   ,  -   
0,9,4,0,0,0,8,5,1,1,1158000490,השתתפות עובדים-מעמד האישה,11400,"  -51,047 ",  -   ,  -   
0,9,7,0,0,0,8,5,1,1,1158000790,השתת.רשות פיתוח נגב בהכשר,11400,  -   ,  -100 ,  -100 
0,9,9,0,0,0,8,5,1,1,1158000990,השתת.מ.ראש הממשלה-מ.האישה,11400,  -   ,  -   ,  -   
2,6,6,0,0,0,0,6,1,1,1160000662,הכנסות מריבית ודיבידנד ,72800,"  -313,376 ","  -100,000 ",  -   
9,1,9,0,0,0,1,9,1,1,1191000919,מענק כללי לאיזון ,72900,  -   ,  -   ,  -   
2,1,9,0,0,0,6,9,1,1,1196000912,מענק לפיצוי אזרחים ותיקים,72900,  -   ,  -   ,  -   
3,1,9,0,0,0,6,9,1,1,1196000913,מענק רזרבת השר ,72900,"  -450,000 ",  -   ,  -   
4,1,9,0,0,0,6,9,1,1,1196000914,מענק שיפוי קופות גמל ,72900,"  -137,747 ","  -91,000 ","  -138,000 "
6,1,9,0,0,0,6,9,1,1,1196000916,מענק/שיפוי פנסיה צוברת ,72900,"  -1,200,721 ","  -1,286,000 ","  -1,200,000 "
0,1,9,0,0,1,6,9,1,1,1196100910,"השתתפות משה""פ בבחירות ",83400,  -   ,  -   ,  -   
7,1,9,0,0,1,6,9,1,1,1196100917,מענק איזון מותנה ,72900,  -   ,  -   ,  -   
0,9,4,0,0,0,1,1,2,1,1211000490,"קנסות חוקי עזר-שפ""ע ",51100,  -   ,  -   ,  -   
5,9,4,0,0,0,1,1,2,1,1211000495,הכנסות שונות ,51100,  -   ,  -   ,  -   
0,4,5,0,0,0,1,1,2,1,1211000540,החזרי ביטוח ,51100,"  -113,636 ",  -   ,  -100 
2,9,4,0,0,2,2,1,2,1,1212200492,צו ניקוי-הכנסות ,52200,  -   ,  -   ,  -   
0,2,2,0,0,3,2,1,2,1,1212300220,חובות אגרת פינוי אשפה ,52300,  -   ,"  -2,200,000 ","  -1,500,000 "
1,2,2,0,0,3,2,1,2,1,1212300221,אגרת פינוי אשפ.ממפעלים ,52300,"  -1,701,603 ",  -   ,  -   
2,2,2,0,0,3,2,1,2,1,1212300222,פינוי והטמנת צמיגים ,52300,  -   ,  -   ,  -   
0,9,4,0,0,3,2,1,2,1,1212300490,פינוי והטמנה פ.בניין-תושב,52300,  -   ,  -   ,  -   
1,9,4,0,0,3,2,1,2,1,1212300491,אתר פסולת בניין ,52300,  -   ,  -   ,"  -78,000 "
0,9,6,0,0,3,2,1,2,1,1212300690,הכנסות ממיחזור ,52300,"  -5,075 ","  -468,000 ",  -   
1,9,6,0,0,3,2,1,2,1,1212300691,פינוי פסולת אלקטרוניקה ,52300,  -   ,  -   ,"  -18,000 "
2,9,6,0,0,3,2,1,2,1,1212300692,פינוי פסולת טקסטיל ,52300,  -   ,  -   ,"  -24,000 "
0,9,9,0,0,3,2,1,2,1,1212300990,השתת.-פריסת מערך המיחזור ,52300,  -   ,"  -326,746 ",  -   
0,9,4,0,0,0,3,1,2,1,1213000490,קנסות חוקי עזר-גזרי דין ,21200,"  -117,513 ","  -280,000 ",  -   
1,9,4,0,0,0,3,1,2,1,1213000491,עמלה מהתאגיד-ש.דיגום מים ,21200,  -   ,  -   ,  -   
0,9,2,0,0,3,3,1,2,1,1213300290,אגרת רשיונות לעסקים ,21300,"  -273,144 ","  -260,000 ","  -300,000 "
1,9,2,0,0,3,3,1,2,1,1213300291,אגרת היתר לסוכך חורף ,21300,  -   ,  -   ,  -   
2,9,2,0,0,3,3,1,2,1,1213300292,אגרת היתר הצבת שולחן+כסא ,21300,  -   ,  -   ,  -   
0,9,4,0,0,3,3,1,2,1,1213300490,גזרי דין רישוי עסקים ,21300,  -   ,  -   ,  -   
0,9,4,0,1,3,3,1,2,1,1213310490,הכנסות שונות ,21100,  -   ,"  -4,000 ","  -4,000 "
0,9,4,1,1,3,3,1,2,1,1213311490,קנסות חוקי עזר-גזרי דין ,21400,  -   ,  -   ,"  -400,000 "
0,9,2,0,0,2,4,1,2,1,1214200290,אגרת רשיונות לכלבים ,55200,  -   ,  -   ,  -   
1,9,2,0,0,2,4,1,2,1,1214200291,בדיקות משנה מזון טרי ,55300,"  -180,354 ","  -174,000 ","  -190,000 "
0,9,4,0,0,2,4,1,2,1,1214200490,דמי שירות בדיקות משנה ,55300,  -   ,"  -100,000 ","  -100,000 "
5,9,4,0,0,2,4,1,2,1,1214200495,דמי בדיקה בשר קפוא ,55300,"  -264,695 ","  -264,000 ","  -270,000 "
6,9,4,0,0,2,4,1,2,1,1214200496,דמי בדיקת דגים ,55300,"  -246,618 ","  -177,000 ","  -250,000 "
7,9,4,0,0,2,4,1,2,1,1214200497,דמי בדיקת עופות ,55300,"  -209,364 ","  -280,000 ","  -280,000 "
8,9,4,0,0,2,4,1,2,1,1214200498,אגרת אחזקת בעלי חיים ,55300,  -   ,  -   ,  -   
0,2,2,0,0,3,4,1,2,1,1214300220,אגרת הסגרת כלבים ,55200,"  -144,132 ","  -138,000 ","  -215,000 "
1,2,2,0,0,3,4,1,2,1,1214300221,אגרת חיסון ,55200,"  -141,399 ","  -175,000 ","  -175,000 "
0,9,2,0,0,3,4,1,2,1,1214300290,אגרת רשיונות לכלבים ,55200,"  -483,708 ","  -486,000 ","  -486,000 "
0,9,4,0,0,3,4,1,2,1,1214300490,קנסות חוקי עזר ,55200,"  -32,068 ","  -87,800 ","  -87,800 "
0,6,9,0,0,3,4,1,2,1,1214300960,השתת.מ.חקלאות-חתולי רחוב ,55200,"  -200,000 ",  -   ,  -   
1,6,9,0,0,3,4,1,2,1,1214300961,השתת.-הקמת מרפאה וטרינרית,55200,  -   ,"  -50,000 ",  -   
0,9,9,0,0,3,5,1,2,1,1215300990,תמיכה בהדברת מזיקים ,54200,  -   ,"  -45,000 ",  -   
0,4,5,0,0,0,1,2,2,1,1221000540,החזרי ביטוח ,12200,  -   ,  -   ,  -   
3,9,4,0,0,1,2,2,2,1,1222100493,הכנסות עצמיות ,12500,  -   ,  -   ,  -   
0,1,9,0,0,1,2,2,2,1,1222100910,השתתפות משרד הפנים ,12500,"  -41,282 ","  -45,600 ","  -30,000 "
0,9,4,0,0,2,2,2,2,1,1222200490,דמי כניסה למטווח ,12400,"  -529,470 ","  -550,000 ","  -550,000 "
0,9,6,0,0,2,2,2,2,1,1222200690,מכירת תחמושת ,12400,"  -151,144 ","  -250,000 ","  -210,000 "
0,9,4,0,0,0,3,2,2,1,1223000490,הכנסות עצמיות ,12300,  -   ,  -   ,  -   
0,4,5,0,0,0,3,2,2,1,1223000540,החזר ביטוח ,12300,  -   ,  -   ,  -   
0,7,9,0,0,0,3,2,2,1,1223000970,השתת.מ.בטחון-שיפוץ מקלטים,12300,"  -250,000 ",  -   ,  -   
0,1,9,0,0,0,6,2,2,1,1226000910,"השתתפות משה""פ בהשתלמויות ",12600,  -   ,  -   ,  -   
1,1,9,0,0,0,6,2,2,1,1226000911,"השתת.משה""פ-חבצלת פיגועים ",12600,  -   ,  -   ,  -   
2,1,9,0,0,0,6,2,2,1,1226000912,סיוע מ.הפנים-חירום ובטחון,12600,  -   ,  -   ,  -   
0,9,4,0,0,0,1,3,2,1,1231000490,עמלה מתאגיד-ש.תכנון הנדסי,31100,  -   ,  -   ,  -   
0,4,5,0,0,0,1,3,2,1,1231000540,החזר ביטוח ,31100,  -   ,  -100 ,  -   
0,9,5,0,0,0,1,3,2,1,1231000590,היטל השבחה למימון הנדסה ,31100,"  -7,500,000 ","  -7,500,000 ","  -7,500,000 "
0,2,2,0,0,0,2,3,2,1,1232000220,אגרת מידע תכנוני ,32100,  -   ,  -100 ,  -100 
0,9,9,0,0,0,2,3,2,1,1232000990,השתת.משרד הגנת הסביבה ,32100,"  -21,560 ",  -   ,  -   
0,9,2,0,0,1,3,3,2,1,1233100290,אגרת רשיונות בניה ,33100,"  -9,641,290 ","  -7,500,000 ","  -7,600,000 "
0,9,5,0,0,1,3,3,2,1,1233100590,העברה מקרן עבודות פיתוח ,33100,"  -304,083 ","  -500,000 ","  -500,000 "
0,1,6,0,0,1,3,3,2,1,1233100610,מכירת תיקי בניה ,33100,"  -2,235 ","  -4,000 ","  -4,000 "
0,9,4,0,0,2,3,3,2,1,1233200490,גזרי דין פיקוח בניה ,32200,"  -600,942 ","  -500,000 ","  -795,000 "
0,9,5,0,0,4,3,3,2,1,1233400590,העברה מקרן עבודות פיתוח ,33200,"  -481,284 ","  -2,000,000 ","  -2,000,000 "
5,9,4,0,0,0,2,4,2,1,1242000495,השתתפות מוסדות ,103000,  -   ,  -100 ,  -100 
0,9,9,0,0,1,3,4,2,1,1243100990,חסכון בתאורת חוץ-תמיכה ,34400,  -   ,  -   ,  -   
0,9,6,0,0,0,4,4,2,1,1244000690,הכנסות מסימון ת.מוניות ,34200,  -   ,  -100 ,  -100 
0,9,7,0,2,5,4,4,2,1,1244520790,"השתת.במימון מדריכות-זהב""י",49800,"  -158,670 ","  -183,000 ","  -185,000 "
0,9,9,0,2,5,4,4,2,1,1244520990,העברה מיועדת-משרד תחבורה ,49800,  -   ,  -   ,  -   
1,9,9,0,2,5,4,4,2,1,1244520991,מענק מ.תחבורה-שיפוץ מגרש ,49800,  -   ,"  -50,000 ",  -   
2,9,9,0,2,5,4,4,2,1,1244520992,מימון פעילות בטיחות בדרכי,49800,"  -249,790 ","  -520,000 ","  -520,000 "
1,1,6,0,0,0,6,4,2,1,1246000611,מכירת סכך ,56100,  -   ,  -   ,  -   
0,9,7,0,0,0,6,4,2,1,1246000790,מ.רשות המים-השקיית גינון ,56100,  -   ,  -   ,  -   
0,4,5,0,0,4,6,4,2,1,1246400540,החזרי ביטוח ,56100,  -   ,  -   ,  -   
0,9,7,0,0,2,9,4,2,1,1249200790,ת.ממ.אוסטרליה-תחזוקת פארק,105000,"  -33,000 ",  -100 ,"  -37,000 "
0,9,4,0,0,0,1,5,2,1,1251000490,הכנ.עצמיות ליום העצמאות ,16200,"  -52,785 ",  -100 ,  -100 
1,9,4,0,0,0,1,5,2,1,1251000491,הכנסות מיוחדות ,16200,"  -5,000 ",  -   ,  -   
0,9,4,0,0,0,2,5,2,1,1252000490,הכנסות עצמיות-אירועים ,16100,"  -16,900 ",  -100 ,  -100 
9,9,4,0,0,0,2,5,2,1,1252000499,"הכנסות ע""ח הוצאות ",16100,  -   ,  -   ,  -   
0,9,6,0,0,0,2,5,2,1,1252000690,הכנסות מהשכרת מחסומים ,16100,  -   ,  -   ,  -   
0,4,7,0,0,0,2,5,2,1,1252000740,מועצת הפיס-מאירים את הנגב,16100,  -   ,"  -100,000 ",  -   
0,9,7,0,0,0,2,5,2,1,1252000790,השתת.רשות פ.נגב באירועים ,16100,"  -200,000 ",  -   ,  -100 
0,9,9,0,0,0,2,5,2,1,1252000990,מ.התיירות-מאירים את הנגב ,16100,  -   ,"  -75,000 ",  -   
0,9,4,0,0,0,4,5,2,1,1254000490,הכנסות שונות ,16300,  -   ,  -   ,  -   
0,9,4,0,0,0,1,6,2,1,1261000490,הכנסות-מוקד ,13400,"  -30,000 ","  -30,000 ","  -30,000 "
1,9,4,0,0,0,1,6,2,1,1261000491,עמלה מהתאגיד-שירותי מוקד ,13400,"  -252,341 ","  -261,000 ","  -271,000 "
0,7,9,0,0,1,2,6,2,1,1262100970,הכוונת חיילים-מענק מ.בטחו,47600,  -   ,  -   ,  -   
0,4,5,0,0,0,6,6,2,1,1266000540,החזרי ביטוח ,83100,  -   ,  -   ,  -   
0,9,4,0,0,0,7,6,2,1,1267000490,הכנסות שונות ,72600,  -   ,  -   ,  -   
0,4,5,0,0,0,7,6,2,1,1267000540,החזרי ביטוח ,72600,"  -6,938 ",  -   ,  -   
0,4,5,0,0,1,7,6,2,1,1267100540,החזרי ביטוח ,13100,  -   ,  -   ,  -   
0,4,5,0,0,2,7,6,2,1,1267200540,החזרי ביטוח ,71100,  -   ,  -   ,  -   
0,9,4,0,0,0,9,6,2,1,1269000490,כרטיס תושב ,90110,"  -17,869 ","  -75,000 ","  -10,000 "
1,9,4,0,0,0,9,6,2,1,1269000491,כרטיס תושב-מכירת איזיפארק,90110,"  -7,225 ","  -40,000 ",  -100 
0,9,4,0,0,1,9,6,2,1,1269100490,שירותי תמיכה למערכת מחשוב,13500,  -   ,  -   ,  -   
0,9,4,0,0,0,1,7,2,1,1271000490,הכנסות שונות ,17100,"  -53,330 ","  -75,000 ",  -100 
1,9,4,0,0,0,1,7,2,1,1271000491,הכנסות מיוחדות ,17100,  -   ,  -100 ,  -100 
0,1,6,0,0,0,1,7,2,1,1271000610,מכירת מפות ,17100,"  -5,337 ","  -5,000 ","  -5,000 "
5,9,6,0,0,0,1,7,2,1,1271000695,מכירת מזכרות ,17100,  -513 ,"  -20,000 ","  -20,000 "
0,9,7,0,0,0,1,7,2,1,1271000790,השתת.בהפקת מפה תיירותית ,17100,  -   ,  -   ,  -   
1,9,7,0,0,0,1,7,2,1,1271000791,השתתפות בפרוייקט 7 זום ,17100,  -   ,  -   ,  -   
0,9,9,0,0,0,1,7,2,1,1271000990,השתת. משרד התיירות ,17100,  -   ,  -   ,  -   
1,9,9,0,0,0,1,7,2,1,1271000991,השתת.משרד המדע והתרבות ,17100,  -   ,  -   ,  -   
0,7,9,0,0,1,1,7,2,1,1271100970,השתת.משרד הבטחון-אנדרטה ,17200,"  -230,000 ","  -230,000 ","  -230,000 "
0,2,2,0,0,1,2,7,2,1,1272100220,אגרת שמירה ,72710,  -   ,  -   ,  -   
0,2,2,0,0,0,0,8,2,1,1280000220,אגרת פעולות אכיפה-פיקוח ,90100,"  -1,236,768 ",  -100 ,"  -750,000 "
0,9,4,0,0,0,0,8,2,1,1280000490,דמי גרירת גרוטאות ,90100,  -   ,  -   ,  -   
1,9,4,0,0,0,0,8,2,1,1280000491,הכנסות משרותי פיקוח ,90100,  -   ,  -   ,  -   
2,9,4,0,0,0,0,8,2,1,1280000492,הכנסות שונות ,90100,  -   ,  -   ,  -   
0,4,5,0,0,0,0,8,2,1,1280000540,החזר ביטוח ,90100,  -   ,  -   ,  -   
0,9,4,0,0,0,1,8,2,1,1281000490,קנסות חוקי עזר ,90200,"  -1,171,752 ","  -2,100,000 ","  -2,500,000 "
1,9,4,0,0,0,1,8,2,1,1281000491,הכנסות מרוכלות-עצמאות 99',90200,  -   ,  -   ,  -   
1,6,6,0,0,0,1,8,2,1,1281000661,הכנסות שונות ,90200,"  -12,050 ",  -   ,  -   
0,9,2,0,0,2,1,8,2,1,1281200290,אגרות שונות ,90500,"  -138,816 ","  -200,000 ","  -300,000 "
1,9,2,0,0,2,1,8,2,1,1281200291,אגרת רשיונות- שלטים ,90500,"  -6,729,251 ","  -9,700,000 ","  -9,200,000 "
2,9,2,0,0,2,1,8,2,1,1281200292,אגרת מודעות על לוחות ,90500,"  -104,937 ","  -80,000 ","  -80,000 "
0,7,6,0,0,2,1,8,2,1,1281200670,זכיון מעמודורים ,90510,"  -350,827 ","  -333,333 ",  -   
1,7,6,0,0,2,1,8,2,1,1281200671,הכנס.מזכיונות-שילוט תחנות,90510,"  -519,998 ","  -1,333,333 ",  -   
2,7,6,0,0,2,1,8,2,1,1281200672,זכיון-שילוט חוצות ,90510,"  -1,319,809 ","  -1,043,965 ",  -   
1,9,4,1,0,2,1,8,2,1,1281201491,החזר חשמל -ריהוט רחוב ,90510,  -   ,  -   ,"  -50,000 "
1,7,6,1,0,2,1,8,2,1,1281201671,זכיון ריהוט רחוב ,90510,  -   ,  -   ,"  -750,000 "
1,9,4,2,0,2,1,8,2,1,1281202491,החזר חשמל -שילוט חוצות ,90510,  -   ,  -   ,"  -35,000 "
1,7,6,2,0,2,1,8,2,1,1281202671,זכיון שילוט חוצות ,90510,  -   ,  -   ,"  -450,000 "
1,9,4,0,1,2,1,8,2,1,1281210491,החזר חשמל-עמודורים ,90510,"  -96,000 ","  -112,000 ",  -   
1,9,4,0,2,2,1,8,2,1,1281220491,החזר חשמל-שילוט תחנות ,90510,"  -147,149 ","  -50,000 ",  -   
1,9,4,0,3,2,1,8,2,1,1281230491,החזר חשמל-שילוט חוצות ,90510,"  -54,285 ","  -72,000 ",  -   
0,9,4,0,0,0,2,8,2,1,1282000490,הכנסות לשכה משפטית ,14100,"  -7,438 ","  -10,000 ","  -40,000 "
0,9,4,0,0,0,1,1,3,1,1311000490,הכנסות שונות ,41100,  -   ,  -100 ,  -100 
0,4,5,0,0,0,1,1,3,1,1311000540,החזר ביטוח למוסדות ,41100,"  -7,389 ",  -   ,  -   
0,2,9,0,0,0,1,1,3,1,1311000920,הכנסות חינוך לפיצול ,41100,  -   ,  -   ,  -   
2,2,9,0,0,0,1,1,3,1,1311000922,הקצבה להצטיידות טכנולוגית,41200,"  -265,902 ","  -320,000 ",  -100 
3,2,9,0,0,0,1,1,3,1,1311000923,השתתפות בפרוייקט מצויינות,41100,  -   ,  -   ,  -   
0,9,4,0,0,1,1,1,3,1,1311100490,הכנסות ועד הורים מרכזי ,41100,"  -20,522 ","  -20,000 ","  -20,000 "
2,2,9,0,0,1,1,1,3,1,1311100922,העברה מיועדת ,41100,"  -84,466 ",  -100 ,  -100 
1,2,4,0,1,1,2,1,3,1,1312110421,השתתפות הורים-מצעד הספרים,42100,"  -9,100 ","  -12,000 ","  -12,000 "
4,2,4,0,1,1,2,1,3,1,1312110424,השתתפות הורים-מדף הספרים ,42100,"  -26,500 ","  -12,000 ","  -12,000 "
8,2,4,0,1,1,2,1,3,1,1312110428,השתתפות הורים-מילת ,42100,"  -230,500 ","  -183,750 ","  -309,400 "
9,2,4,0,1,1,2,1,3,1,1312110429,"השת.הורים בהזנה-יול""א ",42100,"  -6,861 ",  -   ,  -   
0,4,5,0,1,1,2,1,3,1,1312110540,החזרי ביטוח לגנים ,42100,  -   ,  -   ,  -   
0,2,9,0,1,1,2,1,3,1,1312110920,מילת מדערום ,42100,  -   ,  -   ,  -   
2,2,9,0,1,1,2,1,3,1,1312110922,העברה מיועדת ,42100,  -   ,  -100 ,  -100 
0,2,4,0,0,2,2,1,3,1,1312200420,ח.העשרה-מרמנת קרן קרב ,42200,"  -302,656 ","  -430,000 ","  -399,728 "
1,2,4,0,0,2,2,1,3,1,1312200421,השתת.הורים בהזנה לאומית ,42200,"  -1,097,187 ","  -87,393 ","  -166,353 "
2,2,4,0,0,2,2,1,3,1,1312200422,השתתפות הורים בצהרונים ,42200,"  -92,837 ","  -71,000 ","  -72,000 "
0,2,9,0,0,2,2,1,3,1,1312200920,חוק שילוב סייעות ,42200,"  -2,668,757 ","  -2,555,704 ","  -3,188,000 "
1,2,9,0,0,2,2,1,3,1,1312200921,השתת בשכר עוזרות גננות ,42200,"  -9,158,700 ","  -9,683,988 ","  -9,750,000 "
3,2,9,0,0,2,2,1,3,1,1312200923,"גנים יוח""א ",42200,"  -153,536 ","  -211,000 ","  -208,920 "
4,2,9,0,0,2,2,1,3,1,1312200924,השתת. בילדי השלמה ,42200,"  -106,995 ","  -230,000 ","  -172,000 "
5,2,9,0,0,2,2,1,3,1,1312200925,סייעות רפואיות ,42200,"  -26,934 ",  -   ,"  -61,000 "
6,2,9,0,0,2,2,1,3,1,1312200926,"ציוד ראשוני גנים יוח""א ",42200,  -   ,  -   ,"  -25,000 "
9,2,9,0,0,2,2,1,3,1,1312200929,השתת.תשלומי הורים-חומרים ,42200,  -   ,  -   ,  -   
0,1,4,0,0,3,2,1,3,1,1312300410,"שכל""מ מהורים ",42300,"  -12,963,580 ","  -12,558,000 ","  -14,000,000 "
1,1,4,0,0,3,2,1,3,1,1312300411,תשלום חובות משנים קודמות ,42300,"  -321,073 ","  -560,000 ","  -560,000 "
1,2,9,0,0,3,2,1,3,1,1312300921,"השתת.בשכל""מ ט.חובה(75%( ",42300,"  -3,421,402 ","  -3,293,640 ","  -3,450,000 "
2,2,9,0,0,3,2,1,3,1,1312300922,העברה מיועדת ,42300,"  -26,400 ",  -100 ,  -100 
3,2,9,0,0,3,2,1,3,1,1312300923,שיקום שכונות גיל 4 ,42300,"  -1,759,272 ","  -1,944,564 ","  -1,840,000 "
5,2,9,0,0,3,2,1,3,1,1312300925,השתת. בילדי עולים ,42300,"  -652,659 ","  -680,000 ","  -662,000 "
5,2,2,0,0,6,2,1,3,1,1312600225,אגרת תלמידי חוץ ,42310,"  -6,320 ","  -10,000 ","  -10,000 "
0,2,4,0,0,6,2,1,3,1,1312600420,השתת.הורים בצהרנים-קרן קר,42310,"  -14,850 ",  -   ,"  -17,000 "
0,4,5,0,0,6,2,1,3,1,1312600540,החזרי ביטוח לגנים מיוחדים,42310,  -   ,  -   ,  -   
0,2,9,0,0,6,2,1,3,1,1312600920,"הזנת יוח""א ",42310,"  -116,542 ","  -137,550 ","  -130,000 "
2,2,9,0,0,6,2,1,3,1,1312600922,העברה מיועדת ,42310,"  -63,392 ",  -100 ,  -100 
3,2,9,0,0,6,2,1,3,1,1312600923,ח.מיוחד פטור ממלכתי ,42310,"  -661,647 ","  -680,000 ","  -860,000 "
5,2,9,0,0,6,2,1,3,1,1312600925,השתת. בתלמידי חוץ ,42310,  -   ,  -   ,  -   
6,2,9,0,0,6,2,1,3,1,1312600926,תשלומי הורים חומרים ,42310,  -   ,  -   ,  -   
0,2,9,0,1,6,2,1,3,1,1312610920,"גנים-יוח""א ",42310,"  -17,047 ",  -   ,"  -18,000 "
1,2,9,0,1,6,2,1,3,1,1312610921,הש.שכר סייע.כיתתיות וטיפו,42310,  -   ,  -   ,  -   
7,2,9,0,1,6,2,1,3,1,1312610927,השתת.בהוצ.ארג.נלוות ,42310,"  -92,444 ","  -108,324 ","  -110,000 "
8,2,9,0,1,6,2,1,3,1,1312610928,השתת.בפעולות העשרה ,42310,"  -57,208 ","  -60,000 ","  -58,000 "
9,2,9,0,1,6,2,1,3,1,1312610929,השתת.בשרותי היקף ,42310,  -   ,  -   ,  -   
