,,,,ה צ ע ת  התקציב הרגיל לשנת: 2015,תקציב,אומדן,תקציב,תקציב,ביצוע
,,,21,"סה""כ - תברואה:","5,183","5,021","5,351","5,351","1,813"
,,,22,שמירה ובטחון,,,,,
שמירה ובטחון,5,910,222100,השתתפות משרד הפנים למשמר אזרחי,16,16,19,19,12
שמירה ובטחון,5,220,222700,אגרת שמירה ואבטחה,"6,000",60,0,0,78
שמירה ובטחון,5,441,223000,"השתתפות עיריית רמת - השרון להג""א",88,88,103,103,103
שמירה ובטחון,5,442,223000,"השתתפות מומ""ק כפר שמריהו להג""א",9,9,5,5,5
,,,22,"סה""כ - שמירה ובטחון:","6,113",173,127,127,199
,,,23,תכנון ובניין עיר,,,,,
תכנון ובניין עיר,4,442,230000,"השתתפות מומ""ק כפר שמריהו בהוצאות ועדה מרחבית",400,400,500,500,283
תכנון ובניין עיר,4,590,230000,"השתתפות קע""פ בעלויות תכנון ובניין עיר ","9,595","7,595","7,595","6,365","3,338"
תכנון ובניין עיר,4,591,230000,"השתתפות קע""פ בעלויות שמאים  (במקביל בהוצאות בסעיף 732/951) ","3,000","3,000","3,500","3,500","2,262"
תכנון ובניין עיר,4,420,232000,הכנסות מגביית דמי תכנון,90,45,90,90,165
תכנון ובניין עיר,4,220,233100,אגרת רשיונות בנייה ,"5,000","5,000","5,000","5,000","5,897"
,,,23,"סה""כ - תכנון ובניין עיר:","18,085","16,040","16,685","15,455","11,945"
,,,24,נכסים צבוריים,,,,,
,,,244,בטיחות בדרכים,,,,,
בטיחות בדרכים,5,540,244300,החזר בגין תיקון רמזורים ועמודי חשמל כתוצאה מפגיעה,5,3,5,5,0
בטיחות בדרכים,5,991,244300,השתתפות משרד התחבורה להוצאות בטיחות ,50,57,30,30,50
,,,244,"סה""כ - בטיחות בדרכים:",55,60,35,35,50
,,,2472,חופי רחצה,,,,,
חופי רחצה,2,220,247200,הכנסות מדמי חנייה - מהחב' הכלכלית,480,450,450,450,431
חופי רחצה,6,420,247200,דמי שרותים - חופי רחצה ,100,0,100,100,0
חופי רחצה,6,490,247200,הכנסות מהחברה לפיתוח תיירות עבור שרותי פיקוח,80,80,100,100,113
חופי רחצה,6,491,247200,הכנסות מהחברה לפיתוח תיירות עבור פינוי מכולות ,100,100,85,85,92
חופי רחצה,2,670,247200,הכנסות מזכיונות להפעלת עסקים בחוף הים,"1,500","1,040",800,200,"1,724"
,,,2472,"סה""כ - חופי רחצה:","2,260","1,670","1,535",935,"2,360"
,,,24,"סה""כ - נכסים ציבוריים:",0,0,0,0,0
,,,26,הכנסות שונות,,,,,
מוקד עירוני,2,420,261000,השתתפות תאגיד מים וביוב בעלויות המוקד העירוני,250,245,245,245,240
הכנסות שונות,4,490,269000,"('הכנסות שונות (זיכויים, מכרזים וכו",350,350,250,250,439
הכנסות שונות,5,620,269000,הכנסות ממכירת כלי רכב וציוד משומש,30,30,100,100,185
מרכז צעירים,1,420,269200,הכנסות ממשתתפים - מרכז צעירים (במקביל בהוצאות בסעיף 7692/781) ,30,30,30,30,0
,,,26,"סה""כ - הכנסות שונות:",660,655,625,625,864
,,,28,פיקוח עירוני,,,,,
פיקוח עירוני,3,280,281000,קנסות פיקוח,450,440,400,400,414
פיקוח עירוני,1,280,282000,קנסות בתי - משפט,"1,250","1,200","1,150","1,150","1,128"
,,,28,"סה""כ - פיקוח עירוני:","1,700","1,640","1,550","1,550","1,542"
,,,29,שרותים חקלאיים,,,,,
שרותים חקלאיים,2,100,291000,ארנונה חקלאית,50,60,50,50,61
,,,29,"סה""כ - שרותים חקלאיים:",50,60,50,50,61
,,,2,"סה""כ - שרותים מקומיים:",0,0,0,0,0
,,,3,שרותים ממלכתיים,,,,,
,,,31,ח י נ ו ך,,,,,
,,,311,מינהל חינוך,,,,,
מינהל חינוך,81,490,311900,השתתפות רשויות אחרות במימון עלויות פנסיה עובדי חינוך,180,0,0,0,0
,,,312,"סה""כ - מינהל חינוך:",180,0,0,0,0
,,,312,חינוך קדם יסודי,,,,,
חינוך קדם יסודי,81,922,312000,"משרד החינוך  לחומרי לימוד בגנ""י  ",52,52,54,54,51
חינוך קדם יסודי,81,920,312200,השתתפות משרד החינוך לסייעות בגני חובה,"6,260","6,215","6,215","6,015","5,697"
חינוך קדם יסודי,81,921,312200,השתתפות משרד החינוך לגננות בגני חובה (במקביל בהוצאות ב- 812/760),"8,295","7,950","7,920","8,420","7,202"
חינוך קדם יסודי,81,922,312200,השתתפות משרד החינוך לגני טרום חובה (גננות + סייעות),"18,945","18,250","18,290","17,850","17,365"
חינוך קדם יסודי,81,923,312200,השתתפות משרד החינוך בסייעות רפואיות (ב- 2015 הופרד מסעיף 3132/923),530,0,0,0,0
חינוך קדם יסודי,81,410,312300,שכר לימוד גני ילדים - טרום חובה,0,45,0,0,218
,,,312,"סה""כ - חינוך קדם יסודי:","34,082","32,512","32,479","32,339","30,533"
,,,3132,חינוך יסודי ,,,,,
חינוך יסודי ,81,420,313200,השתתפות הורים בלימודי העשרה - תוכנית קרן קרב (ב- 2015 הועבר מסעיף 31792/420),"1,242",0,0,0,0
חינוך יסודי ,81,920,313200,"משר""ח לחינוך היסודי  (שרתים ומזכירות, כולל מתי""א)","6,350","6,175","6,165","6,165","5,972"
חינוך יסודי ,81,921,313200,"משר""ח לסיוע לניהול עצמי (במקביל בהוצאות בסעיף 8132/105, 8132/877)",900,875,865,865,857
חינוך יסודי ,82,922,313200,"השתתפות משה""ח במועדוני ספורט בבתיה""ס היסודיים",32,32,13,13,7
חינוך יסודי ,81,923,313200,השתתפות משרד החינוך בסייעות רפואיות (מ- 2015 סייעות גני-ילדים בסעיף 3122/923),205,660,660,540,422
חינוך יסודי ,81,924,313200,"משר""ח לסיוע לניהול עצמי - תוספת פדגוגית (במקביל בהוצאות בסעיף 8132/876) ",325,0,0,0,0
,,,3132,"סה""כ - חינוך יסודי:","9,054","7,742","7,703","7,583","7,257"
,,,31322,בית הספר הימי,,,,,
בית ספר ימי,81,920,313220,הכנסות ממשרד החינוך ,135,135,131,131,140
,,,31322,"סה""כ - בית הספר הימי",135,135,131,131,140
,,,3133,חינוך מיוחד,,,,,
חינוך מיוחד,81,920,313300,"משר""ח לסייעות טיפוליות בחינוך המיוחד","8,360","7,600","7,600","7,450","7,158"
חינוך מיוחד,81,921,313300,"השתתפות משר""ח לחינוך המיוחד ","1,095","1,094","1,094",900,707
,,,3133,"סה""כ - חינוך מיוחד:","9,455","8,694","8,694","8,350","7,865"
,,,3136,"תיגבור, יוזמות והעשרה נוספים במערכת החינוך - כלל מוס""ח  ",,,,,
"תיגבור, יוזמות והעשרה בחינוך",81,420,313600,השתתפות הורים בתוכנית מוזיקלית לבתי הספר- מפתח ,115,130,235,235,138
"תיגבור, יוזמות והעשרה בחינוך",10,920,313600,"השתתפות משרה""ח להעסקת טכנאים ביסודיים",0,670,670,670,"1,399"
,,,3136,"סה""כ - תיגבור, יוזמות והעשרה נוספים במערכת בחינוך",115,800,905,905,"1,537"
,,,3138,בית הספר של החופש הגדול,,,,,
"הפעלת בתי""ס של החופש הגדול",81,920,313800,השתתפות משרד החינוך לבתי הספר של החופש הגדול,"1,565",765,810,0,0
,,,3138,"סה""כ - בית הספר של החופש הגדול:","1,565",765,810,0,0
,,,314,חטיבות ביניים,,,,,
חטיבות ביניים,81,420,314000,השתתפות הורים במרכזי למידה - תוכנית כנפיים,0,0,0,0,140
חטיבות ביניים,81,920,314000,"השתתפות משר""ח עבור סל שרותים לתלמיד","5,270","5,225","5,200","5,200","5,231"
חטיבות ביניים,81,921,314000,"השתתפות משר""ח לבי""ס על יסודי צומח ממ""ד (""לחיים"")",100,90,90,90,0
חטיבות ביניים,82,922,314000,"השתתפות משה""ח במועדוני ספורט בחט""ב",40,28,50,50,31
,,,314,"סה""כ - חטיבות ביניים:","5,410","5,343","5,340","5,340","5,403"
,,,3141,אשכול פיס זאב,,,,,
אשכול פיס זאב,81,920,314100,"השתתפות משר""ח לאשכול הפיס זאב",405,405,405,405,413
,,,3141,"סה""כ - מרכז פיס זאב:",405,405,405,405,413
,,,315,חינוך על יסודי,,,,,
חינוך על יסודי,81,920,315200,השתתפות משרד החינוך לתיכונים ,"53,200","53,200","52,400","52,400","51,128"
חינוך על יסודי,82,922,315200,"השתתפות משה""ח במועדוני ספורט בתיכונים",40,32,50,50,40
חינוך על יסודי,81,920,315210,השתתפות משרד החינוך לתיכון הנדסאים,"8,490","8,125","8,420","8,420","7,774"
חינוך על יסודי,81,920,315900,השתתפות משרד החינוך לתיכון דור ,"3,245","3,410","3,410","2,910","1,859"
חינוך על יסודי,81,922,315900,"השתתפות משרד החינוך ליול""א בתיכון דור (במקביל בהוצאות בסעיף 8159/102, 8159/780) ","1,230","1,230","1,250","1,250","1,219"
,,,315,"סה""כ - חינוך על יסודי:","66,205","65,997","65,530","65,030","62,019"
,,,317,שרותים נוספים למערכת החינוך,,,,,
שרותים נוספים למערכת החינוך,5,920,317100,"השתתפות משרד החינוך לקבטי""ם",190,185,180,180,185
שרותים נוספים למערכת החינוך,5,998,317100,השתתפות המשרד לבטחון פנים לאבטחת מוסדות חינוך,"1,920","1,880","1,850","1,850","1,716"
שרותים נוספים למערכת החינוך,81,420,317210,"הכנסות תלמידים מפעילויות במרכז המדעים (במקביל בהוצאות בסעיף 81721/103, 81721/781) ",360,360,360,360,321
שרותים נוספים למערכת החינוך,81,421,317300,הכנסות מאיבחונים (במקביל להוצאות בסעיף 8173/221),50,50,50,50,47
שרותים נוספים למערכת החינוך,81,490,317300,השתתפות העמותה לילדים בסיכון במימון פסיכולוגים (במקביל בהוצאות בסעיף 8173/103) ,150,0,0,0,0
שרותים נוספים למערכת החינוך,81,920,317300,השתתפות משרד החינוך לשרות הפסיכולוגי,"3,550","3,320","3,320","3,050","3,268"
שרותים נוספים למערכת החינוך,81,940,317410,"השתתפות משרד הבריאות לבריאות השן (במקביל בהוצאות בסעיף 81741/751, 81741/755) ",370,330,370,370,264
שרותים נוספים למערכת החינוך,81,420,317500,דמי ביטוח תלמידים ,620,620,620,620,430
שרותים נוספים למערכת החינוך,81,920,317700,"השתתפות משרד החינוך לקבסי""ם",350,340,340,340,337
שרותים נוספים למערכת החינוך,81,420,317800,השתתפות הורים במימון הסעים  ,90,90,90,90,79
שרותים נוספים למערכת החינוך,81,920,317800,השתתפות משרד החינוך להסעים וליווי,"5,425","4,970","4,970","4,500","3,762"
שרותים נוספים למערכת החינוך,81,420,317900,"הכנסות המרכז להוראה מתקנת (מטר""ה)","1,000",940,800,800,958
שרותים נוספים למערכת החינוך,81,421,317900,השתתפות הורים באבחונים פסיכודידקטיים וקשב,365,355,385,385,55
שרותים נוספים למערכת החינוך,81,430,317910,שכר לימוד מתלמידי חוץ ,135,100,135,135,116
שרותים נוספים למערכת החינוך,81,431,317910,שכר לימוד מתלמידי חוץ - חינוך המיוחד ,"1,500","1,450","1,200","1,200","1,385"
שרותים נוספים למערכת החינוך,81,420,317920,הכנסות יום לימודים ארוך (ב- 2015 הועבר ליסודיים לסעיף 3132/420),0,"1,865","1,865","1,585","1,730"
שרותים נוספים למערכת החינוך,7,991,317950,השתתפות משרד התחבורה לפעולות בטיחות במערך החינוך,200,196,196,196,211
שרותים נוספים למערכת החינוך,81,420,317960,הכנסות מדמי שימוש (במקביל בהוצאות ב- 81796/425),"1,360",500,500,500,521
שרותים נוספים למערכת החינוך,81,920,317970,השתתפות משרד החינוך לקידום נוער,75,75,75,75,221
,,,317,"סה""כ - שרותים נוספים למערכת החינוך:","17,710","17,626","17,306","16,286","15,606"
,,,318,השכלת מבוגרים,,,,,
השכלת מבוגרים,82,410,318000,"שכ""ל לימוד להנחלת הלשון, תהיל""ה ותיכונית",0,0,50,50,18
השכלת מבוגרים,82,920,318000,השתתפות משרד החינוך לחינוך מבוגרים,0,0,40,40,34
,,,318,"סה""כ - השכלת מבוגרים:",0,0,90,90,51
,,,31,"סה""כ - חינוך:",0,0,0,0,0
,,,32,"תרבות, נוער וספורט",,,,,
,,,323,פעולות תרבות,,,,,
פעולות תרבות,82,420,322000,הכנסות מאירועי תרבות ושונות (במקביל בהוצאות בסעיף 822/720),60,60,50,50,36
,,,322,"סה""כ - פעולות תרבות:",60,60,50,50,36
,,,323,מערכת הספריות,,,,,
מערכת הספריות,82,420,323000,הכנסות ספריה עירונית מרכזית  (במקביל בהוצאות בסעיף 823/720) ,30,30,30,30,15
מערכת הספריות,82,421,323000,הכנסות מפעולות תרבות בספריה עירונית מרכזית (במקביל בהוצאות בסעיף 823/781),80,70,70,70,51
מערכת הספריות,82,421,323400,הכנסות מפעולות תרבות בספרית נוף ים (במקביל בהוצאות בסעיף 8234/780),20,25,15,15,11
,,,323,"סה""כ - מערכת הספריות:",130,125,115,115,77
,,,324,מרכזים קהילתיים,,,,,
מרכזים קהילתיים,82,590,324200,"השתתפות קרן מולדובן בהוצאות מתנ""ס יד התשעה",250,250,250,250,253
,,,324,"סה""כ - מרכזים קהילתיים:",250,250,250,250,253
,,,325,מוסיקה ומחול,,,,,
מוסיקה ומחול,82,992,325200,השתתפות משרד התרבות והספורט לתזמורת ,0,0,0,0,15
,,,325,"סה""כ - מוסיקה ומחול:",0,0,0,0,15
,,,326,מוקדי תרבות,,,,,
מוקדי תרבות,82,420,326200,הכנסות מדמי כניסה למוזיאון האמנות (מ- 2015 מופעל באמצעות תאגיד התרבות העירוני) ,0,40,40,40,26
מוקדי תרבות,82,992,326200,השתתפות משרד התרבות למוזיאון האמנות (מ- 2015 מופעל באמצעות תאגיד התרבות העירוני),0,239,229,200,284
מוקדי תרבות,82,420,326400,החזר הוצאות בגין השאלת עובדים לתאגיד (במקביל בהוצאות בסעיף 8264/100),0,0,0,0,88
מוקדי תרבות,82,420,326410,דמי ארוח אמנים וסופרים במשכן האמנים,20,25,20,20,32
,,,326,"סה""כ - מוקדי תרבות:",20,304,289,260,430
,,,328,פרוייקט מצילה,,,,,
פרוייקט מצילה,82,998,328100,"השתתפות המשרד לבטחון פנים בפרוייקט ""מצילה""",110,110,110,0,0
,,,328,"סה""כ - פרוייקט מצילה:",110,110,110,0,0
,,,329,ספורט,,,,,
ספורט,82,992,329000,השתתפות משרד התרבות והספורט לסל הספורט ,200,375,375,175,208
ספורט,82,420,329100,הכנסות מפעולות ספורט,10,3,20,20,4
ספורט,82,920,329100,"השתתפות משרד החינוך בארגון אליפות העולם בשחיה לבתי""ס ",0,0,0,0,"1,235"
ספורט,82,921,329100,השתתפות משרד החינוך בארגון טריאתלון נשים בינלאומי,100,100,100,100,0
ספורט,7,420,329200,הכנסות איצטדיון עירוני,30,30,30,30,22
ספורט,82,420,329210,הכנסות מאולמות ספורט בתיכונים  ,520,528,480,480,525
ספורט,82,421,329240,"הכנסות מאולמות ספורט ביסודיים וחט""ב ",570,578,520,520,690
ספורט,82,422,329240,הכנסות מאולמות ספורט קטנים בבתי הספר (במקביל בהוצאות בסעיף 8291/421) ,80,60,80,80,38
ספורט,82,420,329290,הכנסות ספורטק,50,50,50,50,63
ספורט,82,420,329520,הכנסות ממשתתפים - מרכז הספורט החדש,"1,565",200,200,0,0
ספורט,82,420,329530,הכנסות מועדון שחמט,4,4,4,4,5
ספורט,82,427,329901,השתתפות בהוצאות מתקני ספורט - אגודות שונות ,"1,200",0,"1,200","1,200","1,113"
ספורט,82,428,329910,"החזר הוצאות שכ""ד - בני הרצליה (במקביל בהוצאות בסעיף 82991/410)",0,7,0,0,78
,,,329,"סה""כ - ספורט:","4,329","1,935","3,059","2,659","3,980"
,,,32,"סה""כ  - תרבות, נוער וספורט:",0,0,0,0,0
,,,34,"שרותי חברה, רווחה וקהילה",,,,,
,,,341,מינהל הרווחה,,,,,
מינהל הרווחה,84,770,341000,תרומה מעיזבון (במקביל להוצאות בסעיף 841/781),325,55,380,380,0
מינהל הרווחה,84,930,341000,השתתפות משרד הרווחה  לכח - אדם ,"5,425","5,122","5,265","5,265","4,768"
,,,341,"סה""כ - מינהל הרווחה:","5,750","5,177","5,645","5,645","4,768"
,,,342,רווחת הפרט והמשפחה,,,,,
רווחת הפרט והמשפחה,84,420,342200,"הכנסות צרכים מיוחדים, רפואיים ומתמכרים",11,10,40,40,43
רווחת הפרט והמשפחה,84,930,342200,השתתפות משרד הרווחה למשפחות במצוקה בקהילה,247,237,295,295,485
רווחת הפרט והמשפחה,84,931,342200,השתתפות משרד הרווחה לטיפול בהתמכרויות,158,156,170,170,0
רווחת הפרט והמשפחה,84,420,342400,השתתפות פונים לשרותים טיפוליים ,350,330,400,400,362
,,,342,"סה""כ - רווחת הפרט והמשפחה:",766,733,905,905,891
,,,343,שרותים לילד ולנוער,,,,,
שרותים לילד ולנוער,84,930,343500,השתתפות משרד הרווחה לנוער במצוקה ובסיכון,210,207,240,240,273
שרותים לילד ולנוער,84,420,343510,השתתפות קרובים לפעילות בקהילה - מועדוניות,126,125,85,85,94
שרותים לילד ולנוער,84,920,343510,השתתפות משרד החינוך לפעילות מועדוניות ,491,485,485,485,469
שרותים לילד ולנוער,84,930,343510,השתתפות משרד הרווחה לפעילות מועדוניות ,857,844,760,760,902
שרותים לילד ולנוער,84,420,343800,השתתפות קרובים באחזקת ילדים בפנימיות,167,165,135,135,146
שרותים לילד ולנוער,84,930,343800,השתתפות משרד הרווחה באחזקת ילדים בפנימיות,"4,216","4,151","3,450","3,450","3,449"
שרותים לילד ולנוער,84,930,343900,השתתפות משרד הרווחה למעונות יום,"1,271","1,253","1,155","1,155","1,092"
שרותים לילד ולנוער,84,931,343900,השתתפות משרד להסעות וליווי פעוטות,125,123,490,490,132
,,,343,"סה""כ  - שרותים לילד ולנוער:","7,463","7,353","6,800","6,800","6,557"
,,,344,שרותים לזקן,,,,,
שרותים לזקן,84,420,344300,השתתפות קרובים באחזקת זקנים במוסדות,409,403,370,370,403
שרותים לזקן,84,930,344300,השתתפות משרד הרווחה באחזקת זקנים במוסדות,"1,843","1,816","1,870","1,870","1,894"
שרותים לזקן,84,420,344410,השתתפות קרובים לצרכים שונים וארוחות לזקנים,86,85,85,85,85
שרותים לזקן,84,930,344410,השתתפות משרד הרווחה לעזרה לזקן,211,208,190,190,201
שרותים לזקן,84,930,344500,השתתפות משרד הרווחה באחזקת מועדונים לזקנים,159,158,175,175,205
שרותים לזקן,84,420,344510,השתתפות קרובים - מרכזי יום,154,153,150,150,18
שרותים לזקן,84,931,344510,השתתפות משרד הרווחה למרכזי יום לקשיש ,390,385,315,315,345
,,,344,"סה""כ - שרותים לזקן:","3,252","3,208","3,155","3,155","3,151"
,,,3446,"מרכז יום לקשיש - צמרות  (מופעל באמצעות תאגיד עירוני על""ה)",,,,,
מרכז יום לקשיש - צמרות,84,420,344600,הכנסות ממשתתפים,0,0,0,215,0
מרכז יום לקשיש - צמרות,84,730,344600,הכנסות מהמוסד לביטוח לאומי,0,0,0,"1,165",0
מרכז יום לקשיש - צמרות,84,930,344600,הכנסות ממשרד הרווחה,0,0,0,580,0
,,,3446,"סה""כ - מרכז יום לקשיש - צמרות:",0,0,0,"1,960",0
,,,345,שרותים למפגר,,,,,
שרותים למפגר,84,420,345100,הכנסות פונים לאחזקת מפגרים במסגרות (מ- 2014 אוטיסטים בסעיף 421),105,104,100,100,251
,84,421,345100,הכנסות פונים לאחזקת אוטיסטים במסגרות (ב- 2014 הופרד מסעיף 420),150,148,120,120,0
שרותים למפגר,84,930,345100,השתתפות משרד הרווחה באחזקת מפגרים במסגרות,"16,829","16,579","15,870","15,870","15,626"
שרותים למפגר,84,931,345100,השתתפות משרד הרווחה למסגרות אוטיסטים,"4,371","4,306","3,425","3,425","3,912"
שרותים למפגר,84,930,345200,"השתתפות משרד הרווחה למעשי""ם","1,923","1,894","1,650","1,650","1,672"
שרותים למפגר,84,930,345210,השתתפות משרד הרווחה ל- אופק,828,816,890,890,634
,84,930,345300,השתתפות משרד הרווחה בשרותים תומכים בקהילה למפגרים (מ- 2014 הסעות בסעיף 931),184,182,40,40,162
שרותים למפגר,84,931,345300,השתתפות משרד הרווחה בהסעות למסגרות יום למפגרים (ב- 2014 הופרד מסעיף 930),0,0,375,375,0
,,,345,"סה""כ  - שרותים למפגר:","24,390","24,029","22,470","22,470","22,257"
,,,346,שרותי שיקום,,,,,
שרותי שיקום,84,930,346400,"השתתפות משרד הרווחה למרכזי שיקום, הכשרה, מועדונים ופנאי",800,787,765,765,710
שרותי שיקום,84,930,346500,השתתפות משרד הרווחה בהוצאות אחזקת נכים במוסדות,"6,353","6,261","5,795","5,795","5,792"
שרותי שיקום,84,930,346700,השתתפות משרד הרווחה בהוצאות טיפול בנכים בקהילה,251,248,305,305,371
,,,346,"סה""כ - שרותי שיקום:","7,404","7,296","6,865","6,865","6,874"
,,,347,שרותי תקון,,,,,
שרותי תקון,84,930,347400,"השתתפות משרד הרווחה למפת""ן ""ארז"" ","1,355","1,335","1,290","1,290","1,389"
שרותי תקון,84,931,347400,"השתתפות משרד הרווחה לתלמידי חוץ - מפת""ן (100%)",365,360,350,350,337
שרותי תקון,84,932,347400,"השתתפות משרד הרווחה להפעלת חוגים במפת""ן (מיתר)",200,251,295,295,287
שרותי תקון,84,420,347500,השתתפות פונים לטפול באלימות,33,32,30,30,0
שרותי תקון,84,930,347500,השתתפות משרד הרווחה לטפול באלימות,329,325,240,240,297
שרותי תקון,84,931,347500,השתתפות משרד הרווחה למקלטי נשים מוכות,98,96,150,150,128
,,,347,"סה""כ - שרותי תקון:","2,380","2,399","2,355","2,355","2,438"
,,,348,עבודה קהילתית,,,,,
עבודה קהילתית,84,930,348200,השתתפות משרד הרווחה למרכזים קהילתיים,22,20,75,75,29
עבודה קהילתית,84,930,348300,השתתפות משרד הרווחה לפעולות התנדבות,23,21,25,25,24
,,,348,"סה""כ - עבודה קהילתית:",45,41,100,100,53
,,,349,שרותים לעולים,,,,,
שרותים לעולים,84,930,349100,השתתפות משרד הרווחה לטיפול במשפחות עולים,72,71,80,80,70
שרותים לעולים,84,930,349300,השתתפות משרד הרווחה לטיפול בילדים עולים,727,717,"1,035","1,035",979
שרותים לעולים,84,930,349400,השתתפות משרד הרווחה בעזרה לזקנים עולים,31,30,35,35,28
,,,349,"סה""כ - שרותים לעולים:",830,818,"1,150","1,150","1,077"
,,,34,"סה""כ - שרותי חברה וקהילה:",0,0,0,"1,960",0
,,,36,קליטת עלייה,,,,,
,,,361,אולפנים וקליטה בחינוך,,,,,
אולפנים וקליטה בחינוך,81,920,361000,"השתתפות משרד החינוך עבור ""סל קליטה לתלמיד""",40,40,40,40,39
,,,361,"סה""כ - אולפנים וקליטה בחינוך:",40,40,40,40,39
,,,369,שרותי קליטה שונים,,,,,
שרותי קליטה שונים,81,950,369000,"השתתפות משרד הקליטה לפרוייקטים מיוחדים וכ""א",85,85,85,85,69
,,,369,"סה""כ  - שרותי קליטה שונים:",85,85,85,85,69
,,,36,"סה""כ - קליטת עלייה:",0,0,0,0,0
,,,379,איכות הסביבה,,,,,
איכות הסביבה,3,997,379000,"השתתפות המשרד לאיכות הסביבה להפעלת היח' לאיכה""ס",135,130,130,130,83
,,,37,"סה""כ  - איכות הסביבה:",135,130,130,130,83
,,,3,"סה""כ שרותים ממלכתיים:",0,0,0,0,0
,,,4,מפעלים ונכסים,,,,,
,,,41,מים,,,,,
מים,2,210,413100,אגרת מים,0,700,300,0,700
מים,2,420,413200,"תקבולים מהתאגיד למימון עלויות עובדים ""מושאלים""","2,250","2,170","2,170","2,170","2,116"
,,,41,"סה""כ  - מים:","2,250","2,870","2,470","2,170","2,816"
,,,43,נכסים ותחזוקה,,,,,
נכסים,2,670,430000,הכנסות מזכיונות ושכירויות של נכסי העירייה (במקביל בהוצאות בסעיף 8152/780) ,"4,600","4,600","4,300","4,300","4,746"
נכסים,2,671,430000,הכנסות ממערך השילוט (באמצעות החב' הכלכלית),"2,850","2,800","2,700","2,700","2,862"
נכסים,2,672,430000,הכנסות ממערכות פוטו וולטאיות (באמצעות החב' הכלכלית),140,140,140,140,140
,,,43,"סה""כ - נכסים:","7,590","7,540","7,140","7,140","7,749"
,,,44,חניית מכוניות,,,,,
חניית מכוניות,3,280,443000,קנסות חנייה,"9,250","9,250","8,750","8,750","9,890"
חניית מכוניות,2,220,443100,הכנסות מחניונים עירוניים - מהחב' הכלכלית,"4,745","4,535","4,500","4,500","4,912"
חניית מכוניות,2,220,443200,אגרות חנייה ,"8,000","7,750","6,150","6,150","6,505"
חניית מכוניות,2,222,443200,הכנסות ממדחנים - מהחב' הכלכלית ,"1,500","1,550","1,660","1,660","1,653"
