,שם הפרק,אגף,הסעיף,הפרק,"ת ק ב ו ל י ם  - באלפי ש""ח",2016,2015,סופי 2015,מקורי 2015,2014
214200221,תברואה,3,221,214200,אגרת פיקוח על מכירת מוצרים מן החי (בשר ודגים),320,320,210,210,278
214300220,תברואה,3,220,214300,אגרת רשיונות לכלבים,500,500,600,600,512
214300221,תברואה,3,221,214300,(אגרת פיקוח על כלבים  (כלביה,57,57,30,30,39
214300960,תברואה,3,960,214300,השתתפות משרד החקלאות בעיקור וסירוס חתולי רחוב,0,0,0,0,100
,,,,21,"סה""כ - תברואה:",4927,5619,5718,5183,4023
,,,,22,שמירה ובטחון,,,,,
222100910,שמירה ובטחון,9,910,222100,השתתפות משרד הפנים למשמר אזרחי,11,11,16,16,15
222700220,שמירה ובטחון,9,220,222700,אגרת שמירה ואבטחה,0,65,0,6000,61
223000441,שמירה ובטחון,9,441,223000,"השתתפות עיריית רמת - השרון להג""א",96,96,88,88,88
223000442,שמירה ובטחון,9,442,223000,"השתתפות מומ""ק כפר שמריהו להג""א",9,9,9,9,9
,,,,22,"סה""כ - שמירה ובטחון:",116,181,113,6113,174
,,,,23,תכנון ובניין עיר,,,,,
230000442,תכנון ובניין עיר,4,442,230000,"השתתפות מומ""ק כפר שמריהו בהוצאות ועדה מרחבית",400,400,400,400,400
230000590,תכנון ובניין עיר,4,590,230000,"השתתפות קע""פ בעלויות תכנון ובניין עיר ",9957,4507,9595,9595,5495
230000591,תכנון ובניין עיר,4,591,230000,"השתתפות קע""פ בעלויות שמאים  (במקביל בהוצאות בסעיף 732/951) ",3000,3000,3000,3000,2654
230000910,תכנון ובניין עיר,4,910,230000,השתתפות משרד הפנים בעלויות היתרי בניה ,0,1093,1090,0,0
232000420,תכנון ובניין עיר,4,420,232000,הכנסות מגביית דמי תכנון,15,15,90,90,3
233100220,תכנון ובניין עיר,4,220,233100,אגרת רשיונות בנייה ,6700,8000,5000,5000,4752
,,,,23,"סה""כ - תכנון ובניין עיר:",20072,17015,19175,18085,13304
,,,,24,נכסים צבוריים,,,,,
,,,,244,בטיחות בדרכים,,,,,
244300540,בטיחות בדרכים,5,540,244300,החזר בגין תיקון רמזורים ועמודי חשמל כתוצאה מפגיעה,0,0,5,5,0
244300991,בטיחות בדרכים,5,991,244300,השתתפות משרד התחבורה להוצאות בטיחות ,50,103,50,50,57
,,,,244,"סה""כ - בטיחות בדרכים:",50,103,55,55,57
,,,,2472,חופי רחצה,,,,,
247200220,חופי רחצה,2,220,247200,הכנסות מדמי חנייה - מהחב' הכלכלית,410,390,480,480,391
247200420,חופי רחצה,6,420,247200,דמי שרותים - חופי רחצה ,400,400,100,100,0
247200490,חופי רחצה,9,490,247200,הכנסות מהחברה לפיתוח תיירות עבור שרותי פיקוח,80,80,80,80,91
247200491,חופי רחצה,6,491,247200,הכנסות מהחברה לפיתוח תיירות עבור פינוי מכולות ,100,100,100,100,106
247200670,חופי רחצה,2,670,247200,הכנסות מזכיונות להפעלת עסקים בחוף הים,1100,1100,1500,1500,1440
,,,,2472,"סה""כ - חופי רחצה:",2090,2070,2260,2260,2028
,,,,24,"סה""כ - נכסים ציבוריים:",3290,3376,3865,3865,3582
,,,,26,הכנסות שונות,,,,,
261000420,מוקד עירוני,2,420,261000,השתתפות תאגיד מים וביוב בעלויות המוקד העירוני,253,250,250,250,238
261000421,הכנסות שונות,2,421,261000,"השתתפות תאגיד מים וביוב בעלויות מחסן (תב""ל) (עד 2015 נכלל ב- 269/420)",186,0,0,0,0
269000420,הכנסות שונות,7,420,269000,הכנסות שונות - פארק הרצליה,20,0,0,0,0
269000490,הכנסות שונות,4,490,269000,"הכנסות שונות (זיכויים, מכרזים וכו') (מ- 2016 דמ""ש במחסן ב- 261/421)",260,240,350,350,420
269000620,הכנסות שונות,5,620,269000,הכנסות ממכירת כלי רכב וציוד משומש,30,95,30,30,7
269200420,מרכז צעירים,82,420,269200,הכנסות ממשתתפים - מרכז צעירים (במקביל בהוצאות בסעיף 7692/781) ,30,30,30,30,14
,,,,26,"סה""כ - הכנסות שונות:",779,615,660,660,680
,,,,28,פיקוח עירוני,,,,,
281000280,פיקוח עירוני,9,280,281000,קנסות פיקוח,550,550,450,450,572
281000420,פיקוח עירוני,9,420,281000,הכנסות מפינוי גרוטאות והחרמות (במקביל בהוצאות  ס.ת 781/781),200,0,0,0,0
282000280,פיקוח עירוני,1,280,282000,קנסות בתי - משפט,600,600,1250,1250,1207
,,,,28,"סה""כ - פיקוח עירוני:",1350,1150,1700,1700,1779
,,,,29,שרותים חקלאיים,,,,,
291000100,שרותים חקלאיים,2,100,291000,ארנונה חקלאית,40,40,50,50,65
,,,,29,"סה""כ - שרותים חקלאיים:",40,40,50,50,65
,,,,2,"סה""כ - שרותים מקומיים:",40003,38705,39830,44205,31715
,,,,3,שרותים ממלכתיים,,,,,
,,,,31,ח י נ ו ך,,,,,
,,,,311,מינהל חינוך,,,,,
311900490,מינהל חינוך,81,490,311900,השתתפות רשויות אחרות במימון עלויות פנסיה עובדי חינוך,205,205,180,180,0
,,,,312,"סה""כ - מינהל חינוך:",205,205,180,180,0
,,,,312,חינוך קדם יסודי,,,,,
312000420,חינוך קדם יסודי,81,420,312000,סל תרבות – הכנסות מהורים,260,250,250,0,0
312000922,חינוך קדם יסודי,81,922,312000,"משרד החינוך  לחומרי לימוד בגנ""י  ",51,51,52,52,17
312200920,חינוך קדם יסודי,81,920,312200,השתתפות משרד החינוך לסייעות בגני חובה,6197,6207,6260,6260,6278
312200921,חינוך קדם יסודי,81,921,312200,השתתפות משרד החינוך לגננות בגני חובה (במקביל בהוצאות ב- 812/760),8315,8014,8295,8295,7466
312200922,חינוך קדם יסודי,81,922,312200,השתתפות משרד החינוך לגני טרום חובה (גננות + סייעות),19371,18900,19545,18945,17845
312200923,חינוך קדם יסודי,81,923,312200,השתתפות משרד החינוך בסייעות רפואיות (ב- 2015 הופרד מסעיף 3132/923),775,674,665,530,0
312200924,חינוך קדם יסודי,81,924,312200,השתתפות משרד החינוך לסייעת שניה בטרום חובה,2090,665,0,0,0
312300410,חינוך קדם יסודי,81,410,312300,שכר לימוד גני ילדים - טרום חובה,0,0,0,0,96
,,,,312,"סה""כ - חינוך קדם יסודי:",37059,34761,35067,34082,31703
,,,,3132,חינוך יסודי ,,,,,
313200420,חינוך יסודי ,81,420,313200,השתתפות הורים בלימודי העשרה - תוכנית קרן קרב (ב- 2015 הועבר מסעיף 31792/420),0,988,1242,1242,0
313200920,חינוך יסודי ,81,920,313200,"משר""ח לחינוך היסודי  (שרתים ומזכירות, כולל מתי""א)",6414,6385,6350,6350,6178
313200921,חינוך יסודי ,81,921,313200,"משר""ח לסיוע לניהול עצמי (במקביל בהוצאות בסעיף 8132/105, 8132/756, 8132/877)",963,944,935,900,1004
313200922,חינוך יסודי ,82,922,313200,"השתתפות משה""ח במועדוני ספורט בבתיה""ס היסודיים",37,38,32,32,32
313200923,חינוך יסודי ,81,923,313200,השתתפות משרד החינוך בסייעות רפואיות (מ- 2015 סייעות גני-ילדים בסעיף 3122/923),390,275,285,205,783
313200924,חינוך יסודי ,81,924,313200,"משר""ח לסיוע לניהול עצמי - תוספת פדגוגית (במקביל בהוצאות בסעיף 8132/876) ",345,339,325,325,0
,,,,3132,"סה""כ - חינוך יסודי:",8149,8969,9169,9054,7997
,,,,31322,בית הספר הימי,,,,,
313220920,בית ספר ימי,81,920,313220,הכנסות ממשרד החינוך ,131,131,135,135,141
,,,,31322,"סה""כ - בית הספר הימי",131,131,135,135,141
,,,,3133,חינוך מיוחד,,,,,
313300920,חינוך מיוחד,81,920,313300,"משר""ח לסייעות טיפוליות בחינוך המיוחד",9075,8475,8640,8360,7970
313300921,חינוך מיוחד,81,921,313300,"השתתפות משר""ח לחינוך המיוחד ",1250,1220,1130,1095,973
,,,,3133,"סה""כ - חינוך מיוחד:",10325,9695,9770,9455,8942
,,,,3136,"תיגבור, יוזמות והעשרה נוספים במערכת החינוך - כלל מוס""ח  ",,,,,
313600420,"תיגבור, יוזמות והעשרה בחינוך",81,420,313600,השתתפות הורים בתוכנית מוזיקלית לבתי הספר- מפתח ,115,115,115,115,127
313600920,"תיגבור, יוזמות והעשרה בחינוך",10,920,313600,"השתתפות משרה""ח להעסקת טכנאים ביסודיים",0,0,0,0,618
,,,,3136,"סה""כ - תיגבור, יוזמות והעשרה נוספים במערכת בחינוך",115,115,115,115,745
,,,,3138,בית הספר של החופש הגדול,,,,,
313800920,"הפעלת בתי""ס של החופש הגדול",81,920,313800,השתתפות משרד החינוך לבתי הספר של החופש הגדול,812,812,812,1565,665
,,,,3138,"סה""כ - בית הספר של החופש הגדול:",812,812,812,1565,665
,,,,314,חטיבות ביניים,,,,,
314000920,חטיבות ביניים,81,920,314000,"השתתפות משר""ח עבור סל שרותים לתלמיד",5453,5336,5270,5270,5240
314000921,חטיבות ביניים,81,921,314000,"השתתפות משר""ח לבי""ס על יסודי צומח ממ""ד (""לחיים"")",503,450,116,100,211
314000922,חטיבות ביניים,82,922,314000,"השתתפות משה""ח במועדוני ספורט בחט""ב",40,35,40,40,28
,,,,314,"סה""כ - חטיבות ביניים:",5996,5821,5426,5410,5479
,,,,3141,אשכול פיס זאב,,,,,
314100920,אשכול פיס זאב,81,920,314100,"השתתפות משר""ח לאשכול הפיס זאב",406,406,405,405,411
,,,,3141,"סה""כ - מרכז פיס זאב:",406,406,405,405,411
,,,,315,חינוך על יסודי,,,,,
315200920,חינוך על יסודי,81,920,315200,השתתפות משרד החינוך לתיכונים ,53640,54342,53942,53200,53479
315200922,חינוך על יסודי,82,922,315200,"השתתפות משה""ח במועדוני ספורט בתיכונים",55,52,40,40,33
315210920,חינוך על יסודי,81,920,315210,השתתפות משרד החינוך לתיכון הנדסאים,9440,8946,8836,8490,8096
315900920,חינוך על יסודי,81,920,315900,השתתפות משרד החינוך לתיכון דור ,2720,3100,3245,3245,3504
315900922,חינוך על יסודי,81,922,315900,"השתתפות משרד החינוך ליול""א בתיכון דור (במקביל בהוצאות בסעיף 8159/102, 8159/780) ",1221,1220,1230,1230,1086
,,,,315,"סה""כ - חינוך על יסודי:",67076,67660,67293,66205,66197
,,,,317,שרותים נוספים למערכת החינוך,,,,,
317100920,שרותים נוספים למערכת החינוך,9,920,317100,"השתתפות משרד החינוך לקבטי""ם",190,190,190,190,185
317100998,שרותים נוספים למערכת החינוך,9,998,317100,השתתפות המשרד לבטחון פנים לאבטחת מוסדות חינוך,1920,1920,1920,1920,1981
317210420,שרותים נוספים למערכת החינוך,81,420,317210,"הכנסות תלמידים מפעילויות במרכז המדעים (במקביל בהוצאות בסעיף 81721/103, 81721/781) ",600,440,440,360,396
317300421,שרותים נוספים למערכת החינוך,81,421,317300,הכנסות מאיבחונים (במקביל להוצאות בסעיף 8173/221),50,50,50,50,45
317300490,שרותים נוספים למערכת החינוך,81,490,317300,השתתפות העמותה לילדים בסיכון במימון פסיכולוגים (במקביל בהוצאות בסעיף 8173/103) ,150,150,150,150,0
317300920,שרותים נוספים למערכת החינוך,81,920,317300,השתתפות משרד החינוך לשרות הפסיכולוגי,3377,3302,3550,3550,3364
317410940,שרותים נוספים למערכת החינוך,81,940,317410,"השתתפות משרד הבריאות לבריאות השן (במקביל בהוצאות בסעיף 81741/751, 81741/755) ",300,300,370,370,278
317500420,שרותים נוספים למערכת החינוך,81,420,317500,דמי ביטוח תלמידים (במקביל בהוצאות ס.ת 8175/440),750,620,620,620,651
317700920,שרותים נוספים למערכת החינוך,81,920,317700,"השתתפות משרד החינוך לקבסי""ם",395,370,381,350,337
317800420,שרותים נוספים למערכת החינוך,81,420,317800,השתתפות הורים במימון הסעים  ,135,90,90,90,104
317800920,שרותים נוספים למערכת החינוך,81,920,317800,השתתפות משרד החינוך להסעים וליווי,4950,4930,5425,5425,3625
317800921,שרותים נוספים למערכת החינוך,81,921,317800,השתתפות משרד החינוך להסעים וליווי - חינוך רגיל,390,0,0,0,0
317900420,שרותים נוספים למערכת החינוך,81,420,317900,"הכנסות המרכז להוראה מתקנת (מטר""ה)",1135,1000,1000,1000,872
317900421,שרותים נוספים למערכת החינוך,81,421,317900,השתתפות הורים באבחונים פסיכודידקטיים וקשב,365,365,365,365,271
317910430,שרותים נוספים למערכת החינוך,81,430,317910,שכר לימוד מתלמידי חוץ ,135,135,135,135,135
317910431,שרותים נוספים למערכת החינוך,81,431,317910,שכר לימוד מתלמידי חוץ - חינוך המיוחד ,1207,1500,1500,1500,1383
317920420,שרותים נוספים למערכת החינוך,81,420,317920,הכנסות יום לימודים ארוך (ב- 2015 הועבר ליסודיים לסעיף 3132/420),0,0,0,0,2072
317950991,שרותים נוספים למערכת החינוך,7,991,317950,השתתפות משרד התחבורה לפעולות בטיחות במערך החינוך,100,100,200,200,0
317960420,שרותים נוספים למערכת החינוך,81,420,317960,הכנסות מדמי שימוש (במקביל בהוצאות ב- 81796/425),500,500,500,1360,955
317970920,שרותים נוספים למערכת החינוך,81,920,317970,השתתפות משרד החינוך לקידום נוער,150,150,75,75,148
,,,,317,"סה""כ - שרותים נוספים למערכת החינוך:",16799,16112,16961,17710,16802
,,,,31,"סה""כ - חינוך:",151633,149205,149665,149366,143248
,,,,32,"תרבות, נוער וספורט",,,,,
,,,,323,פעולות תרבות,,,,,
322000420,פעולות תרבות,82,420,322000,הכנסות מאירועי תרבות ושונות (במקביל בהוצאות בסעיף 822/720),60,60,60,60,61
,,,,322,"סה""כ - פעולות תרבות:",60,60,60,60,61
,,,,323,מערכת הספריות,,,,,
323000420,מערכת הספריות,82,420,323000,הכנסות ספריה עירונית מרכזית  (במקביל בהוצאות בסעיף 823/720) ,40,50,30,30,45
323000421,מערכת הספריות,82,421,323000,הכנסות מפעולות תרבות בספריה עירונית מרכזית (במקביל בהוצאות בסעיף 823/781),90,90,80,80,105
323400421,מערכת הספריות,82,421,323400,הכנסות מפעולות תרבות בספרית נוף ים (במקביל בהוצאות בסעיף 8234/780),20,20,20,20,21
,,,,323,"סה""כ - מערכת הספריות:",150,160,130,130,171
,,,,324,מרכזים קהילתיים,,,,,
324200590,מרכזים קהילתיים,82,590,324200,"השתתפות קרן מולדובן בהוצאות מתנ""ס יד התשעה",0,0,250,250,0
,,,,324,"סה""כ - מרכזים קהילתיים:",0,0,250,250,0
,,,,326,מוקדי תרבות,,,,,
326200420,מוקדי תרבות,82,420,326200,הכנסות מדמי כניסה למוזיאון האמנות (מ- 2015 מופעל באמצעות תאגיד התרבות העירוני) ,0,0,0,0,37
326200992,מוקדי תרבות,82,992,326200,השתתפות משרד התרבות למוזיאון האמנות (מ- 2015 מופעל באמצעות תאגיד התרבות העירוני),0,0,0,0,273
326410420,מוקדי תרבות,82,420,326410,דמי ארוח אמנים וסופרים במשכן האמנים (מ- 2016 מופעל באמצעות תאגיד התרבות העירוני),0,20,20,20,27
,,,,326,"סה""כ - מוקדי תרבות:",0,20,20,20,337
,,,,328,פרוייקט מצילה,,,,,
328100993,פרוייקט מצילה,82,993,328100,השתתפות הרשות הלאומית למלחמה בסמים,100,100,100,0,0
328100998,פרוייקט מצילה,82,998,328100,"השתתפות המשרד לבטחון פנים בפרוייקט ""מצילה""",110,110,110,110,0
,,,,328,"סה""כ - פרוייקט מצילה:",210,210,210,110,0
,,,,329,ספורט,,,,,
329000992,ספורט,82,992,329000,השתתפות משרד התרבות והספורט לסל הספורט ,200,200,200,200,381
329100420,ספורט,82,420,329100,הכנסות מפעולות ספורט,2,2,10,10,1
329100921,ספורט,82,921,329100,השתתפות משרד החינוך בארגון טריאתלון נשים בינלאומי,0,0,0,100,100
329100992,ספורט,82,992,329100,השתתפות משרד התרבות בארגון טריאתלון נשים בינלאומי,100,100,100,0,0
329200420,ספורט,7,420,329200,הכנסות איצטדיון עירוני,30,30,30,30,29
329210420,ספורט,82,420,329210,הכנסות מאולמות ספורט בתיכונים  ,590,540,520,520,625
329240421,ספורט,82,421,329240,"הכנסות מאולמות ספורט ביסודיים וחט""ב ",680,632,570,570,780
329240422,ספורט,82,422,329240,הכנסות מאולמות ספורט קטנים בבתי הספר (במקביל בהוצאות בסעיף 8291/421) ,70,70,80,80,56
329290420,ספורט,82,420,329290,הכנסות ספורטק,32,32,50,50,35
329520420,ספורט,82,420,329520,הכנסות ממשתתפים - מרכז הספורט החדש,0,0,0,1565,0
329530420,ספורט,82,420,329530,הכנסות מועדון שחמט,4,4,4,4,4
329901427,ספורט,82,427,329901,השתתפות בהוצאות מתקני ספורט - אגודות שונות ,1200,1181,1200,1200,147
,,,,329,"סה""כ - ספורט:",2908,2791,2764,4329,2158
,,,,32,"סה""כ  - תרבות, נוער וספורט:",1810,1841,2330,2230,825
,,,,34,"שרותי חברה, רווחה וקהילה",,,,,
,,,,341,מינהל הרווחה,,,,,
341000770,מינהל הרווחה,84,770,341000,תרומה מעיזבון (במקביל להוצאות בסעיף 841/781),0,0,0,0,10
341000930,מינהל הרווחה,84,930,341000,השתתפות משרד הרווחה  לכח - אדם ,0,0,0,0,5070
341001770,מינהל הרווחה,84,770,341001,תרומה מעיזבון (במקביל להוצאות בסעיף 841004/781),205,15,270,0,0
341001930,מינהל הרווחה,84,930,341001,שכר עובדי המחלקה,5647,5555,5555,5555,0
341002930,מינהל הרווחה,84,930,341002,"כ""א לחינוך מיוחד-100%",132,129,129,129,0
341003930,מינהל הרווחה,84,930,341003,בטחון עובדים ומאבטחים-100%,20,20,20,20,0
,,,,341,"סה""כ - מינהל הרווחה:",6004,5719,5974,5704,5080
,,,,342,רווחת הפרט והמשפחה,,,,,
342200420,רווחת הפרט והמשפחה,84,420,342200,"הכנסות צרכים מיוחדים, רפואיים ומתמכרים",0,0,0,0,8
342200930,רווחת הפרט והמשפחה,84,930,342200,השתתפות משרד הרווחה למשפחות במצוקה בקהילה,0,0,0,0,359
342200931,רווחת הפרט והמשפחה,84,931,342200,השתתפות משרד הרווחה לטיפול בהתמכרויות,0,0,0,0,134
342200932,רווחת הפרט והמשפחה,84,932,342200,"השתתפות הרשות לשיקום האסיר בהעסקת עו""ס מטעמם ברשות",38,0,0,0,0
342201930,רווחת הפרט והמשפחה,84,930,342201,מקלטים לנשים מוכות,53,53,53,53,0
342202420,רווחת הפרט והמשפחה,84,420,342202,משפחות במצוקה - צד ג',2,2,2,2,0
342202421,רווחת הפרט והמשפחה,84,421,342202,השתתפות פונים לשרותים טיפוליים,300,270,270,0,0
342202930,רווחת הפרט והמשפחה,84,930,342202,משפחות במצוקה בקהילה,113,135,75,135,0
342203930,רווחת הפרט והמשפחה,84,930,342203,סיוע חד פעמי לחימום-100%,0,0,0,16,0
342204930,רווחת הפרט והמשפחה,84,930,342204,סיוע למשפחות עם ילדים,117,118,266,118,0
342205930,רווחת הפרט והמשפחה,84,930,342205,טיפול בדיירי רחוב,5,6,6,6,0
342206930,רווחת הפרט והמשפחה,84,930,342206,מס.ארציות לדיירי רחוב,72,74,74,56,0
342400420,רווחת הפרט והמשפחה,84,420,342400,השתתפות פונים לשרותים טיפוליים ,0,0,0,0,355
342401420,רווחת הפרט והמשפחה,84,420,342401,השתתפות פונים לטיפול באלימות,20,20,33,0,0
342401930,רווחת הפרט והמשפחה,84,930,342401,מרכזי טיפול באלימות - פעילות,291,288,288,288,0
342402930,רווחת הפרט והמשפחה,84,930,342402,מס.טיפ לגברים אלימים,72,36,36,36,0
,,,,342,"סה""כ - רווחת הפרט והמשפחה:",1083,1002,1103,710,856
,,,,343,שרותים לילד ולנוער,,,,,
343500930,שרותים לילד ולנוער,84,930,343500,השתתפות משרד הרווחה לנוער במצוקה ובסיכון,0,0,0,0,146
343501420,שרותים לילד ולנוער,84,420,343501,ילד ונוער - צד ג',250,0,0,0,0
343501930,שרותים לילד ולנוער,84,930,343501,טיפול במשפחות אומנה,103,123,123,123,0
343502930,שרותים לילד ולנוער,84,930,343502,יצירת קשר הורים- ילדים,39,49,49,49,0
343502931,שרותים לילד ולנוער,84,931,343502,יצירת קשר הורים - ילדים - ילדי חוץ,50,37,37,37,0
343503420,שרותים לילד ולנוער,84,420,343503,טיפול בילד בקהילה - צד ג',0,4,20,20,0
343503930,שרותים לילד ולנוער,84,930,343503,טיפול בילד בקהילה,394,382,382,300,0
343504420,שרותים לילד ולנוער,84,420,343504,מועדוניות משותפות (4) - צד ג',0,75,69,69,0
343504920,שרותים לילד ולנוער,84,920,343504,מ. משותפות-שכר/מ.החינוך,485,484,490,490,0
343504930,שרותים לילד ולנוער,84,930,343504,מועדוניות משותפות (4),300,323,237,323,0
343505930,שרותים לילד ולנוער,84,930,343505,בדיקות פסיכולוגיות,7,7,7,7,0
343506930,שרותים לילד ולנוער,84,930,343506,טיפול בפגיעות מיניות,68,84,83,31,0
343507930,שרותים לילד ולנוער,84,930,343507,התנהגות מינית לא מותאמת,2,2,2,0,0
343510420,שרותים לילד ולנוער,84,420,343510,השתתפות קרובים לפעילות בקהילה - מועדוניות,0,0,0,0,123
343510920,שרותים לילד ולנוער,84,920,343510,השתתפות משרד החינוך לפעילות מועדוניות ,0,0,0,0,490
343510930,שרותים לילד ולנוער,84,930,343510,השתתפות משרד הרווחה לפעילות מועדוניות ,0,0,0,0,809
343800420,שרותים לילד ולנוער,84,420,343800,השתתפות קרובים באחזקת ילדים בפנימיות,0,0,0,0,145
343800930,שרותים לילד ולנוער,84,930,343800,השתתפות משרד הרווחה באחזקת ילדים בפנימיות,0,0,0,0,4021
343801420,שרותים לילד ולנוער,84,420,343801,אחזקת ילדים בפנימיות - צד ג',0,138,138,138,0
343801930,שרותים לילד ולנוער,84,930,343801,אחזקת ילדים בפנימיות,4650,4320,4254,3834,0
343900930,שרותים לילד ולנוער,84,930,343900,השתתפות משרד הרווחה למעונות יום,0,0,0,0,1096
343900931,שרותים לילד ולנוער,84,931,343900,השתתפות משרד להסעות וליווי פעוטות,0,0,0,0,241
343901930,שרותים לילד ולנוער,84,930,343901,ילדים במעונות יום,1050,1050,1076,1237,0
,,,,343,"סה""כ  - שרותים לילד ולנוער:",7398,7078,6967,6658,7069
,,,,344,שרותים לזקן,,,,,
344300420,שרותים לזקן,84,420,344300,השתתפות קרובים באחזקת זקנים במוסדות,0,0,0,0,409
344300930,שרותים לזקן,84,930,344300,השתתפות משרד הרווחה באחזקת זקנים במוסדות,0,0,0,0,1962
344301420,שרותים לזקן,84,420,344301,אחזקת זקנים במעונות - צד ג',0,394,521,521,0
344301421,שרותים לזקן,84,421,344301,שרות לזקן - צד ג',568,0,0,0,0
344301930,שרותים לזקן,84,930,344301,אחזקת זקנים במעונות,2625,2181,2248,1896,0
344302930,שרותים לזקן,84,930,344302,נופשון לזקן,17,8,8,8,0
344401930,שרותים לזקן,84,930,344401,שירותים לניצולי שואה - 100%,130,130,133,133,0
344402420,שרותים לזקן,84,420,344402,מועדונים לזקנים - צד ג',0,0,6,6,0
344402930,שרותים לזקן,84,930,344402,מועדונים לזקנים,60,62,62,62,0
344403420,שרותים לזקן,84,420,344403,טיפול בזקן בקהילה - צד ג',0,79,43,43,0
344403930,שרותים לזקן,84,930,344403,טיפול בזקן בקהילה,154,156,156,156,0
344404930,שרותים לזקן,84,930,344404,טיפ.שיניים ומכ.לקשיש - 100%,0,0,0,6,0
344405930,שרותים לזקן,84,930,344405,שכונה תומכת,90,90,53,53,0
344406930,שרותים לזקן,84,930,344406,מרכזי ועדות- חוק סיעוד (100%),387,387,387,387,0
344410420,שרותים לזקן,84,420,344410,השתתפות קרובים לצרכים שונים וארוחות לזקנים,0,0,0,0,90
344410930,שרותים לזקן,84,930,344410,השתתפות משרד הרווחה לעזרה לזקן,0,0,0,0,379
344500930,שרותים לזקן,84,930,344500,השתתפות משרד הרווחה באחזקת מועדונים לזקנים,0,0,0,0,63
344501420,שרותים לזקן,84,420,344501,מסגרות יומיות לזקן - צד ג',0,55,90,90,0
344501930,שרותים לזקן,84,930,344501,מסגרות יומיות לזקן,225,146,130,385,0
344510420,שרותים לזקן,84,420,344510,השתתפות קרובים - מרכזי יום,0,0,0,0,75
344510931,שרותים לזקן,84,931,344510,השתתפות משרד הרווחה למרכזי יום לקשיש ,0,0,0,0,308
,,,,344,"סה""כ - שרותים לזקן:",4256,3688,3837,3746,3286
,,,,345,שרותים למפגר,,,,,
345100420,שרותים למפגר,84,420,345100,הכנסות פונים לאחזקת מפגרים במסגרות ,0,0,0,0,156
345100421,שרותים למפגר,84,421,345100,הכנסות פונים לאחזקת אוטיסטים במסגרות ,0,0,0,0,111
345100930,שרותים למפגר,84,930,345100,השתתפות משרד הרווחה באחזקת מפגרים במסגרות,0,0,0,0,16385
345100931,שרותים למפגר,84,931,345100,השתתפות משרד הרווחה למסגרות אוטיסטים,0,0,0,0,4181
345101420,שרותים למפגר,84,420,345101,מ.יום שיקומי לאוטיסט - צד ג',0,80,80,80,0
345101421,שרותים למפגר,84,421,345101,שרות לאוטיסט - צד ג',87,0,0,0,0
345101930,שרותים למפגר,84,930,345101,מ.יום שיקומי לאוטיסט,488,308,234,319,0
