,,,,,ה צ ע ת  התקציב הרגיל לשנת: 2015,תקציב,אומדן,תקציב,תקציב,ביצוע
214300960,תברואה,3,960,214300,השתתפות משרד החקלאות בעיקור וסירוס חתולי רחוב,0,0,100,100,0
,,,,21,"סה""כ - תברואה:",5183,5021,5351,5351,1813
,,,,22,שמירה ובטחון,,,,,
222100910,שמירה ובטחון,5,910,222100,השתתפות משרד הפנים למשמר אזרחי,16,16,19,19,12
222700220,שמירה ובטחון,5,220,222700,אגרת שמירה ואבטחה,6000,60,0,0,78
223000441,שמירה ובטחון,5,441,223000,"השתתפות עיריית רמת - השרון להג""א",88,88,103,103,103
223000442,שמירה ובטחון,5,442,223000,"השתתפות מומ""ק כפר שמריהו להג""א",9,9,5,5,5
,,,,22,"סה""כ - שמירה ובטחון:",6113,173,127,127,199
,,,,23,תכנון ובניין עיר,,,,,
230000442,תכנון ובניין עיר,4,442,230000,"השתתפות מומ""ק כפר שמריהו בהוצאות ועדה מרחבית",400,400,500,500,283
230000590,תכנון ובניין עיר,4,590,230000,"השתתפות קע""פ בעלויות תכנון ובניין עיר ",9595,7595,7595,6365,3338
230000591,תכנון ובניין עיר,4,591,230000,"השתתפות קע""פ בעלויות שמאים  (במקביל בהוצאות בסעיף 732/951) ",3000,3000,3500,3500,2262
232000420,תכנון ובניין עיר,4,420,232000,הכנסות מגביית דמי תכנון,90,45,90,90,165
233100220,תכנון ובניין עיר,4,220,233100,אגרת רשיונות בנייה ,5000,5000,5000,5000,5897
,,,,23,"סה""כ - תכנון ובניין עיר:",18085,16040,16685,15455,11945
,,,,24,נכסים צבוריים,,,,,
,,,,244,בטיחות בדרכים,,,,,
244300540,בטיחות בדרכים,5,540,244300,החזר בגין תיקון רמזורים ועמודי חשמל כתוצאה מפגיעה,5,3,5,5,0
244300991,בטיחות בדרכים,5,991,244300,השתתפות משרד התחבורה להוצאות בטיחות ,50,57,30,30,50
,,,,244,"סה""כ - בטיחות בדרכים:",55,60,35,35,50
,,,,2472,חופי רחצה,,,,,
247200220,חופי רחצה,2,220,247200,הכנסות מדמי חנייה - מהחב' הכלכלית,480,450,450,450,431
247200420,חופי רחצה,6,420,247200,דמי שרותים - חופי רחצה ,100,0,100,100,0
247200490,חופי רחצה,6,490,247200,הכנסות מהחברה לפיתוח תיירות עבור שרותי פיקוח,80,80,100,100,113
247200491,חופי רחצה,6,491,247200,הכנסות מהחברה לפיתוח תיירות עבור פינוי מכולות ,100,100,85,85,92
247200670,חופי רחצה,2,670,247200,הכנסות מזכיונות להפעלת עסקים בחוף הים,1500,1040,800,200,1724
,,,,2472,"סה""כ - חופי רחצה:",2260,1670,1535,935,2360
,,,,24,"סה""כ - נכסים ציבוריים:",0,0,0,0,0
,,,,26,הכנסות שונות,,,,,
261000420,מוקד עירוני,2,420,261000,השתתפות תאגיד מים וביוב בעלויות המוקד העירוני,250,245,245,245,240
269000490,הכנסות שונות,4,490,269000,"('הכנסות שונות (זיכויים, מכרזים וכו",350,350,250,250,439
269000620,הכנסות שונות,5,620,269000,הכנסות ממכירת כלי רכב וציוד משומש,30,30,100,100,185
269200420,מרכז צעירים,1,420,269200,הכנסות ממשתתפים - מרכז צעירים (במקביל בהוצאות בסעיף 7692/781) ,30,30,30,30,0
,,,,26,"סה""כ - הכנסות שונות:",660,655,625,625,864
,,,,28,פיקוח עירוני,,,,,
281000280,פיקוח עירוני,3,280,281000,קנסות פיקוח,450,440,400,400,414
282000280,פיקוח עירוני,1,280,282000,קנסות בתי - משפט,1250,1200,1150,1150,1128
,,,,28,"סה""כ - פיקוח עירוני:",1700,1640,1550,1550,1542
,,,,29,שרותים חקלאיים,,,,,
291000100,שרותים חקלאיים,2,100,291000,ארנונה חקלאית,50,60,50,50,61
,,,,29,"סה""כ - שרותים חקלאיים:",50,60,50,50,61
,,,,2,"סה""כ - שרותים מקומיים:",0,0,0,0,0
,,,,3,שרותים ממלכתיים,,,,,
,,,,31,ח י נ ו ך,,,,,
,,,,311,מינהל חינוך,,,,,
311900490,מינהל חינוך,81,490,311900,השתתפות רשויות אחרות במימון עלויות פנסיה עובדי חינוך,180,0,0,0,0
,,,,312,"סה""כ - מינהל חינוך:",180,0,0,0,0
,,,,312,חינוך קדם יסודי,,,,,
312000922,חינוך קדם יסודי,81,922,312000,"משרד החינוך  לחומרי לימוד בגנ""י  ",52,52,54,54,51
312200920,חינוך קדם יסודי,81,920,312200,השתתפות משרד החינוך לסייעות בגני חובה,6260,6215,6215,6015,5697
312200921,חינוך קדם יסודי,81,921,312200,השתתפות משרד החינוך לגננות בגני חובה (במקביל בהוצאות ב- 812/760),8295,7950,7920,8420,7202
312200922,חינוך קדם יסודי,81,922,312200,השתתפות משרד החינוך לגני טרום חובה (גננות + סייעות),18945,18250,18290,17850,17365
312200923,חינוך קדם יסודי,81,923,312200,השתתפות משרד החינוך בסייעות רפואיות (ב- 2015 הופרד מסעיף 3132/923),530,0,0,0,0
312300410,חינוך קדם יסודי,81,410,312300,שכר לימוד גני ילדים - טרום חובה,0,45,0,0,218
,,,,312,"סה""כ - חינוך קדם יסודי:",34082,32512,32479,32339,30533
,,,,3132,חינוך יסודי ,,,,,
313200420,חינוך יסודי ,81,420,313200,השתתפות הורים בלימודי העשרה - תוכנית קרן קרב (ב- 2015 הועבר מסעיף 31792/420),1242,0,0,0,0
313200920,חינוך יסודי ,81,920,313200,"משר""ח לחינוך היסודי  (שרתים ומזכירות, כולל מתי""א)",6350,6175,6165,6165,5972
313200921,חינוך יסודי ,81,921,313200,"משר""ח לסיוע לניהול עצמי (במקביל בהוצאות בסעיף 8132/105, 8132/877)",900,875,865,865,857
313200922,חינוך יסודי ,82,922,313200,"השתתפות משה""ח במועדוני ספורט בבתיה""ס היסודיים",32,32,13,13,7
313200923,חינוך יסודי ,81,923,313200,השתתפות משרד החינוך בסייעות רפואיות (מ- 2015 סייעות גני-ילדים בסעיף 3122/923),205,660,660,540,422
313200924,חינוך יסודי ,81,924,313200,"משר""ח לסיוע לניהול עצמי - תוספת פדגוגית (במקביל בהוצאות בסעיף 8132/876) ",325,0,0,0,0
,,,,3132,"סה""כ - חינוך יסודי:",9054,7742,7703,7583,7257
,,,,31322,בית הספר הימי,,,,,
313220920,בית ספר ימי,81,920,313220,הכנסות ממשרד החינוך ,135,135,131,131,140
,,,,31322,"סה""כ - בית הספר הימי",135,135,131,131,140
,,,,3133,חינוך מיוחד,,,,,
313300920,חינוך מיוחד,81,920,313300,"משר""ח לסייעות טיפוליות בחינוך המיוחד",8360,7600,7600,7450,7158
313300921,חינוך מיוחד,81,921,313300,"השתתפות משר""ח לחינוך המיוחד ",1095,1094,1094,900,707
,,,,3133,"סה""כ - חינוך מיוחד:",9455,8694,8694,8350,7865
,,,,3136,"תיגבור, יוזמות והעשרה נוספים במערכת החינוך - כלל מוס""ח  ",,,,,
313600420,"תיגבור, יוזמות והעשרה בחינוך",81,420,313600,השתתפות הורים בתוכנית מוזיקלית לבתי הספר- מפתח ,115,130,235,235,138
313600920,"תיגבור, יוזמות והעשרה בחינוך",10,920,313600,"השתתפות משרה""ח להעסקת טכנאים ביסודיים",0,670,670,670,1399
,,,,3136,"סה""כ - תיגבור, יוזמות והעשרה נוספים במערכת בחינוך",115,800,905,905,1537
,,,,3138,בית הספר של החופש הגדול,,,,,
313800920,"הפעלת בתי""ס של החופש הגדול",81,920,313800,השתתפות משרד החינוך לבתי הספר של החופש הגדול,1565,765,810,0,0
,,,,3138,"סה""כ - בית הספר של החופש הגדול:",1565,765,810,0,0
,,,,314,חטיבות ביניים,,,,,
314000420,חטיבות ביניים,81,420,314000,השתתפות הורים במרכזי למידה - תוכנית כנפיים,0,0,0,0,140
314000920,חטיבות ביניים,81,920,314000,"השתתפות משר""ח עבור סל שרותים לתלמיד",5270,5225,5200,5200,5231
314000921,חטיבות ביניים,81,921,314000,"השתתפות משר""ח לבי""ס על יסודי צומח ממ""ד (""לחיים"")",100,90,90,90,0
314000922,חטיבות ביניים,82,922,314000,"השתתפות משה""ח במועדוני ספורט בחט""ב",40,28,50,50,31
,,,,314,"סה""כ - חטיבות ביניים:",5410,5343,5340,5340,5403
,,,,3141,אשכול פיס זאב,,,,,
314100920,אשכול פיס זאב,81,920,314100,"השתתפות משר""ח לאשכול הפיס זאב",405,405,405,405,413
,,,,3141,"סה""כ - מרכז פיס זאב:",405,405,405,405,413
,,,,315,חינוך על יסודי,,,,,
315200920,חינוך על יסודי,81,920,315200,השתתפות משרד החינוך לתיכונים ,53200,53200,52400,52400,51128
315200922,חינוך על יסודי,82,922,315200,"השתתפות משה""ח במועדוני ספורט בתיכונים",40,32,50,50,40
315210920,חינוך על יסודי,81,920,315210,השתתפות משרד החינוך לתיכון הנדסאים,8490,8125,8420,8420,7774
315900920,חינוך על יסודי,81,920,315900,השתתפות משרד החינוך לתיכון דור ,3245,3410,3410,2910,1859
315900922,חינוך על יסודי,81,922,315900,"השתתפות משרד החינוך ליול""א בתיכון דור (במקביל בהוצאות בסעיף 8159/102, 8159/780) ",1230,1230,1250,1250,1219
,,,,315,"סה""כ - חינוך על יסודי:",66205,65997,65530,65030,62019
,,,,317,שרותים נוספים למערכת החינוך,,,,,
317100920,שרותים נוספים למערכת החינוך,5,920,317100,"השתתפות משרד החינוך לקבטי""ם",190,185,180,180,185
317100998,שרותים נוספים למערכת החינוך,5,998,317100,השתתפות המשרד לבטחון פנים לאבטחת מוסדות חינוך,1920,1880,1850,1850,1716
317210420,שרותים נוספים למערכת החינוך,81,420,317210,"הכנסות תלמידים מפעילויות במרכז המדעים (במקביל בהוצאות בסעיף 81721/103, 81721/781) ",360,360,360,360,321
317300421,שרותים נוספים למערכת החינוך,81,421,317300,הכנסות מאיבחונים (במקביל להוצאות בסעיף 8173/221),50,50,50,50,47
317300490,שרותים נוספים למערכת החינוך,81,490,317300,השתתפות העמותה לילדים בסיכון במימון פסיכולוגים (במקביל בהוצאות בסעיף 8173/103) ,150,0,0,0,0
317300920,שרותים נוספים למערכת החינוך,81,920,317300,השתתפות משרד החינוך לשרות הפסיכולוגי,3550,3320,3320,3050,3268
317410940,שרותים נוספים למערכת החינוך,81,940,317410,"השתתפות משרד הבריאות לבריאות השן (במקביל בהוצאות בסעיף 81741/751, 81741/755) ",370,330,370,370,264
317500420,שרותים נוספים למערכת החינוך,81,420,317500,דמי ביטוח תלמידים ,620,620,620,620,430
317700920,שרותים נוספים למערכת החינוך,81,920,317700,"השתתפות משרד החינוך לקבסי""ם",350,340,340,340,337
317800420,שרותים נוספים למערכת החינוך,81,420,317800,השתתפות הורים במימון הסעים  ,90,90,90,90,79
317800920,שרותים נוספים למערכת החינוך,81,920,317800,השתתפות משרד החינוך להסעים וליווי,5425,4970,4970,4500,3762
317900420,שרותים נוספים למערכת החינוך,81,420,317900,"הכנסות המרכז להוראה מתקנת (מטר""ה)",1000,940,800,800,958
317900421,שרותים נוספים למערכת החינוך,81,421,317900,השתתפות הורים באבחונים פסיכודידקטיים וקשב,365,355,385,385,55
317910430,שרותים נוספים למערכת החינוך,81,430,317910,שכר לימוד מתלמידי חוץ ,135,100,135,135,116
317910431,שרותים נוספים למערכת החינוך,81,431,317910,שכר לימוד מתלמידי חוץ - חינוך המיוחד ,1500,1450,1200,1200,1385
317920420,שרותים נוספים למערכת החינוך,81,420,317920,הכנסות יום לימודים ארוך (ב- 2015 הועבר ליסודיים לסעיף 3132/420),0,1865,1865,1585,1730
317950991,שרותים נוספים למערכת החינוך,7,991,317950,השתתפות משרד התחבורה לפעולות בטיחות במערך החינוך,200,196,196,196,211
317960420,שרותים נוספים למערכת החינוך,81,420,317960,הכנסות מדמי שימוש (במקביל בהוצאות ב- 81796/425),1360,500,500,500,521
317970920,שרותים נוספים למערכת החינוך,81,920,317970,השתתפות משרד החינוך לקידום נוער,75,75,75,75,221
,,,,317,"סה""כ - שרותים נוספים למערכת החינוך:",17710,17626,17306,16286,15606
,,,,318,השכלת מבוגרים,,,,,
318000410,השכלת מבוגרים,82,410,318000,"שכ""ל לימוד להנחלת הלשון, תהיל""ה ותיכונית",0,0,50,50,18
318000920,השכלת מבוגרים,82,920,318000,השתתפות משרד החינוך לחינוך מבוגרים,0,0,40,40,34
,,,,318,"סה""כ - השכלת מבוגרים:",0,0,90,90,51
,,,,31,"סה""כ - חינוך:",0,0,0,0,0
,,,,32,"תרבות, נוער וספורט",,,,,
,,,,323,פעולות תרבות,,,,,
322000420,פעולות תרבות,82,420,322000,הכנסות מאירועי תרבות ושונות (במקביל בהוצאות בסעיף 822/720),60,60,50,50,36
,,,,322,"סה""כ - פעולות תרבות:",60,60,50,50,36
,,,,323,מערכת הספריות,,,,,
323000420,מערכת הספריות,82,420,323000,הכנסות ספריה עירונית מרכזית  (במקביל בהוצאות בסעיף 823/720) ,30,30,30,30,15
323000421,מערכת הספריות,82,421,323000,הכנסות מפעולות תרבות בספריה עירונית מרכזית (במקביל בהוצאות בסעיף 823/781),80,70,70,70,51
323400421,מערכת הספריות,82,421,323400,הכנסות מפעולות תרבות בספרית נוף ים (במקביל בהוצאות בסעיף 8234/780),20,25,15,15,11
,,,,323,"סה""כ - מערכת הספריות:",130,125,115,115,77
,,,,324,מרכזים קהילתיים,,,,,
324200590,מרכזים קהילתיים,82,590,324200,"השתתפות קרן מולדובן בהוצאות מתנ""ס יד התשעה",250,250,250,250,253
,,,,324,"סה""כ - מרכזים קהילתיים:",250,250,250,250,253
,,,,325,מוסיקה ומחול,,,,,
325200992,מוסיקה ומחול,82,992,325200,השתתפות משרד התרבות והספורט לתזמורת ,0,0,0,0,15
,,,,325,"סה""כ - מוסיקה ומחול:",0,0,0,0,15
,,,,326,מוקדי תרבות,,,,,
326200420,מוקדי תרבות,82,420,326200,הכנסות מדמי כניסה למוזיאון האמנות (מ- 2015 מופעל באמצעות תאגיד התרבות העירוני) ,0,40,40,40,26
326200992,מוקדי תרבות,82,992,326200,השתתפות משרד התרבות למוזיאון האמנות (מ- 2015 מופעל באמצעות תאגיד התרבות העירוני),0,239,229,200,284
326400420,מוקדי תרבות,82,420,326400,החזר הוצאות בגין השאלת עובדים לתאגיד (במקביל בהוצאות בסעיף 8264/100),0,0,0,0,88
326410420,מוקדי תרבות,82,420,326410,דמי ארוח אמנים וסופרים במשכן האמנים,20,25,20,20,32
,,,,326,"סה""כ - מוקדי תרבות:",20,304,289,260,430
,,,,328,פרוייקט מצילה,,,,,
328100998,פרוייקט מצילה,82,998,328100,"השתתפות המשרד לבטחון פנים בפרוייקט ""מצילה""",110,110,110,0,0
,,,,328,"סה""כ - פרוייקט מצילה:",110,110,110,0,0
,,,,329,ספורט,,,,,
329000992,ספורט,82,992,329000,השתתפות משרד התרבות והספורט לסל הספורט ,200,375,375,175,208
329100420,ספורט,82,420,329100,הכנסות מפעולות ספורט,10,3,20,20,4
329100920,ספורט,82,920,329100,"השתתפות משרד החינוך בארגון אליפות העולם בשחיה לבתי""ס ",0,0,0,0,1235
329100921,ספורט,82,921,329100,השתתפות משרד החינוך בארגון טריאתלון נשים בינלאומי,100,100,100,100,0
329200420,ספורט,7,420,329200,הכנסות איצטדיון עירוני,30,30,30,30,22
329210420,ספורט,82,420,329210,הכנסות מאולמות ספורט בתיכונים  ,520,528,480,480,525
329240421,ספורט,82,421,329240,"הכנסות מאולמות ספורט ביסודיים וחט""ב ",570,578,520,520,690
329240422,ספורט,82,422,329240,הכנסות מאולמות ספורט קטנים בבתי הספר (במקביל בהוצאות בסעיף 8291/421) ,80,60,80,80,38
329290420,ספורט,82,420,329290,הכנסות ספורטק,50,50,50,50,63
329520420,ספורט,82,420,329520,הכנסות ממשתתפים - מרכז הספורט החדש,1565,200,200,0,0
329530420,ספורט,82,420,329530,הכנסות מועדון שחמט,4,4,4,4,5
329901427,ספורט,82,427,329901,השתתפות בהוצאות מתקני ספורט - אגודות שונות ,1200,0,1200,1200,1113
329910428,ספורט,82,428,329910,"החזר הוצאות שכ""ד - בני הרצליה (במקביל בהוצאות בסעיף 82991/410)",0,7,0,0,78
,,,,329,"סה""כ - ספורט:",4329,1935,3059,2659,3980
,,,,32,"סה""כ  - תרבות, נוער וספורט:",0,0,0,0,0
,,,,34,"שרותי חברה, רווחה וקהילה",,,,,
,,,,341,מינהל הרווחה,,,,,
341000770,מינהל הרווחה,84,770,341000,תרומה מעיזבון (במקביל להוצאות בסעיף 841/781),325,55,380,380,0
341000930,מינהל הרווחה,84,930,341000,השתתפות משרד הרווחה  לכח - אדם ,5425,5122,5265,5265,4768
,,,,341,"סה""כ - מינהל הרווחה:",5750,5177,5645,5645,4768
,,,,342,רווחת הפרט והמשפחה,,,,,
342200420,רווחת הפרט והמשפחה,84,420,342200,"הכנסות צרכים מיוחדים, רפואיים ומתמכרים",11,10,40,40,43
342200930,רווחת הפרט והמשפחה,84,930,342200,השתתפות משרד הרווחה למשפחות במצוקה בקהילה,247,237,295,295,485
342200931,רווחת הפרט והמשפחה,84,931,342200,השתתפות משרד הרווחה לטיפול בהתמכרויות,158,156,170,170,0
342400420,רווחת הפרט והמשפחה,84,420,342400,השתתפות פונים לשרותים טיפוליים ,350,330,400,400,362
,,,,342,"סה""כ - רווחת הפרט והמשפחה:",766,733,905,905,891
,,,,343,שרותים לילד ולנוער,,,,,
343500930,שרותים לילד ולנוער,84,930,343500,השתתפות משרד הרווחה לנוער במצוקה ובסיכון,210,207,240,240,273
343510420,שרותים לילד ולנוער,84,420,343510,השתתפות קרובים לפעילות בקהילה - מועדוניות,126,125,85,85,94
343510920,שרותים לילד ולנוער,84,920,343510,השתתפות משרד החינוך לפעילות מועדוניות ,491,485,485,485,469
343510930,שרותים לילד ולנוער,84,930,343510,השתתפות משרד הרווחה לפעילות מועדוניות ,857,844,760,760,902
343800420,שרותים לילד ולנוער,84,420,343800,השתתפות קרובים באחזקת ילדים בפנימיות,167,165,135,135,146
343800930,שרותים לילד ולנוער,84,930,343800,השתתפות משרד הרווחה באחזקת ילדים בפנימיות,4216,4151,3450,3450,3449
343900930,שרותים לילד ולנוער,84,930,343900,השתתפות משרד הרווחה למעונות יום,1271,1253,1155,1155,1092
343900931,שרותים לילד ולנוער,84,931,343900,השתתפות משרד להסעות וליווי פעוטות,125,123,490,490,132
,,,,343,"סה""כ  - שרותים לילד ולנוער:",7463,7353,6800,6800,6557
,,,,344,שרותים לזקן,,,,,
344300420,שרותים לזקן,84,420,344300,השתתפות קרובים באחזקת זקנים במוסדות,409,403,370,370,403
344300930,שרותים לזקן,84,930,344300,השתתפות משרד הרווחה באחזקת זקנים במוסדות,1843,1816,1870,1870,1894
344410420,שרותים לזקן,84,420,344410,השתתפות קרובים לצרכים שונים וארוחות לזקנים,86,85,85,85,85
344410930,שרותים לזקן,84,930,344410,השתתפות משרד הרווחה לעזרה לזקן,211,208,190,190,201
344500930,שרותים לזקן,84,930,344500,השתתפות משרד הרווחה באחזקת מועדונים לזקנים,159,158,175,175,205
344510420,שרותים לזקן,84,420,344510,השתתפות קרובים - מרכזי יום,154,153,150,150,18
344510931,שרותים לזקן,84,931,344510,השתתפות משרד הרווחה למרכזי יום לקשיש ,390,385,315,315,345
,,,,344,"סה""כ - שרותים לזקן:",3252,3208,3155,3155,3151
,,,,3446,"מרכז יום לקשיש - צמרות  (מופעל באמצעות תאגיד עירוני על""ה)",,,,,
344600420,מרכז יום לקשיש - צמרות,84,420,344600,הכנסות ממשתתפים,0,0,0,215,0
344600730,מרכז יום לקשיש - צמרות,84,730,344600,הכנסות מהמוסד לביטוח לאומי,0,0,0,1165,0
344600930,מרכז יום לקשיש - צמרות,84,930,344600,הכנסות ממשרד הרווחה,0,0,0,580,0
,,,,3446,"סה""כ - מרכז יום לקשיש - צמרות:",0,0,0,1960,0
,,,,345,שרותים למפגר,,,,,
345100420,שרותים למפגר,84,420,345100,הכנסות פונים לאחזקת מפגרים במסגרות (מ- 2014 אוטיסטים בסעיף 421),105,104,100,100,251
345100421,,84,421,345100,הכנסות פונים לאחזקת אוטיסטים במסגרות (ב- 2014 הופרד מסעיף 420),150,148,120,120,0
345100930,שרותים למפגר,84,930,345100,השתתפות משרד הרווחה באחזקת מפגרים במסגרות,16829,16579,15870,15870,15626
345100931,שרותים למפגר,84,931,345100,השתתפות משרד הרווחה למסגרות אוטיסטים,4371,4306,3425,3425,3912
345200930,שרותים למפגר,84,930,345200,"השתתפות משרד הרווחה למעשי""ם",1923,1894,1650,1650,1672
345210930,שרותים למפגר,84,930,345210,השתתפות משרד הרווחה ל- אופק,828,816,890,890,634
345300930,,84,930,345300,השתתפות משרד הרווחה בשרותים תומכים בקהילה למפגרים (מ- 2014 הסעות בסעיף 931),184,182,40,40,162
345300931,שרותים למפגר,84,931,345300,השתתפות משרד הרווחה בהסעות למסגרות יום למפגרים (ב- 2014 הופרד מסעיף 930),0,0,375,375,0
,,,,345,"סה""כ  - שרותים למפגר:",24390,24029,22470,22470,22257
,,,,346,שרותי שיקום,,,,,
346400930,שרותי שיקום,84,930,346400,"השתתפות משרד הרווחה למרכזי שיקום, הכשרה, מועדונים ופנאי",800,787,765,765,710
346500930,שרותי שיקום,84,930,346500,השתתפות משרד הרווחה בהוצאות אחזקת נכים במוסדות,6353,6261,5795,5795,5792
346700930,שרותי שיקום,84,930,346700,השתתפות משרד הרווחה בהוצאות טיפול בנכים בקהילה,251,248,305,305,371
,,,,346,"סה""כ - שרותי שיקום:",7404,7296,6865,6865,6874
,,,,347,שרותי תקון,,,,,
347400930,שרותי תקון,84,930,347400,"השתתפות משרד הרווחה למפת""ן ""ארז"" ",1355,1335,1290,1290,1389
347400931,שרותי תקון,84,931,347400,"השתתפות משרד הרווחה לתלמידי חוץ - מפת""ן (100%)",365,360,350,350,337
347400932,שרותי תקון,84,932,347400,"השתתפות משרד הרווחה להפעלת חוגים במפת""ן (מיתר)",200,251,295,295,287
347500420,שרותי תקון,84,420,347500,השתתפות פונים לטפול באלימות,33,32,30,30,0
347500930,שרותי תקון,84,930,347500,השתתפות משרד הרווחה לטפול באלימות,329,325,240,240,297
347500931,שרותי תקון,84,931,347500,השתתפות משרד הרווחה למקלטי נשים מוכות,98,96,150,150,128
,,,,347,"סה""כ - שרותי תקון:",2380,2399,2355,2355,2438
,,,,348,עבודה קהילתית,,,,,
348200930,עבודה קהילתית,84,930,348200,השתתפות משרד הרווחה למרכזים קהילתיים,22,20,75,75,29
348300930,עבודה קהילתית,84,930,348300,השתתפות משרד הרווחה לפעולות התנדבות,23,21,25,25,24
,,,,348,"סה""כ - עבודה קהילתית:",45,41,100,100,53
,,,,349,שרותים לעולים,,,,,
349100930,שרותים לעולים,84,930,349100,השתתפות משרד הרווחה לטיפול במשפחות עולים,72,71,80,80,70
349300930,שרותים לעולים,84,930,349300,השתתפות משרד הרווחה לטיפול בילדים עולים,727,717,1035,1035,979
349400930,שרותים לעולים,84,930,349400,השתתפות משרד הרווחה בעזרה לזקנים עולים,31,30,35,35,28
,,,,349,"סה""כ - שרותים לעולים:",830,818,1150,1150,1077
,,,,34,"סה""כ - שרותי חברה וקהילה:",0,0,0,1960,0
,,,,36,קליטת עלייה,,,,,
,,,,361,אולפנים וקליטה בחינוך,,,,,
361000920,אולפנים וקליטה בחינוך,81,920,361000,"השתתפות משרד החינוך עבור ""סל קליטה לתלמיד""",40,40,40,40,39
,,,,361,"סה""כ - אולפנים וקליטה בחינוך:",40,40,40,40,39
,,,,369,שרותי קליטה שונים,,,,,
369000950,שרותי קליטה שונים,81,950,369000,"השתתפות משרד הקליטה לפרוייקטים מיוחדים וכ""א",85,85,85,85,69
,,,,369,"סה""כ  - שרותי קליטה שונים:",85,85,85,85,69
,,,,36,"סה""כ - קליטת עלייה:",0,0,0,0,0
,,,,379,איכות הסביבה,,,,,
379000997,איכות הסביבה,3,997,379000,"השתתפות המשרד לאיכות הסביבה להפעלת היח' לאיכה""ס",135,130,130,130,83
,,,,37,"סה""כ  - איכות הסביבה:",135,130,130,130,83
,,,,3,"סה""כ שרותים ממלכתיים:",0,0,0,0,0
,,,,4,מפעלים ונכסים,,,,,
,,,,41,מים,,,,,
413100210,מים,2,210,413100,אגרת מים,0,700,300,0,700
413200420,מים,2,420,413200,"תקבולים מהתאגיד למימון עלויות עובדים ""מושאלים""",2250,2170,2170,2170,2116
,,,,41,"סה""כ  - מים:",2250,2870,2470,2170,2816
,,,,43,נכסים ותחזוקה,,,,,
430000670,נכסים,2,670,430000,הכנסות מזכיונות ושכירויות של נכסי העירייה (במקביל בהוצאות בסעיף 8152/780) ,4600,4600,4300,4300,4746
