,"הצעת   התקציב   הרגיל   לשנת   2016   בש""ח",,,,,,,,,
214000990,990,214000,1,,החזר עיקור חתולים,גמיש,0.00% ,0,0,-100000
222100910,910,222100,1,,השתתפות הממשלה    ,גמיש,-100.00% ,0,-34000,-16376
222200220,220,222200,1,,אגרת ביטחון,גמיש,0.00% ,-8101000,-8101000,0
223000640,640,223000,1,,שכר דירה ממקלטים  ,גמיש,0.00% ,-50000,-50000,-46647
231000690,690,231000,1,,משרד מהנדס הרשות  ,גמיש,-85.71% ,-20000,-140000,-169296.8
231000691,691,231000,1,,אג.בגין מסירת מידע,גמיש,-33.33% ,-100000,-150000,-99829
232400410,410,232400,1,,הצבה/העתקה ע' חניה לנכים,גמיש,66.67% ,-30000,-18000,-13920
232400991,991,232400,1,,פעולות לבטיחות בדרכים,גמיש,0.00% ,0,0,-44300
233000290,290,233000,1,,רשיונות בניה-כללי ,גמיש,0.00% ,-6000000,-6000000,-9936935.37
233000310,310,233000,1,,היטל השבחה מפיתוח,גמיש,7.95% ,-22357000,-20711300,-10353250
233000690,690,233000,1,,החזר דמי בדיקה פרטי,גמיש,-100.00% ,0,-1000,118.7
243000690,690,243000,1,,השתת' במאור שלטים ,גמיש,12.50% ,-45000,-40000,-45423.27
244000991,991,244000,1,,משרד התחבורה-סימון,גמיש,0.00% ,0,0,-88697
245000790,790,245000,1,,רשות ניקוז ירקון,גמיש,3.65% ,-150600,-145300,-68340
246100691,691,246100,1,,מכירת  סכך,גמיש,52.38% ,-16000,-10500,-11867
246100692,692,246100,1,,פינת ליטוף        ,גמיש,0.00% ,-150000,-150000,-152745
254000770,770,254000,1,,הש' ממשלת גרמניה-משלחות,גמיש,0.00% ,-15000,-15000,0
269000693,693,269000,1,,אגרת מסירת מידע   ,גמיש,0.00% ,-10000,-10000,-2999
269000696,696,269000,1,,הכנסות מעמד האשה,גמיש,0.00% ,-150000,-150000,-36400
269100410,410,269100,1,,הכ' מקורסים והשתל' ,גמיש,0.00% ,-15000,-15000,-2734.4
269100690,690,269100,1,,צילום מסמכים לצבור,גמיש,0.00% ,-5000,-5000,-13361.2
269100692,692,269100,1,,מכירת מכרזים      ,גמיש,0.00% ,-100000,-100000,-369750
269200691,691,269200,1,,הכנסות ממחלקות    ,גמיש,-54.29% ,-16000,-35000,-15385.22
269800790,790,269800,1,,השתתפויות שונות   ,גמיש,0.00% ,-2000,-2000,-1760
281100420,420,281100,1,,קנסות ברירת משפט,גמיש,0.00% ,-100000,-100000,-91019.6
281100422,422,281100,1,,אכיפת עישון - מתאר,גמיש,0.00% ,-5000,-5000,-3361.06
281100690,690,281100,1,,הכנסות שונות      ,גמיש,-9.09% ,-10000,-11000,-21696.1
281200420,420,281200,1,,קנסות  רשות חניה  ,גמיש,0.00% ,-17000000,-17000000,-17167010.6
281200422,422,281200,1,,עמלות אכיפה - מילגם,גמיש,-13.79% ,-2500000,-2900000,-1649371.79
282000690,690,282000,1,,קנסות בית המשפט   ,גמיש,0.00% ,-2700000,-2700000,-2886746.34
311100420,420,311100,1,,הכנ' בגין ילדי חוץ,גמיש,0.00% ,-300000,-300000,-279215.5
311100421,421,311100,1,,"הכנסות שמ""ש",גמיש,-27.08% ,-175000,-240000,-217744.1
311100422,422,311100,1,,פעולות מינהל החינוך,גמיש,0.00% ,-3000,-3000,0
311100423,423,311100,1,,מזנונים - אגף אירגון,גמיש,0.00% ,-80000,-80000,-52358.34
311100424,424,311100,1,,מזנונים - בתי ספר,גמיש,6.67% ,-480000,-450000,-471234.01
311100425,425,311100,1,,מחשב לכל ילד,גמיש,0.00% ,-40500,-40500,-15660
311100426,426,311100,1,,"השת' בי""ס למנב""סים",גמיש,0.00% ,-50000,-50000,-6777
311100428,428,311100,1,,הכנסות כנגד הוצאות,גמיש,75.00% ,-1400000,-800000,-1003683.56
311100922,922,311100,1,,"השתת'מ'החנוך בקב""ס",גמיש,0.36% ,-842000,-839000,-784343.17
311100923,923,311100,1,,תכנית תקשוב-תשל' שוטפים,גמיש,0.00% ,-200000,0,-42880
311100924,924,311100,1,,החזר גימלה        ,גמיש,0.00% ,-1000000,-1000000,-1450467.93
311100925,925,311100,1,,מנהל תחום התנדבותי,גמיש,0.00% ,0,0,-10000
311100936,936,311100,1,,בטיחות בדרכים,גמיש,0.00% ,0,0,-32116
311200410,410,311200,1,,"הכנסות הורים - רש""י ",גמיש,-36.40% ,-119000,-187100,-124321
311200421,421,311200,1,,קרן קרב           ,גמיש,-1.96% ,-5000000,-5100000,-5497985.91
311200790,790,311200,1,,עיר בריאה-רשות ניקוז ירקון,גמיש,-100.00% ,0,-12500,0
311200923,923,311200,1,,עיר בריאה - הגנת הסביבה,גמיש,-100.00% ,0,-150000,-50004.8
311304420,420,311304,1,,"השת' ברשת קו""פ",גמיש,0.00% ,-70000,-70000,-50000
311400790,790,311400,1,,הרשות למלחמה בסמים,גמיש,0.00% ,0,0,-161460
311400791,791,311400,1,,קרן ידידות,גמיש,0.00% ,0,0,-42530.01
311400920,920,311400,1,,משרד החינוך,גמיש,0.00% ,0,0,-18000
311400990,990,311400,1,,המשרד לביטחון פנים,גמיש,0.00% ,0,0,-1127222.5
312200491,491,312200,1,,הכנסות מאירועים   ,גמיש,-1.43% ,-488600,-495700,-309061.42
312200920,920,312200,1,,הש' מ'חינוך-רכישות,גמיש,0.00% ,-15000,-15000,0
312200921,921,312200,1,,עוזרות לגננות     ,גמיש,6.19% ,-12646000,-11909000,-12514975.2
312200925,925,312200,1,,גננות מדינה בתקן,גמיש,4.21% ,-17436000,-16732000,-16236247.4
312210430,430,312210,1,,השת' מוס' ילדי חוץ,גמיש,-33.33% ,-20000,-30000,0
312210920,920,312210,1,,השת'מ'חינוך-רכישות,גמיש,0.00% ,-20000,-20000,0
312210922,922,312210,1,,השתתפות בהזנה     ,גמיש,-0.62% ,-223600,-225000,-221287.24
312210924,924,312210,1,,חינוך מיוחד-חופשות,גמיש,-8.85% ,-525000,-576000,-564607.49
312210928,928,312210,1,,"שרותי הקף- יול""א ח.מ",גמיש,34.30% ,-120200,-89500,-134646
312300410,410,312300,1,,"שכ""ל גני ילדים    ",גמיש,0.00% ,0,0,-170893.04
312300790,790,312300,1,,"מעג""ן - קרן שטיינמינץ",גמיש,0.00% ,-300000,-300000,0
312300921,921,312300,1,,"החזר שכל""מ ממשלה",גמיש,1.96% ,-36706000,-36000000,-33382740.23
312300922,922,312300,1,,סייעת שניה לגילאי  3-4,גמיש,0.00% ,-8973000,0,
312300923,923,312300,1,,העשרת הסביבה,גמיש,0.00% ,-423500,0,0
312330493,493,312330,1,,בגובה העיניים     ,גמיש,0.00% ,-500000,-500000,-469041.54
312360495,495,312360,1,,ריתמוסיקה         ,גמיש,0.00% ,-3300000,-3300000,-3081427.01
312370493,493,312370,1,,תיאטרון בובות,גמיש,0.00% ,-250000,-250000,-238498.7
312500410,410,312500,1,,"יול""א בגנים       ",גמיש,50.00% ,-1500000,-1000000,-892669.34
313200920,920,313200,1,,מזכירות           ,גמיש,2.17% ,-613000,-600000,-793853.98
313200921,921,313200,1,,שרתים             ,גמיש,5.29% ,-1712000,-1626000,-2249779.36
313200923,923,313200,1,,"בני מנחם חב""ד",גמיש,0.00% ,-230000,0,0
313200924,924,313200,1,,"השתת הממשלה בקב""ט ",גמיש,0.82% ,-369000,-366000,-372497.88
313200925,925,313200,1,,קבוצות טפוליות    ,גמיש,-2.36% ,-1040000,-1065100,-1041617.86
313200927,927,313200,1,,השת' ממשלה-פרוייקט,גמיש,0.00% ,-125000,-125000,-80851
313200930,930,313200,1,,סיוע לניהול עצמי,גמיש,-9.18% ,-1859000,-2047000,-1676254.45
313200931,931,313200,1,,שרת'/מז' ניהול עצמי,גמיש,-9.65% ,-11205000,-12402000,-10291544.98
313200932,932,313200,1,,תוספת דיפרנצ'-ניהול עצמי,גמיש,-0.30% ,-1341000,-1345000,-447745.83
313200938,938,313200,1,,השתת' מש' החינוך בטיולים,גמיש,0.00% ,0,0,-44647
313200950,950,313200,1,,"שגרירי מפתח הל""ב",גמיש,0.00% ,0,0,-66700
313201420,420,313201,1,,הזנה - הורים,גמיש,0.00% ,0,0,-5779.06
313201941,941,313201,1,,"מסגרות קיץ - משה""ח",גמיש,0.00% ,-4687000,-4687000,-1987714.4
313300430,430,313300,1,,השתת' מוסד'ילד חוץ,גמיש,0.00% ,-2000000,-2000000,-1324839.5
313300920,920,313300,1,,סייעות טיפוליות   ,גמיש,7.39% ,-15540000,-14470000,-13788492.3
313300921,921,313300,1,,לבורנט וספרן- חלץ ,גמיש,-1.39% ,-142000,-144000,-147749.35
313300922,922,313300,1,,השת' בהזנה        ,גמיש,13.44% ,-1249000,-1101000,-1248578.41
313300923,923,313300,1,,השתתפות מ.החינוך  ,גמיש,160.87% ,-300000,-115000,-18108.18
313300924,924,313300,1,,חינוך מיוחד-חופשות,גמיש,13.90% ,-459000,-403000,-492968
313300925,925,313300,1,,שרתים+מזכירות אפיק,גמיש,-100.00% ,0,-155000,-109362.72
313300926,926,313300,1,,"שרתים+מזכיר'-מתי""א",גמיש,0.92% ,-220000,-218000,-222932.67
313300928,928,313300,1,,"שרותי הקף-יול""א ח.מ",גמיש,37.01% ,-87000,-63500,-99353
313300938,938,313300,1,,השתת' מש' החינוך בטיולים,גמיש,0.00% ,0,0,-6774
313310430,430,313310,1,,השתתפות מוסדות    ,גמיש,-20.00% ,-800000,-1000000,-565616
313310920,920,313310,1,,סייעות טיפוליות   ,גמיש,0.77% ,-1436000,-1425000,-1454187.37
313310921,921,313310,1,,מזכירות ושרתים    ,גמיש,0.90% ,-279000,-276500,-283095.52
313310922,922,313310,1,,השת' בהזנה        ,גמיש,-6.96% ,-334000,-359000,-362395.73
313310924,924,313310,1,,חינוך מיוחד-חופשות,גמיש,-3.13% ,-124000,-128000,-123111.1
313700610,610,313700,1,,מכירות תוצרת הח   ,גמיש,8.00% ,-27000,-25000,-26344
313700920,920,313700,1,,הסעות ילדים       ,גמיש,25.00% ,-150000,-120000,0
313700921,921,313700,1,,הצטיידות          ,גמיש,47.64% ,-37500,-25400,-25368.6
313700922,922,313700,1,,שרת ומזכירה       ,גמיש,0.77% ,-130500,-129500,-132528.45
315100921,921,315100,1,,רכז עירוני לבגרות חברתית,גמיש,0.00% ,0,0,-14000
315100922,922,315100,1,,הצטיידות טכנולוגית,גמיש,0.00% ,-300000,-300000,-31554
315100924,924,315100,1,,משלחות ספורט,גמיש,0.00% ,-40000,-40000,-47616.85
315110923,923,315110,1,,"אומ""ץ - משה""ח",גמיש,-100.00% ,0,-20000,-19999.92
315120923,923,315120,1,,"אומ""ץ - משה""ח",גמיש,-33.33% ,-80000,-120000,-106666.56
315130923,923,315130,1,,"אומ""ץ - משה""ח",גמיש,0.00% ,-140000,-140000,-146666.44
315140923,923,315140,1,,"אומ""ץ - משה""ח",גמיש,0.00% ,-120000,-120000,-119999.88
315150923,923,315150,1,,"אומ""ץ - משה""ח",גמיש,-100.00% ,0,-60000,-59999.88
315170923,923,315170,1,,"אומ""ץ - משה""ח",גמיש,50.00% ,-120000,-80000,-79999.92
315710920,920,315710,1,,"השתת' ממשלה - חט""ע",גמיש,-2.04% ,-7110000,-7258000,-7030636.96
315710921,921,315710,1,,"השתת' ממשלה - חט""ב",גמיש,-10.43% ,-850000,-949000,-905558.82
315710922,922,315710,1,,שעורי עזר לעולים  ,גמיש,0.00% ,0,0,-11251.26
315710923,923,315710,1,,שעורי עזר לנכים   ,גמיש,0.00% ,0,0,-40048.55
315710925,925,315710,1,,"קרן השתלמות לשכ""ל ",גמיש,-6.58% ,-412000,-441000,-485860.5
315710926,926,315710,1,,"השאלת מורים לחט""ב ",גמיש,-32.22% ,-61000,-90000,-2691.4
315710928,928,315710,1,,ליווי לטיולים     ,גמיש,-0.74% ,-134000,-135000,-146877.08
315710930,930,315710,1,,עוז לתמורה,גמיש,-6.83% ,-2781000,-2985000,-2671829.88
315710932,932,315710,1,,גמול בגרות אחוזי,גמיש,1.94% ,-210000,-206000,-209320.8
315710938,938,315710,1,,השתת' מש' החינוך בטיולים,גמיש,0.00% ,0,0,-38400
315720416,416,315720,1,,פר' קשישים-משתתפים,גמיש,0.00% ,-19800,-19800,-19800
315720920,920,315720,1,,"השת' הממשלה בשכל""מ",גמיש,-8.91% ,-10872000,-11935000,-11845334.47
315720921,921,315720,1,,"השתת' ממשלה - חט""ב",גמיש,-5.28% ,-1185000,-1251000,-1232083.43
315720922,922,315720,1,,שעורי עזר לעולים  ,גמיש,-1.82% ,-10800,-11000,-13803.76
315720923,923,315720,1,,שעורי עזר לנכים   ,גמיש,0.00% ,-3500,-3500,-3438.24
315720925,925,315720,1,,"קרן השתלמות לשכ""ל ",גמיש,2.76% ,-559000,-544000,-597269.77
