"הצעת   התקציב   הרגיל   לשנת   2015   בש""ח",,,,,,,,,
סעיף,פרק,ספר,,שם,סוג,אחוז השינוי מול 2014,"הצעה
2015","תקציב  מקורי
2014","ביצוע
2013"
492 ,092100 ,1 ,,השתתפות בעזר 092  ,קשיח,0.20% ,"-6,158,100 ","-6,145,700 ","-5,550,310.45"
092100  סך הכל ,,,,העמסת בית העירייה ,,0.20% ,"-6,158,100 ","-6,145,700 ","-5,550,310.45"
000 ,094000 ,1 ,,אפסנאות מחסנים    , ,,                ,                ,
100 ,094000 ,1 ,,שכר עובדים לפי תקן, ,,                ,                ,0.00
110 ,094000 ,1 ,,השכר הקובע-תקציבית,שכר,-13.74% ,"560,500 ","649,800 ","607,042.88"
119 ,094000 ,1 ,,השכר הקובע-צוברת  ,שכר,55.34% ,"161,400 ","103,900 ","88,574.64"
122 ,094000 ,1 ,,ביגוד             ,שכר,6.16% ,"22,400 ","21,100 ","17,026.50"
126 ,094000 ,1 ,,דמי הבראה         ,שכר,9.85% ,"36,800 ","33,500 ","29,796.74"
130 ,094000 ,1 ,,שעות נוספות       ,שכר,-0.55% ,"54,600 ","54,900 ","58,690.20"
140 ,094000 ,1 ,,השתתפות באחזקת רכב,שכר,8.36% ,"72,600 ","67,000 ","64,973.20"
253 ,094000 ,1 ,,עובדים חיצוניים   ,שכר,0.00% ,0 ,0 ,"14,192.51"
400 ,094000 ,1 ,,אחזקת בנינים וציוד, ,,,,0.00
420 ,094000 ,1 ,,כיבוי אש          ,גמיש,0.00% ,"2,000 ","2,000 ","1,522.00"
423 ,094000 ,1 ,,תחזוקת מבנה       ,קשיח,0.00% ,"104,600 ","104,600 ","58,800.00"
433 ,094000 ,1 ,,חומרי נקיון       ,גמיש,0.00% ,"2,700 ","2,700 ","2,569.26"
437 ,094000 ,1 ,,אחזקת אזעקה       ,קשיח,0.00% ,"2,000 ","2,000 ",975.86
470 ,094000 ,1 ,,אחזקת מכונות משרד ,גמיש,0.00% ,"2,400 ","2,400 ","3,145.49"
471 ,094000 ,1 ,,מכשירי כתיבה      ,גמיש,0.00% ,"11,500 ","11,500 ","10,340.92"
492 ,094000 ,1 ,,השתתפות בעזר 092  ,קשיח,0.16% ,"186,500 ","186,200 ","195,878.00"
511 ,094000 ,1 ,,אירוח וכיבוד      ,גמיש,25.00% ,"6,500 ","5,200 ","6,099.56"
540 ,094000 ,1 ,,הוצאות טלפון      ,קשיח,0.00% ,"10,000 ","10,000 ","2,597.95"
550 ,094000 ,1 ,,פירסומים          ,גמיש,0.00% ,"2,000 ","2,000 ",
561 ,094000 ,1 ,,שיכפולים          ,גמיש,0.00% ,400 ,400 ,
571 ,094000 ,1 ,,"מיכון וענ""א       ",קשיח,0.00% ,"113,700 ","113,700 ","113,700.00"
596 ,094000 ,1 ,,השתתפות בעזר 096  ,קשיח,0.00% ,"100,600 ","100,600 ","86,470.00"
700 ,094000 ,1 ,,הוצאות לפעולות    , ,,,,
721 ,094000 ,1 ,,חמרים-תחזוקת מבנים,גמיש,0.00% ,"1,600 ","1,600 ","1,987.24"
742 ,094000 ,1 ,,כלים וציוד        ,גמיש,0.00% ,"1,200 ","1,200 ","1,116.50"
751 ,094000 ,1 ,,עבודות קבלניות    ,גמיש,0.00% ,"36,000 ","36,000 ","45,000.00"
752 ,094000 ,1 ,,נקיון בקבלנות     ,קשיח,-3.55% ,"19,000 ","19,700 ","17,397.02"
753 ,094000 ,1 ,,עובדים חיצוניים   ,קשיח,0.00% ,,,
756 ,094000 ,1 ,,שמירה בקבלנות     ,קשיח,0.00% ,"223,500 ","223,500 ","185,999.64"
757 ,094000 ,1 ,,פינויים           ,גמיש,0.00% ,"12,000 ","12,000 ","14,593.41"
900 ,094000 ,1 ,,הוצאות חד פעמיות  , ,,,,0.00
930 ,094000 ,1 ,,רכישות חד פעמיות  ,גמיש,0.00% ,"2,400 ","2,400 ","2,699.66"
094000  סך הכל ,,,,אפסנאות מחסנים    ,,-1.19% ,"1,748,900 ","1,769,900 ","1,631,189.18"
000 ,094100 ,1 ,,העמסת מחסנים    , ,,                ,                ,
794 ,094100 ,1 ,,השתתפות בעזר 094  ,קשיח,-1.19% ,"-1,748,900 ","-1,769,900 ","-1,631,189.18"
094100  סך הכל ,,,,העמסת מחסנים    ,,-1.19% ,"-1,748,900 ","-1,769,900 ","-1,631,189.18"
000 ,096000 ,1 ,,מוסך  ורכב        , ,,                ,                ,
100 ,096000 ,1 ,,שכר עובדים לפי תקן, ,,                ,                ,0.00
110 ,096000 ,1 ,,השכר הקובע-תקציבית,שכר,0.27% ,"112,000 ","111,700 ","106,368.85"
119 ,096000 ,1 ,,השכר הקובע-צוברת  ,שכר,-3.20% ,"417,700 ","431,500 ","312,798.64"
122 ,096000 ,1 ,,ביגוד             ,שכר,-4.67% ,"10,200 ","10,700 ","8,628.65"
126 ,096000 ,1 ,,דמי הבראה         ,שכר,-27.97% ,"17,000 ","23,600 ","32,954.62"
140 ,096000 ,1 ,,השתתפות באחזקת רכב,שכר,-19.75% ,"44,700 ","55,700 ","38,919.90"
400 ,096000 ,1 ,,אחזקת בנינים וציוד, ,,,,0.00
420 ,096000 ,1 ,,כיבוי אש          ,גמיש,0.00% ,"6,700 ","6,700 ","3,810.00"
432 ,096000 ,1 ,,מים               ,קשיח,0.00% ,"63,600 ","63,600 ","38,426.30"
433 ,096000 ,1 ,,חומרי נקיון       ,גמיש,0.00% ,"9,900 ","9,900 ","8,891.54"
441 ,096000 ,1 ,,ביטוח רכב         ,קשיח,16.30% ,"528,000 ","454,000 ","394,180.04"
470 ,096000 ,1 ,,אחזקת מכונות משרד ,גמיש,0.00% ,"1,400 ","1,400 ","1,287.02"
471 ,096000 ,1 ,,מכשירי כתיבה      ,גמיש,0.00% ,"4,200 ","4,200 ","3,779.62"
492 ,096000 ,1 ,,השתתפות בעזר 092  ,קשיח,0.16% ,"61,800 ","61,700 ","64,907.00"
500 ,096000 ,1 ,,הוצאות מינהליות   , ,,,,0.00
511 ,096000 ,1 ,,אירוח וכיבוד      ,גמיש,25.93% ,"3,400 ","2,700 ","3,128.19"
512 ,096000 ,1 ,,"נסיעות ואש""ל      ",גמיש,0.00% ,400 ,400 ,236.00
522 ,096000 ,1 ,,ספרים ועיתונים    ,גמיש,0.00% ,900 ,900 ,990.00
540 ,096000 ,1 ,,הוצאות טלפון      ,קשיח,0.00% ,"6,000 ","6,000 ","2,620.11"
550 ,096000 ,1 ,,פירסומים          ,גמיש,0.00% ,"9,600 ","9,600 ",
561 ,096000 ,1 ,,שיכפולים          ,גמיש,0.00% ,"1,300 ","1,300 ",141.60
571 ,096000 ,1 ,,"מיכון וענ""א       ",קשיח,0.00% ,"51,000 ","51,000 ","51,000.00"
580 ,096000 ,1 ,,שמאות             ,גמיש,0.00% ,"1,700 ","1,700 ",807.00
700 ,096000 ,1 ,,הוצאות לפעולות    , ,,,,0.00
715 ,096000 ,1 ,,עבודות קבלניות-רכב,גמיש,0.00% ,"4,000 ","4,000 ","2,798.00"
721 ,096000 ,1 ,,חמרים-תחזוקת מבנים,גמיש,0.00% ,800 ,800 ,942.28
731 ,096000 ,1 ,,בנזין             ,קשיח,0.00% ,"500,000 ","500,000 ","433,505.76"
734 ,096000 ,1 ,,סולר              ,קשיח,0.00% ,"1,600,000 ","1,600,000 ","1,445,601.87"
736 ,096000 ,1 ,,שמנים ומשחות      ,גמיש,0.00% ,"24,000 ","24,000 ","17,418.00"
737 ,096000 ,1 ,,אגרת רשוי רכב     ,קשיח,0.00% ,"192,000 ","192,000 ","112,705.00"
742 ,096000 ,1 ,,כלים וציוד        ,גמיש,0.00% ,"6,600 ","6,600 ","7,976.21"
746 ,096000 ,1 ,,השתתפות עצמית     ,קשיח,0.00% ,"50,000 ","50,000 ","26,691.00"
750 ,096000 ,1 ,,שטיפת רכבים,קשיח,0.00% ,"13,000 ","13,000 ","5,071.35"
751 ,096000 ,1 ,,עבודות קבלניות    ,גמיש,0.00% ,"15,000 ",0 ,"15,000.00"
752 ,096000 ,1 ,,נקיון בקבלנות     ,קשיח,-2.65% ,"11,000 ","11,300 ","11,317.30"
755 ,096000 ,1 ,,אחזקת איתורן,קשיח,0.00% ,"65,000 ","65,000 ","61,665.56"
756 ,096000 ,1 ,,שמירה בקבלנות     ,קשיח,0.00% ,"223,500 ","223,500 ","180,671.17"
757 ,096000 ,1 ,,טיפול ברכב        ,קשיח,-10.67% ,"1,340,000 ","1,500,000 ","1,436,457.00"
758 ,096000 ,1 ,,שיפוצים           ,קשיח,0.00% ,"250,000 ","250,000 ","191,599.00"
759 ,096000 ,1 ,,פחחות וצבע        ,גמיש,0.00% ,"40,000 ","40,000 ","44,489.00"
794 ,096000 ,1 ,,השתתפות בעזר 094  ,קשיח,-1.29% ,"30,600 ","31,000 ","28,867.00"
096000  סך הכל ,,,,מוסך  ורכב        ,,-1.76% ,"5,717,000 ","5,819,500 ","5,096,650.58"
000 ,096100 ,1 ,,העמסת מוסך  ורכב        , ,,                ,                ,
596 ,096100 ,1 ,,השתתפות בעזר 096  ,קשיח,-1.76% ,"-5,717,000 ","-5,819,500 ","-5,096,650.58"
096100  סך הכל ,,,,העמסת מוסך  ורכב        ,,-1.76% ,"-5,717,000 ","-5,819,500 ","-5,096,650.58"
"סה""כ  תקציבי עזר",,,,,,0.00% ,0 ,0 ,0.00
,,,,תקבולים,,,,,
000 ,100000 ,1 ,,מיסים ומענק כללי  , ,,                ,                ,
000 ,110000 ,1 ,,ארנונות           , ,,                ,                ,
110 ,110000 ,1 ,,ארנונה כללית      ,גמיש,3.98% ,"-522,000,000 ","-502,000,000 ","-463,557,282.00"
111 ,110000 ,1 ,,ארנונה - מ.ג.ע.ר    ,גמיש,0.00% ,0 ,0 ,"-15,054.38"
112 ,110000 ,1 ,,אגרות משפט        ,גמיש,20.00% ,"-120,000 ","-100,000 ","-166,155.13"
113 ,110000 ,1 ,,החזר הוצאות משפט,גמיש,125.00% ,"-180,000 ","-80,000 ","-226,426.14"
114 ,110000 ,1 ,,ארנונה - עסקים מילגם    ,גמיש,0.00% ,"-500,000 ","-500,000 ","-602,285.30"
115 ,110000 ,1 ,,ארנונה מגורים מילגם,גמיש,0.00% ,"-800,000 ","-800,000 ","-1,008,861.44"
116 ,110000 ,1 ,,עיקולי בנקים,גמיש,0.00% ,"-80,000 ","-80,000 ","-175,474.13"
117 ,110000 ,1 ,,עיקולי רכב,גמיש,0.00% ,"-200,000 ","-200,000 ",
176 ,110000 ,1 ,,גביות שונות לחלוקה,גמיש,0.00% ,0 ,0 ,"455,961.08"
177 ,110000 ,1 ,,גביות - קו פתוח   ,גמיש,0.00% ,0 ,0 ,"-309,291.31"
178 ,110000 ,1 ,,כרט' אשראי-קו פתוח,גמיש,0.00% ,0 ,0 ,"178,542.17"
110000  סך הכל ,,,,ארנונות           ,,3.99% ,"-523,880,000 ","-503,760,000 ","-465,426,326.58"
000 ,115000 ,1 ,,הנחות לזכאים      , ,,                ,                ,
110 ,115000 ,1 ,,הכנסה משחרורים    ,גמיש,0.75% ,"-64,339,000 ","-63,860,000 ","-66,143,574.06"
111 ,115000 ,1 ,,החזר הנחות מימון,גמיש,24.00% ,"-849,400 ","-685,000 ","-618,260.12"
112 ,115000 ,1 ,,פטורים מארנונה,גמיש,0.75% ,"-29,056,300 ","-28,840,000 ","-24,465,846.87"
113 ,115000 ,1 ,,הנחות מימון אשפה,גמיש,0.00% ,"-7,000 ",,
115000  סך הכל ,,,,הנחות לזכאים      ,,0.93% ,"-94,251,700 ","-93,385,000 ","-91,227,681.05"
000 ,120000 ,1 ,,אגרות             , ,,                ,                ,
000 ,121000 ,1 ,,תעודות ואישורים   , ,,                ,                ,
290 ,121000 ,1 ,,תעודות ואשורים    ,גמיש,15.00% ,"-230,000 ","-200,000 ","-258,528.68"
121000  סך הכל ,,,,תעודות ואישורים   ,,15.00% ,"-230,000 ","-200,000 ","-258,528.68"
000 ,122000 ,1 ,,אג' רישיונות שלטים, ,,                ,                ,
290 ,122000 ,1 ,,אגרת רשיונות שלטים,גמיש,0.00% ,"-8,800,000 ","-8,800,000 ","-8,512,320.45"
291 ,122000 ,1 ,,החזר אג' משפט-שילוט,גמיש,-86.67% ,"-4,000 ","-30,000 ","-3,265.86"
122000  סך הכל ,,,,אג' רישיונות שלטים,,-0.29% ,"-8,804,000 ","-8,830,000 ","-8,515,586.31"
000 ,124000 ,1 ,,מודעות ופירסומים  , ,,                ,                ,
290 ,124000 ,1 ,,מודעות על לוחות   ,גמיש,0.00% ,"-90,000 ","-90,000 ","-61,154.00"
124000  סך הכל ,,,,מודעות ופירסומים  ,,0.00% ,"-90,000 ","-90,000 ","-61,154.00"
000 ,129000 ,1 ,,אגרות שונות       , ,,                ,                ,
290 ,129000 ,1 ,,אגרת חניה  מוניות ,גמיש,0.00% ,"-35,000 ","-35,000 ","-34,916.32"
129000  סך הכל ,,,,אגרות שונות       ,,0.00% ,"-35,000 ","-35,000 ","-34,916.32"
000 ,160000 ,1 ,,הכנסות מימון      , ,,                ,                ,
840 ,160000 ,1 ,,ביוב התר בניה-מלוה,גמיש,-3.08% ,"-321,000 ","-331,200 ","-338,000.00"
841 ,160000 ,1 ,,כביש-תאו'בניה-מלוה,גמיש,-13.18% ,"-8,736,200 ","-10,062,500 ","-10,320,400.00"
842 ,160000 ,1 ,,תעול היתר בניה-מלו,גמיש,-3.39% ,"-2,269,000 ","-2,348,700 ","-2,402,301.00"
843 ,160000 ,1 ,,מים היתר בניה-מלוה,גמיש,-3.84% ,"-1,108,000 ","-1,152,200 ","-1,183,900.00"
844 ,160000 ,1 ,,החזר מילוות-השבחה,גמיש,106.55% ,"-6,157,300 ","-2,981,000 ","-2,955,600.00"
160000  סך הכל ,,,,הכנסות מימון      ,,10.17% ,"-18,591,500 ","-16,875,600 ","-17,200,201.00"
000 ,190000 ,1 ,,מענקים כללים      , ,,                ,                ,
000 ,192000 ,1 ,,מענקים חד-פעמיים  , ,,                ,                ,
910 ,192000 ,1 ,,החזר בגין הסכם שכר,גמיש,0.00% ,"-300,000 ","-300,000 ","-441,046.00"
192000  סך הכל ,,,,מענקים חד-פעמיים  ,,0.00% ,"-300,000 ","-300,000 ","-441,046.00"
910 ,192100 ,1 ,,פנים מענק ניהול כספי,גמיש,0.00% ,0 ,0 ,"-393,342.00"
192100  סך הכל ,,,,פנים מענק ניהול כספי,,0.00% ,0 ,0 ,"-393,342.00"
000 ,196000 ,1 ,,מענקים אחרים      , ,,                ,                ,
000 ,196100 ,1 ,,בחירות:רשות מקומית, ,,                ,                ,
910 ,196100 ,1 ,,בחירות:רשות מקומית,גמיש,0.00% ,0 ,0 ,"-743,920.00"
196100  סך הכל ,,,,בחירות:רשות מקומית,,0.00% ,0 ,0 ,"-743,920.00"
000 ,196200 ,1 ,,מענקי שכר         , ,,                ,                ,
196200  סך הכל ,,,,מענקי שכר         ,,0.00% ,0 ,0 ,0.00
000 ,200000 ,1 ,,שרותים מקומיים    , ,,                ,                ,
000 ,212200 ,1 ,,נקוי רחובות       , ,,                ,                ,
692 ,212200 ,1 ,,ניקוי מגרשים      ,גמיש,0.00% ,"-25,000 ","-25,000 ",0.25
212200  סך הכל ,,,,נקוי רחובות       ,,0.00% ,"-25,000 ","-25,000 ",0.25
000 ,212300 ,1 ,,אסוף וביעור אשפה  , ,,                ,                ,
690 ,212300 ,1 ,,אריזות כתומים-הפרדה במקור,גמיש,0.00% ,"-850,000 ",0 ,
691 ,212300 ,1 ,,מכירת מיכלי אשפה  ,גמיש,-20.00% ,"-80,000 ","-100,000 ","-65,569.90"
692 ,212300 ,1 ,,הכנסות סילוק פסולת,גמיש,0.00% ,"-8,700,000 ","-8,700,000 ","-10,664,228.16"
693 ,212300 ,1 ,,מכירת בקבוקי פלסטיק,גמיש,169.23% ,"-35,000 ","-13,000 ","-73,545.66"
694 ,212300 ,1 ,,מכירת נייר,גמיש,73.91% ,"-200,000 ","-115,000 ","-124,227.27"
695 ,212300 ,1 ,,מכירת בגדים משומשים,גמיש,2.94% ,"-140,000 ","-136,000 ","-64,165.36"
696 ,212300 ,1 ,,מכירת קרטון למיחזור,גמיש,15.63% ,"-111,000 ","-96,000 ","-106,056.30"
697 ,212300 ,1 ,,קרטון - תאגיד תמיר,גמיש,0.00% ,"-675,000 ",,
212300  סך הכל ,,,,אסוף וביעור אשפה  ,,17.81% ,"-10,791,000 ","-9,160,000 ","-11,097,792.65"
000 ,213000 ,1 ,,פיקוח תברואי      , ,,                ,                ,
000 ,213300 ,1 ,,פיקוח-עסקים+מוסדות, ,,                ,                ,
310 ,213300 ,1 ,,רישוי עסקים       ,גמיש,0.00% ,"-500,000 ","-500,000 ","-350,656.85"
213300  סך הכל ,,,,פיקוח-עסקים+מוסדות,,0.00% ,"-500,000 ","-500,000 ","-350,656.85"
000 ,214000 ,1 ,,שרות וטרינרי      , ,,                ,                ,
220 ,214000 ,1 ,,אג'רישוי/חיסון כלב ואג' עופות,גמיש,64.20% ,"-821,000 ","-500,000 ","-658,234.77"
221 ,214000 ,1 ,,הובלה ושהייה בכלביה,גמיש,0.00% ,"-10,000 ",,
222 ,214000 ,1 ,,"החזקת בע""ח/בעלי כנף",גמיש,0.00% ,"-4,300 ",,
690 ,214000 ,1 ,,בדיקת משנה בשר טרי,גמיש,0.00% ,"-500,000 ","-500,000 ","-381,212.40"
790 ,214000 ,1 ,,בדיקת בשר ודגים   ,גמיש,-30.00% ,"-280,000 ","-400,000 ",
990 ,214000 ,1 ,,החזר עיקור חתולים,גמיש,0.00% ,0 ,0 ,"-200,000.00"
214000  סך הכל ,,,,שרות וטרינרי      ,,15.38% ,"-1,615,300 ","-1,400,000 ","-1,239,447.17"
000 ,220000 ,1 ,,ביטחון            , ,,                ,                ,
221000  סך הכל ,,,,מינהל שמירה וביטחון,,0.00% ,0 ,0 ,0.00
000 ,222000 ,1 ,,שמירה ביטחונית    , ,,                ,                ,
000 ,222100 ,1 ,,משמר אזרחי        , ,,                ,                ,
910 ,222100 ,1 ,,השתתפות הממשלה    ,גמיש,0.00% ,"-34,000 ","-34,000 ","-18,699.00"
222100  סך הכל ,,,,משמר אזרחי        ,,0.00% ,"-34,000 ","-34,000 ","-18,699.00"
000 ,222200 ,1 ,,סיירת ביטחון, ,,                ,                ,
220 ,222200 ,1 ,,אגרת ביטחון,גמיש,0.00% ,"-8,101,000 ",0 ,
222200  סך הכל ,,,,סיירת ביטחון,,0.00% ,"-8,101,000 ",0 ,0.00
000 ,223000 ,1 ,,"הג""א              ", ,,                ,                ,
640 ,223000 ,1 ,,שכר דירה ממקלטים  ,גמיש,0.00% ,"-50,000 ","-50,000 ","-40,693.00"
791 ,223000 ,1 ,,"השתת' בת-ים בהג""א",גמיש,-100.00% ,0 ,"-185,000 ",
792 ,223000 ,1 ,,"השתת' אזור בהג""א",גמיש,-100.00% ,0 ,"-15,000 ",
223000  סך הכל ,,,,"הג""א              ",,-80.00% ,"-50,000 ","-250,000 ","-40,693.00"
000 ,230000 ,1 ,,תכנון בנין עיר    , ,,                ,                ,
000 ,231000 ,1 ,,משרד מהנדס הרשות  , ,,                ,                ,
690 ,231000 ,1 ,,משרד מהנדס הרשות  ,גמיש,180.00% ,"-140,000 ","-50,000 ","-140,401.31"
691 ,231000 ,1 ,,אג.בגין מסירת מידע,גמיש,0.00% ,"-150,000 ","-150,000 ","-179,969.00"
231000  סך הכל ,,,,משרד מהנדס הרשות  ,,45.00% ,"-290,000 ","-200,000 ","-320,370.31"
000 ,232400 ,1 ,,אגף התנועה,,                ,                ,                ,
410 ,232400 ,1 ,,הצבה/העתקה ע' חניה לנכים,גמיש,-40.00% ,"-18,000 ","-30,000 ","-15,195.00"
232400  סך הכל ,,,,מחלקת התנועה,,-40.00% ,"-18,000 ","-30,000 ","-15,195.00"
000 ,233000 ,1 ,,רשוי+פקוח על הבניה, ,,                ,                ,
290 ,233000 ,1 ,,רשיונות בניה-כללי ,גמיש,0.00% ,"-6,000,000 ","-6,000,000 ","-10,234,163.01"
310 ,233000 ,1 ,,היטל השבחה מפיתוח,גמיש,14.86% ,"-20,711,300 ","-18,032,000 ","-6,470,936.50"
690 ,233000 ,1 ,,החזר דמי בדיקה פרטי,גמיש,-90.00% ,"-1,000 ","-10,000 ","-1,000.00"
233000  סך הכל ,,,,רשוי+פקוח על הבניה,,11.11% ,"-26,712,300 ","-24,042,000 ","-16,706,099.51"
000 ,243000 ,1 ,,תאורת רחובות      , ,,                ,                ,
690 ,243000 ,1 ,,השתת' במאור שלטים ,גמיש,0.00% ,"-40,000 ",0 ,"-40,091.50"
243000  סך הכל ,,,,תאורת רחובות      ,,0.00% ,"-40,000 ",0 ,"-40,091.50"
000 ,244000 ,1 ,,בטיחות בדרכים - אחזקה     , ,,                ,                ,
991 ,244000 ,1 ,,משרד התחבורה-סימון,גמיש,0.00% ,0 ,0 ,"-370,114.00"
244000  סך הכל ,,,,בטיחות בדרכים - אחזקה     ,,0.00% ,0 ,0 ,"-370,114.00"
000 ,245000 ,1 ,,תעול וניקוז, ,,                ,                ,
790 ,245000 ,1 ,,רשות ניקוז ירקון,גמיש,112.43% ,"-145,300 ","-68,400 ","-62,751.00"
245000  סך הכל ,,,,תעול וניקוז,,112.43% ,"-145,300 ","-68,400 ","-62,751.00"
000 ,246100 ,1 ,,גנים ציבוריים ונוף, ,,                ,                ,
691 ,246100 ,1 ,,מכירת  סכך,גמיש,-47.50% ,"-10,500 ","-20,000 ","-10,285.00"
692 ,246100 ,1 ,,פינת ליטוף        ,גמיש,3.45% ,"-150,000 ","-145,000 ","-148,318.00"
246100  סך הכל ,,,,גנים ציבוריים ונוף,,-2.73% ,"-160,500 ","-165,000 ","-158,603.00"
000 ,250000 ,1 ,,חגיגות ארועים + מבצעים, ,,                ,                ,
000 ,254000 ,1 ,,קשרים בינלאומיים  , ,,                ,                ,
770 ,254000 ,1 ,,הש' ממשלת גרמניה-משלחות,גמיש,-40.00% ,"-15,000 ","-25,000 ","-70,913.27"
254000  סך הכל ,,,,קשרים בינלאומיים  ,,-40.00% ,"-15,000 ","-25,000 ","-70,913.27"
000 ,269000 ,1 ,,הכנסות שונות      , ,,                ,                ,
