"תקציב 2016","שם הסעיף","מספר סעיף"
59202,"כלי רכב בליסינג תפעולי",6122-424-9
,"דוח שנתי",6122-931-6
1574511,"משכורת ושכר משולבים",6101-111-9
269853,תוספות,6101-112-6
65488,"החזר הוצאות",6101-113-3
253236,"הפרשות סוציאליות",6101-116-4
127984,"מסים והיטלים על השכר",6101-117-1
129642,"החזקת רכב",6101-118-8
51323,"שעות נוספות",6101-119-5
47000,"קניית שירותי כ״א-תמלול ועדות",6101-213-4
177606,"כלי רכב בליסינג תפעולי",6101-424-6
26000,כיבודים,6101-610-7
300000,"פרסום מודעות",6101-630-3
132000,"הוצאות ארגוניות ושונות",6101-682-2
130000,"מיון והערכה של עובדים",6101-782-3
66700,"בטיחות וגיהות",6101-798-8
20000,"סריקת מסמכים",6101-808-2
798539,"משכורת ושכר משולבים",6181-111-5
215871,תוספות,6181-112-2
64855,"החזר הוצאות",6181-113-9
264664,"הפרשות סוציאליות",6181-116-0
103353,"מסים והיטלים על השכר",6181-117-7
190548,"החזקת רכב",6181-118-4
61578,"שעות נוספות",6181-119-1
388636,"תקשורת סלולרית",6181-448-6
15000,הדפסות,6181-462-0
5000,"עיתונות וספרות",6181-480-2
93776,"רכש ואספקה - העמסה",6181-490-5
7000,כיבודים,6181-610-3
5000,פרסום,6181-630-9
,"פיקוח ובקרה",6181-632-3
10000,"הוצאות ארגוניות ושונות",6181-682-8
145632,"מחשוב עירוני - העמסה",6181-755-1
300000,"בקרת חשבונות חשמל ומים",6181-782-9
45000,"בדיקת בטיחות לתורן העירייה",6181-783-6
380000,"בקרה, פיקוח וליווי",6181-796-0
711682,"משכורת ושכר משולבים",6182-111-4
180345,תוספות,6182-112-1
78459,"החזר הוצאות",6182-113-8
270351,"הפרשות סוציאליות",6182-116-9
108847,"מסים והיטלים על השכר",6182-117-6
201868,"החזקת רכב",6182-118-3
137548,"שעות נוספות",6182-119-0
40000,"העסקת חניכים",6182-416-2
6400000,חשמל,6182-430-6
550000,מים,6182-431-3
561229,הסקה,6182-432-0
40000,גז,6182-438-2
765629,"ביטוח - העמסה",6182-440-9
15000,"מכשירי כתיבה והדפסות",6182-460-5
15000,"החזקת מכונות משרד",6182-470-8
4000,"ספרות מקצועית",6182-480-1
37100,"טלפונים - העמסה",6182-541-7
13727,כיבודים,6182-610-2
25750,אמנות,6182-782-8
300000,"החזר הוצאות חשמל",6182-951-4
1900000,"קניית שירותי כ״א - תחזוקה",6183-210-7
490000,"חומרים וציוד עזר לעבודה",6183-720-5
5660000,"קבלן ניקיון",6183-749-4
305000,"קבלן מעליות",6183-752-8
389000,"קבלנים לפי קריאה",6183-753-5
215500,"קבלן גינון",6183-754-2
3900000,"קבלן תחזוקה",6183-756-6
180000,"שינויים והתאמות בכיכר ספרא",6183-757-3
87451,"תשלומי ארנונה - מסעדת העובדים",6183-763-8
254880,חניונים,6183-766-9
50000,"אגרות כיבוי אש",6183-767-6
500000,"דמי ניהול - מסחר בכיכר",6183-952-0
360000,"חניית עובדים",6183-953-7
463061,"משכורת ושכר משולבים",6184-111-2
100659,תוספות,6184-112-9
33396,"החזר הוצאות",6184-113-6
95534,"הפרשות סוציאליות",6184-116-7
55014,"מסים והיטלים על השכר",6184-117-4
49680,"החזקת רכב",6184-118-1
27205,"שעות נוספות",6184-119-8
,"כלי רכב בליסינג תפעולי",6184-424-9
787220,"משכורת ושכר משולבים",6131-111-0
877777,תוספות,6131-112-7
157555,"החזר הוצאות",6131-113-4
448603,"הפרשות סוציאליות",6131-116-5
166630,"מסים והיטלים על השכר",6131-117-2
134897,"החזקת רכב",6131-118-9
149857,"שעות נוספות",6131-119-6
1450000,"קניית שירותי כ״א - שופטים",6131-211-1
400000,"קניית שירותי כ״א",6131-212-8
150000,"אבטחה ושמירה",6131-417-5
118404,"כלי רכב בליסינג תפעולי",6131-424-7
6121,"תקשורת סלולרית",6131-448-1
1962,"רכש ואספקה - העמסה",6131-490-0
700000,דואר,6131-545-1
22855,כיבודים,6131-610-8
50000,"סריקת אישורי מסירה",6131-750-1
308668,"מחשוב עירוני - העמסה",6131-755-6
303000,"הוצאות בית משפט",6131-782-4
550000,"החזר הוצאות משפט ודמי עיקול",6131-783-1
500000,"קנסות ועדה מחוזית",6131-784-8
130000,"מסירת הזמנות בית המשפט",6131-785-5
450000,"גביית חובות בית המשפט",6131-786-2
218766,"משכורת ושכר משולבים",6150-111-5
128636,תוספות,6150-112-2
21948,"החזר הוצאות",6150-113-9
89852,"הפרשות סוציאליות",6150-116-0
36373,"מסים והיטלים על השכר",6150-117-7
52304,"החזקת רכב",6150-118-4
36491,"שעות נוספות",6150-119-1
958798,"קריית העירייה - העמסה",6150-400-8
,"כלי רכב בליסינג תפעולי",6150-424-2
77220,"תקשורת סלולרית",6150-448-6
21580,"רכש ואספקה - העמסה",6150-490-5
110385,"טלפונים - העמסה",6150-541-8
1193428,"מחשוב עירוני - העמסה",6150-755-1
,"חברת הגיחוך - הפחתת העמסה",6150-789-8
,"מרכז הדרכה ארצי",6150-950-8
,"מפעם פרויקטים שונים",6150-955-3
500000,"תגבור פעולות ושונות",6150-958-4
,"תגבור פעולות",6150-959-1
1427256,"משכורת ושכר משולבים",6151-111-4
735257,תוספות,6151-112-1
"16,603 1","החזר הוצאות",6151-113-8
616783,"הפרשות סוציאליות",6151-116-9
297532,"מסים והיטלים על השכר",6151-117-6
1275431,"החזקת רכב",6151-118-3
199482,"שעות נוספות",6151-119-0
4900000,"אגודות מקצועיות - דמי חבר",6151-211-5
1000000,"קניית שירותי כ״א - כללי",6151-214-6
59202,"כלי רכב בליסינג תפעולי",6151-424-1
15000,"ספרות מקצועית",6151-480-1
220000,"בקרת הסכמי שכר",6151-757-4
160000,"סקר אפליה",6151-765-3
80000,"קידום מעמד האישה",6151-787-3
105000,"יועץ לניהול הסדרי פנסיה",6151-791-4
185000,"הערכת ביצועי עובדים",6151-802-5
80000,"ועדות רפואיות",6151-803-2
50000,"תכנית לאתיקה אפקטיבית",6151-812-8
419956,"משכורת ושכר משולבים",6153-111-2
172312,תוספות,6153-112-9
22535,"החזר הוצאות",6153-113-6
183320,"הפרשות סוציאליות",6153-116-7
75999,"מסים והיטלים על השכר",6153-117-4
199502,"החזקת רכב",6153-118-1
98724,"שעות נוספות",6153-119-8
118404,"כלי רכב בליסינג תפעולי",6153-424-9
30000,"ניתוח עיסוקים",6153-449-0
1000000,"יועץ לתחום ארגון ושיטות",6153-770-9
20000,"ניהול טפסים עירוניים",6153-805-4
350412,"משכורת ושכר משולבים",6154-111-1
70529,תוספות,6154-112-8
13946,"החזר הוצאות",6154-113-5
130400,"הפרשות סוציאליות",6154-116-6
54037,"מסים והיטלים על השכר",6154-117-3
94114,"החזקת רכב",6154-118-0
63434,"שעות נוספות",6154-119-7
1200000,"מועדון שלך",6154-212-9
59202,"כלי רכב בליסינג תפעולי",6154-424-8
904000,"ביטוח רווחת העובדים",6154-799-7
185000,"אירוע ""שלום כיתה א""",6154-801-5
550000,"פעולות ספורט, פנאי ותרבות",6154-804-6
135000,"שי למתגייס",6154-807-7
50000,"קייטנות לילדי עובדים",6154-809-1
,"פעולות בריאות",6154-813-2
70000,"דמי חבר שלוש הערים הגדולות",6154-814-9
463555,"משכורת ושכר משולבים",6155-111-0
64129,תוספות,6155-112-7
21390,"החזר הוצאות",6155-113-4
153877,"הפרשות סוציאליות",6155-116-5
65830,"מיסים והיטלים על השכר",6155-117-2
237276,"החזקת רכב",6155-118-9
54778,"שעות נוספות",6155-119-6
3500000,"מועדון לרווחת הגמלאים",6155-213-5
59202,"כלי רכב בליסינג תפעולי",6155-424-7
40000,"פרסום והטמעת חוק הטרדה מינית",6155-631-1
10000,"גביית חובות עובדים",6155-727-1
195000,"ליווי פרישת עובדים",6155-763-5
243587,"משכורת ושכר משולבים",6157-111-8
181307,תוספות,6157-112-5
18012,"החזר הוצאות",6157-113-2
129564,"הפרשות סוציאליות",6157-116-3
60195,"מסים והיטלים על השכר",6157-117-0
285712,"החזקת רכב",6157-118-7
35515,"שעות נוספות",6157-119-4
500000,"פעולות הדרכה לבטיחות ותעבורה",6157-792-5
1500000,"פעולות הדרכה-משאבי אנוש",6157-793-2
500000,"מלגות להשכלה גבוהה",6157-794-9
47000,"השלמת השכלה תיכונית",6157-795-6
330000,"קורסים והשתלמויות פרטניות",6157-796-3
45000,"פעולות להעשרה",6157-797-0
232660,"משכורת ושכר משולבים",6158-111-7
175144,תוספות,6158-112-4
23049,"החזר הוצאות",6158-113-1
"13,201 1","הפרשות סוציאליות",6158-116-2
61474,"מסים והיטלים על השכר",6158-117-9
285545,"החזקת רכב",6158-118-6
35470,"שעות נוספות",6158-119-3
59202,"כלי רכב בליסינג תפעולי",6158-424-4
110000,"עיבודי מל""מ וציוד מחשוב",6158-783-8
266059,"משכורת ושכר משולבים",6159-111-6
200287,תוספות,6159-112-3
26358,"החזר הוצאות",6159-113-0
129451,"הפרשות סוציאליות",6159-116-1
70299,"מסים והיטלים על השכר",6159-117-8
326535,"החזקת רכב",6159-118-5
40562,"שעות נוספות",6159-119-2
59202,"כלי רכב בליסינג תפעולי",6159-424-3
1800000,"פיתוח ארגוני",6159-779-6
3358025,"הפעלת מטה המפעמים",6159-951-6
300000,"פיתוח ארגוני",6159-956-1
1391249,"משכורת ושכר משולבים",6211-111-9
772548,תוספות,6211-112-6
112025,"החזר הוצאות",6211-113-3
512917,"הפרשות סוציאליות",6211-116-4
209209,"מסים והיטלים על השכר",6211-117-1
156167,"החזקת רכב",6211-118-8
140718,"שעות נוספות",6211-119-5
774585,"קריית העירייה - העמסה",6211-400-2
177606,"כלי רכב בליסינג תפעולי",6211-424-6
766198,"ביטוח - העמסה",6211-440-4
73429,"תקשורת סלולרית",6211-448-0
48000,"מכשירי כתיבה וציוד משרדי",6211-460-0
100000,הדפסות,6211-462-4
6000,"החזקת מכונות משרד",6211-470-3
40000,"עיתונות וספרות",6211-480-6
5886,"רכש ואספקה - העמסה",6211-490-9
7000,נסיעות,6211-510-6
6000,טלפונים,6211-540-5
230597,"טלפונים - העמסה",6211-541-2
2499,דואר,6211-545-0
35500,כיבודים,6211-610-7
30000,שליחויות,6211-712-2
1078795,"מחשוב עירוני - העמסה",6211-755-5
,"הפחתת העמסת שכר - חברת הגיחון",6211-789-2
500000,"ליווי פיננסי",6211-791-9
500000,"תגבור פעולות ושונות",6211-951-9
8908558,"משכורת ושכר משולבים",6220-111-7
9238449,תוספות,6220-112-4
1578191,"החזר הוצאות",6220-113-1
4447775,"הפרשות סוציאליות",6220-116-2
1768309,"מסים והיטלים על השכר",6220-117-9
1819179,"החזקת רכב",6220-118-6
1230408,"שעות נוספות",6220-119-3
450000,"קניית שירותי כ״א",6220-211-8
130000,"בגדי עבודה",6220-215-6
1549169,"קריית העירייה - העמסה",6220-400-0
177606,"כלי רכב בליסינג תפעולי",6220-424-4
83370,"תקשורת סלולרית",6220-448-8
100000,"כיבוס מדים",6220-451-2
400000,"ציוד משרדי",6220-460-8
1600000,"הדפסות ונייר רציף",6220-462-2
14390,"ספרות מקצועית",6220-480-4
392,"רכש ואספקה - העמסה",6220-490-7
180000,"שירותי מידע וגבייה",6220-540-3
4500000,דואר,6220-545-8
80000,כיבודים,6220-610-5
250000,פרסומים,6220-630-1
140000,"הוצאות ארגוניות ושונות",6220-682-0
120000,"הובלה ברכב שכור",6220-712-0
2000000,"גביית חובות חנייה",6220-727-8
14000000,"סקר נכסים",6220-753-9
2868884,"מחשוב עירוני - העמסה",6220-755-3
500000,"סקר נכסים־פרויקטים מיוחדים",6220-756-0
200000,"בקרה על תשלום לעו״ד חיצוניים",6220-782-1
850000,"שכר טרחה-פרויקטים מיוחדים",6220-784-5
2000000,"בדיקות כלכליות",6220-786-9
6000000,"עמלות עיקולים",6220-787-6
8700000,"אגרות תביעות ארנונה",6220-789-0
100000,מדידות,6220-790-0
,"שמירה וסדרנות",6220-792-4
1702190,"משכורת ושכר משולבים",6213-111-7
780638,תוספות,6213-112-4
156469,"החזר הוצאות",6213-113-1
645536,"הפרשות סוציאליות",6213-116-2
262505,"מסים והיטלים על השכר",6213-117-9
408657,"החזקת רכב",6213-118-6
252318,"שעות נוספות",6213-119-3
177606,"כלי רכב בליסינג תפעולי",6213-424-4
709030,"משכורת ושכר משולבים",6215-111-5
587998,תוספות,6215-112-2
136657,"החזר הוצאות",6215-113-9
475463,"הפרשות סוציאליות",6215-116-0
170025,"מסים והיטלים על השכר",6215-117-7
345952,"החזקת רכב",6215-118-4
207005,"שעות נוספות",6215-119-1
,"כלי רכב בליסינג תפעולי",6215-424-2
3060000,"עיבוד והפקה של תלושי שכר",6215-783-6
345389,"משכורת ושכר משולבים",9610-111-5
137924,תוספות,9610-112-2
35182,"החזר הוצאות",9610-113-9
150983,"הפרשות סוציאליות",9610-116-0
45444,"מיסים והיטלים על השכר",9610-117-7
60358,"החזקת רכב",9610-118-4
13272,"שעות נוספות",9610-119-1
17600000,"ביטוח אחריות כלפי צד ג'",9610-441-7
4420000,"ביטוח מבנים ורכוש",9610-442-4
4700000,"ביטוח צי רכב",9610-443-1
1350000,"ביטוח חבות מעבידים",9610-444-8
420000,"ביטוח חבויות שונות",9610-445-5
180000,"יועץ ביטוחים",9610-791-5
700000,"ביטוח גג קבלנים",9610-954-6
2158415,"משכורת ושכר משולבים",6214-111-6
155635,תוספות,6214-112-3
127602,"החזר הוצאות",6214-113-0
690246,"הפרשות סוציאליות",6214-116-1
231837,"מסים והיטלים על השכר",6214-117-8
255440,"החזקת רכב",6214-118-5
129546,"שעות נוספות",6214-119-2
296010,"כלי רכב בליסינג תפעולי",6214-424-3
27013,"תקשורת סלולרית",6214-448-7
418698,"משכורת ושכר משולבים",9440-111-0
528405,תוספות,9440-112-7
76028,"החזר הוצאות",9440-113-4
236912,"הפרשות סוציאליות",9440-116-5
111745,"מסים והיטלים על השכר",9440-117-2
214719,"החזקת רכב",9440-118-9
100982,"שעות נוספות",9440-119-6
3000,"בגדי עבודה",9440-215-9
6500,"החזקת מבנים, ציוד ומכשירים",9440-420-9
346744,"ביטוח - העמסה",9440-440-5
2500,"מכשירי כתיבה והדפסות",9440-460-1
,נסיעות,9440-510-7
10287,"טלפונים - העמסה",9440-541-3
5000,כיבודים,9440-610-8
68442,"מוסך ותחבורה - העמסה",9440-710-9
123000,"הובלה וסבלות",9440-712-3
5000,"אחזקת ריהוט וציוד מחסן מרכזי",9440-931-4
301424,"משכורת ושכר משולבים",9441-111-9
325027,תוספות,9441-112-6
52032,"החזר הוצאות",9441-113-3
183715,"הפרשות סוציאליות",9441-116-4
77419,"מסים והיטלים על השכר",9441-117-1
143244,"החזקת רכב",9441-118-8
101369,"שעות נוספות",9441-119-5
137245,"קריית העירייה - העמסה",9441-400-2
59202,"כלי רכב בליסינג תפעולי",9441-424-6
14012,"תקשורת סלולרית",9441-448-0
3000,"מכשירי כתיבה וציוד",9441-460-0
10000,"הדפסות ונייר רציף",9441-462-4
5500,"עיתונות וספרות",9441-480-6
40000,"תשלום למנויים",9441-570-4
22374,דלק,9441-735-9
185175,"מחשום עירוני - העמסה",9441-755-5
5000,"כדיקות וייעוץ",9441-791-9
300000,"עמלת מחסן",9441-950-2
