סעיף תקציב,שם כרטיס,הצעה 2013
1313200922,"בתי""ס - מרפאת שיניים מ.חינוך",60000
1313200923,טיולים - השתתפות ממשלה,615000
1313201920,"בתי""ס יסוד. השתת' מזכירים",594927
1313201921,"בתי""ס הכנסות מיוחדות  מ.החינוך",473626
1313202920,אגרת שכפול יסודי,40000
1313203920,סל תלמיד עולה,43153
1313204430,PDD תלמידי חוץ קדימה,325125
1313204920,"חומרים הורים-בתי""ס",74112
1313204921,"PDD הזנת יוח""א",60569
1313204922,PDD הוצ' נלוות,36250
1313204923,PDD העשרה,16901
1313204925,PDD שכר,689428
1313300490,"פנימיות יום הכנסות מיל""ת",5000
1313300920,פנימיות יום השתת' מ.חינוך,8000
1313302490,תבור וחרמון-השתת' הורים,26000
1313302920,מועדוניות משותפות מ. חינוך,211114
1313302930,מועדוניות משותפות מ. רווחה,122000
1313400920,השתת.הממשלה יוזמות,30000
1313600920,חינוך מיוחד השתת' ממשלה,1183785
1313600921,חינוך מיוחד-חוק שילוב סיי,686747
1314000700,"חט""ב/אורט השתתפות",33895337
1314006410,אורט מרכז למידה-הכנסות הורים,11000
1316800440,מלגות- השתת' מוסדות,40000
1317100490,שמירה במוסדות חנוך,470000
1317100920,"קב""ט שמירה ובטחון מוסדות ח",80866
1317200920,שגרירים מפתח הלב,25000
1317300490,"שפ""י - הכנסות עצמיות הורים",45000
1317300491,"שפ""י - הכנסות מאבחונים",5000
1317300920,פסיכולוגי השת.הממשלה,1024555
1317300921,"שפ""י הדרכות ואבחונים",53728
1317500920,רווחה חינוכית השתת' ממשלה,310000
1317700920,"קב""סים - השתת' מ.החינוך",284533
1317800920,הסעות ילדים השתת' מ.חינוך,1529370
1317900920,"שיפוצים בתי""ס - השתת' מ.חינוך",173511
1322000420,ריקודי עם אפק,8000
1322000490,בית חן פעולות תרבות,150000
1322000640,בית חן הכנסות שכירות,110000
1322003420,צעירי ביאליק הכנסות הורים,50000
1322003990,צעירי ביאליק השתת' ממשלה,25000
1322005420,סל תרבות,290000
1322007420,פסטיבל ביאליק,10000
1322016420,שבת אומנים,3500
1322017420,מעמד האישה - הכנסות,11000
1322018420,גימלאים,4000
1323000420,ספריה עירונית הכנסות,15000
1324003420,"חוגים בה""ס ביאליק",5000
1324004710,"צהרונים - השתת' מתנ""ס ביאליק",783989
1324005420,מועדון ברנר הכנסות,20000
1324009420,מועדון גאולים הכנסות,15000
1326406420,אשכול פיס הכנסות,3000
1326406920,אשכול פיס השתת' מ.חינוך,300000
1328200490,קידום נוער הכנסות,3000
1328200920,קידום נוער -  משרד החינוך,160000
1329200650,מגרשי ספורט-דמי שימוש,309936
1329300420,"אולמות ספורט- הכנסות משכ""ד",16000
1329300421,אולמות ספורט - פינג פונג,20000
1329300650,אולמות ספורט-דמי שימוש,314333
1329300960,ספורט השתת' משרד המדע,60000
1329302420,צעדה ומירוץ - הכנסות,30000
1329303920,יוזמות ספורט- מצ'ינג,40000
1341000930,שכר עובדי לשכת הרווחה,3100000
1342200930,צרכים מיוחדים השת.הממשלה,250875
1342400490,מרכזי טיפול במשפחה-השתת',3000
1342400930,מרכזי טיפול משפחה,90000
1342401490,תחנה לטיפול במשפחה - השתת' הורים,20000
1342401930,תחנה לטיפול במשפחה,25500
1343500490,סיגליות וקדימה השתת' הורים,35000
1343500930,סיגליות וקדימה מ.רווחה,300000
1343501930,פעולות קהילתיות לילד מ.רווחה,237000
1343800490,החזקת ילדים בפנימיות,100000
1343800930,החזקת ילדים בפנימיות,2037500
1343801930,תוכנית עם הפנים לקהילה,138000
1343901930,ילדים במעונות יום,1222500
1344300690,אחזקת זקנים במעונות השתת' תושבים,290000
1344300930,אחזקת זקנים במעונות,806500
1344400490,שרותים קהילתיים לזקן,27000
1344400930,שרותים קהילתיים לזקן,159000
1344401930,חסידי אומות העולם-הש,23000
1344402930,מועדונים לזקנים,100000
1344500930,מסגרות יומיות לזקן,188000
1344600490,קשישים - עזרה ביתית,8000
1345100690,מפגרים - השתתפות הורים,7000
1345100930,מפגרים- השתת' מ' רווחה,5250000
1345101930,אוטיסטים,787500
1345200490,מפגרים מסגרות יום-השתת' הורים,25000
1345200930,מפגרים במעונות,543000
1345300490,מפגרים הסעות - השתת' הורים,45000
1345300930,מפגרים - שירותים תומכים,114750
1346300930,עוורים - השתת' מ' רווחה,120000
1346400930,עוורים- מפעלי שיקום,166000
1346500490,אחזקת נכים בפנימיות-השת' העירייה,4000
1346500930,נכים בפנימיות,2700000
1346600930,מוגבלים,187500
1346701930,מעון שחר נכים,130000
1346702930,תוכניות שיקום לנכים,326250
1346800930,מרכזי יום שיקומיים,203000
1346802930,נכים שיקום,30000
1347100930,נערות במצוקה,94500
1347101930,טיפול בנוער ובצעירים,40000
1347300490,מלחמה בסמים,70000
1347300930,מלחמה בסמים - משרד הרווחה,60000
1347400930,ילדים במפתנים ממשלתי,99750
1348300920,מתנדבים - משרד החינוך,24000
1348300930,מתנדבים - משרד הרווחה,5000
1349000930,טפול עולים,262000
1360000690,קליטה הכנסות עצמיות,40000
1360000700,קהילה אתיופית - תרומות,42103
1360000950,השת. מ.הקליטה עולים פרוייקטים,150000
1360000951,מצ'ינג קהילה אתיופית -  מ.קליטה,37500
1370000490,איכות הסביבה-הכנסות עצמיות,30000
1370000900,איכות הסביבה-השתת' המשרד,50000
1413100210,מים כללי צריכה שוטפת,2300000
1413200210,מים פיגורים,1200000
1413300800,אגרות מים בעלים,777027
1433000640,הכנסות משכירות,650000
1472000210,אגרות ביוב שוטף,1000000
1472000800,אגרות ביוב בעלים,1597331
1472200210,ביוב פגורים,600000
1474000800,השתתפות תאגיד מים וביוב,1492734
1474000810,תאגיד מים-הלוואת בעלים,706593
,,
,"סה""כ הכנסות",243675365
,,
1611100110,ראש הרשות וסגניו - שכר,1281182
1611100511,ראש הרשות ומועצה כיבודים,30000
1611100531,ראש הרשות-רכב דלק,21500
1611100532,ראש הרשות-רכב תיקונים,4000
1611100534,ראש הרשות-רכב ליסינג,48000
1611100541,ראש הרשות וסגניו-סלולרי,28200
1611100810,ראש הרשות וסגניו- מתנות והשתתפויות,45000
1612000110,מבקר הרשות - שכר,575421
1612000521,מבקר-השתלמויות,2500
1612000531,מבקר-רכב דלק,18000
1612000532,מבקר-רכב תיקונים,2000
1612000534,מבקר-רכב ליסינג,45000
1612000541,מבקר-טלפון סלולרי,5300
1612000780,מבקר- הוצ' שונות,18000
1613000110,מזכירות - שכר,1563045
1613000130,מזכירות שכר - שעות נוספות,108240
1613000420,מזכירות- אחזקה ותיקונים,20000
1613000430,מזכירות-חשמל,95080
1613000432,מזכירות- מים וביוב,41754
1613000440,מזכירות ביטוח,30000
1613000470,מזכירות-ציוד משרדי,25000
1613000511,מזכירות כיבודים,45000
1613000512,מזכירות הוצ' נסיעות,5000
1613000520,מזכירות ספרות מקצועית,30000
1613000531,מזכירות- רכבים דלק,39000
1613000532,מזכירות- רכב תיקונים,45000
1613000533,מזכירות-רכב ביטוח,18000
1613000534,מזכירות-רכבים ליסינג,36000
1613000540,מזכירות-טלפון בזק,130000
1613000541,מזכירות - טלפון סלולרי,111600
1613000560,מזכירות-דואר,450000
1613000581,"תביעות צד ג' - שכ""ט",400000
1613000582,תביעות צד ג' - פיצויים,400000
1613000750,מזכירות עב' קבלניות,340000
1613000760,מזכירות שמירה,75000
1613000980,מזכירות הוצ' שונות,50000
1614000550,הוצאות פרסום ודוברות,350000
1615000110,מחלקת כח אדם - שכר,402156
1615000130,שכר שעות נוספות,31144
1615000521,"כ""א - דמי חבר והשתלמויות",120000
1615000523,"כ""א -  דמי חבר עמיתים",300000
1615000541,"כ""א-טלפון סלולרי",6700
1615000740,"כ""א - ביגוד לעובדים",40000
1615000780,"כ""א- פיתוח ארגוני",80000
1617000110,יועץ משפטי - שכר,639624
1617000130,שכר שעות נוספות,11224
1617000531,יועץ משפטי-רכב-דלק,15000
1617000532,יועץ משפטי-רכב אחזקה,4000
1617000534,יועץ משפטי רכב ליסינג,46000
1617000541,יועץ משפטי-טלפון סלולרי,10000
1617000750,יועץ משפטי- עב' קבלניות,50000
1617000780,יועץ משפטי-שונות,20000
1619000980,בחירות ברשויות המקומיות,250000
1621100110,מינהל הגזברות - שכר,489876
1621100420,גזברות-אחזקה ותיקונים,15000
1621100430,גזברות - הוצ' חשמל,30430
1621100470,גזברות ציוד משרדי ושונות,130000
1621100511,גזברות-כיבודים,3000
1621100531,מינהל גזברות - רכב דלק,27500
1621100532,גזברות - רכב אחזקה,12000
1621100533,מינהל כספי-7504656-רשוי וביטוח,10000
1621100534,גזברות- רכב ליסינג,38000
1621100540,גזברות-טלפון בזק,5000
1621100541,גזברות-טלפון סלולרי,10000
1621100570,גזברות-מיחשוב,1350000
1621100580,גזברות-הוצ' דפוס,70000
1621100581,"עזורה שכ""ט ואגרות בימ""ש",70000
1621100582,"אמ.בי שכ""ט מינהלי",150000
1621100583,אגרות בית משפט,70000
1621100584,אגרות אכיפה,700000
1621100587,"אמ.בי שכ""ט משפטי",80000
1621200110,רכש ואינוונטר - שכר,232098
1621200130,שכר שעות נוספות,3729
1621200750,תקציבים - עב' קבלניות,320000
1621300110,"הנה""ח ושכר - משכורות",988476
1621300130,שכר שעות נוספות,33366
1621300750,"הנה""ח - עב' קבלניות",500000
1623000110,גביה - שכר,1700933
1623000130,שכר שעות נוספות,30242
1623000540,גביה - טלאול טלאופיס,145000
1623000541,גביה טלפון סלולרי,20000
1623000750,"גביה- כ""א עב' קבלניות",100000
1630000970,"מקדמות מ""ה עודפות",120000
1631000610,עמלות והוצאות בנקאיו,970000
1631000611,עמלות החזרי שיקים מיסים,32000
1632000620,הוצאות מימון ריבית משיכות,10000
1649100691,"פרעון מלוות ע""ח קרן",9563227
1649100692,"פרעון מלוות ע""ח ריבי",4114464
1649100693,"פרעון מלוות ע""ח הצמד",1714465
1711000110,אגף התברואה - שכר,466511
1711000130,שכר שעות נוספות,11346
1711000531,מינהל התברואה - רכבים דלק,50500
1711000532,מינהל התברואה - רכבים תיקונים,5000
1711000534,מינהל התברואה- רכבים ליסינג,64000
1711000541,מינהל התברואה - סלולרי,10500
1712200110,נקיון - שכר,2356012
1712200130,שכר שעות נוספות,416636
1712300541,נקיון-טלפון סלולרי,8500
1712300720,נקיון חומרים (שקיות),10000
1712300740,נקיון ציוד וכילים,10000
1712300750,נקיון עבודות קבלניות,75000
1712300751,נקיון - איזור תעשיה,660000
1712300752,נקיון - אורוז,5784000
1712300753,נקיון -קומפוסט/אמיר,3250000
1712300754,נקיון - היטלי הטמנה,732000
1712300755,"נקיון -כ""א עב' קבלניות",2700000
1712300780,נקיון הוצ' שונות,5000
1712301531,נקיון רכבים דלק,258500
1712301532,נקיון רכבים תקונים,200000
1712301533,נקיון רכבים בטוח,50000
1712301740,נקיון- עגלות,25000
1713100110,רישוי עסקים - שכר,543996
1713100130,שכר שעות נוספות,30541
1713100531,רישוי עסקים -  רכב דלק,3500
1713100532,רישוי עסקים - רכב תיקונים,5000
1713100533,רישוי עסקים-רכב ביטוח,9500
1713100534,רישוי עסקים - רכב ליסינג,33000
1713100541,רישוי עסקים  סלולרי,5800
1713100780,רישוי עסקים שונות,10000
1714200110,שירות וטרינרי - שכר,1076862
1714200130,שכר שעות נוספות,82180
1714200430,ש.וטרינרי-חשמל,33000
1714200531,וטרינרי רכב דלק,46500
1714200532,וטרינרי רכב תיקונים,20000
1714200533,וטרינרי רכב ביטוח,14500
1714200534,שרות וטרינרי רכב בליסינג,29000
1714200540,ש.וטרינרי-טלפון בזק,7000
1714200541,ש.וטרינרי-טלפון סלול,9300
1714200780,וטרינרי הוצאות שונות,200000
1714200830,השתתפות באגוד ערים ו,422600
1714201310,שרות וטרינרי - פנסיה,629460
1714210780,עיקור וסירוס חתולים,40000
1715200110,הדברה -שכר,281014
1715200130,שכר שעות נוספות,41876
1715200531,הדברה -  רכבים דלק,19000
1715200532,הדברה  - רכבים תיקונים,10000
1715200533,הדברה- רכבים ביטוחים,8000
1715200541,הדברה סלולרי,1400
1715200720,הדברה - חומרים,65000
1715200750,הדברה- עב' קבלניות,150000
1722000110,"משא""ז - שכר",166156
1722000130,שכר שעות נוספות,1125
1722000430,"משא""ז חשמל",14950
1722000432,"משא""ז - מים",2450
1722000531,"משא""ז-רכב דלק",12500
1722000532,"משא""ז-רכב תקונים",10000
1722000533,"משא""ז-רכב בטוח",10000
1722000540,"משא""ז טלפון בזק",1200
1722000780,"משא""ז - הוצ' שונות",10000
1722000781,"משא""ז - פ' רווחה למתנדבים",60000
1723000110,"הג""א - שכר",107991
1723000130,שכר  שעות נוספות,19686
1723000430,"הג""א-חשמל",32230
1723000432,"הג""א-מים וביוב",12136
1723000531,"הג""א -רכבים דלק",7000
1723000532,"הג""א רכבים תיקונים",20000
1723000533,"הג""א רכבים ביטוח",13000
1723000540,"הג""א-טלפון בזק",3000
1723000541,"הג""א-טלפון סלולרי",5800
1723000720,"הג""א חומרים ותיקונים",10000
1723000780,"הג""א הוצ' שונות",20000
1723000800,"הג""א העברות לרשויות",75000
1723000830,"הג""א השתתפות",175000
1724000110,חזות עיר - שכר,344302
1724000130,שכר שעות נוספות,10445
1724000541,חזות עיר - טלפון סלולרי,2400
1724000830,כיבוי אש-השתת' אגוד ערים,2100000
1725000110,בטיחות בעבודה - שכר,167336
1725000541,בטיחות סלולרי,1000
1726100110,"מל""ח פס""ח - שכר",63385
1726100540,"מל""ח - הוצ' בזק",800
1726100980,"מל""ח הוצאות פעולות",15000
1731000110,מהנדס עיר - שכר,1805688
1731000130,שכר שעות נוספות,68984
1731000421,מהנדס-עב' קבלניות,15000
1731000531,מהנדס-רכב דלק,35000
1731000532,מהנדס- רכב תיקונים,5000
1731000533,מהנדס-רכב ביטוח,2800
1731000534,מהנדס - רכב ליסינג,34000
1731000540,מהנדס העיר-טלפון בזק,5000
1731000541,מהנדס העיר-טלפון סלו,20500
1731000780,מהנדס-הוצ' שונות,15000
1732300750,אחזקת נכסי העירייה,270000
1741000110,אחזקה - שכר,1421025
1741000130,שכר שעות נוספות,164335
1741000432,אחזקה - מים וביוב,49627
1741000531,אחזקה-רכבים-דלק,100000
1741000532,אחזקה-רכבים-תיקונים,50000
1741000533,אחזקה-רכבים-ביטוח,45000
1741000534,אחזקה רכבים ליסינג,33000
1741000540,אחזקה - טלפון בזק,9500
1741000541,אחזקה-טלפון סלולרי,10500
1741000760,אחזקה-שמירה מחסן,3000
1741000780,אחזקה-הוצ' שונות,70000
1742000780,כבישים וסימון כבישים,20000
1743000430,תאורת רחובות חשמל,2174000
1743000750,תאורת רחובות עב.קבלנ,960000
1744000541,בטיחות בדרכים סלולרי,800
1744000780,בטיחות בדרכים -שונות,4000
1744000800,בטיחות בדרכים -מצ'ינג מ.תחבורה,143000
1744400780,שלטים ותמרורים,30000
1745000750,ניקוז ותיעול-עב' קבלניות,50000
1745000810,רשות ניקוז גליל מערבי,290000
1745000811,רשות ניקוז קישון,154500
1746000110,גינון - שכר,529977
1746000130,שכר שעות נוספות,46263
1746000432,גינון-מים וביוב,2620930
1746000541,גינון- טלפון סלולרי,4600
1746000720,גינון-חומרים,25000
1746000740,גינון ציוד וכילים,25000
1746000750,גינון-עבודות קבלניות,60000
1746000751,גינון עב' קבלנ'  זוהר כץ,2800000
1746000780,גינון הוצ' שונות,5000
1746001531,גינון רכבים דלק,38000
1746001532,גינון רכבים תקונים,50000
1746001533,גינון רכבים בטוח,33000
1746001534,גינון ליסינג,29000
1747000110,בריכת יגור - שכר,80111
1747000130,שכר שעות נוספות,92449
1747000430,בריכת יגור-חשמל,30500
1747000432,בריכת יגור - מים,184931
1747000540,בריכת יגור בזק,1600
1747000750,"בריכת יגור- כ""א עב' קבלניות",80000
1747000760,בריכת יגור  - שמירה,95000
1747000780,בריכת יגור-הוצ' שונות,130000
1747001110,מזנון יגור שכר,18282
1747001130,שכר שעות נוספות,1018
1747001780,מזנון בריכת יגור - פעולות,100000
1747300110,בריכת אפק  - שכר,2161778
1747300130,שכר שעות נוספות,274645
1747300420,בריכת אפק אחזקה ותקונים,100000
1747300430,בריכת אפק-חשמל,640000
1747300432,בריכת אפק-מים וביוב,517072
1747300531,בריכת אפק רכבים- דלק,31500
1747300532,בריכת אפק רכבים - תיקונים,10000
1747300533,בריכת אפק רכבים - רישוי וביטוח,23000
1747300534,בריכת אפק - רכבים בליסינג,29000
1747300540,בריכת אפק-טלפון בזק,9500
1747300541,בריכת אפק-טלפון סלול,12000
1747300550,בריכת אפק פרסום,90000
1747300740,בריכת  אפק ציוד,50000
1747300750,"בריכת אפק -כ""א עב' קבלניות",300000
1747300760,בריכת אפק-שמירה,240000
1747300780,בריכת אפק תפעול,770000
1747301110,מזנון בריכת אפק - שכר,148610
1747301130,שכר שעות נוספות,21753
1747301780,מזנון בריכת אפק - פעולות,250000
1747302780,ב.אפק חוגים הוצ' שונות,90000
1748000110,חברה קדישא -שכר,958231
1748000130,שכר שעות נוספות,158950
1748000432,חברה קדישא-מים וביוב,55826
1748000531,חברה קדישא -רכבים דלק,19000
1748000532,חברה קדישא-רכבים תיקונים,25000
1748000533,חברה קדישא- רכבים ביטו,22000
1748000540,חברה קדישא-טלפון בזק,2700
1748000541,חברה קדישא-טלפון סלול,5400
1748000750,חברה קדישא - עב' קבלניו,65000
1748000780,חברה קדישא- הוצ' שונות,130000
1748001310,חברה קדישא- שכר פנסיה,117643
1748001750,חברה קדישא- הסעות,150000
1751000130,שכר שעות נוספות,1000
1761000110,מוקד עירוני- שכר,647392
1761000130,מוקד עירוני-שעות נוספות,73480
1761000430,מוקד עירוני -הוצ'  חשמל,11000
1761000541,מוקד עירוני-טלפון  סלולרי,8000
1761000780,מוקד עירוני שונות,30000
1764000540,תרבות הדיור-טלפון בז,2000
1764000780,תרבות הדיור הוצ' שונות,3000
1765000810,מרכז שלטון מקומי - דמי חבר,125000
1766000810,רווחת העובד- השתת' עירייה,1050000
1767000440,ביטוח נכסי עירייה כללי,700000
1769000110,הדבקת מודעות-שכר,5087
1769000130,שכר שעות נוספות,14792
1769000780,מודעות-הדבקה,5000
1772000110,שכר -חוק עזר שמירה,555162
1772000130,שכר שעות נוספות,65486
1772000531,שמירה - רכבים דלק,76000
1772000534,רכבים - ליסינג,77000
1772000760,שמירה  - איזור תעשיה,650000
1772000780,שמירה ברחבי העיר - חוק עזר,20000
1772100110,מינהלת איזור תעשיה-שכר,363883
1772100130,מינהלת א.תעשיה - שעות נוספות,6178
1772100430,מינהלת א.תעשיה - הוצ' חשמל,3700
1772100540,מינהלת א.תעשיה - טלפון בזק,6000
1772100541,מינהלת א.תעשייה - סלולרי,3000
1772100750,מינהלת איזור תעשייה - פעולות,100000
1781000110,פיקוח - שכר,1411664
1781000130,שכר שעות נוספות,214806
1781000430,פיקוח - הוצ' חשמל,11000
1781000531,פיקוח רכבים דלק,95000
1781000532,פיקוח רכבים תיקונים,70000
1781000533,פיקוח רכבים ביטוח,73000
1781000534,פיקוח רכבים ליסינג,38000
1781000541,פיקוח-טלפון סלולרי,74000
1781000570,פיקוח חניה- הוצ' דפוס/ גביה/עמלות,500000
1781000740,פיקוח ביגוד,13000
1781000760,שוק עירוני,120000
1781000780,פיקוח-הוצאות שונות,35000
1782000110,בית משפט מקומי - שכר,383904
1782000130,שכר שעות נוספות,1104
1782000541,בית משפט - הוצ' סלולרי,1500
1782001310,בית משפט שכר פנסיה,41681
1811000110,מינהל החינוך - שכר,2110125
1811000130,שכר שעות נוספות,91230
1811000420,חינוך -בטיחות במוסדות,60000
1811000470,חינוך ציוד משרדי ושונות,20000
1811000511,חינוך כיבודים,2500
1811000521,חינוך השתלמויות ודמי חבר,3000
1811000531,חינוך - רכבים דלק,19500
1811000532,חינוך - רכבים תיקונים,15000
1811000533,חינוך רכבים - ביטוחים,6000
1811000534,מינהל החינוך - רכבים בליסינג,29000
1811000540,חינוך-טלפון בזק,7000
1811000541,חינוך-טלפון סלולרי,22500
1811000583,"חינוך אמ.בי שכ""ט ואגרות",20000
1812200110,גני חובה - שכר,2361326
1812200130,שכר שעות נוספות,7917
1812200420,גני חובה תיקונים,30000
1812200430,גני חובה חשמל,268000
1812200432,גני חובה-מים וביוב,236810
1812200780,גני חובה שונות,150000
1812200781,"חומרים הורים גנ""י",16431
1812300110,גני טרום חובה -שכר,2266311
1812300130,שכר שעות נוספות,5120
1812300540,גני טרום חובה טלפון,45000
1812300780,גני טרום חובה שונות,130000
1812300781,"חינוך מיוחד גנ""י",22282
1812300810,גני ט.חובה  - השת.גננות עובדות מדינה,5723600
1812301110,גן צלילים -שכר,127205
1812301130,שכר שעות נוספות,1352
1812302110,"אחזקת גנ""י- שכר",162398
1812302531,"אחזקת גנ""י רכב דלק",50500
1812302532,"אחזקת גנ""י רכב תיקונים",30000
1812302533,"אחזקת גנ""י רכב ביטוחים",27500
1812302534,"אחזקת גנ""י רכב ליסינג",29000
1812302750,"אחזקת גנ""י - חומרים",20000
1812303800,"תמיכה גנ""י-חינוך מוכר שאינו רישמי",110000
1812304110,גני ילדים PDD שכר,124064
1812304780,גני ילדים PDD פעולות,52000
1812402110,גיל הרך פרפר - שכר,659169
1812402130,שכר שעות נוספות,7447
1812402430,גיל הרך פרפר-חשמל,32300
1812402540,גיל הרך פרפר-טלפון ב,4300
1812402541,גיל הרך פרפר סלולרי,1200
1812800110,"גנ""י קייטנות - שכר",149244
1812800130,"שכר ש""נ גנ""י קייטנות",753
1813200110,בתי ספר יסודיים- שכר,2799519
1813200130,שכר שעות נוספות,15990
1813200420,"בתי""ס אחזקה ותיקונים",100000
1813200440,"בתי""ס יסודיים ביטוח",120836
1813200450,"בתי""ס ריהוט",60000
1813200740,"בתי""ס יסודיים ספרים",30000
1813200741,השאלת ספרי לימוד,100000
1813200750,"בתי""ס יסודיים בי""ס מנגן",100000
1813200752,חינוך שיקום תעסוקתי,90000
1813200753,"טיפוח יחס חיובי לבע""ח",21283
1813200760,"בתי""ס יסודים שמירה",600000
1813200780,"בתי""ס-הוצ' שונות",130000
1813200781,טיולים - השתתפות ממשלה,615000
1813200810,"בתי""ס א.תלמידי חוץ",1100000
1813200811,"מחשב לכל ילד בתי""ס",30000
1813200820,"בתי""ס - מרכיבי בטחון מצ'ינג",197920
1813200830,פרוייקט אתגרים,20000
1813200840,"בתי""ס - מרפאת שיניים",60000
1813200850,"בי""ס הבונים מיזם קהילתי",50000
1813200900,ליקויי ראיה השתת' יוזמות,2000
1813201110,"בי""ס מנגן - שכר",71142
1813201434,"בי""ס ביאליק-נקיון",271272
1813201870,"בי""ס ביאליק - ניהול עצמי",185720
1813201871,"בי""ס ביאליק- ניהול עצמי חשמל",70801
1813201872,"בי""ס ביאליק-אחזקת מזגנים",4180
1813201873,"בי""ס ביאליק-הוצ' בצ""מ",6000
1813202434,"בי""ס הבונים-נקיון",347616
1813202870,"בי""ס הבונים- ניהול עצמי",263233
1813202871,"בי""ס הבונים-ניהול עצמי חשמל",91883
1813202872,"בי""ס הבונים-אחזקת מזגנים",5870
1813202873,"בי""ס הבונים-הוצ' בצ""מ",6000
1813203434,"בי""ס נעורים-נקיון",291660
1813203780,סל תלמיד עולה,43153
1813203870,"בי""ס נעורים - ניהול עצמי",149027
1813203871,"בי""ס נעורים-ניהול עצמי חשמל",49544
1813203872,"בי""ס נעורים-אחזקת מזגנים",3380
1813203873,"בי""ס נעורים-הוצ' בצ""מ",6000
1813204110,PDD קדימה - שכר,1016555
1813204130,שכר שעות נוספות,6138
1813204434,"בי""ס קדימה-נקיון",399333
1813204740,PDD  קדימה-מזון,60569
1813204741,אגרות תלמידי חוץ העב,59789
1813204743,PDD קדימה-אחזקה,53151
1813204870,"בי""ס קדימה-ניהול עצמי",438431
1813204872,"בי""ס קדימה- אחזקת מזגנים",6500
1813204873,"בי""ס קדימה - הוצ' בצ""מ",6000
1813206434,"בי""ס פסגות (צו""ש) -נקיון",242568
1813206870,"בי""ס פסגות(צו""ש) - ניהול עצמי",298527
1813206872,"בי""ס פסגות - אחזקת מזגנים",4700
1813206873,"בי""ס פסגות- הוצ' בצ""מ",6000
1813207750,"שפוצים בבתי""ס וגנ""י",103511
1813210110,שכר מלוות בהסעות,1227393
1813300780,"פנימיות יום  מיל""ת הוצאות",101000
1813302110,מועדוניות תבור וחרמון - שכר,486491
1813302130,שכר שעות נוספות,3840
1813302430,תבור וחרמון-חשמל,7500
1813302540,תבור וחרמון-טלפון בז,2000
1813302780,תבור וחרמון- הוצ' שונות,120000
1813400800,יוזמות חינוכיות-השתת,60000
1813600780,"חינוך משלים - מש""ל",337163
1813700110,משכורות רווחה חינוכית,250000
1813700800,רווחה חינוכית השתת,60000
1814000810,"אורט-תיכון,חט""ב השתת'",35195337
1814000811,אורט - נסיעה לפולין,60000
1814002810,"חט""ב פ. אומ""ץ",96000
1814005812,"חט""ב - תוכנית נטע",45000
1814006780,אורט מרכז למידה - פעולות,11000
1816800850,מלגות לסטודנטים,200000
