תקציב 2016,,
,,
מס' כרטיס,שם כרטיס,תקציב
1329300920,ממשלה לפעילות ספו,"160,000.00"
1341000490,משרותי רווחה,"170,000.00"
1341000930,ממש למנהל רווחה,"8,530,000.00"
1341000932,הוצאות מנהליות,
1342000490,טיפול במשפחה השתת,"330,000.00"
1342200930,השתתפות בשכר עובד,"516,000.00"
1342200933,מרכז עצמה,"400,000.00"
1342400930,השתתפות בשכר עובד,"675,000.00"
1342400931,טיפול באלכוהוליסט,"27,750.00"
1342400932,משפחות במצוקה בקה,"175,000.00"
1342400934,טיפול בפרט ובמשפחה,"3,750.00"
1342400935,טיפול בדרי רחוב,"671,250.00"
1342400936,תחנה לטיפול משפחתי,"60,000.00"
1342400939,טיפול במשפחות סיוע מיוחד למשפחות עם ילדים,"180,000.00"
1342410938,מודל קליטה ליוצאי צרפת ,"231,188.00"
1343500930,טיפול בהורים וילד,"153,653.00"
1343500931,יצירת קשר הורים י,"31,500.00"
1343500932,טיפול בילד בקהילה,"931,500.00"
1343500934,טיפול ילדים בסיכון והפעלת חוק סדר דין,"156,750.00"
1343500936,שכר טיפול בילד בקהילה,"195,000.00"
1343510930,השת'בשכר עוב' מרכז הורים וילדים,"375,000.00"
1343600935,שכר יצירת קשר,"67,952.00"
1343800420,אחזקת ילדים בפנימ,"500,000.00"
1343800930,ממש לטיפול בילד,"9,248,250.00"
1343800931,טיפול במשפחות אומ,"403,650.00"
1343800933,תכנית לאומית ילד,"247,500.00"
1343800934,תכנית לאומית לילד ונוער,"265,500.00"
1343900930,ילדים במעונות יום,"2,535,000.00"
1343900931,תוכנית לאומית נוע,"50,000.00"
1343900934,תוכנית בשבילי,"52,500.00"
1343900935,טיפול בפגיעות מיניות,"153,750.00"
1344000420,מתושב לבתי אבות,"640,000.00"
1344300930,אחזקת זקנים במעונ,"2,640,000.00"
1344300931,שכונה תומכת,"500,000.00"
1344300932,מועדונים לזקנים,"600,000.00"
1344300933,טיפול בזקן בקה,"171,000.00"
1344300935,מסגרת יומית לזקן,"825,000.00"
1344300936,נופש לזקן,"11,250.00"
1344400932,טיפול בניצולי שואה,"100,000.00"
1345100930,סידור מפגרים במוס,"13,241,730.00"
1345100931,מפגרים במוסד ממשל,"3,195,000.00"
1345100932,מסגרות יום אר,"60,000.00"
1345100933,טיפול בהורים וילד,"105,000.00"
1345100934,מפגרים במעון טיפו,"777,546.00"
1345100935,שרותים תומכים למפ,"150,000.00"
1345100936,נופשונים למפגר,"22,500.00"
1345100937,השת' בשכר עובדי מ,"594,750.00"
1345100938,מעונות יום שיקומי,"29,925.00"
1345100939,משפחה אומנה למפגר,"42,000.00"
1345200930,אחזקת אוטיסטים,"1,907,000.00"
1345200931,מרכז יום שיקומי למפגרים,
1345200932,מעון יום שיקומי לאוטיסט,"353,520.00"
1345200933,הוצ אחרות ותשלו ל,"712,500.00"
1345200934,מרכז יום תעסוקה לבוגרים אוטיסטים,"105,000.00"
1345200935,נופשונים וקיטנות לאוטיסטים,"5,000.00"
1345200936,מועדון לילדים ובוגרים אוטיסטים ,"30,000.00"
1345200937,סביבה תומכת למפגרים ,"191,412.00"
1345400610,הכנ ממעש מכירות,"480,000.00"
1345400930,"חניכים במע,ש חוץ","214,407.00"
1345400931,השתתפות בשכר עובד,"1,700,000.00"
1345400932,הסעות למפגר,"135,000.00"
1345400933,"מועדונים חברתיים למפגר אקי""ם","72,000.00"
1346100930,ילדים עוורים בקהילה,"30,000.00"
1346300932,שיקום העיור בקהיל,"18,750.00"
1346300934,הדרכת עיור ובני ב,"56,250.00"
1346400935,מפעלי שיקום לעיור,"45,000.00"
1346400936,מפעלי תעסוקה ומוע,"61,968.00"
1346400937,תעסוקה נתמכת לנכים,"156,000.00"
1346500930,נכים במשפחות אומנ,"262,500.00"
1346500931,תוכנית מעבר,"75,000.00"
1346500933,טיפול במשפחות אומ,"33,750.00"
1346500937,אחזקת נכים בפנימי,"2,934,000.00"
1346500938,מעונות ממשלתים שי,"105,300.00"
1346600930,מסגרת לילד המוגבל,"230,250.00"
1346600931,הסעות לגן שיקומי,"312,000.00"
1346600932,ליווי להסעות לגן,"116,250.00"
1346600933,נופשונים והבראה ל,"15,000.00"
1346600936,מעון יום שיקומי לנכים,"353,520.00"
1346600937,מרכז יום לנכים קשים ,"102,750.00"
1346600939,תעסוקה מוגנת למוג,"262,500.00"
1346700930,תוכנית לילד החריג,"69,750.00"
1346700931,הסעות נכים,"18,750.00"
1346700932,קהילה תומכת לנכים,"52,500.00"
1346700933,שכר קהילה תומכת ל,"189,000.00"
1346700934,מועדונם חברתים לבוגרים רגיש נגיש,"40,000.00"
1346800930,מרכזי אבחון ושיקו,"117,000.00"
1346800931,שיקום נכים בקהילה,"62,025.00"
1346800932,נכים קשים בקהילה,"59,400.00"
1346800933,בוגרים עיוורים בקהילה מועדונית,"36,653.00"
1346800934,שכר פעולות למועדון לעיוור,"28,500.00"
1346800935,מרכז יום לנכים קשים,"90,000.00"
1347100931,טיפול נערות במצוק,"113,347.00"
1347100932,טיפול בנוער ובצעי,"95,250.00"
1347100935,מקלטים לנשים מוכו,"202,500.00"
1347100936,טיפול בנוער וצעיר,"37,500.00"
1347300932,בדיקות למשתמשי סמ,"6,000.00"
1347300933,מתאם למלחמה בסמים,"265,000.00"
1347300934,טיפול במפגע סמים,"30,000.00"
1347300935,איתור נוער מכור,"9,000.00"
1347300936,התמכרויות חוץ ביתי,"15,000.00"
1347300938,שכר איתור נוער מכור,"366,000.00"
1347400934,"נוח""ם - נוער חרדי מנותק ","229,500.00"
1347400936,שכר תוכנית מעטפת,"203,000.00"
1347400937,"מפת""ן ממשלתי","15,000.00"
1347400938,מפתן מקומי אחזקה,"697,500.00"
1347400939,תוכנית מעטפת פעולות,"236,000.00"
1347410930,"שכר מפת""ן מיתר נירים ","382,500.00"
1347600930,נפגעות תקיפה מינית,"43,500.00"
1347600931,שכר נפגעות תקיפה מינית,"106,500.00"
1347800930,"תוכנית מט""ל","148,500.00"
1347900931, מרחב פתוח לנערות בסיכון ,"212,250.00"
1348200930,עבודות קהילתיות,"30,000.00"
1348300933,ממשלה לפעולות התנ,"30,000.00"
1348300934,לשכת יעוץ לאזרח,"3,750.00"
1348500930,ממש שקום שכונות,"8,250.00"
1348500934,שיקום שכונות פעולות,"30,000.00"
1349000931,מעונות יום עולים,"90,000.00"
1349000935,מפגרים בקהילת עול,"905,886.00"
1349000936,ילדים בפנימית עול,"466,695.00"
1349000937,טיפול בזקנים עולי,"112,500.00"
1349000939,ילדים במצוקת עולי,"66,375.00"
1349100930,משפחות עולים במצוקה,"37,500.00"
1349100931,אבחנה ושיקום נכים עולים,"15,000.00"
1360000440,הכנסות שונות לקלי,"24,000.00"
1360000950,מענק קליטת עלייה,"1,000,000.00"
1379000690,הכנסות מקנסות איכ,"400,000.00"
1413100210,אגרות מים,"400,000.00"
1413100440,חיובי מים,
1413100650,הכנסות ממכירת נכס,"4,000,000.00"
1433000640,הכנסות משכר דירה,"911,000.00"
1437000220,שוק עירוני דמי תפ,
1443200610,תגים וכרטיסי חניה,"4,000,000.00"
1472000210,אגרת ביוב,"200,000.00"
1511000660,הכנסות מריבית ודי,"600,000.00"
1513000690,ביטול יתרות ספק.ז,"100,000.00"
1591000540,הכנסות מבטוח לאומ,"500,000.00"
1591900540,הכנסות מחב' ביטוח,"50,000.00"
1591900590,קרן פיתוח,"15,833,913.00"
1591900690,הכנסות ממכרזים,"60,000.00"
1594000690,החזרות והכנסות שו,"800,000.00"
1599900910,מענקים שונים,
,"סה""כ תקבולים","569,019,433.00"
1611000110,שכר לשכת סגני ראש,"1,884,929.00"
1611000511,כיבוד וארוח,"12,000.00"
1611000530,אחזקת רכב וביטוח,"240,000.00"
1611000540,בולים טלפון ומברק,"10,000.00"
1611000780,הוצאות הנהלה ומוע,"25,000.00"
1611100110,שכר ראש הרשות וסג,"2,742,998.00"
1611100511,ארוח וכיבוד,"40,000.00"
1611100530,אחזקת מכוניות ובט,"65,000.00"
1611100540,בולים טלפון ומברק,"70,000.00"
1611100750,עבודות קבלניות,"332,000.00"
1611100751,קשרי חוץ,"40,000.00"
1611100753,מועצת נשים,"40,000.00"
1611100754,יוזמות ראש העיר לאזרחים ותיקים,"50,000.00"
1611100755,נציב הדורות הבאים,
1611100780,הוצאות אחרות,"40,000.00"
1611100781,הוצאות אבטחהראש העיר ומנכל,
1611100782,שיפור שירות לתושב,"150,000.00"
1612000110,שכר מבקר  העיריה,"727,768.00"
1612000410,שכר דירה ודמי חכי,"54,054.00"
1612000530,אחזקת רכב וביטוח,
1612000540,בולים טלפון ומברק,"3,000.00"
1612000750,שרותי חוץ,"90,000.00"
1612000780,הוצאות אחרות,"6,000.00"
1613000110,שכר מזכיר העיר ומ,"2,292,851.00"
1613000430,מאור ומים,
1613000530,אחזקת רכב וביטוח,"85,000.00"
1613000540,בולים טלפון ומברק,"20,000.00"
1613000750,עבודות קבלניות,"300,000.00"
1613000751,שיפור שירות לתושב,"200,000.00"
1613000752,שיפור חזות העיר,"200,000.00"
1613000780,הוצאות אחרות,"100,000.00"
1613000781,הוצאות אחרות מזכי,"60,000.00"
1614000110,שכר דוברות והסברה,"450,974.00"
1614000540,בולים טלפון ומברק,"1,000.00"
1614000550,הוצאות פרסום,"650,000.00"
1614000750,עבודות קבלניות,"280,800.00"
1614000751,ניו מדיה,"300,000.00"
1614000780,הוצאות שונות,"1,000.00"
1615000110,שכר כח אדם,"1,764,194.00"
1615000410,שכר דירה ודמי חכירה,"91,260.00"
1615000430,חשמל,"4,000.00"
1615000521,השתלמויות,"100,000.00"
1615000522,ספרות מקצועית,"28,000.00"
1615000530,אחזקת רכב וביטוח,"70,000.00"
1615000540,בולים טלפון ומברק,"15,000.00"
1615000550,הוצאות פרסום,
1615000750,עבודות קבלניות,"200,000.00"
1615000751,יוזמות ראש העיר לרווחת העובד,"150,000.00"
1615000780,הוצאות אחרות,"10,000.00"
1615100110,עובדים לא משובצים,"356,300.00"
1617000110,שכר יח משפטית,"2,683,448.00"
1617000522,ספרים ועתונים,"10,000.00"
1617000530,אחזקת רכב וביטוח,"60,000.00"
1617000540,בולים טלפוןומברקי,"5,000.00"
1617000581,הוצאות משפטיות,"500,000.00"
1617000750,ייעוץ משפטי,"750,000.00"
1617000780,הוצאות אחרות,"60,000.00"
1618000110,שכר מיחשוב,"661,334.00"
1618000530,אחזקת רכב וביטוח,"50,000.00"
1618000540,בולים טלפון ומברקים,"1,200.00"
1618000570,מיכון ועיבוד נתונים,"3,300,000.00"
1618000750,עבודות קבלניות,"280,000.00"
1618000780,הוצאות כלליות,"380,000.00"
1621000110,שכר גזברות,"2,339,364.00"
1621000530,אחזקת מכוניות ובט,"170,000.00"
1621000540,בולים טלפון ומברק,"12,000.00"
1621000550,הוצאות פרסום,
1621000750,עבודות קבלניות,"130,000.00"
1621000780,הוצאות אחרות,"50,000.00"
1621300110,"שכר הנה""ח ושכר","2,126,602.00"
1621300540,בולים טלפון ומברק,"3,000.00"
1621300780,הוצאות אחרות,"35,000.00"
1623000110,שכר מח' גבייה,"3,054,000.00"
1623000540,בולים טלפון ומברק,"360,000.00"
1623000750,ע.קבלניות+הוצל'פ,"2,800,000.00"
1623000780,הוצאות אחרות,"40,000.00"
1631000610,עמלות והוצאות בנק,"800,000.00"
1631100620,עמלות כרטיסי אשראי,"500,000.00"
1632000620,הוצאות מימון ריבי,"400,000.00"
1649100691,מלוות מוכרות-קרן,"19,244,000.00"
1649100692,מלוות מוכרות-ריבי,"5,898,000.00"
1649100693,מלוות מוכרות-הצמד,"2,500,000.00"
1649100694,החזר הלואות למדינה 2014,"848,707.00"
1710000110,שכר אגף תפעול,"1,938,272.00"
1710000410,שכר דירה ודמי חכירה,"334,363.00"
1710000530,אחזקת רכב וביטוח,"65,000.00"
1710000540,טלפון דואר ומכשירים ניידים,"3,000.00"
1710000550,הוצאות פרסום,
1710000750,יוזמות ראש העיר בתפעול,
1710000780,הוצאות שונות,"1,000,000.00"
1711000110,שכר מנהל תברואה,"2,361,760.00"
1711000530,אחזקת מכוניות ובט,"275,000.00"
1711000540,בולים טלפון ומברק,"80,000.00"
1712200750,עבודות קבלניות,
1712300110,שכר איסוף אשפה,
1712300750,עבודות קבלניות,"54,650,000.00"
1712300751,איסוף קרטון ובקבו,"610,000.00"
1713000110,שכר פיקוח תברואי,"2,553,144.00"
1713000530,אחזקת רכב וביטוח,"235,000.00"
1713000540,טלפון דואר ומכשירים ניידים,
1714200110,שכר פקוח וטרינרי,"1,567,720.00"
1714200430,מאור ומים,"5,000.00"
1714200530,אחזקת מכוניות ובט,"90,000.00"
1714200540,בולים טלפון ומברק,"18,000.00"
1714200720,חמרים,"25,000.00"
1714200750,עבודות קבלניות,"176,000.00"
1715200750,ע.קבלניות תב.מונע,
1715200751,הדברה,"250,000.00"
1722000110,שכר שמירה בטחונית,"1,436,398.00"
1722000530,אחזקת מכוניות ובט,"98,000.00"
1722000540,בולים טלפון ומברק,"7,000.00"
1722000780,הוצאות אחרות,"10,000.00"
1722100430,חשמל ומים,"4,000.00"
1722100750,עבודות קבלניות,"5,000.00"
1722100780,הוצאות אחרות,"10,000.00"
1722200540,בולים טלפון ומברק,
1722300110,שכר שיטור עירוני,"1,724,492.00"
1722300430,מאור ומים,"77,000.00"
1722300530,אחזקת רכב וביטוח,"255,000.00"
1722300540,טלפון דאר ומכשירים ניידים,"26,000.00"
1722300780,הוצאות אחרות,"100,000.00"
1722400110,שכר יחידת האבטחה,"1,139,142.00"
1723000420,תקונים חשמל חמרים,"27,000.00"
1723000430,"מקלטים,מאר כח מים","120,000.00"
1723000830,"השתתפות בהג""א","600,000.00"
1724000830,השת.בא.ערים כבוי,"2,000,000.00"
1731000110,שכר מש.מהנדס הרשו,"7,336,534.00"
1731000410,שכר דירה ודמי חכי,"77,220.00"
1731000430,מאור ומים,"10,000.00"
1731000522,ספרות מקצועית,"3,100.00"
1731000530,אחזקת רכב וביטוח,"82,000.00"
1731000540,בולים טלפון ומברק,"62,000.00"
1731000550,הוצאות פרסום,
1731000780,הוצאות אחרות,"200,000.00"
1732000110,שכר תכנון העיר,"1,116,746.00"
1732000750,עבודות קבלניות,"2,000.00"
1733000110,שכר רישוי ופקוח ב,"1,303,040.00"
1734000110,שכר פיתוח כבישים,"1,673,200.00"
1734000410,שכר דירה ודמי חכי,"228,473.00"
1734000530,אחזקת רכב וביטוח,"95,000.00"
1734000750,עבודות קבלניות,"874,000.00"
1742000110,שכר אחזקת כבישים,"1,773,356.00"
1742000410,שכר דירה ודמי חכירה,
1742000530,אחזקת מכוניות ובט,"70,000.00"
1742000540,בולים טלפון ומברק,"12,000.00"
1742000750,עבודות קבלניות,
1743000110,שכר תאורת רחובות,"2,663,027.00"
1743000430,מאור כח חימום מים,"50,000.00"
1743000530,אחזקת מכוניות ובט,"260,000.00"
1743000540,בולים טלפון ומברק,"16,000.00"
1743000720,חמרים,
1743000750,עבודות קבלניות,
1743000760,חשמל ודלק לפעולות,"3,800,000.00"
1744000110,שכר בטיחות בדרכים,"522,234.00"
1744000410,שכירות לבטיחות בד,"70,200.00"
1744000750,עבודות קבלניות,
1744000780,הוצאות אחרות,
1744000781,מטה בטיחות עירוני,"22,500.00"
1746000110,שכר גנים ונטיעות,"682,060.00"
1746000432,מים,"2,000,000.00"
1746000530,אחזקת רכב וביטוח,"110,000.00"
1746000540,בולים טלפון ומברק,"9,000.00"
1746000740,כלים מכשירים וציו,"10,000.00"
1746000750,עבודות קבלניות,
1747000110,שכר מח' חופים,"6,478,552.00"
1747000430,מאור כח חימום מים,"22,000.00"
1747000530,אחזקת מכוניות ובט,"165,000.00"
1747000540,בולים טלפון ומברק,"26,000.00"
1747000720,חמרים,"20,000.00"
1747000750,עבודות קבלניות,"342,500.00"
1747000751,קבלניות לפארק נחל,"400,000.00"
1747000752,חוף כפר הים וחופים לא מוכרזים,"30,000.00"
1747000810,השתתפות בבריכת אק,"600,000.00"
1749000110,שכר רכש ואספקה,"2,285,410.00"
1749000430,מאור כח חימום מים,"600,000.00"
1749000432,מים,"820,000.00"
1749000440,ביטוח,"3,000,000.00"
1749000450,רהוט ואחזקתו,"16,000.00"
1749000530,החזקת מכוניות ובט,
1749000540,בולים טלפון ומברק,"1,010,000.00"
1749000550,פרסומים,
1749000560,מכשירי כתיבה והדפ,"60,000.00"
1749000720,חומרים,"50,000.00"
1749000740,כלים מכשירים וציו,"10,000.00"
1749000750,עבודות קבלניות,"20,000.00"
1749000780,הוצאות אחרות,"70,000.00"
1751000780,הוצ' אחרות לעצמאו,"550,000.00"
1752000110,שכר מחלקת ארועים,"9,184,396.00"
1752000430,מאור ומים,"4,000.00"
1752000530,אחזקת מכוניות ובט,"650,000.00"
1752000540,בולים טלפון ומברק,"40,000.00"
1752000720,חומרים,
1752000750,עבודות קבלניות,"100,000.00"
1752000780,הוצ' אחרות לטכסים,"100,000.00"
1761000110,שכר מוקד עירוני,"1,384,480.00"
1761000530,אחזקת רכב וביטוח,"25,000.00"
1761000540,בולים טלפון ומברק,"114,000.00"
1761000750,עבודות קבלניות,"20,000.00"
1761000780,הוצאות שונות,"6,000.00"
1764000110,שכר תרבות הדיור,"300,310.00"
1764000540,בולים טלפון ומברק,"5,000.00"
1764000780,הוצאות אחרות,"2,000.00"
1765000110,הפרשה לביטוח לאומ,
1765000811,דמי חבר לשלטון המ,"240,000.00"
1765000812,רשות הנקוז,"625,928.00"
1765000813,הקרן לפיתוח חדרה,
1765000820,תמיכות,"3,395,800.00"
1765000830,השתת.באג.ערים לאי,"170,000.00"
1766000110,שכר ועד מקומי,"262,644.00"
1766000780,הוצאות אחרות,"900,000.00"
1766000810,פעולות תרבות לעוב,"645,000.00"
1771000750,עבודות קבלניות,"925,000.00"
1771000780,הוצאות שונות,"1,500,000.00"
1772000110,שכר מנהלת תעשיות,"513,072.00"
1772000530,אחזקת רכב וביטוח,"55,000.00"
1772000751,עידוד עסקים,
1780000110,שכר מינהל משב,"782,308.00"
1780000410,שכר דירה,"144,744.00"
1780000430,מאור ומים,"125,000.00"
1780000530,אחזקת רכב וביטוח,"62,000.00"
1780000540,טלפון דואר ומכשירים ניידים,"2,000.00"
1780000550,הוצאות פרסום,
1780000780,הוצאות אחרות,"60,000.00"
1781000110,שכר פיקוח עירוני,"2,086,900.00"
1781000530,אחזקת מכוניות ובט,"320,000.00"
1781000540,בולים טלפון ומברק,"65,000.00"
1781000751,עמלת זכיין חניה,"3,500,000.00"
1781000780,הוצאות אחרות,
1782000110,שכר בית משפט מקומ,"523,252.00"
1782000410,שכר דירה ודמי חכי,"91,260.00"
1782000430,מאור ומים,"15,000.00"
1782000540,בולים טלפונים ומב,"27,000.00"
1782000750,עבודות קבלניות,"450,000.00"
1782000780,הוצאות אחרות,"7,000.00"
1791000110,שכר- שירות חקלאי,"592,476.00"
1791000530,אחזקת מכוניות ובט,"95,000.00"
1791000540,בולים טלפון ומברק,"8,000.00"
1791000780,הוצאות אחרות,"2,500.00"
1811000110,שכר מינהל החינוך,"6,302,780.00"
1811000410,שכר דירה ודמי חכירה,
1811000430,מאור ומים,"81,000.00"
1811000431,חשמל וטכנודע,"330,000.00"
1811000530,אחזקת מכוניות ובט,"160,000.00"
1811000540,בולים טלפון ומברק,"50,000.00"
1811000550,הוצאות פרסום,
1811000750,יוזמות חינוכיות,"100,000.00"
1811000751,הוצאות מחלקת רישום,"100,000.00"
1811000780,הוצאות שונות,"100,000.00"
1811000781,ביטוח רפואי,"904,500.00"
1811000782,ק.חדרה לנשים חילו,
1811000783,תכנית רב שנתית לחינוך,
1811000784,עדלא ידע בתי ספר,
1811000810,עבודות קבלניות טכ,"1,500,000.00"
1812200110,"שכר גנ""י חובה","22,294,200.00"
1812200410,שכר דירה דמי חכיר,"70,200.00"
1812200430,מאור כח חימום מים,"215,000.00"
1812200432,מים,"190,000.00"
1812200743,מחשבים לגני ילדים,"30,000.00"
1812200750,קבלניות,"200,000.00"
1812200752,"בנות שרות לאומי בגנ""י","60,000.00"
1812200780,הוצאות אחרות,"784,641.00"
1812200980,יוזמות חינוכיות,"1,375,000.00"
1812300430,מאור כח חימום מים,"548,400.00"
1812300432,מים,"122,800.00"
1812300780,הוצאות אחרות,"678,000.00"
1812300821,השת.בשכר גננות,"22,228,373.00"
1813200110,"שכר בתי""ס יסודיים","29,909,418.00"
1813200430,מאור כח חימום מים,"950,000.00"
1813200432,מים,"700,000.00"
1813200743,מחשבים לבתי ספר,"70,000.00"
1813200751,שמירה במוסדות חינ,"5,840,000.00"
1813200752,בנות שרות לאומי,"120,000.00"
1813200780,הוצאות אחרות,"1,600,000.00"
1813200781,ניהול עצמי,"3,500,000.00"
1813200782,בחירת הורים מבוקרת,"104,000.00"
1813200980,יוזמה חנוכית,"4,146,378.00"
1813300110,"שכר בתי""ס מיוחדים","3,999,722.00"
1813300430,מאור כח חימום מים,"60,000.00"
1813300432,מים,"160,000.00"
1813300780,הוצאות אחרות,"670,000.00"
1813500780,מוסדות מורכים שאינם רשמיים,"3,638,000.00"
1813600760,תלמידים הלומדים מ,"2,800,000.00"
1813700110,שכר חוה חקלאית,"197,492.00"
1813700430,מאור כח חימום מים,"22,000.00"
1813700720,חמרים,"96,000.00"
1814000430,מאור כח חימום,"527,000.00"
1814000780,הוצאות אחרות,"255,000.00"
1814000810,"הקצבות לחט""ב","950,000.00"
1815200110,שכר תיכון תחכמוני,"1,140,160.00"
1815200780,מכון ברנקו וייס,"200,000.00"
1815200781,מניעת נשירה,
1815200980,יוזמות חינוכיות,"828,000.00"
1816500750,תמיכות מיחשוב,"240,000.00"
1816600780,הקמת מכללה,"204,000.00"
1816800850,קרן מלגות עירונית,"160,000.00"
1817200110,שכר מח פדגוגית,"305,400.00"
1817200410,שכר דירה ודמי חכי,"261,495.00"
1817200540,בולים טלפון ומברק,"2,000.00"
1817200780,הוצאות אחרות,"88,800.00"
1817300110,שרות פסיכולוגי חי,"3,092,684.00"
1817300430,מאור כח חימום מים,"21,000.00"
1817300540,בולים טלפון ומברק,"4,200.00"
1817300750,עבודות קבלניות,"30,000.00"
1817300780,הוצאות אחרות,"30,000.00"
1817600110,שכר רווחה חינוכית,"600,000.00"
1817600780,הוצאות אחרות,"500,000.00"
1817600782,התוכנית הלאומית לילדים ונוער בסיכון,"640,660.00"
1817600783,תוכנית תהל,"800,000.00"
1817700110,שכר תוכנית לאומית לילדים ונוער בסיכון,"170,000.00"
1817800710,הסעת ילדים הובלות,"11,900,000.00"
1817800711,החזר נסיעות לתלמי,"100,000.00"
1819200720,חמרים,"26,000.00"
1819200740,כלים מכשירים,"8,500.00"
1819200750,עבודות קבלניות,"200,000.00"
1819200751,הוצאות בגין שיפוצי קיץ,"520,000.00"
1819900110,הפרשה לביטוח לאומ,
1821100110,שכר עיר ללא אלימו,"209,910.00"
1821100780,פעולות עיר ללא אל,"66,528.00"
1821200110,שכר עיר ללא אלימו,"121,428.00"
1821200780,פעולות עיר ללא אל,"10,000.00"
1821300110,שכר מנהל פרויקט עיר ללא אלימות,"140,000.00"
1821300780,פעולות עיר ללא אל,"154,389.00"
1821300781,פעילות עיר ללא אלימות בעמותה,"167,458.00"
1821400780,תוכנית שמיד בעמותה,"553,950.00"
1822000110,שכר תרבות כללית,"1,517,736.00"
1822000410,שכר דירה ודמי חכי,"197,235.00"
1822000430,חשמל עמותה,"550,000.00"
1822000432,מים,"530,000.00"
1822000530,אחזקת רכב וביטוח,
