תקציב 2014,,,
,,,
מס' כרטיס,שם כרטיס,תקציב,ביצוע
1317800920,הסעת ילדים השתתפו,,"183,655.47"
1317802920,הסעות ח.מיוחד חיפ,"2,200,000.00","2,451,839.91"
1317803920,הסעות נט חיפה,"700,000.00","697,098.09"
1317804920,"ל.הסעות ח""מ חיפה","1,600,000.00","1,789,523.28"
1317900420,הכנסות שונות מחינ,,"11,436.96"
1317900920,השתת.ממשלה למועדו,"140,000.00","282,411.26"
1317900921,הכנסות שונות מחינוך,"7,650,000.00","9,328,666.80"
1317900922,הכנסות בגין שיפוצי קיץ,"500,000.00","519,016.35"
1321000920,עיר ללא אלימות,"576,000.00","323,076.00"
1322000920,הכנסות לתרבות,"30,000.00","18,750.00"
1322000922,תכנית שמידט בעמותה,"415,462.00","761,073.00"
1327000420,הכנסות פעילות חינוך תורני,"10,000.00","127,494.00"
1327000920,הכנסות ממשלה לתרבות תורנית,"250,000.00","280,635.00"
1329300920,ממשלה לפעילות ספו,"250,000.00","251,846.00"
1341000490,משרותי רווחה,"110,000.00","437,857.06"
1341000930,ממש למנהל רווחה,"8,341,153.00","7,616,084.00"
1341000933,שיפוי בגין ניזקי הסופה,,"1,453,609.00"
1342000490,טיפול במשפחה השתת,"350,000.00","469,467.42"
1342200930,השתתפות בשכר עובד,"523,800.00","572,232.00"
1342400930,השתתפות בשכר עובד,"825,000.00","714,823.00"
1342400931,טיפול באלכוהוליסט,"21,300.00","53,730.00"
1342400932,משפחות במצוקה בקה,"150,000.00","155,077.00"
1342400933,מס' ארציות דרי רח,"15,000.00",
1342400934,טיפול בפרט ובמשפחה,"3,750.00",
1342400935,טיפול בדרי רחוב,"465,000.00","946,000.00"
1342400936,תחנה לטיפול משפחתי,"60,000.00","34,980.00"
1342400937,הסעות סיעודים 21פלוס,"172,500.00",
1342400939,טיפול במשפחות סיוע מיוחד למשפחות עם ילדים,"155,100.00","171,271.00"
1343500930,טיפול בהורים וילד,"90,000.00","92,405.00"
1343500931,יצירת קשר הורים י,"31,500.00","26,303.00"
1343500932,טיפול בילד בקהילה,"1,153,500.00","1,145,654.00"
1343500934,טיפול ילדים בסיכון והפעלת חוק סדר דין,"108,750.00","137,773.00"
1343510930,השת'בשכר עוב' מרכז הורים וילדים,"384,812.00","432,546.00"
1343510931,השת' בשכר עובדי מרכז קשר,,"82,903.00"
1343800420,אחזקת ילדים בפנימ,"500,000.00","521,701.60"
1343800930,ממש לטיפול בילד,"7,908,980.00","8,835,834.00"
1343800931,טיפול במשפחות אומ,"300,000.00","361,754.00"
1343800933,תכנית לאומית ילד,"285,000.00","368,888.00"
1343800934,תכנית לאומית לילד ונוער,"228,000.00","170,833.00"
1343900930,ילדים במעונות יום,"2,025,000.00","2,613,805.00"
1343900931,תוכנית לאומית נוע,"45,000.00","24,752.00"
1343900933,תכנית לאומית לנוער וצעירים,"30,000.00","6,913.00"
1344000420,מתושב לבתי אבות,"740,000.00","644,726.40"
1344300930,אחזקת זקנים במעונ,"3,165,000.00","2,471,571.00"
1344300931,שכונה תומכת,"300,000.00","282,436.00"
1344300932,מועדונים לזקנים,"120,000.00","134,158.00"
1344300933,טיפול בזקן בקה,"150,750.00","150,328.00"
1344300935,מסגרת יומית לזקן,"554,000.00","811,885.00"
1344300936,נופש לזקן,"11,250.00",
1344400930,תעסוקה לזקנים,,
1344400931,תכנית ממשלתית לגימלאים,,
1344400932,טיפול בניצולי שואה,"80,000.00","75,316.00"
1345100930,סידור מפגרים במוס,"11,781,000.00","12,010,831.00"
1345100931,מפגרים במוסד ממשל,"3,472,500.00","3,428,624.00"
1345100932,מסגרות יום אר,"75,000.00","49,898.00"
1345100933,טיפול בהורים וילד,"52,500.00","40,233.00"
1345100934,מפגרים במעון טיפו,"553,500.00","721,287.00"
1345100935,שרותים תומכים למפ,"90,000.00","56,012.00"
1345100936,נופשונים למפגר,"22,500.00","14,455.00"
1345100937,השת' בשכר עובדי מ,"812,475.00","640,624.00"
1345100938,מעונות יום שיקומי,"285,000.00","16,872.00"
1345100939,משפחה אומנה למפגר,"52,500.00","42,297.00"
1345200930,אחזקת אוטיסטים,"2,376,000.00","1,954,196.00"
1345200932,מעון יום שיקומי לאוטיסט,"255,000.00","247,821.00"
1345200933,הוצ אחרות ותשלו ל,"719,250.00","930,361.00"
1345200934,מרכז יום תעסוקה לבוגרים אוטיסטים,"112,500.00","138,049.00"
1345200935,נופשונים וקיטנות לאוטיסטים,"7,500.00",
1345400610,הכנ ממעש מכירות,"687,400.00","395,328.04"
1345400930,"חניכים במע,ש חוץ","120,954.00","141,275.00"
1345400931,השתתפות בשכר עובד,"1,400,000.00","1,440,172.00"
1345400932,הסעות למפגר,"172,500.00","86,964.00"
1345400933,"מועדונים חברתיים למפגר אקי""ם","60,000.00","404,558.00"
1346300932,שיקום העיור בקהיל,"13,500.00","7,207.00"
1346300934,הדרכת עיור ובני ב,"45,000.00","19,084.00"
1346400935,מפעלי שיקום לעיור,"48,750.00","39,891.00"
1346400936,מפעלי תעסוקה ומוע,"30,000.00","52,720.00"
1346400937,תעסוקה נתמכת לנכים,"49,350.00","48,018.00"
1346500930,נכים במשפחות אומנ,"300,000.00","250,840.00"
1346500931,תוכנית מעבר,"60,000.00","-1,667.00"
1346500933,טיפול במשפחות אומ,"45,000.00","27,590.00"
1346500937,אחזקת נכים בפנימי,"3,420,000.00","2,991,247.00"
1346500938,מעונות ממשלתים שי,"105,000.00","105,300.00"
1346600930,מסגרת לילד המוגבל,"300,000.00","132,171.00"
1346600931,הסעות לגן שיקומי,"330,000.00","370,524.00"
1346600932,ליווי להסעות לגן,"120,000.00","106,235.00"
1346600933,נופשונים והבראה ל,"22,500.00","8,064.00"
1346600936,מעון יום שיקומי לנכים,"345,000.00","205,311.00"
1346600939,תעסוקה מוגנת למוג,"251,250.00","223,466.00"
1346700930,תוכנית לילד החריג,"69,750.00","36,982.00"
1346700931,הסעות נכים,"37,500.00","28,251.00"
1346700932,קהילה תומכת לנכים,"45,000.00","6,998.00"
1346700933,שכר קהילה תומכת ל,"174,750.00","167,965.00"
1346700934,מועדונם חברתים לבוגרים רגיש נגיש,"37,500.00","38,138.00"
1346800930,מרכזי אבחון ושיקו,"154,500.00","80,566.00"
1346800931,שיקום נכים בקהילה,"30,000.00","10,667.00"
1346800932,נכים קשים בקהילה,"128,700.00","85,528.00"
1346800933,בוגרים עיוורים בקהילה מועדונית,"79,500.00","42,741.00"
1347100931,טיפול נערות במצוק,"155,250.00","185,481.00"
1347100935,מקלטים לנשים מוכו,"202,500.00","330,442.00"
1347100936,טיפול בנוער וצעיר,"45,000.00","33,707.00"
1347300931,סמים טיפול בקהילה,"22,500.00","1,534.00"
1347300932,בדיקות למשתמשי סמ,"7,500.00","7,500.00"
1347300933,מתאם למלחמה בסמים,"490,000.00","199,108.00"
1347300934,טיפול במפגע סמים,"75,000.00","30,643.00"
1347300935,איתור נוער מכור,"80,000.00",
1347300938,שכר איתור נוער מכור,"420,000.00","452,080.03"
1347300939,מרכז יום התמכרויות,"136,800.00",
1347400936,שכר תוכנית מעטפת,"75,000.00","146,406.00"
1347400938,מפתן מקומי אחזקה,"654,000.00","704,004.00"
1347400939,תוכנית מעטפת פעולות,"130,000.00","73,712.00"
1347600930,נפגעות תקיפה מינית,"129,750.00","213,791.00"
1348200930,עבודות קהילתיות,"45,000.00","46,732.00"
1348200931,פיתוח תוכניות בקה,"11,250.00",
1348300933,ממשלה לפעולות התנ,"22,500.00","22,596.00"
1348300934,לשכת יעוץ לאזרח,"1,875.00","1,373.00"
1348500930,ממש שקום שכונות,"7,500.00","6,000.00"
1348500934,שיקום שכונות פעולות,"60,000.00","46,905.00"
1349000931,מעונות יום עולים,"90,000.00","11,646.00"
1349000934,מפגרים בקהילת עול,,
1349000935,מפגרים בקהילת עול,"810,000.00","407,737.00"
1349000936,ילדים בפנימית עול,"570,000.00","532,866.00"
1349000937,טיפול בזקנים עולי,"86,250.00","108,409.00"
1349000939,ילדים במצוקת עולי,"120,000.00","30,276.00"
1349100930,משפחות עולים במצוקה,"37,500.00","41,898.00"
1349100931,אבחנה ושיקום נכים עולים,"13,500.00","12,692.00"
1360000440,הכנסות שונות לקלי,"40,000.00","22,541.00"
1360000950,מענק קליטת עלייה,"1,200,000.00","1,186,754.50"
1379000690,הכנסות מקנסות איכ,"1,000,000.00","119,275.00"
1413100210,אגרות מים,"500,000.00","400,741.02"
1413100440,חיובי מים,,"2,407.40"
1413100650,הכנסות ממכירת נכס,"4,000,000.00","4,060,305.00"
1413200220,מדי מים חבור צרכנ,,910.9
1420000490,בתי מטבחיים הכנסו,,"-160,000.00"
1433000640,הכנסות משכר דירה,"800,000.00","813,620.60"
1437000220,שוק עירוני דמי תפ,"50,000.00","31,783.80"
1443200610,תגים וכרטיסי חניה,"5,055,000.00","5,010,082.85"
1472000210,אגרת ביוב,"300,000.00","172,827.78"
1511000660,הכנסות מריבית ודי,"250,000.00","422,399.39"
1513000690,ביטול יתרות ספק.ז,"50,000.00","825,153.35"
1591000540,הכנסות מבטוח לאומ,"200,000.00","271,903.60"
1591000910,בחירות צ_מוניציפל,,
1591900540,הכנסות מחב' ביטוח,"200,000.00","26,867.28"
1591900590,קרן פיתוח,"16,980,430.00","15,946,369.00"
1591900690,הכנסות ממכרזים,"30,000.00","49,000.00"
1594000690,החזרות והכנסות שו,"600,000.00","640,373.23"
1599900910,מענקים שונים,"800,000.00","457,572.00"
,"סה""כ תקבולים","523,685,209.00","495,103,162.71"
1611000110,שכר לשכת סגני ראש,"1,250,000.00","1,369,519.10"
1611000511,כיבוד וארוח,"15,000.00","7,297.72"
1611000530,אחזקת רכב וביטוח,"55,000.00","67,932.32"
1611000540,בולים טלפון ומברק,"5,000.00","7,525.61"
1611000780,הוצאות הנהלה ומוע,"20,000.00","28,686.57"
1611100110,שכר ראש הרשות וסג,"2,671,817.00","3,498,841.01"
1611100511,ארוח וכיבוד,"40,000.00","20,084.40"
1611100530,אחזקת מכוניות ובט,"160,000.00","153,181.58"
1611100540,בולים טלפון ומברק,"90,000.00","85,496.27"
1611100750,עבודות קבלניות,"290,000.00","287,780.11"
1611100751,קשרי חוץ,"250,000.00","249,897.60"
1611100752,מועצה ציונית,"4,000.00","4,000.00"
1611100753,מועצת נשים,"25,000.00","23,250.00"
1611100780,הוצאות אחרות,"40,000.00","43,675.51"
1611100781,הוצאות אבטחהראש העיר ומנכל,,
1611100782,שיפור שירות לתושב,"500,000.00","500,000.00"
1612000110,שכר מבקר  העיריה,"454,387.00","395,671.45"
1612000410,שכר דירה ודמי חכי,"54,516.00","76,435.00"
1612000530,אחזקת רכב וביטוח,,
1612000540,בולים טלפון ומברק,"5,700.00","4,722.10"
1612000750,שרותי חוץ,"90,000.00","90,000.00"
1612000780,הוצאות אחרות,"6,000.00","4,296.08"
1613000110,שכר מזכיר העיר ומ,"2,427,946.00","2,206,138.98"
1613000430,מאור ומים,"4,200.00","5,421.72"
1613000530,אחזקת רכב וביטוח,"75,000.00","86,580.92"
1613000540,בולים טלפון ומברק,"30,000.00","13,019.12"
1613000750,עבודות קבלניות,"100,000.00","186,947.00"
1613000751,שיפור שירות לתושב,"500,000.00","496,808.09"
1613000752,שיפור חזות העיר,"500,000.00","397,886.01"
1613000780,הוצאות אחרות,"100,000.00","99,366.67"
1613000781,הוצאות אחרות מזכי,"40,000.00","30,464.90"
1614000110,שכר דוברות והסברה,"351,162.00","394,705.09"
1614000540,בולים טלפון ומברק,"7,700.00","2,899.03"
1614000550,הוצאות פרסום,"1,000,000.00","992,342.24"
1614000780,הוצאות שונות,"1,000.00","1,006.00"
1615000110,שכר כח אדם,"1,361,345.00","1,715,543.33"
1615000521,השתלמויות,"40,000.00","35,482.90"
1615000522,ספרות מקצועית,"35,000.00","35,317.12"
1615000530,אחזקת רכב וביטוח,"62,000.00","76,774.24"
1615000540,בולים טלפון ומברק,"7,400.00","15,231.48"
1615000750,עבודות קבלניות,"280,000.00","198,991.76"
1615000780,הוצאות אחרות,"10,000.00","10,201.60"
1615100110,עובדים לא משובצים,,"221,174.96"
1617000110,שכר יח משפטית,"2,447,009.00","2,629,301.34"
1617000522,ספרים ועתונים,"10,000.00","9,981.00"
1617000530,אחזקת רכב וביטוח,"65,000.00","64,555.66"
1617000540,בולים טלפוןומברקי,"16,000.00","10,258.23"
1617000581,הוצאות משפטיות,"450,000.00","481,983.87"
1617000750,ייעוץ משפטי,"750,000.00","659,190.29"
1617000780,הוצאות אחרות,"40,000.00","43,469.96"
1618000110,שכר מיחשוב,"658,340.00","751,939.40"
1618000540,בולים טלפון ומברקים,"2,000.00","2,246.53"
1618000570,מיכון ועיבוד נתונים,"2,900,000.00","2,310,741.04"
1618000750,עבודות קבלניות,"80,000.00","73,221.66"
1618000780,הוצאות כלליות,"360,000.00","316,168.28"
1619000110,שכר בחירות,,
1619000780,הוצאות שונות,,295
1621000110,שכר גזברות,"1,981,313.00","2,118,123.90"
1621000530,אחזקת מכוניות ובט,"162,000.00","176,545.96"
1621000540,בולים טלפון ומברק,"25,500.00","19,835.94"
1621000750,עבודות קבלניות,"200,000.00","142,636.62"
1621000780,הוצאות אחרות,"17,000.00","9,716.60"
1621300110,"שכר הנה""ח ושכר","2,118,344.00","2,056,601.69"
1621300540,בולים טלפון ומברק,"2,000.00","3,155.86"
1621300780,הוצאות אחרות,"25,000.00","22,969.82"
1623000110,שכר מח' גבייה,"2,429,903.00","2,620,974.53"
1623000540,בולים טלפון ומברק,"290,000.00","467,020.98"
1623000570,מיכון ועיבוד נתונ,,441
1623000750,ע.קבלניות+הוצל'פ,"2,800,000.00","3,316,583.16"
1623000780,הוצאות אחרות,"35,000.00","17,176.62"
1631000610,עמלות והוצאות בנק,"810,000.00","648,803.76"
1631100620,עמלות כרטיסי אשראי,,"698,790.34"
1632000620,הוצאות מימון ריבי,"850,000.00","933,760.41"
1649100691,מלוות מוכרות-קרן,"18,399,129.00","17,999,211.34"
1649100692,מלוות מוכרות-ריבי,"6,002,524.00","6,675,770.39"
1649100693,מלוות מוכרות-הצמד,"3,271,785.00","3,245,363.58"
1649100694,החזר הלואות למדינה 2014,"825,000.00",
1711000110,שכר מנהל תברואה,"2,892,904.00","3,605,316.02"
1711000530,אחזקת מכוניות ובט,"400,554.00","412,445.78"
1711000540,בולים טלפון ומברק,"50,300.00","48,376.71"
1712200750,עבודות קבלניות,"11,138,004.00","10,863,960.05"
1712300110,שכר איסוף אשפה,"173,584.00","180,323.63"
1712300750,עבודות קבלניות,"32,528,566.00","35,154,706.19"
1712300751,איסוף קרטון ובקבו,"300,000.00","292,634.00"
1713000110,שכר פיקוח תברואי,"547,460.00","883,796.39"
1713000530,אחזקת רכב וביטוח,,707.46
1714200110,שכר פקוח וטרינרי,"1,347,075.00","1,437,966.00"
1714200430,מאור ומים,"11,000.00","4,529.29"
1714200530,אחזקת מכוניות ובט,"109,140.00","100,443.17"
1714200540,בולים טלפון ומברק,"37,000.00","21,390.54"
1714200720,חמרים,"92,600.00","65,431.20"
1714200750,עבודות קבלניות,"273,000.00","271,208.47"
1714200780,הוצאות אחרות,"2,500.00","3,249.40"
1715200750,ע.קבלניות תב.מונע,"700,000.00","472,223.40"
1722000110,שכר שמירה בטחונית,"832,217.00","1,454,196.84"
1722000530,אחזקת מכוניות ובט,"69,800.00","66,880.07"
1722000540,בולים טלפון ומברק,"11,764.00","9,872.09"
1722000780,הוצאות אחרות,"12,000.00","10,743.96"
1722100430,חשמל ומים,"4,600.00","24,567.41"
1722100750,עבודות קבלניות,"14,000.00",
1722100780,הוצאות אחרות,"12,000.00","6,004.40"
1722200110,שכר משטרה עירונית,"2,858,644.00","850,544.52"
1722200430,מאור ומים,"20,000.00","9,959.02"
1722200530,אחזקת רכב וביטוח,"170,000.00","139,920.03"
1722200540,בולים טלפון ומברק,"43,500.00","29,202.94"
1722200780,הוצאות אחרות,"25,000.00","12,638.00"
1722300110,שכר שיטור עירוני,"1,388,800.00","1,169,238.20"
1722300430,מאור ומים,"26,000.00",
1722300530,אחזקת רכב וביטוח,"216,800.00","170,639.83"
1722300540,טלפון דאר ומכשירים ניידים,"11,760.00","7,166.94"
1722300780,הוצאות אחרות,"325,000.00","242,898.31"
1722400110,שכר יחידת האבטחה,,"218,290.28"
1723000420,תקונים חשמל חמרים,"20,176.00","30,133.32"
1723000430,"מקלטים,מאר כח מים","85,000.00","181,267.14"
1723000830,"השתתפות בהג""א","541,724.00","541,723.58"
1724000830,השת.בא.ערים כבוי,"2,285,000.00","2,235,783.00"
1731000110,שכר מש.מהנדס הרשו,"6,176,118.00","6,630,717.99"
1731000410,שכר דירה ודמי חכי,"387,885.00","368,444.00"
1731000430,מאור ומים,"45,000.00","8,887.97"
1731000522,ספרות מקצועית,"5,000.00","3,910.00"
1731000530,אחזקת רכב וביטוח,"94,159.00","108,643.99"
1731000540,בולים טלפון ומברק,"52,530.00","55,161.36"
1731000550,הוצאות פרסום,,"6,000.00"
1731000750,עבודות קבלניות,"200,000.00","194,167.03"
1731000780,הוצאות אחרות,"60,000.00","55,761.78"
1732000110,שכר תכנון העיר,"1,262,054.00","940,425.66"
1732000750,עבודות קבלניות,"2,000.00",750
1733000110,שכר רישוי ופקוח ב,"1,360,950.00","1,207,530.26"
1733000750,עבודות קבלניות,"100,000.00","87,886.00"
1734000110,שכר פיתוח כבישים,"1,242,750.00","1,408,096.86"
1734000410,שכר דירה ודמי חכי,"75,331.00","157,937.11"
1734000530,אחזקת רכב וביטוח,"75,000.00","75,210.48"
1734000750,עבודות קבלניות,"270,000.00","245,098.59"
1742000110,שכר אחזקת כבישים,"1,527,631.00","1,597,118.18"
1742000530,אחזקת מכוניות ובט,"82,700.00","104,705.89"
1742000540,בולים טלפון ומברק,"20,000.00","15,437.13"
1742000750,עבודות קבלניות,"400,000.00","394,599.77"
1742000780,הוצאות אחרות,"2,500.00","1,877.45"
1743000110,שכר תאורת רחובות,"2,366,383.00","2,540,394.56"
1743000430,מאור כח חימום מים,"28,000.00","18,800.93"
1743000530,אחזקת מכוניות ובט,"320,000.00","283,098.45"
1743000540,בולים טלפון ומברק,"17,900.00","17,684.23"
1743000720,חמרים,"120,000.00","112,813.52"
1743000750,עבודות קבלניות,"50,000.00","48,019.09"
1743000760,חשמל ודלק לפעולות,"2,900,000.00","3,469,228.03"
1743000780,הוצאות אחרות,"10,000.00","10,076.00"
1744000110,שכר בטיחות בדרכים,"523,349.00","511,316.87"
1744000410,שכירות לבטיחות בד,"70,800.00",
1744000750,עבודות קבלניות,"70,000.00","59,505.90"
1744000780,הוצאות אחרות,"150,000.00","132,841.50"
1744000781,מטה בטיחות עירוני,"30,000.00","29,710.26"
1746000110,שכר גנים ונטיעות,"574,146.00","612,868.19"
1746000430,גינון,"2,995,000.00","2,980,942.00"
1746000530,אחזקת רכב וביטוח,"60,021.00","60,950.79"
1746000540,בולים טלפון ומברק,"15,000.00","10,742.41"
1746000740,כלים מכשירים וציו,"10,000.00","9,662.80"
1746000750,עבודות קבלניות,"7,000,000.00","6,439,908.25"
1747000110,שכר מח' חופים,"7,215,623.00","6,684,611.75"
1747000430,מאור כח חימום מים,"40,000.00","20,464.44"
1747000530,אחזקת מכוניות ובט,"160,800.00","136,129.12"
1747000540,בולים טלפון ומברק,"32,000.00","28,332.02"
1747000720,חמרים,"20,000.00","10,526.39"
1747000740,כלים מכשירים וציו,"25,000.00","22,267.15"
1747000750,עבודות קבלניות,"420,000.00","594,313.05"
1747000751,קבלניות לפארק נחל,"20,500.00","10,731.42"
1747000810,השתתפות בבריכת אק,"734,000.00","656,385.92"
1749000110,שכר רכש ואספקה,"1,953,785.00","1,986,522.24"
1749000430,מאור כח חימום מים,"1,068,000.00","1,521,243.19"
1749000440,ביטוח,"3,400,000.00","2,898,156.77"
1749000450,רהוט ואחזקתו,"16,000.00","11,612.80"
1749000511,כיבוד,,
1749000530,החזקת מכוניות ובט,"64,000.00","44,809.60"
1749000540,בולים טלפון ומברק,"1,150,000.00","1,204,564.39"
1749000560,מכשירי כתיבה והדפ,"60,000.00","62,703.50"
1749000720,חומרים,"50,000.00","47,097.28"
1749000740,כלים מכשירים וציו,"7,000.00","6,450.00"
1749000750,עבודות קבלניות,"20,000.00","18,587.01"
1749000780,הוצאות אחרות,"70,000.00","69,620.93"
1751000780,הוצ' אחרות לעצמאו,"140,000.00","145,545.00"
1752000110,שכר מחלקת ארועים,"6,121,722.00","6,275,997.69"
1752000430,מאור ומים,"10,000.00","2,563.77"
1752000530,אחזקת מכוניות ובט,"450,000.00","503,354.55"
1752000540,בולים טלפון ומברק,"47,000.00","44,237.54"
1752000750,עבודות קבלניות,"300,000.00","305,871.03"
1752000780,הוצ' אחרות לטכסים,"60,000.00","54,465.00"
1761000110,שכר מוקד עירוני,"1,286,668.00","1,506,139.52"
1761000530,אחזקת רכב וביטוח,"20,000.00","23,582.72"
1761000540,בולים טלפון ומברק,"230,000.00","177,320.82"
1761000750,עבודות קבלניות,"35,000.00","44,128.99"
1761000780,הוצאות שונות,"6,000.00","25,524.48"
1764000110,שכר תרבות הדיור,"186,568.00","252,533.32"
1764000540,בולים טלפון ומברק,"3,300.00","5,931.69"
1764000780,הוצאות אחרות,"2,200.00",678.7
1765000750,טיפוח יזמות מ.ט.י,"100,000.00","50,000.00"
1765000811,דמי חבר לשלטון המ,"220,000.00","214,100.00"
1765000812,רשות הנקוז,"484,342.00","484,342.00"
1765000813,הקרן לפיתוח חדרה,"350,000.00","349,999.82"
1765000820,תמיכות,"1,500,000.00","499,999.00"
1765000830,השתת.באג.ערים לאי,"130,000.00","135,359.00"
1766000110,שכר ועד מקומי,"231,078.00","204,911.99"
1766000780,הוצאות אחרות,"900,000.00","800,594.72"
1766000810,פעולות תרבות לעוב,"615,000.00","611,003.00"
1772000110,שכר מנהלת תעשיות,"484,262.00","526,896.74"
1772000750,עבודות קבלניות,"200,000.00",
1780000110,שכר מינהל משב,"1,938,106.00","1,718,785.91"
1780000410,שכר דירה,"106,965.00","335,252.00"
1780000430,מאור ומים,"63,000.00","56,787.89"
1780000530,אחזקת רכב וביטוח,"100,000.00","92,148.91"
1780000540,טלפון דואר ומכשירים ניידים,,"7,434.20"
1780000780,הוצאות אחרות,"27,000.00","25,823.11"
1781000110,שכר פיקוח עירוני,"3,576,411.00","2,984,829.60"
1781000530,אחזקת מכוניות ובט,"489,141.00","449,121.65"
1781000540,בולים טלפון ומברק,"79,000.00","77,335.66"
1781000750,קבלניות פקוח ערונ,"65,000.00","87,308.46"
1781000751,עמלת זכיין חניה,"5,760,000.00","6,924,363.28"
1781000780,הוצאות אחרות,"18,000.00","37,706.20"
1782000110,שכר בית משפט מקומ,"499,578.00","509,362.59"
1782000410,שכר דירה ודמי חכי,"92,040.00","92,040.00"
1782000430,מאור ומים,"14,500.00","17,444.85"
1782000540,בולים טלפונים ומב,"69,500.00","42,882.30"
1782000750,עבודות קבלניות,"450,000.00","450,308.00"
1782000780,הוצאות אחרות,"1,000.00","7,537.80"
1791000110,שכר- שירות חקלאי,,"569,866.78"
1791000530,אחזקת מכוניות ובט,"100,000.00","88,956.56"
1791000540,בולים טלפון ומברק,"6,000.00","8,801.74"
1791000780,הוצאות אחרות,"2,500.00","1,947.20"
1792000810,השתת' שרות שדה,"40,000.00",
1811000110,שכר מינהל החינוך,"7,155,699.00","6,588,555.07"
