מס. חשבון ,שם חשבון ,תקציב 
1318000990,ח.מבוגרים/מ.הקליטה ,"160,000.00"
1329201650,דמי שימוש -איצטדיונים ,"4,391,018.00"
1329201651,דמי שימוש במגרשי ספורט ,"280,000.00"
1329300921,סל הספורט-משרד החינוך ,"540,000.00"
1332200940,משרד הבריאות - סל שיקום ,"200,000.00"
1332300420,בריאות השן-השתתפות הורים ,"568,000.00"
1332300940,השתתפות בגין בריאות השן ,"1,643,000.00"
1335001410,בריאות בקהילה - גביה עצמי,"5,000.00"
1335001990,עיר ללא אלימות ,"2,020,000.00"
1335003990,השתתפות משרדי ממשלה ,"500,000.00"
1341000930,תכנית מחשוב רווחה - תמר ,0
1341001790,הרשות לשיקום האסיר ,0
1341001930,שכר עובדי המחלקה 0143101 ,"13,533,000.00"
1341001990,שיפוץ וציוד מ.רווחה השתתפ,"100,000.00"
1341002930,סל בטיחות בסיסי 3244101 ,"14,000.00"
1341002990,רכזות משפחתונים-תמ'ת ,"500,000.00"
1341003930,כ'א לחינוך מיוחד 0053101 ,"161,000.00"
1341005790,תרומות ,"2,000.00"
1341005930,פעולות ארגוניות 0244101 ,"10,000.00"
1341007930,בטחון עובדים מאבטחים 4244,"50,000.00"
1342200410,עזרה ביתית ,"5,000.00"
1342201930,מקלטים לנשים מוכות 001520,"702,000.00"
1342203930,משפחות במצוקה בקהילה 0145,"476,000.00"
1342205930,טיפול בדרי רחוב 0155201 ,"508,000.00"
1342206930,מס.ארציות לדרי רחוב 11552,"150,000.00"
1342207930,סיוע למשפחות עם ילדים 024,"472,000.00"
1342211930,צרכים מיוחדים שעת חרום 11,0
1342212930,דרי רחוב רב בעייתי 215520,"20,000.00"
1342400410,בית הויס ,0
1342401930,סדנאות למשפחה 0406201 ,"3,000.00"
1342402930,טיפול בפרט ובמשפחה 140620,"6,000.00"
1342403930,מרכזי טיפול באלימות 09062,"360,000.00"
1342405930,בית נועם ,0
1342407930,תכנית למניעת אלימות 03693,"18,000.00"
1342408930,תחנות לטיפול במשפחה 24062,"20,000.00"
1343500410,מועדוניות ,"151,000.00"
1343500930,ת. לאומית ילד ונוער 00483,"1,335,000.00"
1343501410,מועדוניות משותפות ,"38,000.00"
1343501930,טיפול במשפחות אומנה 31483,"572,000.00"
1343502930,מרכזי הורים -ילדים 244930,"415,000.00"
1343503930,יצירת קשר הורים -ילדים 41,"115,000.00"
1343504930,טיפול בילד בקהילה 0449301,"1,464,000.00"
1343505930,מועדוניות משותפות 1449301,"259,000.00"
1343507930,טיפול בפגיעות מיניות 3849,"18,000.00"
1343508930,בדיקות פסיכולוגיות 284930,"19,000.00"
1343800930,אחזקת ילדים בפנימיות 0148,"13,691,277.00"
1343801930,תוכנית עם הפנים לקהילה_71,0
1343811410,אחזקת ילדים בפנימיות ,"257,000.00"
1343900420,הכנסות עצמיות משפחתונים ,"14,000.00"
1343900930,ילדים במעונות יום 0414301,"9,541,855.00"
1343900990,מעונות יום-תמ'ת ,"2,880,000.00"
1344300930,אחזקת זקנים במעונות 01424,"5,950,000.00"
1344301930,נופשון לזקן 0342401 ,"20,000.00"
1344311410,בתי אבות ,"1,200,000.00"
1344324410,ארוחות לקשיש ,"80,000.00"
1344400930,מועדונים לזקנים 0343401 ,"300,000.00"
1344401930,טיפול בזקן בקהילה 0443401,"390,000.00"
1344403930,מרכזי ועדות חוק סיעוד 099,"1,044,000.00"
1344404930,שירותים לניצולי שואה ,"94,000.00"
1344406930,שכונה תומכת 0153401 ,"115,000.00"
1344407930,תעסוקת זקנים במועדון 2343,"100,000.00"
1344408930,טיפול שיניים לקשיש 144340,0
1344500410,מרכז יום ,"162,000.00"
1344500930,מסגרות יומיות לזקן 014340,"851,000.00"
1345100410,שיקום מסגרות כללי ,"334,000.00"
1345100930,סדור מפגרים במוסדות 01465,"16,275,419.00"
1345101930,מפגרים במוסד ממשלתי 02917,"2,713,200.00"
1345102930,החזקת אוטיסטים במסגרות 05,"1,402,205.00"
1345103930,טיפול בהורים ובילדיהם 040,"215,000.00"
1345104930,מ.יום שיקומי לאוטיסט 2112,"141,928.00"
1345105930,נופשונים וקייטנות 0111880,"36,000.00"
1345106930,משפחות אומנה למפגר 004658,"40,000.00"
1345107930,משפחות אומנה לשיקום 10465,"31,000.00"
1345108930,מועדונים לילדים 0601880 ,"71,000.00"
1345109930,סביבה תומכת 1146580 ,"487,056.00"
1345110930,הסעות לאוטיסטים ,0
1345111930,מ. יום תעסוקה לבוגרים ,"18,000.00"
1345200410,מעון לילך ,"67,000.00"
1345200411,מעון לילך הכנסות עצמיות ,"10,000.00"
1345201410,מעון יובלים ,"190,000.00"
1345201930,מפגרים במעון אמוני 014558,"69,292.00"
1345202410,בית ספר ניר ,"59,800.00"
1345202930,מפגרים במעון טפולי 024558,"2,597,680.00"
1345203790,מעון יובלים-טיפולים פרא-ר,"515,000.00"
1345203930,מ.יום שיקומי למפגר 111226,"90,416.00"
1345204930,"מעש""ים 0745580 ","906,651.00"
1345300410,נופשונים ,"54,000.00"
1345300930,שרותים תומכים למפגר 03455,"81,000.00"
1345301930,נופשונים למפגר 0295580 ,"182,000.00"
1345302930,מועדונים חברתיים למפגר 33,"50,000.00"
1345303930,הסעות למ.יום למפגר 134558,"260,000.00"
1345527410,מע'ש ,"147,000.00"
1346100930,ילדים עוורים במוסדות 0142,"99,008.00"
1346300930,שיקום העיוור בקהילה 38026,"80,000.00"
1346302930,הדרכת עוור ובני ביתו 0342,"105,000.00"
1346400930,מפעלי שיקום לעוור 0802660,"45,000.00"
1346402930,מפעלי תעסוקה ומועדון 2802,"400,000.00"
1346500930,אחזקת נכים בפנימיות 04012,"4,325,031.00"
1346501930,נכים במשפחות אומנה 140126,"312,579.00"
1346600930,תעסוקה מוגנת למוגבל 01022,"370,000.00"
1346601410,מועדוניות לכבדי שמיעה ,"1,000.00"
1346601930,מס.יום לילד המוגבל 090226,"289,458.00"
1346700410,הסעות נכים ,"8,000.00"
1346700930,תוכניות לילד החריג 020226,"163,000.00"
1346701930,מרכזים להיתפתחות הילד 340,"40,000.00"
1346702930,הסעות נכים 0012260 ,"138,000.00"
1346703930,מרכז יום שיקומי לנכים 011,"818,738.00"
1346704930,נופשונים להבראה 0412260 ,"150,000.00"
1346705930,הסעות למעון יום שיקומי 31,"250,000.00"
1346706930,ליווי למעון יום שיקומי 41,"20,000.00"
1346707930,מסיכון לסיכוי 1202260 ,"297,000.00"
1346708930,תכנית מעבר לחירשים 060226,"16,000.00"
1346710930,תעסוקה נתמכת לנכים ,"225,000.00"
1346711930,חלופה למ.יום שיקומיים 511,"80,000.00"
1346712930,מועדון חברתי לבוגרים 2412,"67,000.00"
1346714930,עמית למשפחה 412226 ,0
1346800930,מרכזי אבחון ושיקום 010816,"245,000.00"
1346801930,שיקום נכים בקהילה 0409160,"92,000.00"
1346802930,נכים קשים בקהילה 0901260 ,"85,000.00"
1346804930,מועדונים לעיוור 0212660 ,"251,000.00"
1347100930,טפול בנוער ובצעירים 32046,"366,000.00"
1347101930,נוער חרדי מנותק 0514611 ,0
1347103930,טפול בנערות במצוקה 024561,"250,000.00"
1347105930,בית נועם 0624211 ,"15,000.00"
1347106930,נוער חרדי מנותק בקהילה ,"1,603,000.00"
1347107930,מקלטים לנערות 6245611 ,"3,000.00"
1347108930,"פרוייקט עד""י 7245611 ","5,000.00"
1347110930,ת.לאומית נוער וצעירים4048,"235,000.00"
1347111930,תוכנית מעטפת ,"150,000.00"
1347200930,מעונות חסות -ממשלתיים 030,"78,360.00"
1347300930,סמים - טיפול בקהילה 16052,"372,000.00"
1347301930,בדיקות למשתמשי סמים 07052,"24,000.00"
1347302930,טיפול באלכוהוליסטים 05252,"395,000.00"
1347303930,תוכנית לתעסוקה 7605211 ,"190,000.00"
1347305930,מ.יום לנוער סמים 1615211 ,"104,000.00"
1347306930,יחידת איתור לנוער ,"500,000.00"
1347401930,"מפת""ן מקומי -החזקה 014431","341,340.00"
1347402930,פעול משלימות למפתנים 0244,"30,000.00"
1347405930,"ת.למניעת אלימות במפת""ן 03","40,000.00"
1347406930,סיוע למטופלים 0125211 ,"1,000.00"
1348200930,עבודה קהילתית 0142701 ,"10,000.00"
1348300930,פע' התנדבות בקהילה 050431,"4,000.00"
1348400930,לשכות ייעוץ לאזרח 0502310,"13,000.00"
1348500930,שיקום שכונות - פעולות 060,"56,000.00"
1349002930,טיפול בעיוורים עולים 2409,"90,000.00"
1349005930,מ.יום טפולי עולים 1245580,"27,000.00"
1349006930,"מעש""ים עולים 1745580 ","25,000.00"
1349007930,מפגר בפנימיה - עולים 2146,"671,000.00"
1349008930,משפחות עולים במצוקה ,"118,000.00"
1349009930,מעונות יום - עולים 341430,"35,000.00"
1349010930,ילדים בפנימיות - עולים 11,"594,000.00"
1349011930,ילדים במצוקה - עולים 0649,"225,000.00"
1349012930,טיפול בזקנים - עולים 0063,"315,000.00"
1349013930,התכנית הביתית 2223701 ,"138,000.00"
1349014930,תכנית מגשרים 1223701 ,"64,000.00"
1349015930,תוכ.קבוצתיות לעולים 02237,"25,000.00"
1349016930,עובדי שכונה - עולים 02137,"249,000.00"
1349017930,אבחון ושיקום נכים-עולים09,"200,000.00"
1349022930,טיפול בעולים נפגעי סמים66,"142,000.00"
1349023930,מ.טיפול באלימות עולים 024,"222,000.00"
1349024930,תוכנית במעלה 2749301 ,"49,000.00"
1349025930,פרויקטים לנגמלים 4605211 ,0
1360000420,הכנסות עצמיות-קליטה ,"180,000.00"
1360000421,הכנ' עצמיות מחוזים חדשים),0
1360000951,הכנ' מ. הקליטה פעולות חדש,"1,700,000.00"
1360001950,מוקד שכונתי-אתיופים ,"687,000.00"
1360002420,עולי צרפת - הכנ' עצמיות ,"50,000.00"
1360002950,קליטת עולי צרפת ,"577,000.00"
1360003420,הכנ' עצמיות-עולים על הגל ,"30,000.00"
1360004420,אמריקה הלטינית-הכנ' עצמיו,"7,000.00"
1360004950,עליה-אמריקה הלטינית ,"77,544.00"
1360005950,כנס קליטה ,"350,000.00"
1360006420,הכנ' עצמיות - עולי גאורגי,"5,000.00"
1360006950,הכננ' מ. הקליטה - עולי גא,"65,000.00"
1360007420,הכנ' עצמיות - עולי תורכיה,"4,000.00"
1360007950,הכנ' מ. הקליטה - עולי תור,"142,000.00"
1413100210,אגרת מים )צריכה שוטפת( ,"2,700,000.00"
1413200210,אגרות מים אחרות )מוני מים,"78,000.00"
1413300663,דמי ניהול תאגיד ,"700,000.00"
1413301690,"החזר הוצאות שכ""ע ורכב-תאג",0
1437000420,שווקים ,"3,000,000.00"
1439000640,השכרת נכסים ,"3,500,000.00"
1441000620,מכירת רכב משומש ,"250,000.00"
1472000210,ביוב עירוני ,"680,000.00"
1520000610,תקבולים משנים קודמות ,"1,500,000.00"
1591900590,החזרות מקרנות הפרשה ,"14,663,000.00"
1594000730,"החזר בגין דמי פגיעה -ב""ל ","630,000.00"
1594000910,הכנסות מיוחדות ,0
1599200510,יתרה מתקציבים רגילים קוד,0
1611100110,השכר הקובע ,"2,326,000.00"
1611100120,תוספות שלא נכללות בשכר ,"17,000.00"
1611100140,החזר הוצאות רכב ,"110,000.00"
1611100141,החזר הוצאות אחר ,"118,000.00"
1611100181,הפרשות סוציאליות ,"447,000.00"
1611100182,מיסים ועליות ,"306,000.00"
1611101110,השכר הקובע ,"532,000.00"
1611101120,תוסםות שלא נכללות בשכר ,"173,000.00"
1611101130,שעות נוספות ,"59,000.00"
1611101140,החזר הוצאות רכב ,"166,000.00"
1611101141,החזר הוצאות אחר ,"36,000.00"
1611101181,הפרשות סוציאליות ,"113,000.00"
1611101182,מיסים ועלויות ,"132,000.00"
1611101210,שכר זמניים ,"674,000.00"
1611101470,ציוד משרדי מתכלה ,"35,000.00"
1611101471,מכונות צילום ,"4,000.00"
1611101510,אש'ל וכבודים ,"10,000.00"
1611101514,רכישת מתנות ,"12,000.00"
1611101522,ספרות מקצועית ועתונות ,"11,000.00"
1611101530,8668094 - רכב ,"60,000.00"
1611101531,רכב 65-890-27-צמוד ,0
1611101532,8668094,0
1611101533,2601534,"30,000.00"
1611101540,דואר וטלפון ,"46,000.00"
1611101542,"רט""ן-תקשורת סלולרית ","45,000.00"
1611101760,קנית שרותים מרשויות ומוסד,"18,000.00"
1611101780,הוצאות שונות ,"46,000.00"
1611102110,השכר הקובע ,"182,000.00"
1611102120,תוספות שלא נכללות בשכר ,"42,000.00"
1611102140,החזר הוצאות רכב ,"39,000.00"
1611102141,החזר הוצאות אחר ,"8,000.00"
1611102181,הפרשות סוציאליות ,"35,000.00"
1611102182,מיסים ועליות ,"34,000.00"
1611102210,שכר זמניים ,"40,000.00"
1611102470,ציוד משרדי מתכלה ,"6,000.00"
1611102510,אש'ל וכבודים ,"2,000.00"
1611102514,רכישת מתנות ,"6,000.00"
1611102522,ספרות מקצועיות ועתונים ,"4,000.00"
1611102530,רכב 41-141-47-צמוד ,0
1611102531,1644858,"42,000.00"
1611102540,דואר וטלפון ,"5,000.00"
1611102542,"רט""ן-תקשורת סלולרית ","14,000.00"
1611102780,הוצאות שונות ,"8,000.00"
1611103110,השכר הקובע ,"199,000.00"
1611103120,תוספות שלא נכללות בשכר ,"48,000.00"
1611103130,שעות נוספות ,0
1611103140,החזר הוצאות רכב ,"42,000.00"
1611103141,החזר הוצאות אחר ,"8,000.00"
1611103181,הפרשות סוציאליות ,"39,000.00"
1611103182,מיסים ועלויות ,"37,000.00"
1611103470,ציוד משרדי מתכלה ,"6,000.00"
1611103510,אש'ל וכבודים ,"2,000.00"
1611103514,רכישת מתנות ,"6,000.00"
1611103522,ספרות מקצועית ועתונות ,"4,000.00"
1611103530,רכב צמוד ,0
1611103540,דואר וטלפון ,"9,000.00"
1611103542,"רט""ן-תקשורת סלולרית ","11,000.00"
1611103780,הוצאות שונות ,"8,000.00"
1611104110,השכר הקובע ,"131,000.00"
1611104120,תוספות שלא נכללות בשכר ,"53,000.00"
1611104130,שעות נוספות ,0
1611104140,החזר הוצאות רכב ,"27,000.00"
1611104141,החזר הוצאות אחר ,"6,000.00"
1611104181,הפרשות סוציאליות ,"29,000.00"
1611104182,מיסים ועלויות ,"27,000.00"
1611104470,ציוד משרדי מתכלה ,"6,000.00"
1611104471,אחז' מכונת צילום ,"3,000.00"
1611104510,אש'ל וכבודים ,"5,200.00"
1611104514,רכישת מתנות ,"6,000.00"
1611104522,ספרות מקצועית ועתונות ,"3,000.00"
1611104530,7670022,"45,000.00"
1611104540,דואר וטלפון ,"6,000.00"
1611104542,"רט""ן-תקשורת סלולרית ","13,000.00"
1611104780,הוצאות שונות ,"8,000.00"
1611105110,השכר הקובע ,"39,000.00"
1611105120,תוספות שלא נכללות בשכר ,"145,000.00"
1611105130,שעות נוספות ,0
1611105140,החזר הוצאות רכב ,"53,000.00"
1611105141,החזר הוצאות אחר ,"9,000.00"
1611105181,הפרשות סוציאליות ,"43,000.00"
1611105182,מיסים ועלויות ,"28,000.00"
1611105470,ציוד משרדי מתכלה ,"6,000.00"
1611105471,מ. צילום ופקס ,"3,000.00"
1611105510,אש'ל וכבודים ,"2,000.00"
1611105514,רכישת מתנות ,"6,000.00"
1611105522,ספרות מקצועית ועתונות ,"3,000.00"
1611105540,דואר וטלפון ,"9,000.00"
1611105542,"רט""ן- תקשורת סלולרית ","13,000.00"
1611105780,הוצאות שונות ,"8,000.00"
1611106110,השכר הקובע ,"203,000.00"
1611106120,תוספות שלא נכללות בשכר ,0
1611106130,שעות נוספות ,0
1611106140,החזר הוצאות רכב ,0
1611106141,החזר הוצאות אחרות ,0
1611106181,הפרשות סוציאליות ,0
1611106182,מיסים ועלויות ,0
1611106470,ציוד משרדי מתכלה ,"3,000.00"
1611106510,אשל וכיבודים ,"1,000.00"
1611106514,רכישת מתנות ,"3,000.00"
1611106522,ספרות מקצועית ועיתונות ,"2,000.00"
1611106542,"רט""ן-תקשורת סלולרית ","3,600.00"
1611106780,הוצאות שונות ,"23,400.00"
1611301110,השכר הקבוע ,"697,000.00"
1611301120,תוספות שלא נכללות בשכר ,"53,000.00"
1611301130,שעות נוספות ,0
1611301140,החזר הוצאות רכב ,"53,000.00"
1611301141,החזר הוצאות אחר ,"26,000.00"
1611301181,הפרשות סוציאליות ,"158,000.00"
1611301182,מיסים ועלויות ,"113,000.00"
1611301210,שכר זמניים ,"80,000.00"
1611301470,ציוד משרדי מתכלה ,"8,000.00"
1611301471,הוצאות מ. צילום ,"3,000.00"
1611301510,אש'ל וכבודים ,"6,000.00"
1611301522,ספרות מקצועית ועתונים ,"4,000.00"
1611301530,7660228,"45,000.00"
1611301540,דואר וטלפון ,"9,000.00"
1611301542,"רט""ן-תקשורת סלולרית ","12,000.00"
1611301580,יועצים ,"400,000.00"
1611301581,ייעוץ אירגוני ,"100,000.00"
1611301750,עבודות קבלניות ,"66,000.00"
1611301751,שטח סטרילי ,"300,000.00"
1611301760,קנית שרותים מרשויות ומוסד,"18,000.00"
1611301780,בדיקות מיוחדות ,"99,000.00"
1611301930,רכישת ציוד יסודי ,"5,000.00"
1611301931,רכישת ערכות אבלים ,"47,000.00"
1611301981,קרן הצטיידות ,"734,000.00"
1611302110,השכר הקבוע ,"540,000.00"
1611302120,תוספות שלא נכללות בשכר ,"138,000.00"
1611302130,שעות נוספות ,"21,000.00"
1611302140,החזרהוצאות רכב ,"71,000.00"
1611302141,החזר הוצאות אחר ,"20,000.00"
1611302181,הפרשות סוציאליות ,"73,000.00"
1611302182,מיסים ועלויות ,"101,000.00"
1611302210,שכר זמניים ,"350,000.00"
1611302470,ציודמשרדי מתכלה ,"9,000.00"
1611302471,אחז' מכונת צילום ,"4,000.00"
1611302510,אש'ל וכבודים ,"2,000.00"
1611302511,אירוח ,"19,000.00"
1611302521,השתלמויות - מינהל כללי ,"9,000.00"
1611302522,ספרות מקצועית ועתונות ,"24,000.00"
1611302530,2699696,"40,000.00"
1611302540,דואר וטלפון ,"11,000.00"
1611302542,"רט""ן-תקשורת סלולרית ","106,000.00"
1611302580,הוצאות ארגוניות ,"200,000.00"
1611302760,קנית שרותים מרשויות מוסדת,"36,000.00"
1611303210,שכר עובדים זמניים ,"40,000.00"
1611304110,השכר הקבוע ,"200,000.00"
1611304120,תוספות שלא נכללות בשכר ,"120,000.00"
1611304140,החזר הוצאות רכב ,"58,000.00"
1611304141,החזר הוצאות אחר ,"7,000.00"
1611304181,הפרשות סוציאליות ,"30,000.00"
1611304182,מיסים ועלויות ,"50,000.00"
1611304470,צ. משרדי ,"6,000.00"
1611304522,ס. מקצועית ועיתונים ,"2,000.00"
1611304540,הוצ' טלפון ,"4,000.00"
1611304542,"רט""ן-תקשורת סלולרית ","2,000.00"
1611304572,תוכנה ,"5,000.00"
1611305110,השכר הקובע ,"728,000.00"
1611305120,תוספות שלא נכללות בשכר ,"323,000.00"
1611305130,שעות נוספות ,"50,000.00"
1611305140,החזרהוצאות רכב ,"243,000.00"
1611305141,החזר הוצאות אחר ,"44,000.00"
1611305181,הפרשות סוציאליות ,"186,000.00"
1611305182,מיסים ועלויות ,"194,000.00"
1611305210,שכר עובדים זמניים ,"140,000.00"
1611305470,ציוד משרדי מתכלה ,"4,000.00"
1611305471,מכונות צילום ,"3,000.00"
1611305522,ספרות מקצועית ,"9,000.00"
1611305540,דואר וטלפון ,"54,000.00"
1611305542,"רט""ן-תקשורת סלולרית ","13,000.00"
1611305545,הוצאות תקשורת ,"205,000.00"
1611305570,"הוצ' ע""פ ו. מיחשוב ","400,000.00"
1611305571,חומרה ,"200,000.00"
1611305572,שכירות תוכנה ,"275,000.00"
1611305573,תחזוקת תוכנה ,0
1611305574,כ'א מקצועי )גורמי חוץ( ,"280,000.00"
