חשבון ,,פרק,שם חשבון ,מחלקה ,מקורי 2015 ,ביצוע עד ספטמ,תקציב 2016-כו,תקציב בסיס 2016,מותנה 2016 
1212300670,212300670,21,פינוי נייר ובקבוקי פלסטיק,6712300,-277000,0,-300000,-300000,0
1212300690,212300690,21,קיזוז מקבלנים - וונדליזם ,6712300,0,0,0,0,0
1213300290,213300290,21,פיקוח על עסקים ומוסדות ,6713300,-300000,-219600,-286000,-286000,0
1214200290,214200290,21,פיקוח - חיסוני כלבים ,6714200,-550000,-367000,-491000,-491000,0
1214200291,214200291,21,קנסות - ווטרינר ,6714200,0,0,0,0,0
1214200292,214200292,21,הסגר כלבים בכלבייה ,6714200,-10000,0,-10000,-10000,0
1214200690,214200690,21,השתתפות שכר ווטרינר-בדיקו,6714200,-233000,-260200,-450000,-450000,0
1214200910,214200910,21,בדיקות בשר עופות ודגים ,6714200,-415000,-133500,-500000,-500000,0
1214200911,214200911,21,ב/בשר דגים-עצמיות ,6714200,-150000,-120600,-150000,-150000,0
1214200960,214200960,21,סירוס חתולים - מ.החקלאות ,6714200,-200000,0,-200000,-200000,0
1222000910,222000910,22,החזר משא'ז ,1722100,-25000,0,0,0,0
1232000220,232000220,23,אגרות תיכנון עיר ,3732000,-160000,-64300,0,0,0
1233100290,233100290,23,אגרת רשיונות בניה ,3733101,-10500000,-11371400,-11000000,-11000000,0
1233300290,233300290,23,תיקון מבנים מסוכנים ,3731000,-300000,-29200,-36000,-36000,0
1241000290,241000290,24,שילוט-תמלוגים ,3930000,-3325000,-1191000,-2000000,-2000000,0
1241000640,241000640,24,"הכנסות משצפי""ם ",3930000,-2000000,-1866900,-3500000,-3500000,0
1242000410,242000410,24,דמי שימוש במדרכה ,6781000,-1800000,-620800,-1800000,-1800000,0
1244400990,244400990,24,מ.התחבורה - סימון כבישים ,6742000,0,0,0,0,0
1244500991,244500991,24,מטה בטיחות עירוני ,4744500,0,0,0,0,0
1246200690,246200690,24,גינון עורף הנמל ,6746102,0,0,0,0,0
1249000490,249000490,24,קנסות מפיקוח - איכות הסבי,6879000,-60000,-21200,-29000,-29000,0
1249000990,249000990,24,מ.איכות סביבה - כנסים ו א,6879000,-240000,0,-200000,-200000,0
1249000991,249000991,24,קולות קוראים איכות סביבה ,6879000,-75000,0,-75000,-75000,0
1261000290,261000290,26,שרותי מוקד לתאגיד יובלים ,6761000,-300000,-225000,-300000,-300000,0
1262000261,262000261,26,שירותי מוקד עירוני ,6761000,-20000,-20000,-25000,-25000,0
1262000420,262000420,26,מידע לציבור ,6762000,-2000,-2100,-2000,-2000,0
1264000610,264000610,26,תרבות הדיור ,6764000,-7700,-7700,-8000,-8000,0
1269000510,269000510,26,זיכויים - חב' לאוטומציה ,1611305,-212000,-141600,0,0,0
1269000610,269000610,26,מכירת טפסי מיכרזים ,1611304,-350000,-214500,-300000,-300000,0
1269000690,269000690,26,הכנ' שכר כוננים במשכן ,1611305,-51000,-40000,-51000,-51000,0
1269003490,269003490,26,מועצת נשים ,1769003,-31000,0,-31000,-31000,0
1274700990,274700990,27,מ.איכות הסביבה-נקיון חופי,6747200,-54600,-9100,-55000,-55000,0
1274700991,274700991,27,הכנסות א.הסביבה טיפול בזי,6747200,0,0,0,0,0
1281000290,281000290,28,פיקוח על חו'ע ,6781000,-150000,-32000,-150000,-150000,0
1281000291,281000291,28,קנסות בימ'ש ,6781000,-4500000,-1553300,-4000000,-4000000,0
1281001290,281001290,28,פיקוח על החניה ,6781001,-6800000,-4238500,-6800000,-6800000,0
1281001291,281001291,28,מדחני צג ,6781001,-1600000,-383200,-900000,-900000,0
1281001292,281001292,28,מדחני כרטיס ,6781001,-1500000,-6700,-16000,-16000,0
1281001293,281001293,28,הכנסות בגין קיזוז מקבלן-ח,6781001,-1200000,-684400,-1200000,-1200000,0
1281001295,281001295,28,איזי פארק ,6781001,-39000,-38800,-39000,-39000,0
1281001296,281001296,28,הכנסה בגין אכיפה מנהלית ,6781001,-6500000,-3882300,-6500000,-6500000,0
1281001297,281001297,28,"באמצעות טלפון סלולרי ""פאנ",6781001,-230000,-365600,-300000,-300000,0
1281001298,281001298,28," באמצעות טלפון סלולרי""סלו",6781001,-41000,-12200,-18000,-18000,0
1311000650,311000650,31,שכירות ,4811000,0,0,0,0,0
1311000920,311000920,31,תקשוב לאומי ,4811000,0,-269800,-600000,-600000,0
1312100420,312100420,31,סל תרבות ,4812100,-5600000,-3837300,-5500000,-5500000,0
1312100421,312100421,31,פעילות גנים מדעיים ,4812100,-120000,-73200,-40000,-40000,0
1312100924,312100924,31,"תכנית שמיד גנ""י ",4812100,-342000,-53900,-342000,-342000,0
1312200920,312200920,31,גיל חובה-שיפוצים ,4812200,-88000,-81500,-100000,-100000,0
1312200921,312200921,31,גיל חובה/חומרים ,4812200,-110000,-27200,-150000,-150000,0
1312200922,312200922,31,גיל חובה/שכר סייעות ,4812200,-12900000,-9519500,-14102000,-13800000,-302000
1312300420,312300420,31,ט.חובה/תשלומי הורים ,4812300,0,-68100,0,0,0
1312300920,312300920,31,גנ'י/ילדי סטיה והשלמ'מ ,4812300,-32000000,-23602000,-42701000,-38500000,-4201000
1312500420,312500420,31,צהרונים /יול'ה ,4812500,-20600000,-12747600,-21600000,-21600000,0
1312500421,312500421,31,גני מועד'וצהר'/דמי רישום ,4812500,-440000,0,-440000,-440000,0
1312501420,312501420,31,פנימיות יום-גנ'י ,4812500,-95000,-71900,-85000,-85000,0
1312501920,312501920,31,פנמיות יום -גנ'י ,4812500,-80000,-34100,-54000,-54000,0
1312800420,312800420,31,קייטנה חודש לימודים ,4812800,0,0,0,0,0
1313200440,313200440,31,הכנסות מתקשורת סלולרית ,4813200,0,0,0,0,0
1313200920,313200920,31,שרתים/מזכירים/סייעות ,4813200,-31000000,-25070800,-34000000,-34000000,0
1313200924,313200924,31,תכנית שמיד חינוך יסודי ,4813200,-612000,-273000,-612000,-612000,0
1313201420,313201420,31,פנימיות יום-הורים ,4813200,-360000,-297600,-360000,-360000,0
1313202420,313202420,31,קרב-תשלומי ההורים ,4813200,-3100000,-2858700,-3000000,-3000000,0
1313204920,313204920,31,ניהול עצמי ,4813200,-3300000,-2523500,-3300000,-3300000,0
1313205920,313205920,31,שיפוצים ,4813200,-425000,-407700,-450000,-450000,0
1313206920,313206920,31,שיכפולים/חומרים ,4813200,-450000,-98900,-500000,-500000,0
1313206921,313206921,31,חומרי מלאכה-מ.חינוך ,4813200,-550000,-108000,-600000,-600000,0
1313206922,313206922,31,אגרת עולים חדשים ,4813200,-150000,-86000,-150000,-150000,0
1313209920,313209920,31,בס של הקיץ ,4813200,-3000000,-3134000,-2500000,-2500000,0
1313500420,313500420,31,השתתפות מוסדות בפעילויות ,4813500,-60000,0,-60000,-60000,0
1313500920,313500920,31,שרתים מזכירים סייעות/חרדי,4813500,-7700000,-5156000,-8100000,-7700000,-400000
1313500921,313500921,31,ישיבות קטנות/שיפוצים/מ.ח.,4813500,-540000,-510700,-530000,-530000,0
1313500924,313500924,31,תכנית שמיד-חרדי ,4813500,-972000,-296900,-972000,-972000,0
1313500992,313500992,31,הכנסות משמירה ,4813500,-2650000,-1200000,-3070000,-3070000,0
1313505920,313505920,31,רווחה חינוכית ,4813500,-250000,-100000,-200000,-200000,0
1313508920,313508920,31,הסעים הכנסות משרד ,4813500,-1500000,-600000,-1600000,-1600000,0
1313600920,313600920,31,מועדוניות בית ספריות ,4813600,-680000,-441000,-850000,-850000,0
1313700920,313700920,31,חוו חקלאיות/שרתים מזכירים,4813700,-165000,-143000,-180000,-180000,0
1315201420,315201420,31,בתי'ס עי'ס/פ.יום הורים ,4815200,-30000,-92300,-31000,-31000,0
1315202920,315202920,31,שיכפולים ,4815200,-320000,-23800,-320000,-320000,0
1315202921,315202921,31,חומרי מלאכה מ.חינוך ,4815200,-650000,-104100,-650000,-650000,0
1315202922,315202922,31,אגרת עולים חדשים ,4815200,-150000,-32600,-150000,-150000,0
1315203920,315203920,31,בתי'ס עי'ס/שיפוצים מ.ח ,4815200,-385000,-368400,-400000,-400000,0
1315204920,315204920,31,מנ'ע תגבורים ,4815200,-450000,-240000,-450000,-450000,0
1315204924,315204924,31,"תכנית שמיד-חינוך עי""ס ",4815100,-337500,0,-338000,-338000,0
1315206920,315206920,31,פרוייקט מניפה ,4815200,0,0,0,0,0
1315207650,315207650,31,שכירות קיוסקים ומכונות שת,4815200,-125700,-53700,-110000,-110000,0
1315208920,315208920,31,הכנסות מסבסוד טיולים ,4815200,0,0,0,0,0
1315501921,315501921,31,חט'ב/מקיף א' ,4815701,-904000,-681800,-920000,-920000,0
1315502921,315502921,31,חט'ב/מקיף ב' ,4815702,0,0,0,0,0
1315503921,315503921,31,עי'ס/חט'ב/מקיף ג' ,4815703,-1360000,-1014900,-1335000,-1335000,0
1315504921,315504921,31,עי'ס/חט'ב/מקיף ד' ,4815704,-1250000,-893700,-1200000,-1200000,0
1315505921,315505921,31,ע'ס/חט'ב/מקיף ה' ,4815705,-1650000,-1023700,-1500000,-1500000,0
1315506921,315506921,31,בתי'ס עי'ס/מקיף ו' ,4815706,-1815000,-1144100,-1500000,-1500000,0
1315507921,315507921,31,עי'ס/חט'ב/מקיף ז' ,4815707,-1760000,-1141400,-1600000,-1600000,0
1315508921,315508921,31,עי'ס/חט'ב/מקיף ח' ,4815708,-1650000,-1049400,-1450000,-1450000,0
1315509921,315509921,31,בתי'ס עי'ס/חט'ב ט' ,4815709,-1750000,-1115100,-1500000,-1500000,0
1315510921,315510921,31,עי'ס/חט'ב/מקיף י' ,4815710,0,0,0,0,0
1315511921,315511921,31,בתי'ס עי'ס/אולפנא ,4815711,-850000,-564700,-780000,-780000,0
1315515921,315515921,31,"ישיבה תיכונית אמי""ת ",4815700,0,-191300,-250000,-250000,0
1315516921,315516921,31,"מקיף יא חט""ב ",4815716,-581000,-519000,-870000,-870000,0
1315517921,315517921,31,מדרשה לבנות ,4815700,0,0,-50000,-50000,0
1315700926,315700926,31,עוז לתמורה ,4815700,0,80100,0,0,0
1315701920,315701920,31,בתי'ס עי'ס/מקיף א' ,4815701,-12300000,-9729600,-13500000,-13500000,0
1315702670,315702670,31,הכנסות מזיכויים מקיף ב' ,4815702,-5225000,-3457300,-4400000,-4400000,0
1315702920,315702920,31,בת'ס עי'ס/מקיף ב' ,4815702,0,-3100,0,0,0
1315703920,315703920,31,בתי'ס עי'ס/מקיף ג' ,4815703,-15600000,-11122700,-15000000,-15000000,0
1315704920,315704920,31,בתי'ס עי'ס/מקיף ד' ,4815704,-17000000,-12796400,-17000000,-17000000,0
1315705920,315705920,31,בתי'ס עי'ס/מקיף ה' ,4815705,-17500000,-14048500,-18800000,-18800000,0
1315706920,315706920,31,בתי'ס עי'ס/מקיף ו' ,4815706,-13650000,-10737700,-14200000,-14200000,0
1315707920,315707920,31,בתי'ס עי'ס/מקיף ז' ,4815707,-14700000,-11257900,-14900000,-14900000,0
1315708920,315708920,31,בתי'ס עי'ס/מקיף ח' ,4815708,-14200000,-10362600,-14100000,-14100000,0
1315709920,315709920,31,מקיף ט' ,4815709,-14500000,-11689400,-15600000,-15600000,0
1315710670,315710670,31,הכנסות מזיכויים מקיף י' ,4815710,-6200000,-2350100,-3100000,-3100000,0
1315710920,315710920,31,מקיף יוד חט'ע ,4815710,0,0,0,0,0
1315711920,315711920,31,בתי'ס עי'ס/אולפנא ,4815711,-8120000,-6632700,-8800000,-8800000,0
1315712920,315712920,31,בתי'ס עי'ס/ימי/שרת'+מז ,4815712,-200000,-163400,-200000,-200000,0
1315713920,315713920,31,בתי'ס עי'ס/אשכולות פיס ,4815713,-420000,-317400,-470000,-470000,0
1315714430,315714430,31,בתי'ס עי'ס/נ.הרצוג ,4815714,-1200000,-258700,0,0,0
1315715670,315715670,31,"זכויים לישיבה-רשת אמי""ת ",4817150,0,0,0,0,0
1316200420,316200420,31,פעילות לחיילים ,4816200,-100000,-57100,-100000,-100000,0
1316200970,316200970,31,הכנסות משרד הבטחון ,4816200,-90000,-35500,-90000,-90000,0
1316600650,316600650,31,חשמל-סמי שמעון ,4811000,-570000,-180900,-600000,-600000,0
1316802922,316802922,31,מלגות הכנסה מ. השיכון ,4816800,-400000,-89700,0,0,0
1317100920,317100920,31,קבטי'ם-שכר ,4817100,-570000,-433200,-580000,-580000,0
1317100992,317100992,31,שמירה-השתת' משטרת ישראל ,4817100,-4300000,-2098400,-4700000,-4700000,0
1317200420,317200420,31,מרפ'ד הכנסות עצמיות ,4817200,-20000,0,-25000,-25000,0
1317300920,317300920,31,פסיכולוג חנוכי/שכר ,4817300,-5500000,-3887400,-5600000,-5600000,0
1317300921,317300921,31,פסיכולוג חנוכי/השתלמויות ,4817300,-100000,-112100,-150000,-150000,0
1317300924,317300924,31,תכנית שמיד שפי ,4817300,-222000,-151000,-222000,-222000,0
1317500420,317500420,31,ביטוח תלמידים ,4817500,-1630000,-1318200,-2600000,-2600000,0
1317600920,317600920,31,רווחה חינוכית ,4817600,-1520000,-994100,-1500000,-1500000,0
1317600921,317600921,31,תוכנית שיקום שכונות ,4817600,-600000,-422700,-600000,-600000,0
1317700920,317700920,31,קב'סים__שכר ,4817700,-1150000,-801400,-1160000,-1160000,0
1317701650,317701650,31,דמי שימוש שטחי פירסום ,4817700,-300000,-116700,-300000,-300000,0
1317701920,317701920,31,קבס'ים -קידום נוער ,4817700,-385000,0,-385000,-385000,0
1317701921,317701921,31,חונכות לתלמידים ,4817700,-80000,-43400,-80000,-80000,0
1317701924,317701924,31,תכנית שמיד-קידום נוער ,4817700,-765000,-301800,-765000,-765000,0
1317800920,317800920,31,הסעות ילדים -מ.ת.מ ,4817800,-5300000,-2230100,-3600000,-3600000,0
1317800921,317800921,31,לווי הסעות ,4817800,-4089000,0,-4000000,-4000000,0
1317800922,317800922,31,הכנסה מכרטיסיות ,4817800,-650000,-468300,-650000,-650000,0
1317903430,317903430,31,שרותים אחרים/תלמידי חוץ ,4817900,-1500000,-1348000,-1500000,-1500000,0
1317904420,317904420,31,פרויקטים משותפים עם בתה'ס,4817900,-300000,-271400,-400000,-400000,0
1317906920,317906920,31,הצטיידות שונות הכנסות משר,4817900,-3500000,-861900,-3000000,-3000000,0
1317909920,317909920,31,הזנה ונלוות/ח.מיוחד ,4817900,-2300000,-2433500,-2500000,-2500000,0
1318000410,318000410,31,ח.מבוגרים/הכנסות עצמיות ,4818000,-170000,-108800,-200000,-200000,0
1318000920,318000920,31,ח.מבוגרים/מת'מ/תהל'ה ,4818000,-25000,-68000,-100000,-100000,0
1318000990,318000990,31,ח.מבוגרים/מ.הקליטה ,4818000,-200000,-119500,-150000,-150000,0
1326402650,326402650,32,החזר הוצאות אחזקת אמפי ,1826400,0,0,0,0,0
1329201650,329201650,32,דמי שימוש -איצטדיונים ,1829200,-4200000,-3861600,-4200000,-4200000,0
1329201651,329201651,32,דמי שימוש במגרשי ספורט ,1829200,-312800,-387300,-387000,-387000,0
1329300921,329300921,32,סל הספורט-משרד החינוך ,1829300,-700000,-332600,-600000,-600000,0
1329300940,329300940,32,עיר בריאה ופעילה ,1829300,0,0,0,0,0
1332200940,332200940,33,משרד הבריאות - סל שיקום ,5832200,0,0,0,0,0
1332300940,332300940,33,השתתפות בגין בריאות השן ,5832300,0,0,0,0,0
1335000940,335000940,33,גיל הרך - שמיד ,5835000,-225000,-45200,-225000,-225000,0
1335001410,335001410,33,בריאות בקהילה - גביה עצמי,5835000,-10000,0,-10000,-10000,0
1335001940,335001940,33,תוכנית עידוד - שמיד ,5835000,-54000,0,0,0,0
1335001990,335001990,33,עיר ללא אלימות ,5835001,-1302000,-1186000,-1302000,-1302000,0
1335002940,335002940,33,עיר פעילה ובריאה ,5835000,0,0,0,0,0
1335003940,335003940,33,הדרכת הורים - שמיד ,5835000,-21000,0,0,0,0
1335003990,335003990,33,השתתפות משרדי ממשלה ,5835001,-1564000,-1335700,-1564000,-1564000,0
1341000930,341000930,34,מחשוב מחלקות רווחה ,5841000,-171000,0,-206000,-206000,0
1341001790,341001790,34,הרשות לשיקום האסיר ,5841000,-90000,-45000,-90000,-90000,0
1341001930,341001930,34,שכר עובדי המחלקה 1013410 ,5841000,-18224600,-15027000,-18852000,-18852000,0
1341001990,341001990,34,שיפוץ וציוד מ.רווחה השתתפ,5841000,-150000,-16000,0,0,0
1341002930,341002930,34,סל בטיחות בסיסי 1014423 ,5841000,-15000,0,-15000,-15000,0
1341002990,341002990,34,רכזות משפחתונים-תמ'ת ,5841000,-506400,-332800,0,0,0
1341003930,341003930,34,כ'א לחינוך מיוחד 1013500 ,5841000,-299000,-212100,-303000,-303000,0
1341005790,341005790,34,תרומות ,5841000,-3000,0,-3000,-3000,0
1341005930,341005930,34,פעולות ארגוניות 1014420 ,5841000,-25000,0,-25000,-25000,0
1341007930,341007930,34,בטחון עובדים מאבטחים 4424,5841000,-48000,-25900,-49000,-49000,0
1342200410,342200410,34,עזרה ביתית ,5842200,-5000,-6600,-9000,-9000,0
1342200730,342200730,34,מיזם הזנחה - ילד ונוער ,5842200,-567000,-359300,-747000,-747000,0
1342201930,342201930,34,מקלטים לנשים מוכות 025100,5842200,-347000,-129700,-351000,-351000,0
1342203930,342203930,34,משפחות במצוקה בקהילה 5410,5842200,-523500,-346500,-530000,-530000,0
1342205930,342205930,34,טיפול בדרי רחוב 1025510 ,5842200,-750000,-525000,-966000,-966000,0
1342206930,342206930,34,מס.ארציות לדרי רחוב 25511,5842200,-226000,-54700,-229000,-229000,0
1342207930,342207930,34,סיוע למשפחות עם ילדים 418,5842200,-436000,-330500,-446000,-446000,0
1342211930,342211930,34,צרכים מיוחדים שעת חרום 11,5842200,-651000,41700,-701000,-701000,0
1342212930,342212930,34,דרי רחוב רב בעייתי 025512,5842200,-15000,0,-15000,-15000,0
1342213930,342213930,34,מרכזי תעסוקה עירוניים 613,5842200,-2834000,0,-2868000,-2868000,0
1342400410,342400410,34,בית הויס ,5842400,-5000,0,0,0,0
1342401930,342401930,34,סדנאות למשפחה 1026040 ,5842400,-85000,0,-86000,-86000,0
1342402930,342402930,34,טיפול בפרט ובמשפחה 026041,5842400,0,0,0,0,0
1342403930,342403930,34,מרכזי טיפול באלימות 26090,5842400,-402500,-296300,-448000,-448000,0
1342404930,342404930,34,מס. טיפ.לגברים אלימים 093,5842400,-33000,-45000,-48000,-48000,0
1342407930,342407930,34,תכנית למניעת אלימות 39630,5842400,-29000,-15000,-29000,-29000,0
1342408930,342408930,34,תחנות לטיפול במשפחה 26042,5842400,-17300,-12900,-27000,-27000,0
1342409930,342409930,34,נושמים לרווחה ,5842400,-1643000,-523700,-739000,-739000,0
1343500410,343500410,34,מועדוניות ,5843500,-240000,-238800,-320000,-320000,0
1343500411,343500411,34,מועדוניות ועדת הנחות ,5843500,-54000,0,-54000,-54000,0
1343500930,343500930,34,ת. לאומית ילד ונוער 38400,5843500,-2162000,-1499300,-2023000,-2023000,0
1343501410,343501410,34,מועדוניות משותפות ,5843500,-21000,-23000,-30000,-30000,0
1343501690,343501690,34,הכנסות מרכז הורים ילדים ,5843500,-14000,-10200,-10000,-10000,0
1343501930,343501930,34,טיפול במשפחות אומנה 38413,5843500,-668000,-455300,-740000,-740000,0
1343502930,343502930,34,מרכזי הורים -ילדים 039442,5843500,-516600,-388800,-525000,-525000,0
1343503930,343503930,34,יצירת קשר הורים -ילדים 14,5843500,-115000,-128100,-116000,-116000,0
1343504930,343504930,34,טיפול בילד בקהילה 1039440,5843500,-2653000,-1595500,-2685000,-2685000,0
1343505930,343505930,34,מועדוניות משותפות 1039441,5843500,-320000,-237900,-324000,-324000,0
1343507930,343507930,34,טיפול בפגיעות מיניות 9483,5843500,-72000,-82000,-91000,-91000,0
1343508930,343508930,34,בדיקות פסיכולוגיות 039482,5843500,-12000,-3800,-12000,-12000,0
1343800930,343800930,34,אחזקת ילדים בפנימיות 8410,5843800,-19868500,-15167500,-21158000,-21158000,0
1343801930,343801930,34,תוכנית עם הפנים לקהילה_17,5843800,0,0,0,0,0
1343811410,343811410,34,אחזקת ילדים בפנימיות ,5843800,-363000,-453100,-550000,-550000,0
1343900420,343900420,34,הכנסות עצמיות משפחתונים ,5843900,-106000,-128400,-150000,-150000,0
1343900930,343900930,34,ילדים במעונות יום 1039010,5843900,-9858800,-7510000,-10509000,-10509000,0
1343900990,343900990,34,מעונות יום-תמ'ת ,5843900,-4800000,-3087100,-4800000,-4800000,0
1344300930,344300930,34,אחזקת במעונות א. ותיק 410,5844300,-12044200,-6073700,-8341000,-8341000,0
1344301930,344301930,34,נופשון לאזרח ותיק 1042430,5844300,-20000,-32900,-40000,-40000,0
1344311410,344311410,34,בתי אבות ,5844300,-1027000,-624600,-780000,-780000,0
1344324410,344324410,34,ארוחות לקשיש ,5844400,-41000,-45700,-68000,-68000,0
1344400930,344400930,34,מועדונים לא. ותיק 1043430,5844400,-300000,-198700,-304000,-304000,0
1344401930,344401930,34,טיפול בקהילה א.ותיק 43440,5844400,-382300,-284000,-387000,-387000,0
1344402930,344402930,34,מועדונים תכנית העשרה 3431,5844400,-11000,0,-11000,-11000,0
1344403930,344403930,34,מרכזי ועדות חוק סיעוד 990,5844400,-1650000,-1096000,-1670000,-1670000,0
1344404930,344404930,34,שירותים לניצולי שואה 3446,5844400,-135000,-80800,-142000,-142000,0
1344405930,344405930,34,מיגון וציוד ביתי ,5844400,-15000,0,-15000,-15000,0
1344406930,344406930,34,שכונה תומכת 1043510 ,5844400,-195000,-146300,-197000,-197000,0
1344407930,344407930,34,תעסוקת במועדון א.ותיק 432,5844400,-110000,-71000,-111000,-111000,0
1344408930,344408930,34,טיפול שיניים לקשיש 043441,5844400,-19800,0,-20000,-20000,0
1344409930,344409930,34,סיוע לניצולי שואה 1043446,5844400,-100000,2300,-104000,-104000,0
1344500410,344500410,34,מרכז יום ,5844500,-172000,-74800,-112000,-112000,0
1344500930,344500930,34,מסגרות יומיות לא. ותיק 10,5844500,-1000000,-735000,-1012000,-1012000,0
1344501930,344501930,34,מועדונים מועשרים 1043412 ,5844500,0,-185300,0,0,0
1344502930,344502930,34,מופת נצולי שואה 1043413 ,5844500,0,0,0,0,0
1344503930,344503930,34,ק. תומכת ניצולי שואה 3414,5844500,0,0,0,0,0
1344900930,344900930,34,מועדון לעולים העשרה 43448,5844400,-30000,-8700,-30000,-30000,0
1345100410,345100410,34,שיקום מסגרות כללי ,5845100,-101000,-108700,-163000,-163000,0
1345100930,345100930,34,סדור מפגרים במוסדות 56410,5845100,-23109700,-18735000,-25680000,-25680000,0
1345101930,345101930,34,"מעון ממשלתי - מש""ה 871920",5845100,-3510000,-1902000,-3552000,-3552000,0
1345102930,345102930,34,החזקת אוטיסטים במסגרות 50,5845100,-3118000,-2789000,-3992000,-3992000,0
1345103930,345103930,34,טיפול בהורים ובילדיהם 040,5845100,-400000,-247500,-405000,-405000,0
1345104930,345104930,34,מ.יום שיקומי לאוטיסט 2112,5845100,-794000,-626500,-804000,-804000,0
1345105930,345105930,34,נופשונים וקייטנות 0881110,5845100,-130000,-45000,-132000,-132000,0
1345106930,345106930,34,משפחות אומנה למפגר 856400,5845100,-64000,-51000,-69000,-69000,0
1345107930,345107930,34,משפחות אומנה לשיקום 56401,5845100,-36000,-25500,-36000,-36000,0
1345108930,345108930,34,מועדוניות לילדים 0881042 ,5845100,-277000,-110000,-280000,-280000,0
1345109930,345109930,34,סביבה תומכת 0856411 ,5845100,-621000,-332100,-628000,-628000,0
1345111930,345111930,34,מ. יום תעסוקה לבוגרים ,5845100,-350000,-171600,-354000,-354000,0
1345112930,345112930,34,הסעות לאוטיסים 0881041 ,5845100,-50000,0,-51000,-51000,0
1345200410,345200410,34,מרכז לילך ,5845200,-74000,-18600,-27000,-27000,0
1345200411,345200411,34,מרכז לילך הכנסות עצמיות ,5845200,-10000,-12900,-10000,-10000,0
1345201410,345201410,34,מעון יובלים ,5845200,-201000,-179700,-240000,-240000,0
1345201930,345201930,34,מפגרים במעון אמוני 855410,5845200,-64800,-49700,-66000,-66000,0
1345202410,345202410,34,בית ספר ניר ,5845200,-74000,-43700,-58000,-58000,0
1345202930,345202930,34,מפגרים במעון טפולי 855420,5845200,-3508000,-3310200,-3837000,-3837000,0
1345203790,345203790,34,מעון יובלים-טיפולים פרא-ר,5845200,-562000,-509900,-562000,-562000,0
1345203930,345203930,34,מ.יום שיקומי למפגר 622111,5845200,-67200,0,-68000,-68000,0
1345204790,345204790,34,פרא-רפואי המרכז לגיל הרך ,5845200,-562000,-683500,-562000,-562000,0
1345204930,345204930,34,"מעש""ים 0855470 ",5845400,-1726800,-1388200,-1868000,-1868000,0
1345300410,345300410,34,נופשונים ,5845300,-65000,-46900,-64000,-64000,0
1345300930,345300930,34,שרותים תומכים למפגר 55430,5845300,-107000,-59800,-130000,-130000,0
1345301930,345301930,34,נופשונים למפגר 0855920 ,5845300,-406200,-187600,-411000,-411000,0
1345302930,345302930,34,מועדונים חברתיים למפגר 33,5845300,-140000,-130100,-202000,-202000,0
